類・品目,持家の帰属家賃を除く総合
Group/Item,"All items, less imputed rent"
類・品目符号(Group/Item code),0163
含類総連番(Serial number),742
ウエイト(Weight),2964685470
ウエイト１万分比(Weight per 10000),8366
194601,
194602,
194603,
194604,
194605,
194606,
194607,
194608,2.4
194609,2.2
194610,2.0
194611,2.0
194612,2.3
194701,2.6
194702,2.9
194703,3.2
194704,3.3
194705,3.9
194706,4.6
194707,5.4
194708,5.7
194709,6.1
194710,5.9
194711,5.9
194712,6.4
194801,6.4
194802,6.9
194803,7.4
194804,7.6
194805,7.9
194806,8.0
194807,8.8
194808,9.8
194809,9.8
194810,9.4
194811,9.9
194812,10.4
194901,10.8
194902,11.0
194903,11.4
194904,11.5
194905,11.6
194906,11.3
194907,11.5
194908,11.5
194909,11.4
194910,11.1
194911,10.7
194912,10.9
195001,11.0
195002,10.6
195003,10.4
195004,10.1
195005,10.3
195006,10.1
195007,10.4
195008,10.6
195009,10.6
195010,10.3
195011,10.4
195012,10.8
195101,11.4
195102,11.9
195103,12.1
195104,12.2
195105,12.1
195106,12.1
195107,12.1
195108,12.6
195109,12.7
195110,12.9
195111,12.9
195112,12.9
195201,13.0
195202,12.9
195203,12.9
195204,13.0
195205,12.8
195206,12.9
195207,13.0
195208,13.0
195209,13.0
195210,13.0
195211,13.0
195212,12.9
195301,13.2
195302,13.4
195303,13.4
195304,13.5
195305,13.4
195306,13.6
195307,13.9
195308,14.0
195309,14.0
195310,14.4
195311,14.3
195312,14.3
195401,14.5
195402,14.7
195403,14.7
195404,14.7
195405,14.6
195406,14.7
195407,14.8
195408,14.8
195409,14.7
195410,14.9
195411,14.6
195412,14.5
195501,14.7
195502,14.7
195503,14.5
195504,14.7
195505,14.5
195506,14.5
195507,14.4
195508,14.5
195509,14.7
195510,14.7
195511,14.4
195512,14.3
195601,14.4
195602,14.5
195603,14.5
195604,14.6
195605,14.5
195606,14.7
195607,14.5
195608,14.6
195609,14.7
195610,14.7
195611,14.5
195612,14.7
195701,14.8
195702,14.8
195703,14.8
195704,15.0
195705,15.1
195706,15.0
195707,15.2
195708,15.3
195709,15.2
195710,15.2
195711,15.0
195712,15.0
195801,15.0
195802,14.8
195803,14.7
195804,14.8
195805,14.8
195806,15.0
195807,15.0
195808,15.1
195809,15.0
195810,15.2
195811,15.0
195812,15.0
195901,15.0
195902,15.0
195903,15.0
195904,15.1
195905,15.0
195906,15.1
195907,15.1
195908,15.3
195909,15.2
195910,15.3
195911,15.3
195912,15.3
196001,15.5
196002,15.5
196003,15.5
196004,15.6
196005,15.7
196006,15.6
196007,15.6
196008,15.7
196009,15.9
196010,15.9
196011,15.7
196012,15.9
196101,16.1
196102,16.1
196103,16.1
196104,16.2
196105,16.2
196106,16.2
196107,16.4
196108,16.6
196109,16.7
196110,17.0
196111,17.1
196112,17.3
196201,17.3
196202,17.3
196203,17.3
196204,17.6
196205,17.6
196206,17.6
196207,17.8
196208,17.8
196209,17.7
196210,17.8
