ウエイト１万分比(Weight per 10000),10000,5036,4657,742,641,101,101,3652,1567,298,283,1504,551,91,4964,3330,1079,17,10,458,285,226,15,68,3886,491,217,,,1634,,,1544,490,36,289,729,677,619,3740,1670
1983  ,1.9,1.4,1.1,2.0,2.0,1.9,1.9,1.2,1.9,2.3,-5.8,2.3,0.6,1.5,2.8,2.8,1.9,,6.7,2.4,-1.0,0.6,5.4,0.0,3.1,2.7,3.1,,,3.3,,,3.4,1.7,3.3,4.8,3.0,-0.6,2.2,1.3,2.5
1984  ,2.3,1.8,1.7,2.9,2.8,3.6,3.6,1.7,2.7,2.7,-4.9,2.1,1.2,0.7,2.9,3.0,3.6,,7.4,1.9,0.9,2.1,4.7,11.6,2.6,3.0,2.1,,,2.0,,,2.8,1.3,5.6,4.2,2.6,0.0,2.2,1.9,3.1
1985  ,2.0,1.3,1.2,2.1,1.8,3.0,3.1,1.1,1.2,3.4,-4.0,1.3,0.8,1.3,3.2,3.4,4.1,,5.0,6.6,9.4,1.4,4.4,3.5,3.0,2.2,2.6,,,2.4,,,3.9,1.4,5.8,4.6,2.3,-0.1,2.9,1.1,2.7
1986  ,0.6,-0.6,-0.4,-1.3,-1.9,0.7,0.7,-0.2,0.6,2.2,-11.6,1.3,-3.9,3.7,2.3,2.2,2.3,,3.1,4.6,1.7,1.2,4.7,0.0,2.3,1.7,2.3,,,2.7,,,2.4,1.2,5.2,3.4,2.1,-1.0,1.6,-1.2,1.3
1987  ,0.1,-1.4,-1.3,-2.8,-3.6,0.0,0.0,-0.7,-0.3,0.9,-8.5,0.2,-5.7,1.9,2.2,1.9,2.0,,3.4,2.7,2.2,1.6,4.6,0.0,2.1,0.9,3.1,,,3.0,,,2.1,1.1,2.4,3.3,1.8,-1.8,0.7,-2.0,0.2
1988  ,0.7,0.0,-0.4,2.0,3.0,-1.6,-1.7,-0.4,-0.1,1.2,-5.5,-0.4,-1.5,0.6,1.5,1.3,0.5,,3.5,0.8,-0.5,1.9,3.8,0.0,1.9,0.8,2.5,,,2.1,,,2.2,1.5,2.3,3.3,1.8,-2.1,1.0,0.0,-0.1
1989  ,2.3,1.7,1.7,1.7,1.7,1.5,1.5,1.6,1.9,4.5,1.7,-0.6,-0.6,7.6,3.0,3.2,1.8,,5.3,1.2,0.3,3.4,2.7,2.3,3.4,3.7,2.6,,,2.8,,,4.1,3.9,3.1,4.3,4.0,-3.3,3.6,1.8,1.0
1990  ,3.1,3.2,2.3,7.1,8.8,1.2,1.2,2.5,2.5,4.5,8.0,-0.3,-0.1,2.7,3.0,2.9,2.1,,3.4,2.0,0.7,0.2,2.9,22.5,3.3,2.4,2.3,,,3.0,,,4.0,3.4,4.1,5.3,3.7,-0.8,3.7,3.7,1.3
1991  ,3.3,3.7,3.0,6.8,8.1,-0.1,-0.1,3.4,4.6,4.4,4.9,1.2,0.2,2.9,2.7,2.6,0.7,,1.7,0.4,0.2,0.0,2.8,5.8,3.3,2.8,2.7,,,2.9,,,4.0,4.3,1.6,5.2,3.3,-0.2,4.3,4.1,0.5
1992  ,1.6,0.9,1.7,-3.7,-5.0,3.9,3.9,1.6,2.5,3.0,-2.4,0.8,0.3,8.7,2.9,2.9,1.5,,2.7,1.5,4.0,1.4,3.5,0.0,3.3,2.4,2.9,,,2.7,,,4.4,5.3,6.4,4.6,3.1,-0.1,3.0,0.3,1.3
1993  ,1.3,0.4,0.4,0.8,0.2,3.4,3.0,0.3,0.8,0.0,0.5,-0.1,0.5,1.7,2.2,2.3,0.9,,3.3,0.4,1.4,-0.4,3.8,0.0,2.7,1.9,2.4,,,2.4,,,3.5,3.7,3.9,4.4,2.6,-1.0,0.5,0.7,0.7
1994  ,0.7,-0.1,-0.1,1.5,-0.3,9.9,9.5,-0.8,0.2,-1.4,-2.5,-1.1,-0.2,5.1,1.8,1.5,0.4,,3.2,0.8,1.2,-0.9,3.6,0.0,2.0,1.1,1.8,,,2.3,,,2.4,2.3,3.5,3.1,1.6,-2.3,-0.6,0.4,0.8
1995  ,-0.1,-1.3,-1.2,-3.4,-1.4,-12.3,-12.4,-1.1,-0.3,-0.8,-3.9,-1.6,0.5,1.2,1.5,1.4,2.1,,3.1,1.5,0.4,2.6,2.3,0.0,1.4,-0.1,1.6,,,1.8,,,1.6,1.5,2.4,3.2,-0.1,-3.2,-0.7,-1.4,0.8
1996  ,0.1,-0.7,-0.8,0.2,0.7,-2.5,-2.5,-1.0,-0.3,0.8,-3.3,-2.0,-1.0,0.7,1.1,1.0,1.5,,2.5,1.2,1.1,2.0,2.6,0.1,0.9,-0.3,1.0,,,1.5,,,1.2,1.0,2.9,2.4,0.2,-3.9,0.3,-0.5,0.5
1997  ,1.8,1.4,1.5,1.3,1.7,-0.7,-0.8,1.1,1.7,2.1,1.7,-0.2,4.0,2.2,2.0,2.1,1.9,,0.6,0.2,10.8,1.0,2.1,1.2,2.0,2.5,0.8,,,1.5,,,2.3,2.1,2.3,2.1,2.6,-1.4,1.6,1.7,2.3
1998  ,0.6,0.2,-0.5,3.4,4.7,-3.8,-3.9,-0.3,0.6,1.2,-6.0,-0.7,-1.7,1.1,1.1,1.2,1.9,,-3.7,-0.2,17.8,-0.2,2.0,0.3,0.8,0.8,0.5,,,0.9,,,1.0,0.8,2.3,1.9,0.2,-1.6,0.9,0.4,0.8
1999  ,-0.3,-0.7,-0.2,-2.7,-3.4,1.5,1.6,-0.2,0.4,-0.2,-0.8,-0.7,-1.7,0.3,0.1,0.0,-0.1,,-0.9,-0.2,-1.3,0.1,1.6,0.0,0.1,0.3,-0.1,,,0.1,,,0.1,-0.2,0.8,1.5,-0.8,-1.5,-0.4,-0.7,-0.8
2000  ,-0.7,-1.2,-0.7,-4.9,-5.0,-3.7,-4.1,-0.6,-0.5,-1.2,5.8,-2.5,1.0,0.2,-0.1,-0.3,-0.4,,0.1,0.6,-1.3,-1.1,1.4,-0.4,0.3,-1.0,-0.2,,,0.5,,,0.0,-0.3,2.7,1.0,1.1,-3.2,-1.2,-1.0,-0.3
2001  ,-0.7,-1.4,-1.6,-0.1,0.3,-3.0,-3.1,-1.9,-1.0,-2.4,1.8,-3.4,-0.1,0.3,-0.1,-0.3,-0.2,,0.4,2.4,2.5,-2.8,1.5,-0.4,0.0,-0.6,-0.2,,,0.5,,,-0.2,-0.1,1.2,1.0,-1.2,-6.9,-1.7,-0.4,-0.2
2002  ,-0.9,-1.8,-1.8,-0.9,-1.0,-0.4,-0.4,-2.1,-1.1,-2.7,-2.8,-2.8,-1.4,0.2,0.0,0.0,-0.1,,-0.5,1.9,-0.6,-0.6,1.4,-1.8,0.0,0.3,-0.3,,,0.2,,,-0.1,-0.3,0.1,1.0,-0.6,-5.0,-2.0,-1.3,-0.4
2003  ,-0.3,-0.8,-0.9,1.1,0.7,3.8,3.8,-1.3,-0.9,-2.1,2.1,-1.9,-1.1,0.1,0.4,0.4,1.3,,-0.4,-0.1,7.4,0.0,1.6,0.1,0.0,-0.1,-0.2,,,0.1,,,-0.1,-0.3,0.8,0.4,-0.2,-4.2,-1.3,-0.2,0.7
2004  ,0.0,0.1,-0.2,3.6,2.8,9.7,9.7,-0.7,-0.6,-0.5,4.2,-2.0,-0.4,0.4,-0.1,-0.1,-0.6,,-0.5,-2.3,0.7,-0.3,1.1,0.0,0.0,0.9,-0.4,,,-0.2,,,-0.1,-0.1,0.6,0.6,-0.6,-4.1,-0.6,0.8,-0.3
2005  ,-0.3,-0.3,0.0,-3.1,-1.6,-13.1,-13.3,0.4,-0.2,0.6,9.9,-1.4,-1.4,0.4,-0.3,-0.4,-1.1,,-0.1,0.8,0.1,-3.2,1.4,0.0,0.1,0.1,-0.4,,,0.2,,,0.1,-0.1,1.5,0.6,-0.2,-2.5,0.3,-0.2,-1.1
2006  ,0.3,0.6,0.3,2.0,2.8,-3.3,-3.1,0.2,-0.3,0.6,10.6,-2.0,1.3,0.4,-0.1,-0.1,0.0,,0.6,0.2,-0.5,-0.2,0.9,0.1,-0.1,0.5,-0.2,,,0.0,,,-0.4,0.1,1.1,0.7,-1.1,-5.6,0.5,1.6,0.5
