類・品目,総合,財,生鮮食品を除く財,農水畜産物,生鮮商品,他の農水畜産物,米類,工業製品,食料工業製品,繊維製品,石油製品,他の工業製品,電気・都市ガス・水道,出版物,サービス,持家の帰属家賃を除くサービス,公共サービス,外食,公営・都市再生機構・公社家賃,家事関連サービス,医療・福祉関連サービス,運輸・通信関連サービス,教育関連サービス,教養娯楽関連サービス,一般サービス,外食,民営家賃,民営家賃（木造）,民営家賃（非木造）,持家の帰属家賃,持家の帰属家賃（木造）,持家の帰属家賃（非木造）,他のサービス,家事関連サービス,医療・福祉関連サービス,教育関連サービス,通信・教養娯楽関連サービス,耐久消費財,半耐久消費財,非耐久消費財,公共料金
197104,1.4,1.0,0.1,0.9,1.0,0.0,0.0,0.7,0.4,1.7,3.0,0.2,-0.3,7.6,2.2,2.7,0.2,,1.6,0.4,0.0,0.3,1.0,0.0,2.7,1.0,1.1,,,1.2,,,5.7,1.7,,8.2,6.9,0.0,,,0.0
197105,0.2,-0.1,1.0,-2.9,-3.9,0.0,-0.1,0.9,0.8,2.4,0.4,-0.2,0.0,0.8,0.8,0.4,0.4,,0.7,0.0,0.0,0.3,0.0,0.0,1.1,0.4,1.1,,,2.6,,,0.3,0.8,,0.0,-0.3,-0.4,,,0.3
197106,0.5,0.4,0.7,-0.7,-0.8,0.0,0.1,0.8,0.5,2.9,0.4,-0.2,0.0,0.4,0.5,0.4,0.2,,0.4,0.7,0.0,0.0,0.0,0.0,0.7,0.5,0.8,,,1.4,,,0.3,0.8,,0.0,0.0,-0.4,,,0.0
197107,-0.1,-0.3,-0.1,-1.6,-2.3,0.0,0.0,0.1,0.5,-0.6,0.2,-0.2,0.0,-0.3,0.4,0.4,0.2,,0.4,0.2,0.0,0.0,0.0,0.0,0.4,0.6,0.5,,,0.3,,,0.4,0.4,,0.0,0.0,-0.4,,,0.0
197108,-0.2,-0.3,0.1,0.4,0.7,0.0,0.0,-0.6,0.4,-3.4,0.0,-0.2,0.1,0.4,0.0,0.2,0.2,,0.4,0.2,0.0,0.3,0.0,0.0,0.0,0.4,0.1,,,-0.9,,,0.2,0.4,,0.0,0.0,-0.2,,,0.0
197109,2.6,3.8,0.9,12.5,17.0,0.0,0.0,1.2,0.5,4.4,0.0,0.5,0.0,-0.3,0.3,0.4,0.1,,0.2,0.4,0.0,0.0,0.0,0.0,0.4,0.5,0.3,,,0.4,,,0.4,0.8,,0.0,-0.3,0.4,,,0.0
197110,0.2,0.2,0.5,-0.8,-1.1,0.3,0.2,0.6,0.5,1.2,0.2,0.2,0.1,0.2,0.4,0.4,0.1,,1.0,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0.7,,,0.5,,,0.4,0.8,,0.0,0.3,-0.1,,,0.3
197111,-0.9,-1.7,0.4,-7.1,-9.5,0.0,0.0,0.3,0.4,0.5,-0.2,0.2,0.0,-0.3,0.5,0.4,0.0,,-0.4,0.2,0.0,0.0,0.0,0.0,0.7,0.7,0.7,,,0.9,,,0.3,0.8,,0.0,0.0,0.0,,,0.0
197112,0.1,-0.1,0.4,-1.1,-1.5,0.5,0.1,0.2,0.4,-0.2,-0.2,0.0,0.0,1.4,0.5,0.4,0.1,,0.3,0.2,0.0,0.0,0.0,0.0,0.7,0.8,0.5,,,0.6,,,0.5,0.8,,0.0,0.0,-0.2,,,0.3
197201,0.1,-0.1,-0.4,0.0,0.0,0.0,0.1,-0.1,0.4,-1.2,-0.2,-0.2,0.0,0.3,0.4,0.5,0.2,,-0.1,0.2,0.0,0.3,0.0,0.0,0.4,0.9,0.5,,,0.6,,,0.4,0.8,,0.0,-0.5,-0.6,,,0.0
197202,0.5,-0.1,-0.1,0.6,0.8,0.0,0.1,-0.4,0.2,-2.0,-0.2,0.2,0.1,-0.8,1.4,1.5,4.6,,0.1,0.2,12.6,1.6,0.0,0.0,0.4,0.3,0.5,,,0.6,,,0.3,0.4,,0.0,0.3,0.0,,,2.2
197203,0.8,1.0,0.3,3.5,4.5,0.3,0.2,0.3,0.3,0.4,-0.2,0.2,0.0,0.8,0.4,0.4,0.1,,0.1,0.2,0.0,0.0,0.0,0.0,0.7,0.8,0.4,,,0.4,,,0.3,0.8,,0.0,-0.3,0.0,,,0.0
197204,1.2,0.7,0.1,2.1,2.7,0.5,0.3,0.1,0.3,0.0,0.0,0.0,0.3,0.3,2.0,1.9,0.6,,2.0,0.4,0.0,0.3,7.4,0.0,2.5,0.7,1.2,,,2.6,,,3.7,1.2,,8.3,1.1,-0.1,,,0.5
197205,0.4,0.3,0.5,-0.6,-0.7,0.3,0.3,0.6,0.3,2.1,-0.2,0.3,0.0,0.0,0.6,0.5,0.3,,1.1,0.0,0.0,0.0,0.0,0.0,0.7,0.6,1.1,,,1.4,,,0.4,0.4,,1.4,0.0,0.3,,,0.0
197206,0.1,-0.2,0.4,-2.9,-4.1,0.8,0.6,0.8,0.4,2.9,0.2,0.2,0.1,0.2,0.4,0.3,0.2,,0.3,0.6,0.0,0.3,0.0,0.0,0.7,0.5,1.2,,,0.8,,,0.3,0.8,,0.0,-0.3,-0.2,,,0.0
197207,0.1,-0.1,0.5,-1.3,-2.0,0.0,0.0,0.3,0.2,0.4,0.2,-0.2,0.0,-0.2,0.5,0.4,0.4,,0.3,0.2,0.0,0.3,0.0,0.0,0.7,0.3,0.4,,,1.2,,,0.3,0.8,,0.0,0.0,-0.2,,,0.3
197208,0.7,0.8,-0.2,4.3,6.1,0.0,0.1,-0.5,0.4,-2.5,0.0,-0.2,2.5,0.7,0.5,0.3,0.6,,1.3,0.2,0.0,1.3,0.0,0.0,0.3,0.3,0.6,,,0.6,,,0.2,0.4,,0.0,0.0,-0.1,,,0.5
197209,0.6,0.9,1.0,0.7,1.0,0.0,0.0,1.1,0.4,3.7,0.2,0.2,0.0,-0.4,0.3,0.2,0.1,,0.6,-4.2,0.0,0.0,0.0,0.0,0.3,0.4,0.6,,,0.7,,,0.1,0.8,,0.0,0.0,-0.1,,,0.3
197210,0.7,0.6,1.3,1.1,-1.2,7.1,7.3,0.6,0.4,1.8,0.2,0.3,0.0,0.1,0.7,0.6,0.5,,1.1,0.2,0.0,0.3,1.4,0.0,0.7,1.0,0.8,,,1.1,,,0.4,1.1,,0.0,0.0,0.2,,,0.0
197211,-0.3,-0.7,0.5,-3.6,-5.0,0.5,0.4,0.3,0.2,0.3,0.2,0.5,0.3,-0.6,0.4,0.4,0.4,,0.2,0.4,0.0,0.3,0.0,0.0,0.7,0.7,0.5,,,0.7,,,0.3,0.7,,0.0,0.0,0.2,,,0.5
197212,0.7,0.8,0.5,1.8,2.8,-0.2,0.1,0.4,0.3,0.5,0.2,0.3,0.0,1.6,0.6,0.8,0.3,,1.1,0.2,0.0,0.3,0.0,0.0,0.7,2.1,0.4,,,0.3,,,0.4,1.1,,0.0,0.0,0.1,,,0.0
197301,1.0,1.0,0.3,2.9,3.6,0.2,0.2,0.4,0.7,0.1,0.0,0.2,0.0,1.6,0.8,0.8,0.6,,0.3,0.4,0.0,0.5,0.0,0.0,1.0,1.3,0.3,,,0.5,,,0.9,1.1,,0.0,0.5,0.1,,,0.3
197302,0.8,1.0,1.1,-0.2,-0.3,0.2,0.1,1.4,2.7,0.2,4.4,0.2,0.0,0.3,0.6,0.6,0.4,,0.1,0.2,0.0,0.3,0.0,0.0,0.7,0.9,0.7,,,0.7,,,0.6,1.1,,0.0,0.3,-0.2,,,0.3
197303,2.4,3.2,2.4,6.8,9.3,0.2,0.3,2.2,2.1,4.8,1.5,0.5,0.0,2.6,0.8,1.0,0.5,,0.3,0.2,0.0,0.5,0.0,0.0,1.0,1.6,0.7,,,0.6,,,1.0,2.1,,0.0,-0.3,-0.1,,,0.0
197304,1.8,1.7,1.2,2.1,2.6,0.0,0.1,1.7,0.9,4.2,1.3,0.3,0.4,0.2,2.0,2.6,1.5,,1.8,1.3,0.0,0.5,8.9,0.0,1.9,2.1,0.8,,,0.7,,,4.1,3.1,,7.6,0.8,-0.1,,,1.1
197305,1.6,2.1,1.5,2.9,3.9,0.2,0.2,2.0,0.7,6.5,0.4,1.0,0.2,0.0,0.7,0.6,0.1,,0.7,0.2,0.0,0.0,0.0,0.0,0.9,1.1,1.0,,,1.0,,,0.8,1.0,,1.9,0.0,1.1,,,0.0
197306,0.2,-0.7,0.8,-5.5,-7.4,0.2,0.1,1.2,1.5,1.6,0.8,0.5,-0.5,0.5,1.8,2.2,0.3,,1.1,0.8,0.0,0.2,0.0,0.0,2.5,1.3,0.9,,,1.1,,,4.1,2.0,,0.6,10.1,0.3,,,0.0
197307,0.8,0.8,0.6,0.5,0.7,0.0,0.2,0.5,0.7,0.2,0.4,0.3,0.0,7.9,0.7,0.5,0.5,,0.2,1.0,0.0,0.5,0.0,0.0,0.9,0.7,0.9,,,1.7,,,0.4,0.7,,0.0,0.0,0.0,,,0.3
197308,0.9,1.2,0.8,3.8,5.1,0.2,0.2,0.2,0.7,-1.3,1.0,0.5,0.1,1.6,0.4,0.5,0.3,,0.2,0.8,0.0,0.2,0.0,0.0,0.3,0.5,0.5,,,0.4,,,0.5,1.3,,0.0,-0.5,0.2,,,0.3
197309,2.7,3.9,2.4,8.0,10.6,0.5,0.4,2.5,1.3,6.4,0.6,1.3,0.0,3.2,0.7,0.7,0.1,,0.3,0.4,0.0,0.0,1.9,0.0,0.9,1.0,0.9,,,0.4,,,0.9,1.9,,0.0,0.2,0.7,,,0.0
197310,0.4,0.6,2.2,-3.7,-5.3,1.6,1.6,2.4,2.0,3.8,1.8,1.9,1.9,-0.1,-0.1,-0.3,-3.9,,0.1,0.6,-16.4,0.0,0.0,0.0,0.9,2.1,0.5,,,0.4,,,0.9,1.9,,0.0,0.0,1.8,,,-1.6
197311,0.9,0.9,2.0,-3.2,-4.8,1.6,1.7,2.5,2.6,1.0,7.5,2.5,0.0,-0.2,0.9,1.4,0.1,,0.2,0.4,0.0,0.0,0.0,0.0,1.2,3.6,0.3,,,-0.2,,,1.3,2.8,,0.0,0.0,1.9,,,0.0
197312,3.4,4.2,4.0,5.2,6.5,0.9,0.9,4.4,3.9,2.0,19.0,4.0,0.0,1.2,1.7,2.0,0.2,,0.1,-0.4,0.0,0.0,0.0,0.0,2.1,2.9,0.5,,,0.4,,,3.2,6.9,,0.0,0.5,2.7,,,0.0
197401,4.1,5.3,3.8,7.1,9.4,0.4,0.3,5.1,8.0,1.2,0.8,4.9,0.6,1.6,1.7,2.2,0.5,,0.1,1.0,0.0,0.2,0.0,0.0,2.0,3.8,0.5,,,0.7,,,2.7,4.8,,0.0,1.2,4.3,,,0.3
197402,3.3,3.6,2.9,5.9,7.5,0.4,0.3,2.9,4.4,0.1,-1.5,5.1,0.3,4.7,2.2,2.9,6.0,,0.2,1.6,18.7,1.7,0.0,0.0,1.4,2.5,0.4,,,0.3,,,1.7,3.0,,0.0,0.7,7.6,,,3.2
197403,0.6,0.5,0.8,-1.2,-1.7,0.2,0.1,1.3,1.5,0.9,-0.2,1.3,0.0,0.5,0.8,0.8,0.2,,0.5,1.4,0.0,0.2,0.0,0.0,0.8,1.2,0.7,,,0.8,,,1.2,2.1,,0.0,1.4,1.3,,,0.3
197404,2.6,2.5,1.2,5.7,7.4,0.0,0.2,1.4,1.0,0.7,12.2,0.8,0.4,0.6,2.8,3.6,1.1,,1.2,2.5,0.0,0.2,6.5,0.0,3.0,0.9,0.6,,,0.6,,,6.9,2.3,,16.9,3.0,0.6,,,0.8
197405,0.3,-0.2,1.6,-6.4,-8.3,0.4,0.4,2.3,2.3,5.3,0.1,0.8,0.2,-0.3,0.9,1.1,1.1,,0.4,3.0,0.0,0.2,0.9,0.0,1.1,1.2,0.7,,,0.6,,,1.1,1.5,,1.6,0.2,0.7,,,0.5
197406,0.5,0.5,1.7,-3.9,-5.0,0.2,0.3,1.5,1.0,2.3,6.3,0.6,13.4,0.3,1.5,0.7,0.1,,0.3,1.1,0.0,0.0,0.0,0.0,0.8,0.8,0.8,,,0.9,,,0.8,1.5,,0.5,0.5,0.7,,,2.0
197407,2.1,2.6,1.6,5.6,7.1,0.2,0.3,0.6,1.3,-0.6,0.6,0.6,0.2,20.5,0.8,0.7,0.7,,0.2,1.8,0.0,0.2,0.0,0.0,0.8,0.6,0.7,,,1.1,,,0.8,1.5,,0.0,0.2,0.7,,,0.5
197408,1.0,1.0,-0.1,4.6,5.9,0.4,0.3,-0.4,1.4,-5.0,0.0,0.3,0.2,3.2,0.9,1.1,1.8,,1.4,0.9,0.0,5.5,0.0,0.0,0.8,1.2,0.7,,,0.8,,,0.7,1.2,,0.0,0.2,0.1,,,1.0
197409,1.5,1.8,1.8,3.3,4.0,0.4,0.5,1.3,0.8,2.7,2.6,0.6,4.8,-0.1,1.1,0.9,0.8,,0.8,0.7,0.0,1.1,0.0,0.0,0.8,1.4,0.4,,,0.4,,,0.9,1.4,,0.0,0.4,0.0,,,1.2
197410,2.2,1.9,3.3,2.4,-4.3,28.8,29.0,1.4,1.1,2.5,0.9,1.5,0.7,6.7,3.0,3.7,8.0,,0.2,0.4,16.0,3.1,0.0,0.0,1.8,4.6,0.8,,,0.9,,,1.1,1.9,,0.0,0.7,2.3,,,4.3
197411,0.7,0.4,1.1,-1.4,-2.4,1.0,1.1,0.9,1.5,-0.1,4.5,0.2,3.7,0.0,1.6,1.4,1.5,,0.4,0.4,0.0,1.5,0.0,0.0,1.8,2.7,0.9,,,1.6,,,0.9,1.4,,0.0,0.2,0.2,,,1.4
197412,0.4,0.2,0.5,-0.6,-0.7,0.2,0.1,0.5,1.1,-0.1,-0.1,0.1,0.0,0.8,0.8,1.0,0.6,,1.8,0.4,0.0,0.4,0.0,0.0,1.0,2.1,0.5,,,0.6,,,0.7,1.4,,0.0,0.0,0.0,,,0.5
197501,0.5,0.3,-0.4,1.2,4.4,-0.3,0.0,0.1,0.7,-1.4,-0.4,0.0,-2.2,-0.3,0.7,0.9,0.8,,0.3,0.3,0.0,0.0,0.0,0.0,1.7,1.5,0.7,,,0.8,,,0.8,1.3,,0.0,1.3,0.2,,,0.0
197502,0.1,0.0,0.0,0.4,0.4,0.0,0.0,-0.2,0.2,-1.6,-0.2,0.2,0.3,-0.1,0.4,0.3,0.1,,0.2,0.3,0.0,0.2,0.0,0.0,0.5,0.4,0.6,,,0.5,,,0.3,0.4,,0.0,0.0,0.2,,,0.5
197503,0.9,1.2,0.7,4.5,5.8,0.3,0.2,0.3,0.4,0.5,0.6,0.0,0.5,0.1,0.3,0.3,0.1,,0.8,0.2,0.0,-0.2,0.0,0.0,0.2,0.4,0.7,,,0.5,,,0.3,0.7,,0.0,0.2,0.0,,,0.2
197504,1.7,0.5,0.4,0.5,0.6,0.0,0.0,0.5,0.4,1.4,0.2,0.4,0.7,0.0,3.9,4.9,1.2,,2.4,1.2,0.0,1.3,6.0,0.0,4.1,0.6,1.2,,,1.1,,,10.6,1.1,,28.3,12.0,0.3,,,0.7
197505,0.5,0.4,0.2,-1.0,-1.2,0.2,0.0,0.9,0.3,3.1,0.0,0.1,0.0,0.1,0.7,0.4,0.4,,0.4,1.0,0.0,0.0,0.0,0.0,0.9,0.4,1.2,,,1.6,,,0.3,0.4,1.6,0.0,-0.2,0.0,,,0.0
197506,-0.1,-0.4,0.6,-3.1,-3.9,0.0,0.0,0.5,0.6,1.1,-0.2,0.2,0.2,0.1,0.5,0.5,0.4,,0.9,0.8,0.0,0.2,0.0,0.0,0.5,0.5,1.1,,,1.1,,,0.4,0.6,0.0,0.0,0.6,0.0,,,0.4
197507,0.3,0.1,0.2,-0.2,-0.3,0.2,0.1,0.1,0.5,-0.3,0.5,-0.1,0.3,-0.2,0.6,0.6,0.2,,0.5,0.3,0.0,0.0,0.0,0.0,0.9,0.3,0.9,,,0.7,,,0.9,0.4,2.7,0.0,1.7,0.0,,,0.0
197508,-0.2,-0.5,-0.5,1.2,1.4,0.0,0.0,-1.1,0.2,-5.8,0.1,-0.1,0.9,0.3,0.4,0.3,0.3,,0.1,0.5,0.0,0.2,0.0,0.0,0.4,0.7,0.4,,,0.4,,,0.2,0.4,0.4,0.0,0.0,-0.2,,,0.4
197509,2.1,2.9,2.2,7.7,6.1,14.1,14.5,1.6,0.5,7.5,0.2,0.1,1.4,0.0,0.6,0.6,0.3,,0.1,0.3,0.0,0.4,0.0,0.0,0.7,1.2,0.5,,,0.5,,,0.3,0.6,0.0,0.0,0.0,-0.1,,,2.0
197510,1.7,2.3,0.8,7.5,9.0,1.6,1.6,0.7,0.5,1.8,0.0,0.2,0.6,0.0,0.5,0.4,0.2,,0.3,0.2,0.0,0.2,0.0,0.0,0.4,0.7,0.6,,,0.6,,,0.5,0.6,0.8,0.0,0.6,0.1,,,0.4
197511,-0.5,-1.0,0.4,-4.8,-6.0,0.3,0.3,0.3,0.2,0.5,0.1,0.4,0.5,-0.2,0.6,0.5,0.2,,0.1,0.2,0.0,0.2,0.0,0.0,0.7,0.6,0.8,,,0.8,,,0.4,0.6,0.4,0.0,0.6,0.9,,,0.2
197512,0.0,-0.3,0.3,-2.2,-2.7,0.0,0.0,0.2,0.1,0.1,1.1,0.1,0.5,1.2,0.6,0.8,1.5,,0.1,0.3,0.0,0.8,0.0,0.0,0.4,0.8,0.6,,,0.4,,,0.5,0.6,0.0,0.0,0.4,0.1,,,0.9
197601,1.8,2.2,1.0,5.3,6.6,0.0,0.0,1.6,0.8,-2.1,1.3,4.0,0.5,-0.3,1.1,1.2,1.8,,0.1,0.3,0.0,3.5,0.0,0.0,0.9,1.5,0.7,,,0.8,,,0.8,1.0,3.4,24.9,0.4,0.2,,,10.1
197602,0.7,0.4,0.0,2.1,2.6,0.1,0.1,-0.2,0.5,-1.9,0.3,0.0,0.2,0.0,0.9,0.9,2.2,,0.3,0.0,0.0,2.2,0.0,0.0,0.7,0.8,1.0,,,1.1,,,0.2,0.6,0.0,0.0,0.2,-0.1,,,1.0
197603,0.4,0.6,0.9,-0.3,-0.3,0.0,0.0,0.8,1.1,1.3,0.0,0.2,0.2,1.4,0.4,0.4,0.0,,0.2,0.2,0.0,-0.2,0.0,0.0,0.6,0.5,0.8,,,0.7,,,0.5,0.8,0.0,0.0,-0.2,0.0,,,0.0
197604,2.4,1.5,0.5,4.7,5.9,0.0,0.1,0.6,0.5,1.2,0.0,0.3,1.2,-0.1,3.6,4.3,5.9,,6.8,1.1,8.4,0.4,61.8,0.0,3.0,1.8,1.2,,,1.3,,,5.7,1.6,20.6,14.7,1.1,0.7,,,3.3
197605,0.4,0.1,0.7,-2.5,-3.1,0.0,0.0,1.0,0.2,4.7,-0.1,0.2,0.5,0.1,0.8,0.8,1.2,,0.3,2.4,0.0,0.2,0.0,0.0,0.8,0.9,1.2,,,1.4,,,0.3,0.6,0.0,0.9,0.0,-0.1,,,0.6
197606,0.3,-0.1,0.6,-2.5,-3.2,0.0,0.0,0.8,0.3,2.6,0.3,0.1,0.3,0.1,0.8,0.7,1.6,,0.4,1.1,0.0,0.0,0.0,52.8,0.6,0.3,1.3,,,1.5,,,0.3,0.6,0.0,0.3,0.0,0.0,,,0.7
197607,0.5,0.7,0.5,0.6,0.8,0.0,0.0,0.6,0.3,-0.4,6.7,0.0,2.8,-0.1,0.6,0.4,-0.1,,0.8,0.3,0.0,0.0,0.0,0.0,0.6,0.5,0.7,,,0.5,,,0.4,0.8,1.5,0.0,0.2,0.1,,,0.6
197608,-0.6,-1.3,-0.5,-3.0,-3.8,0.1,0.0,-1.1,0.3,-6.3,0.9,0.2,2.4,1.6,0.5,0.4,0.1,,0.4,0.5,0.0,0.0,0.0,0.0,0.4,0.4,0.5,,,0.4,,,0.7,0.8,1.5,0.0,0.4,0.0,,,0.6
197609,2.5,3.7,2.2,8.3,8.1,8.8,8.9,2.1,0.6,8.3,0.2,0.3,5.5,0.2,1.0,0.5,0.3,,0.1,0.5,0.0,0.2,1.0,0.0,0.6,0.8,0.6,,,0.7,,,0.3,1.0,0.6,0.0,0.2,-0.1,,,2.2
197610,0.6,0.7,0.8,0.8,0.8,1.0,1.1,0.6,0.3,2.1,0.0,0.1,2.1,-0.1,0.6,0.4,0.4,,0.2,0.3,0.0,0.2,1.0,0.0,0.6,0.7,0.5,,,0.6,,,0.5,0.6,0.0,0.0,-0.2,-0.1,,,0.7
197611,0.0,-0.8,0.2,-4.1,-5.4,0.4,0.2,0.4,0.3,0.6,0.0,0.3,0.0,0.0,1.4,1.7,5.9,,5.0,0.2,0.0,3.7,0.0,0.0,0.4,0.4,0.5,,,0.5,,,0.1,0.8,0.0,0.0,0.2,0.1,,,2.5
197612,1.2,0.3,0.5,0.2,0.1,0.0,0.1,0.3,0.6,-0.1,-0.2,0.2,0.1,1.3,2.2,2.9,9.9,,2.4,0.2,0.0,24.5,0.0,0.0,0.6,0.6,0.9,,,0.9,,,0.4,0.8,0.0,0.0,0.2,0.0,,,4.5
197701,0.9,1.1,-0.3,5.5,7.0,0.1,0.1,-0.3,0.6,-2.6,-0.2,0.5,-0.1,-0.9,0.5,0.5,0.4,,3.8,0.3,0.0,0.1,0.0,0.0,0.6,0.8,0.5,,,0.7,,,0.5,0.7,0.6,0.3,0.4,0.2,,,0.0
