類・品目,持家の帰属家賃を除く総合
Group/Item,"All items, less imputed rent"
類・品目符号(Group/Item code),0163
含類総連番(Serial number),742
ウエイト(Weight),2964685470
ウエイト１万分比(Weight per 10000),8366
194601,
194602,
194603,
194604,
194605,
194606,
194607,
194608,
194609,
194610,
194611,
194612,
194701,
194702,
194703,
194704,
194705,
194706,
194707,
194708,141.1
194709,182.6
194710,189.2
194711,193.5
194712,180.4
194801,148.9
194802,141.2
194803,132.6
194804,127.8
194805,100.6
194806,75.0
194807,62.4
194808,71.0
194809,59.9
194810,60.8
194811,67.7
194812,61.8
194901,68.4
194902,59.6
194903,54.1
194904,52.4
194905,48.3
194906,40.6
194907,30.3
194908,16.9
194909,17.0
194910,18.1
194911,9.0
194912,5.1
195001,2.0
195002,-4.2
195003,-8.7
195004,-12.1
195005,-11.6
195006,-10.2
195007,-9.7
195008,-7.8
195009,-7.0
195010,-7.4
195011,-3.0
195012,-1.0
195101,2.1
195102,9.1
195103,14.7
195104,20.2
195105,22.0
195106,20.0
195107,17.2
195108,22.2
195109,21.3
195110,22.0
195111,22.4
195112,22.7
195201,13.3
195202,8.8
195203,6.1
195204,5.5
195205,5.3
195206,6.5
195207,8.0
195208,3.6
195209,2.3
195210,1.5
195211,0.4
195212,0.2
195301,2.1
195302,4.1
195303,3.9
195304,4.4
195305,4.7
195306,5.7
195307,6.4
195308,7.3
195309,7.7
195310,10.6
195311,10.7
195312,11.1
195401,10.1
195402,9.2
195403,9.4
195404,9.0
195405,8.9
195406,8.3
195407,6.7
195408,5.6
195409,5.2
195410,3.2
195411,1.9
195412,1.2
195501,0.7
195502,0.3
195503,-0.5
195504,-0.3
195505,-0.3
195506,-1.4
195507,-2.4
195508,-1.8
195509,-1.9
195510,-1.5
195511,-2.0
195512,-1.6
195601,-1.7
195602,-0.8
195603,0.1
195604,-0.6
195605,0.0
195606,2.0
195607,0.3
195608,0.3
195609,0.6
195610,0.5
195611,1.2
195612,2.7
195701,3.3
195702,2.2
195703,2.3
195704,2.7
195705,4.0
195706,1.6
195707,4.9
195708,5.0
195709,3.7
195710,2.9
195711,3.1
195712,1.8
195801,0.9
195802,0.3
195803,-0.4
195804,-0.6
195805,-1.5
195806,-0.1
195807,-1.7
195808,-1.3
195809,-1.3
195810,-0.3
195811,0.2
195812,0.2
195901,0.2
195902,0.5
195903,1.2
195904,1.4
195905,0.7
195906,0.3
195907,0.9
195908,1.3
195909,0.9
195910,1.5
195911,1.9
195912,2.1
196001,2.8
196002,3.4
196003,2.6
196004,2.7
196005,3.8
196006,4.1
196007,4.3
196008,4.1
196009,5.2
196010,3.9
196011,2.7
196012,3.3
196101,3.7
196102,4.1
196103,4.3
196104,4.6
196105,3.2
196106,3.6
196107,5.4
196108,5.4
196109,5.1
196110,6.9
196111,8.9
196112,9.0
196201,8.2
196202,7.3
196203,7.7
196204,7.8
196205,8.9
196206,8.5
196207,7.8
196208,7.0
196209,6.0
196210,4.6
196211,3.8
