類・品目,総合（季節調整済）,生鮮食品を除く総合（季節調整済）,生鮮食品及びエネルギーを除く総合（季節調整済）,財（季節調整済）,サービス（季節調整済）
Group/Item,"All items, seasonally adjusted","All items, less fresh food, seasonally adjusted","All items, less fresh food and energy, seasonally adjusted","Goods, seasonally adjusted","Services, seasonally adjusted"
類・品目符号(Group/Item code),0901,0902,0906,0921,0924
含類総連番(Serial number),901,902,903,904,905
ウエイト(Weight),,,,,
ウエイト１万分比(Weight per 10000),,,,,
202209,0.5,0.5,0.4,0.6,0.1
202210,0.4,0.3,0.3,0.7,0.0
202211,0.3,0.4,0.4,0.6,-0.1
202212,0.3,0.4,0.3,0.5,0.1
202301,0.4,0.3,0.3,0.7,0.4
202302,-0.3,-0.6,0.4,-0.9,0.2
202303,0.4,0.3,0.5,0.5,0.2
202304,0.4,0.4,0.5,0.5,0.3
202305,0.0,0.0,0.3,-0.1,0.2
202306,0.3,0.3,0.2,0.5,-0.1
202307,0.3,0.3,0.4,0.3,0.5
202308,0.2,0.4,0.3,0.2,0.1
202309,0.4,0.2,0.2,0.6,0.1
202310,0.6,0.4,0.1,1.1,0.1
202311,-0.2,0.0,0.2,-0.6,0.1
202312,0.0,0.2,0.2,0.0,0.1
202401,0.0,0.2,0.1,0.0,0.3
202402,0.4,0.2,0.2,0.3,0.1
202403,0.3,0.1,0.1,0.4,0.1
202404,0.2,0.0,0.0,0.3,0.0
202405,0.4,0.3,0.1,0.6,0.0
202406,0.3,0.4,0.2,0.5,0.1
202407,0.3,0.3,0.2,0.5,0.1
202408,0.5,0.5,0.4,0.7,0.2
202409,0.0,-0.2,0.3,-0.2,0.1
202410,0.3,0.2,0.3,0.4,0.2
202411,0.4,0.4,0.3,0.5,0.1
202412,0.7,0.5,0.3,1.2,0.2
202501,0.3,0.4,0.4,0.9,0.0
202502,0.1,0.0,0.2,-0.2,0.1
202503,0.2,0.2,0.3,0.3,0.1
202504,0.2,0.4,0.3,0.4,0.0
202505,0.3,0.4,0.3,0.4,0.1
202506,0.2,0.1,0.3,0.0,0.3
202507,0.1,0.1,0.2,0.1,0.1
202508,0.1,0.1,0.2,0.0,0.1
202509,0.1,0.1,0.0,0.0,0.1
202510,0.3,0.3,0.4,0.3,0.3
202511,0.3,0.3,0.2,0.4,0.1
202512,-0.1,-0.1,0.1,-0.2,0.0
202601,-0.1,0.0,0.1,-0.1,0.1
202602,-0.2,-0.4,0.1,-0.7,0.1
202603,0.4,0.4,0.2,0.6,0.2
202604,0.1,0.1,-0.2,0.6,-0.3
202605,0.4,0.4,0.2,0.6,0.2
202606,0.3,0.2,0.2,0.4,0.2
202607,0.4,0.3,0.3,0.7,0.2
202608,0.0,0.1,0.3,-0.1,0.1
