Date,headline_yoy,official_core_yoy,observed_core_yoy,model_core_input
2005-09-30,,,2.259236942361631,2.1702565251357244
2005-12-31,,,2.020654044258796,1.0879783559653118
2006-03-31,,,2.05237526965274,4.326931322770807
2006-06-30,4.010462074978194,,2.120152329618774,2.7869988771993666
2006-09-30,3.9019337016574562,,2.32025304041954,2.4571302735000455
2006-12-31,3.246307110958435,,2.441247838705229,1.7187369166080588
2007-03-31,2.452316076294281,,2.367706695967442,3.0327387777668626
2007-06-30,2.095557418273253,,2.427769855321582,3.2081529095417625
2007-09-30,1.8943170488534333,,2.374517035691426,2.2934931703823374
2007-12-31,2.9612377308268156,,2.724696020918516,3.0803879299748256
2008-03-31,4.255319148936176,,3.1087604567938465,4.437544595879062
2008-06-30,4.482758620689653,,3.723351837877464,5.31187126214902
2008-09-30,4.973907371167652,,4.002572178408159,3.889583780733097
2008-12-31,3.6677977056067235,,3.542674625533282,0.7459069730810368
2009-03-31,2.4075255102040893,,2.674049718912319,2.3495698402580345
2009-06-30,1.4458588716014464,,2.0751880175795545,3.178024226627943
2009-09-30,1.227279788721436,,1.9110851973387133,3.583801574033885
2009-12-31,2.1041147132169646,,2.14267480376511,1.9493017931486685
2010-03-31,2.942550210182149,,2.688918761117698,3.3969842802716865
2010-06-30,3.0518977536793113,,2.787590370203485,2.9282936481223802
2010-09-30,2.823818293431568,,2.942835019738932,4.1245275086993995
2010-12-31,2.671347885818953,,2.309891109975215,-0.23656988637328136
2011-03-31,3.2970356926799615,,2.4945581313185805,3.9258986880162894
2011-06-30,3.6229705351774166,,2.5071557202882566,2.7283403330659306
2011-09-30,3.492537313432842,,2.051917761342037,2.465884562102707
2011-12-31,3.092476955099621,,2.465116683757018,0.9614679506603312
2012-03-31,1.5812591508052698,,2.0124687440360445,2.5701623204274155
2012-06-30,1.1751051791672573,,1.7301335948485042,1.9476581162419202
2012-09-30,1.9469281799826765,,2.1382290850531893,3.976153631304742
2012-12-31,2.2065186039803786,,1.9889600486126868,1.0891008206738995
2013-03-31,2.493513980974349,,2.1754903151346427,2.765955122788613
2013-06-30,2.351591626039573,,2.292704868722084,2.39673740088205
2013-09-30,2.2068185033243815,,2.2950574389070555,4.096524246221964
2013-12-31,2.6809651474530627,,2.7334306512027062,2.716749259209215
2014-03-31,2.9391084235691256,,2.718632264643306,2.5530064109873316
2014-06-30,3.0680862986830926,,2.919921237366996,2.91591717609623
2014-09-30,2.256055363321785,,2.5335537077125547,2.1811448561789617
2014-12-31,1.7177408272639916,,2.367919823329001,2.124233023472429
2015-03-31,1.3114754098360493,,2.465154227342348,3.339009985107773
2015-06-30,1.5223596574690745,,2.2672592257081847,1.9206636206575056
2015-09-30,1.4889009204114956,,2.2821802041973926,2.5422803475658378
2015-12-31,1.6887327749256942,,2.308571608303956,2.870015081887042
2016-03-31,1.2944983818770295,,1.9450220887996528,1.0528949371641994
2016-06-30,1.0175391618690632,,1.8567067735792089,1.5622162798865737
2016-09-30,1.3336889837289867,,1.7675263684866491,2.020632735574745
2016-12-31,1.4746911119968065,,1.4240498572081206,1.126498601549627
2017-03-31,2.1432374866879655,,1.5454472373938044,1.31562678811191
2017-06-30,1.8952948972829509,,1.565846882083788,1.586489891769917
2017-09-30,1.8031060805475008,,1.7303911459898735,2.906399469062716
2017-12-31,1.9507724535218873,,1.582998811204939,1.0079735991943977
2018-03-31,1.9288413918936431,,1.6928781699527828,1.6002847011904788
2018-06-30,2.09417273673258,,1.6392534452053686,1.4455848647624672
2018-09-30,1.913380736910164,,1.3427844333922856,1.5809328171191959
2018-12-31,1.7593424939000846,,1.6586678812800848,2.34289573724221
2019-03-31,1.3041810510165064,,1.3028140632217466,0.5693524008206134
2019-06-30,1.5415976557523248,,1.5116219610890047,2.1603701029243267
2019-09-30,1.674489407585944,,1.9530490763601136,2.9121349902101406
2019-12-31,1.842503785966687,,1.7243283398634013,1.812236569871983
2020-03-31,2.2340022718667196,,2.0664985784557333,1.2401654717639343
2020-06-30,-0.32622333751568533,,0.0060226346521918,-5.827721999582109
2020-09-30,0.6487835308796042,,0.8778230435301682,8.271872277714174
2020-12-31,0.867410161090465,,1.886903005388896,5.413265686743246
2021-03-31,1.0740740740740717,,1.856751724338612,1.3612680873469292
2021-06-30,3.81419939577039,,3.889290253239031,1.9747862603183228
2021-09-30,3.099045493987851,,2.9037258179522407,3.1173386137389976
2021-12-31,3.4766584766584785,,2.7038545820145643,5.094394941596812
2022-03-31,5.105655307194312,,4.011374837848991,6.870923802332391
2022-06-30,6.208318176306538,,5.320778576779395,7.021099653247627
2022-09-30,7.25021041240832,,6.436289015138619,6.5429045395413645
2022-12-31,7.859432506232933,,7.152301223938973,8.458308635596083
2023-03-31,7.007553747821027,,6.600526619102398,5.219244084714033
2023-06-30,6.02808539787647,,5.762013764995588,3.2544076755620965
2023-09-30,5.313901345291483,,4.947972940771583,3.8026433997891305
2023-12-31,4.0506329113924044,,3.7645078499704665,2.7242298186242033
2024-03-31,3.6164205039096453,,3.716758226641193,4.837976322807188
2024-06-30,3.811779907397428,,3.7353009704035545,3.9765505192892654
2024-09-30,2.852884820097934,,3.665460752294547,3.4445902901779037
2024-12-31,2.4119327197714924,,3.6244348081277966,2.28273427201876
2025-03-31,2.400167697306377,,2.929415764326171,1.9736130163907386
2025-06-30,2.0952183383466494,,2.6707032095208083,3.0255632656900766
2025-09-30,3.2187952804802356,,2.8272699366262533,4.820451129055086
2025-12-31,3.625658506352636,,3.1381528579317086,3.6631254341577537
