Date,lower_16.67pct,MCT_median,upper_83.33pct
2005-09-30,1.147607095987067,1.858450442455947,2.5427811194814045
2005-12-31,0.7461964135024504,1.337029491114568,1.918295529413968
2006-03-31,1.756374433562187,2.344354900450251,2.9824588862572368
2006-06-30,1.8610481818858788,2.364598969489756,2.8598805853696456
2006-09-30,2.155073494246305,2.6255978701047553,3.1062616907639944
2006-12-31,1.4491086470551326,1.9094071260481429,2.3601135652203435
2007-03-31,1.9774233429175292,2.433927030069474,2.8849490839443304
2007-06-30,2.3864149633876375,2.80220929488694,3.222666862049766
2007-09-30,2.675887997190993,3.1267968614241717,3.59934553337178
2007-12-31,2.6421121958876554,3.0653152462314077,3.4892305324832282
2008-03-31,2.982696963588896,3.4537153747914715,3.913565533949611
2008-06-30,2.9512063311273833,3.384234496074625,3.831156211861064
2008-09-30,3.434102607425113,3.915455769014926,4.4501284539234405
2008-12-31,2.0034703466353054,2.6006463431641524,3.1867028035193194
2009-03-31,2.02796781720956,2.605989860423985,3.183994834336592
2009-06-30,2.5538983199864944,3.0168540806000905,3.5152421379042695
2009-09-30,3.254790079412632,3.824450291347,4.355311511336972
2009-12-31,2.2048052504632087,2.673478320274053,3.1334471277051508
2010-03-31,1.9380285806264879,2.5114787695539627,3.0017533479462077
2010-06-30,1.6104239905527322,2.10119876984143,2.544506607905666
2010-09-30,2.61030398012889,3.0519156223433876,3.491380061204648
2010-12-31,1.2852886592236838,1.7812421171996358,2.232798513556786
2011-03-31,1.7863089823158436,2.275265608832218,2.7301701351472323
2011-06-30,1.6633764479934938,2.100774887446491,2.551836696718322
2011-09-30,2.042511660892105,2.4293338872338737,2.855385617928824
2011-12-31,1.4048607770350117,1.8065644307705928,2.204695861914457
2012-03-31,1.4613801376231197,1.908529590009969,2.3291778507006766
2012-06-30,1.5159959549028794,1.9834184271370825,2.4703730929732783
2012-09-30,2.225385036964969,2.6591894755121634,3.1228986250807282
2012-12-31,1.4356194523106345,1.8809011087689673,2.2869399510619948
2013-03-31,1.8742611256759385,2.310203330426279,2.7516287285728263
2013-06-30,1.7406673552408818,2.1372360070053995,2.5406053147127907
2013-09-30,2.4994014089929757,2.922528781679161,3.3910452091403807
2013-12-31,1.9913265981210284,2.3860739378421174,2.782822991878561
2014-03-31,1.6729616670085456,2.134682394535024,2.573062816275878
2014-06-30,1.9766806634484968,2.3590073405507885,2.7572232991263395
2014-09-30,2.222700896614076,2.6097560601751084,2.9912601885069137
2014-12-31,1.7929998777716998,2.197827037687672,2.57998741700792
2015-03-31,2.0510498563200747,2.451681955538631,2.8723858650301417
2015-06-30,1.908583963175154,2.32568985792161,2.716810703240529
2015-09-30,2.1905843374222256,2.575895392318291,2.9586461383990326
2015-12-31,1.582286788568254,1.9622301172466476,2.382379888493649
2016-03-31,1.2653444402263707,1.6821351665837732,2.0913145050151467
2016-06-30,1.3349476977982873,1.744972777526233,2.142073180852969
2016-09-30,1.5847569987006782,1.9635477132103394,2.3220642908951166
2016-12-31,1.1111172558728,1.5281996838142318,1.9054112030259633
2017-03-31,1.2072249273848055,1.6485230199021061,2.0547323488133484
2017-06-30,1.1200304021353353,1.517895013105276,1.879040573497829
2017-09-30,1.7214493790051186,2.132432627892931,2.53761417469658
2017-12-31,1.052355386602866,1.4653507830032422,1.8814818924365952
2018-03-31,1.2080392094536982,1.600806509102216,2.014034140182982
2018-06-30,1.04937506483943,1.4207259958819871,1.7762238123908256
2018-09-30,1.108762625437353,1.4920168885543619,1.8855199965027127
2018-12-31,1.0989821438318765,1.4732333052212718,1.8728367397107273
2019-03-31,0.9290689467713169,1.3610105695537666,1.8211285512151
2019-06-30,1.1377222013764785,1.515287504865851,1.914088703841784
2019-09-30,1.3792182037674108,1.755231015111849,2.1731700637538074
2019-12-31,1.3373932842702665,1.7368804583396127,2.122798228737012
2020-03-31,1.1675015151264492,1.5884783500140347,2.010207924671186
2020-06-30,-0.2257327114893403,0.3961312831341268,0.951947126842944
2020-09-30,0.9164034143851738,1.342086051282156,1.7367602955219765
2020-12-31,1.5706207283650235,2.0004004112394504,2.4531399906449125
2021-03-31,1.3992775365334564,1.82701139073604,2.290707797970764
2021-06-30,1.6079729015333935,2.0707110426561917,2.6045259427212897
2021-09-30,3.1376034864435285,3.6698364363174987,4.226104839023708
2021-12-31,3.964951300385485,4.4794201731066146,4.991053835070089
2022-03-31,4.643692418587158,5.234160800028247,5.823818734854887
2022-06-30,5.240715825846243,5.788742901118278,6.322835651925823
2022-09-30,5.281007976063124,5.778015503333233,6.2885189956871415
2022-12-31,4.253460260132799,4.771422128928737,5.388539116226397
2023-03-31,4.100716267588198,4.573187875744143,5.063506338824289
2023-06-30,4.033419918298053,4.503500362446867,5.006930480182669
2023-09-30,4.031935359503237,4.498284892553816,4.968257011346111
2023-12-31,3.211881901301222,3.6901525214434674,4.158633912915445
2024-03-31,3.6144629107758695,4.074207814941584,4.521780672530417
2024-06-30,3.495502729413564,3.8901578878986536,4.293342682850241
2024-09-30,3.1915111662328215,3.6328381190525265,4.051062686787081
2024-12-31,2.1201780127153316,2.6052829121020094,3.0710362982853514
2025-03-31,2.161027613529635,2.6482078936668008,3.10979555309776
2025-06-30,2.6281122118257203,3.0146161291077647,3.423411153719113
2025-09-30,3.3913796422847913,3.8492726688691397,4.288098259972796
2025-12-31,3.253340320125997,3.661298631349651,4.058260941717737
2026-03-31,3.1613628099219397,3.580851170435677,4.029984471660525
2026-06-30,2.9499903296037187,3.360618921457859,3.747827492912064
