Division,Item,Published weight per 1000,Basket share,Within-division share
11 음식 및 숙박,커피(외식),8.8,0.0088,0.060815480304077414
11 음식 및 숙박,기타음료(외식),0.5,0.0005,0.0034554250172771253
11 음식 및 숙박,소주(외식),2.5,0.0025,0.017277125086385625
11 음식 및 숙박,맥주(외식),4.8,0.0048,0.0331720801658604
11 음식 및 숙박,막걸리(외식),0.3,0.0003,0.002073255010366275
11 음식 및 숙박,구내식당식사비,11.9,0.0119,0.08223911541119558
11 음식 및 숙박,도시락,0.6,0.0006,0.00414651002073255
11 음식 및 숙박,호텔숙박료,2.1,0.0021000000000000003,0.014512785072563927
11 음식 및 숙박,여관숙박료,1.5,0.0015,0.010366275051831375
11 음식 및 숙박,콘도이용료,0.8,0.0008,0.005528680027643401
11 음식 및 숙박,학교기숙사비,0.9,0.0009,0.006219765031098826
11 음식 및 숙박,휴양시설이용료,1.4,0.0014,0.009675190048375951
12 기타 상품 및 서비스,목욕료,0.6,0.0006,0.011385199240986717
12 기타 상품 및 서비스,찜질방이용료,0.6,0.0006,0.011385199240986717
12 기타 상품 및 서비스,이발료,0.3,0.0003,0.0056925996204933585
12 기타 상품 및 서비스,미용료,7.3,0.0073,0.13851992409867173
12 기타 상품 및 서비스,뷰티미용료,2.2,0.0022,0.04174573055028463
12 기타 상품 및 서비스,면도기,0.4,0.0004,0.007590132827324478
12 기타 상품 및 서비스,헤어드라이어,0.7,0.0007,0.013282732447817835
12 기타 상품 및 서비스,칫솔,0.4,0.0004,0.007590132827324478
12 기타 상품 및 서비스,치약,0.5,0.0005,0.009487666034155597
12 기타 상품 및 서비스,비누,0.3,0.0003,0.0056925996204933585
12 기타 상품 및 서비스,샴푸,1.0,0.001,0.018975332068311195
12 기타 상품 및 서비스,바디워시,0.5,0.0005,0.009487666034155597
12 기타 상품 및 서비스,화장지,1.3,0.0013,0.024667931688804552
12 기타 상품 및 서비스,기초화장품,4.5,0.0045,0.08538899430740038
12 기타 상품 및 서비스,기능성화장품,3.7,0.0037,0.07020872865275142
12 기타 상품 및 서비스,색조화장품,0.7,0.0007,0.013282732447817835
12 기타 상품 및 서비스,모발염색약,0.7,0.0007,0.013282732447817835
12 기타 상품 및 서비스,구강세정제,0.2,0.0002,0.003795066413662239
12 기타 상품 및 서비스,손목시계,0.6,0.0006,0.011385199240986717
12 기타 상품 및 서비스,장신구,1.0,0.001,0.018975332068311195
12 기타 상품 및 서비스,가방,2.7,0.0027,0.051233396584440226
12 기타 상품 및 서비스,핸드백,1.4,0.0014,0.02656546489563567
12 기타 상품 및 서비스,우산,0.2,0.0002,0.003795066413662239
12 기타 상품 및 서비스,유모차,0.2,0.0002,0.003795066413662239
12 기타 상품 및 서비스,선글라스,0.4,0.0004,0.007590132827324478
12 기타 상품 및 서비스,지갑,0.5,0.0005,0.009487666034155597
12 기타 상품 및 서비스,산후조리원이용료,0.7,0.0007,0.013282732447817835
12 기타 상품 및 서비스,보육시설이용료,0.7,0.0007,0.013282732447817835
12 기타 상품 및 서비스,요양시설이용료,0.9,0.0009,0.017077798861480076
12 기타 상품 및 서비스,보험서비스료,8.6,0.0086,0.16318785578747627
12 기타 상품 및 서비스,자동차보험료,3.7,0.0037,0.07020872865275142
12 기타 상품 및 서비스,금융수수료,0.2,0.0002,0.003795066413662239
12 기타 상품 및 서비스,부동산중개수수료,0.8,0.0008,0.015180265654648957
12 기타 상품 및 서비스,행정수수료,1.1,0.0011,0.020872865275142316
12 기타 상품 및 서비스,대입전형료,0.1,0.0001,0.0018975332068311196
12 기타 상품 및 서비스,시험응시료,0.4,0.0004,0.007590132827324478
12 기타 상품 및 서비스,장례비,2.6,0.0026,0.049335863377609104
