iteration,date,log_likelihood_contribution
0,1995Q1,-0.8734347801324622
0,1995Q2,-0.17043220901641687
0,1995Q3,1.6954693295430636
0,1995Q4,0.6481235233691791
0,1996Q1,-2.8719099496683
0,1996Q2,-0.9676829722370726
0,1996Q3,-1.7445749116981513
0,1996Q4,-2.7967007325014706
0,1997Q1,-1.0491531189443144
0,1997Q2,-2.168603598812676
0,1997Q3,0.22491019089366215
0,1997Q4,0.2512176251625029
0,1998Q1,-2.2820847310702588
0,1998Q2,-3.747545576971474
0,1998Q3,-1.7515264729924227
0,1998Q4,-1.6089280339908698
0,1999Q1,-1.9691690862071765
0,1999Q2,0.060740061781461074
0,1999Q3,0.1697130174698025
0,1999Q4,0.3387461451797942
0,2000Q1,-1.6745183037043003
0,2000Q2,1.2042259828603084
0,2000Q3,0.5820474091748111
0,2000Q4,0.0848094564571733
0,2001Q1,-0.8617312182271402
0,2001Q2,-2.0489195696139246
0,2001Q3,-3.925147374443413
0,2001Q4,-5.336620629038719
0,2002Q1,-2.0904542549809966
0,2002Q2,-1.832698224545939
0,2002Q3,-0.9152637558993932
0,2002Q4,-0.3378219609631774
0,2003Q1,-1.331335662634367
0,2003Q2,-0.2651213940806487
0,2003Q3,-2.55935260408829
0,2003Q4,-0.6349091477542412
0,2004Q1,-0.13997047056291523
0,2004Q2,-0.08299907509666804
0,2004Q3,1.1879651554341035
0,2004Q4,-1.6130940265321092
0,2005Q1,0.08187594656161012
0,2005Q2,0.49774493394380404
0,2005Q3,-1.1665611360976045
0,2005Q4,0.40132240297982924
0,2006Q1,-0.675421950650712
0,2006Q2,-1.4936936091081954
0,2006Q3,0.1259854857972258
0,2006Q4,-0.8534645661711795
0,2007Q1,-0.8766902907033431
0,2007Q2,-1.4535984482170314
0,2007Q3,0.3059446471367675
0,2007Q4,1.7915101704749192
0,2008Q1,1.6785751218166653
0,2008Q2,1.4612820458124003
0,2008Q3,-1.8538762438563934
0,2008Q4,-10.12823892008831
0,2009Q1,-24.888528613627958
0,2009Q2,-15.551715782699064
0,2009Q3,-10.25481632246421
0,2009Q4,-5.681656218841649
0,2010Q1,-1.3644341312550101
0,2010Q2,-10.84384596986504
0,2010Q3,-3.49984819645894
