iteration,log_likelihood,change_in_log_likelihood,beta1,beta2,beta3,beta4,eps1,eps2,eps3,eps4,eps5,eps6,eps7,g_star,gamma,lambda1,lambda2,lambda3,phi1,phi2,psi,rho1,rho2
0,-137.51531894004103,,0.8400235367652991,-0.021113674108915625,-0.5,-0.5546364853919914,0.006477224910711475,0.09231538417879785,0.3426063320673652,5.548545236122983,0.01130947341163598,0.00200347415242383,0.07289732649181299,0.0025323475067260404,0.005,8.937905068239166,0.0,-4.52227293029671,0.6571116593646907,-0.04735376808593485,0.013012108459479843,0.8584798625057086,-0.17440517138465195
1,-44.908289781864625,92.6070291581764,0.9061452981599787,0.07136944360361641,-0.3928570895005017,-0.35809200229301485,0.006279248539343336,0.08948970774574334,0.4851796786171471,6.909304733076862,0.014024490883753255,0.005003369294752009,0.13189029485496492,0.001842581423224114,0.0012260191326835912,11.725521607430728,-0.017026758557133873,-7.445061949189496,0.6920980545622933,-0.01529190207583666,-0.006226689546141462,0.8873019218842876,-0.1384539747652766
2,-19.588600544265304,25.31968923759932,0.9659761774920979,0.11772744776881618,-0.31018950820119073,-0.413900871609446,0.006285825318977554,0.08817844433611177,0.4419974776035466,6.384759134414125,0.013010414310225538,0.004109860211032306,0.1123959374639179,0.0018115377040065406,0.002333151388403284,10.916552812989327,-0.01230072851047572,-5.384859026159374,0.7158547204307483,0.006064592257100809,-0.0003610754258343596,0.8680909897692465,-0.15516529995581282
3,-8.521860089780558,11.066740454484746,0.9747148944051904,0.10771097881349276,-0.19851789987135313,-0.4839963186843376,0.006237665498265785,0.08412877249214784,0.3856412577789361,5.652484877155869,0.011667734161544246,0.003004040602457078,0.08757694345221641,0.0015048160075850168,0.0037091632665859275,9.884002383191042,-0.0063653099825448055,-3.617524264301404,0.7797808536765534,0.056611436669932305,0.006970030611872753,0.9038557125375598,-0.1266431537986375
4,1.5077619734942012,10.02962206327476,0.9208841719164037,0.0477693615998252,-0.12199632978270658,-0.4748040442805905,0.006124709744817218,0.07980903412418339,0.3861029711363802,5.552981832438028,0.011417313887726124,0.0030822075765094916,0.08988000189157042,0.0016316201377068584,0.003567377268855482,9.928980200137334,-0.007404780768366431,-4.719592645508781,0.806379619806736,0.06267545623153194,0.006390923361883392,0.9343297257301042,-0.11447102687515641
5,6.525290332342051,5.01752835884785,0.8669771202188746,-0.016105859744238712,-0.016021125437048797,-0.46985457694884464,0.006006089488839371,0.07365489993337229,0.37833791412823187,5.4015150921446695,0.010984312271426835,0.0030725986279247336,0.09027252509264377,0.0016826667363337739,0.0035466793043069556,9.865929272213418,-0.008192292967612544,-5.22185154268667,0.8267618061152278,0.052769992189997963,0.006460534971333835,0.9416090327256482,-0.12981757669231087
6,10.13354430302214,3.6082539706800887,0.8390659812274636,-0.06371898047484685,0.08280264698776951,-0.45188079874773074,0.005937714377718738,0.06597701368638131,0.3705945375870074,5.392433745166464,0.010649057703904365,0.0032138776589917136,0.09459811343852577,0.0017503833286902316,0.0033647204634310547,9.910848766000482,-0.01009296229441385,-5.388097090202308,0.8245027237735515,0.005843126267221652,0.005674856137826988,0.9405260723278396,-0.1554578336679447
7,12.624377505099073,2.4908332020769333,0.8478408250286593,-0.09938393137294854,0.14154948809487075,-0.4342702595194438,0.005949693992669718,0.05658374416460488,0.35589796857817635,5.394905972227342,0.010211461034430212,0.003291072410864567,0.09784786946974827,0.0016838142911966795,0.0033116636595722664,9.87247993669364,-0.011850377744200221,-5.062761369470431,0.8369800885480997,-0.045673092155559016,0.005567606336174429,0.969175510100127,-0.15508528835891744
8,16.187733535216836,3.563356030117763,0.9089062333012885,-0.14193246072804017,0.14392609296834402,-0.3889710423896584,0.0060704067412164055,0.039967052353013593,0.34097599887211943,5.499219953062759,0.009784891285498195,0.003635152265608712,0.10756281602939498,0.0016798058868474008,0.003050431249445532,9.975111843747941,-0.015923445293473462,-4.6895307681543965,0.8875378988159952,-0.1288677119440539,0.004474649727864713,0.994591097686475,-0.19168838153192497
9,18.916312516123902,2.7285789809070664,0.9815333345508155,-0.18605040370332568,0.11767164964746145,-0.34619886283220463,0.006214355841848014,0.022256407077140845,0.323760656530057,5.517172326844665,0.009276744113155874,0.003896172337240871,0.11451997986459145,0.0016544122545830778,0.0029199331731532595,9.99035134897154,-0.019639925186930918,-4.581814143574431,0.9625487970951356,-0.20534797210276157,0.00408522789421787,1.0431617511095355,-0.2203718199059755
10,21.199282034109437,2.282969517985535,1.031610905443176,-0.22202745725513753,0.06387688043607517,-0.27692576305430777,0.006396813995486354,0.0003619790993917044,0.3332178923202235,5.4158530791112645,0.008652966843905284,0.0042763437520971,0.11668733653744004,0.0016000919112650397,0.002634104095399118,10.061690110816956,-0.02497917513429561,-4.472975841910925,1.0629205746355317,-0.32106505470460933,0.002810091502240938,1.1170339722836462,-0.27758539885049
11,22.24360035517185,1.0443183210624127,1.0492747682908394,-0.22489353720371225,0.0648148695109162,-0.2535343393217368,0.006447087801962033,1e-05,0.33422367600750397,5.242959299422618,0.008231202241004584,0.004283330140498113,0.11310462693592438,0.0016951439094717896,0.0026604136678033585,9.96548881177609,-0.02651716274126656,-4.721863263046543,1.1251492807614756,-0.35660415703889375,0.0030526639540315774,1.1550171591367815,-0.30833050592581973
12,22.590257232305497,0.3466568771336469,1.045067140267334,-0.2240837744257748,0.0708743279651868,-0.23565734524726278,0.006473831571886552,1e-05,0.3395881111378138,5.16034757775229,0.00799434583728113,0.004307656441609976,0.110996336266993,0.0017214245414238015,0.0026236283897958573,9.934581810127172,-0.027611986539348897,-4.659581153298296,1.1582203456259768,-0.38156198856640755,0.002912443626033827,1.1726094541069454,-0.33124474859305497
13,22.921502966643004,0.33124573433750726,1.0360061997900742,-0.21689499805288723,0.07913966568939654,-0.20474437921240135,0.0065228697215995056,1e-05,0.3465428367048306,5.166364424380835,0.007756692397042206,0.004376943795444992,0.11090360266184103,0.0017085084843378243,0.002493072876452327,9.945481855273098,-0.029441754519097012,-4.391830558723882,1.20377872044429,-0.41528295310910285,0.0023533093096060006,1.2001406801456989,-0.3546209712665151
14,23.1675864838624,0.2460835172193967,1.0262572584792782,-0.21631522624394203,0.08250985700170249,-0.1710463914249643,0.00657893863013185,1e-05,0.34681470425429134,5.175686672464361,0.007456219290107876,0.004405512186784415,0.11111488435202602,0.0016904525034494708,0.0023914316934268796,9.926605274597893,-0.03134607615649143,-4.187564726430725,1.2511768819093305,-0.45845183068744666,0.002042199791273456,1.2257662411229795,-0.38554623979997926
15,23.361974034577813,0.1943875507154118,1.0217985474460038,-0.21088638455778624,0.07743096824357687,-0.13553715585322718,0.0066504483989283086,1e-05,0.34297447319766866,5.21375483784488,0.007185977594862705,0.004386133700177104,0.11198322018808259,0.001668611328012043,0.002315942907688446,9.891173710979405,-0.03314608593509915,-3.9312325744671153,1.2982636244831127,-0.5015551444995826,0.001974153567852531,1.25367772888582,-0.41017695585195524
16,23.425139981082232,0.06316594650441942,1.0123662582908513,-0.20477312493319685,0.07814662859171505,-0.10907468830951161,0.0067031271485464596,1e-05,0.3378486605587359,5.265873722348903,0.007089328432132279,0.0043145323768323425,0.11369223643169742,0.001636777140402198,0.0022677238268906416,9.86292797081047,-0.0341701341417254,-4.018050528415489,1.3212149682295573,-0.5261807573732235,0.002111992617761839,1.2660693311119038,-0.4224410286646473
17,23.49907780438005,0.07393782329781828,1.0152946290836058,-0.1996196451370298,0.06913463301875727,-0.11103641280974244,0.00670344753827736,1e-05,0.33696205158093673,5.272258171228538,0.007168113600153723,0.004278088838459036,0.11379741081314075,0.0016481187995600597,0.002289057661800266,9.862776823740555,-0.03384694072684417,-3.936682000393042,1.314289644174325,-0.5178153694354838,0.0022911939522549675,1.2593636778281903,-0.4166263689764577
