series_code,name_en,name_ja,serial_number,weight_per_10000,weight_raw,first_period,last_period,observations,missing_periods,source_file_id,base_year
0001,All items,総合,001,10000,3543757090,197101,202608,668,12,000040482953,2025
0161,"All items, less fresh food",生鮮食品を除く総合,740,9621,3409504328,197101,202608,668,12,000040482953,2025
0163,"All items, less imputed rent",持家の帰属家賃を除く総合,742,8366,2964685470,197001,202608,680,0,000040482953,2025
0166,"All items, less imputed rent & fresh food",持家の帰属家賃及び生鮮食品を除く総合,745,7987,2830432708,197101,202608,668,12,000040482953,2025
0178,"All items, less fresh food and energy",生鮮食品及びエネルギーを除く総合,747,8872,3144158123,197101,202608,668,12,000040482953,2025
0168,"All items, less food (less alcoholic beverages) and energy",食料（酒類を除く）及びエネルギーを除く総合,748,6609,2341950403,197101,202608,668,12,000040482953,2025
0002,Food,食料,002,2754,975803165,197101,202608,668,12,000040482953,2025
0157,Fresh food,生鮮食品,736,379,134252762,197101,202608,668,12,000040482953,2025
0172,"Food, less fresh food",生鮮食品を除く食料,741,2375,841550403,197101,202608,668,12,000040482953,2025
0003,Cereals,穀類,003,252,89417743,197101,202608,668,12,000040482953,2025
0008,Fish & seafood,魚介類,021,179,63331028,197101,202608,668,12,000040482953,2025
0158,Fresh fish & seafood (reentry),生鮮魚介（再掲）,737,97,34438066,197101,202608,668,12,000040482953,2025
0013,Meats,肉類,055,242,85873687,197101,202608,668,12,000040482953,2025
0016,Dairy products & eggs,乳卵類,067,131,46467605,197101,202608,668,12,000040482953,2025
0021,Vegetables & seaweeds,野菜・海藻,079,276,97870815,197101,202608,668,12,000040482953,2025
0159,Fresh vegetables (reentry),生鮮野菜（再掲）,738,185,65627165,197101,202608,668,12,000040482953,2025
0027,Fruits,果物,128,106,37528886,197101,202608,668,12,000040482953,2025
0160,Fresh fruits (reentry),生鮮果物（再掲）,739,96,34187531,197101,202608,668,12,000040482953,2025
0030,"Oils, fats & seasonings",油脂・調味料,148,120,42480425,197101,202608,668,12,000040482953,2025
0033,Cakes & candies,菓子類,172,267,94788055,197101,202608,668,12,000040482953,2025
0034,Cooked food,調理食品,191,391,138511440,197101,202608,668,12,000040482953,2025
0037,Beverages,飲料,226,170,60169161,197101,202608,668,12,000040482953,2025
0041,Alcoholic beverages,酒類,249,111,39342683,197101,202608,668,12,000040482953,2025
0042,Meals outside the home,外食,258,508,180021637,197101,202608,668,12,000040482953,2025
0045,Housing,住居,286,2182,773321148,197101,202608,668,12,000040482953,2025
0164,"Housing, less imputed rent",持家の帰属家賃を除く住居,743,548,194249528,197101,202608,668,12,000040482953,2025
0046,Rent,家賃,287,1861,659437087,197101,202608,668,12,000040482953,2025
0165,"Rent, less imputed rent",持家の帰属家賃を除く家賃,744,227,80365467,197101,202608,668,12,000040482953,2025
0051,Repairs & maintenance,設備修繕・維持,295,321,113884061,197101,202608,668,12,000040482953,2025
0054,"Fuel, light & water charges",光熱・水道,315,698,247346867,197101,202608,668,12,000040482953,2025
0056,Electricity,電気代,316,376,133318023,197101,202608,668,12,000040482953,2025
0057,Gas,ガス代,318,139,49084785,197101,202608,668,12,000040482953,2025
0058,Other fuel & light,他の光熱,321,39,13761542,197101,202608,668,12,000040482953,2025
0059,Water & sewerage charges,上下水道料,323,144,51182517,198601,202608,488,192,000040482953,2025
0060,Furniture & household utensils,家具・家事用品,326,372,131897186,197101,202608,668,12,000040482953,2025
0061,Household durable goods,家庭用耐久財,327,125,44403921,197101,202608,668,12,000040482953,2025
0066,Interior furnishings,室内装備品,344,17,5998863,197101,202608,668,12,000040482953,2025
0070,Bedding,寝具類,349,23,8214562,197101,202608,668,12,000040482953,2025
0073,Domestic utensils,家事雑貨,355,70,24963736,197101,202608,668,12,000040482953,2025
0077,Domestic non-durable goods,家事用消耗品,370,110,38822448,197101,202608,668,12,000040482953,2025
0081,Domestic services,家事サービス,385,27,9493656,197101,202608,668,12,000040482953,2025
0082,Clothes & footwear,被服及び履物,393,299,105807048,197101,202608,668,12,000040482953,2025
0083,Clothes,衣料,394,121,42767080,197101,202608,668,12,000040482953,2025
0084,Japanese clothing,和服,395,3,1089323,197101,202608,668,12,000040482953,2025
0085,Clothing,洋服,397,118,41677757,197101,202608,668,12,000040482953,2025
0089,"Shirts, sweaters & underwear",シャツ・セーター・下着類,427,93,32904173,197101,202608,668,12,000040482953,2025
0090,Shirts & sweaters,シャツ・セーター類,428,63,22334968,197101,202608,668,12,000040482953,2025
0094,Underwear,下着類,444,30,10569205,197101,202608,668,12,000040482953,2025
0098,Footwear,履物類,455,45,15793408,197101,202608,668,12,000040482953,2025
0103,Other clothing,他の被服,462,24,8627972,197101,202608,668,12,000040482953,2025
0106,Services related to clothing,被服関連サービス,468,16,5714415,197101,202608,668,12,000040482953,2025
0107,Medical care,保健医療,473,466,165090296,197101,202608,668,12,000040482953,2025
0108,Medicines & health fortification,医薬品・健康保持用摂取品,474,117,41625151,197101,202608,668,12,000040482953,2025
0109,Medical supplies & appliances,保健医療用品・器具,488,86,30404943,197101,202608,668,12,000040482953,2025
0110,Medical services,保健医療サービス,501,263,93060202,197101,202608,668,12,000040482953,2025
0111,Transportation & communication,交通・通信,506,1444,511544532,197101,202608,668,12,000040482953,2025
0112,Public transportation,交通,507,177,62835244,197101,202608,668,12,000040482953,2025
0113,Private transportation,自動車等関係費,526,928,328857072,197101,202608,668,12,000040482953,2025
0117,Communication,通信,554,338,119852216,197101,202608,668,12,000040482953,2025
0118,Education,教育,561,311,110104238,197101,202608,668,12,000040482953,2025
0119,School fees,授業料等,562,225,79573626,197101,202608,668,12,000040482953,2025
0120,School textbooks & reference books for study,教科書・学習参考教材,572,6,2099663,197101,202608,668,12,000040482953,2025
0121,Tutorial fees,補習教育,575,80,28430949,197701,202608,596,84,000040482953,2025
0122,Culture & recreation,教養娯楽,580,906,320898162,197101,202608,668,12,000040482953,2025
0123,Recreational durable goods,教養娯楽用耐久財,581,72,25613499,197101,202608,668,12,000040482953,2025
0128,Recreational goods,教養娯楽用品,592,198,70186803,197101,202608,668,12,000040482953,2025
0134,Books & other reading materials,書籍・他の印刷物,627,85,30205061,197101,202608,668,12,000040482953,2025
0138,Recreational services,教養娯楽サービス,637,550,194892799,197101,202608,668,12,000040482953,2025
0145,Miscellaneous,諸雑費,675,570,201944448,197101,202608,668,12,000040482953,2025
0146,Personal care services,理美容サービス,676,111,39164099,197101,202608,668,12,000040482953,2025
0147,Toilet articles,理美容用品,683,157,55642785,197101,202608,668,12,000040482953,2025
0151,Personal effects,身の回り用品,712,58,20480111,197101,202608,668,12,000040482953,2025
0155,Tobacco,たばこ,724,38,13470674,197101,202608,668,12,000040482953,2025
0156,Other miscellaneous,他の諸雑費,727,207,73186779,197101,202608,668,12,000040482953,2025
0167,Energy,エネルギー,746,749,265346205,197101,202608,668,12,000040482953,2025
0162,Expenses for education,教育関係費,749,370,131247113,197601,202608,608,72,000040482953,2025
0173,Expenses for culture & recreation,教養娯楽関係費,750,988,350010046,198101,202608,548,132,000040482953,2025
