Date,Food and non-alcoholic beverages,Alcohol and tobacco,Clothing and footwear,Housing,"Furnishings, household equipment and services",Transport,Other goods and services
1972-12-31,1.6070239723197022,0.13521148698932736,0.20019949205670687,0.9531943217473633,0.17091767433001706,0.07281978931852853,1.1152672301177757
1973-03-31,3.0426123714222966,0.40379850558357766,0.2745538520939894,1.3678870953851927,0.3463462027693046,0.2791262595633387,3.2490166597407324
1973-06-30,3.6747580325344,0.5502717699824157,0.3684083845183474,2.180428142185824,0.5566884493470324,0.6035205635178824,4.743590098343345
1973-09-30,3.425599465446191,0.5283487004927246,0.4355825684603156,2.3123217460744647,0.7632102138769199,0.9491796312573857,4.996113987843529
1973-12-31,3.238661532359549,0.7109114005074355,0.4680746555250479,2.770892073219672,0.7811472267125212,1.0971989982741088,4.933402200128496
1974-03-31,2.9430613640531336,0.8462179941005445,0.4707268416052609,3.09291151388749,1.1036945219161598,1.496465536742403,5.006846011001143
1974-06-30,2.510695275019329,0.9332915277903102,0.5160764391367213,3.7349467910836536,1.3342707131373137,1.9528781961024786,4.833760120075127
1974-09-30,1.6038672514941394,0.9363617594224625,0.5279679604806659,3.723380699051643,1.5616676196142087,2.209071927771298,5.031350212791153
1974-12-31,1.2221694243751964,0.91467947083523,0.5631103912286441,3.9291997638654044,1.6548234825915547,2.2918762855371417,5.273356757237842
1975-03-31,1.2408184792036032,0.9858625650110897,0.5956017932587816,4.096552561483788,1.2931297462940123,2.0900620369454375,5.729617760342342
1975-06-30,1.6622989412517715,0.9756265185218935,0.5739721486501252,4.533399124655251,1.1984184756630203,1.9419405664871394,4.237064147855673
1975-09-30,1.635706209304057,1.1127270742757274,0.5053076467716187,3.8027808971801633,1.0314376285495825,1.791697467713469,2.0924329719214043
1975-12-31,2.0201350391104804,1.264282977834899,0.553483835993317,3.2803457886929426,1.0988485942982988,1.666931689487523,1.559807536415883
1976-03-31,2.4376047784308836,1.26746103426846,0.5724380885573509,3.300952767649041,1.0732935205152168,1.6820303299981085,1.076898899554645
1976-06-30,1.9983133484780198,1.1729103974044364,0.5547249781940543,3.3969535372722075,0.8382498661835942,1.2291871505161165,2.779490690327464
1976-09-30,2.217669028061662,0.8982472534394479,0.5683422896781845,3.009670033858006,0.8408890635180721,0.9549396443204178,3.977442485069444
1976-12-31,2.1364452096794797,0.6238332198037313,0.5589420839937441,2.5852471528921943,0.870972796194996,0.7848632052401514,5.222304204231233
1977-03-31,2.012904933506513,0.4243153797253071,0.4313724990638411,2.2475702127712536,0.8799299573693133,1.1038263705347557,6.242415880429128
1977-06-30,1.8688371612794246,0.3086726056030917,0.3387947745293681,2.2812199112404095,0.718859577610645,0.8897198690842107,4.760345468050357
1977-09-30,1.7912504299378447,0.2219814987610202,0.3036355524642193,1.9615117756576699,0.69872425976013,0.8109386478074888,4.068055259807256
1977-12-31,1.6191457864569223,0.3339455699418594,0.29899316903332296,2.086571948506819,0.6203840958086908,0.9452052551862825,3.8342484574476607
1978-03-31,1.616254276632243,0.30192929317309003,0.21681863811645458,1.4141784754995763,0.5315826059808377,0.8589975606495228,3.0328799312496635
1978-06-30,1.8704315759306884,0.34781370573429155,0.2497823743896701,1.4678296103847681,0.510521801008417,1.040510979966943,3.139628215923959
1978-09-30,1.9473927437530616,0.7051914091647526,0.22028163260663958,1.3543814633131266,0.43019813279455843,1.030290337540445,2.9323728331164007
1978-12-31,2.1560692318474253,0.7138059516613231,0.16546027724094367,1.0950321576321569,0.3484921034633899,0.983006793280025,1.9628206421101653
1979-03-31,2.1794531251423686,0.8125444897866021,0.1655953761386818,1.1411396634772073,0.4867115822380379,1.1905807441066643,1.5391201489279132
