Date,Food and non-alcoholic beverages,Alcohol and tobacco,Clothing and footwear,Housing,"Furnishings, household equipment and services",Transport,Other goods and services
1972-12-31,8.946620864581536,3.4865869881003784,7.022515184682191,5.662273091104104,2.9038269475586906,2.8743717298395897,6.841168544706519
1973-03-31,10.33721032202172,5.128289361545217,9.313955318837545,6.705568359268888,5.457021662805365,5.625489050053819,8.911406419111927
1973-06-30,11.56907482187708,7.0044095992494295,12.105546053233763,9.156296434157571,8.647064912683184,8.902595412092303,11.362650048096526
1973-09-30,12.112185061600988,7.76738050006517,13.294842951377467,10.47912759410713,10.12395795396856,10.623094208292867,12.433793769528993
1973-12-31,12.285123308894661,8.215045499391248,13.807496771688218,13.122310244784178,10.772208335960268,11.589494869330323,12.961691500051472
1974-03-31,12.32851515291504,8.582044970509987,14.322725024338016,13.571438110852114,11.741927076061103,12.551885659755445,13.400416325411024
1974-06-30,13.038301071222342,10.735314394763908,16.946481970392007,18.01426102644733,15.256383375066385,16.421336042330477,15.948442246837475
1974-09-30,13.470480526023206,12.14340936314879,18.644742336954117,19.947050181124766,17.828059940930444,19.317254431924628,17.738127537850403
1974-12-31,12.934506619451732,11.452877092583396,18.073305704537034,18.655708975966824,16.983945872619316,18.36644293731619,16.872574540732742
1975-03-31,12.573407440402423,10.929397048156929,17.106130617362098,17.07930316998437,15.777057862078927,17.18171047329641,15.969799417214308
1975-06-30,12.214204499546957,9.970870316464357,15.954699146661788,19.147678200313266,14.187986952371475,15.779970182074543,14.741693319246995
1975-09-30,11.959959673753165,9.199302429848988,15.121767443588073,17.939980871656005,12.964612703170182,14.628322634996458,13.767925186451086
1975-12-31,12.034178477929537,9.104582584949338,15.12487625697008,16.513386660081114,12.882314957329797,14.517897527197118,13.746863729373137
1976-03-31,11.512719542252091,7.671011644091805,13.924736929515419,14.463554423910782,10.699539331887973,11.963800787693916,11.890098343172914
1976-06-30,11.133500222614977,7.049886767200983,13.437690963448524,15.548941838758818,9.825968192424666,10.989203985488057,11.24089661809692
1976-09-30,10.953724262001352,6.273695989645562,12.771350034670625,13.22279447453417,8.722785188010587,9.801760053845655,10.412383108445045
1976-12-31,10.770622984314116,5.96033575572962,12.320633337713227,11.110156286789959,8.270049473720613,9.352974386337795,10.038016863710375
1977-03-31,10.74642845823782,5.997702039393012,11.78776725262297,10.20005143854139,8.666646640603672,9.595834067110179,10.04287775144854
1977-06-30,10.761896534558183,5.82505493530617,11.172395617448114,10.34890690197059,8.50262945954492,9.469204892040683,9.826503452052167
1977-09-30,10.538440125490704,5.482606581880906,10.34113497310985,8.937125572515175,7.814062595737495,8.832477254098254,9.27697191966451
1977-12-31,10.546082782066104,5.661348252624013,10.040682792120494,9.054510334182215,8.145584134867223,9.250289772178448,9.43240827178026
1978-03-31,10.022750685311426,4.792551510058432,8.615583137654323,6.534460451711702,6.661491301073284,7.832269922923088,8.393496474218253
1978-06-30,10.25966493713701,4.897102013403453,8.375944715652304,6.1442395960331755,6.973285641019011,8.148185236974815,8.492370420482175
1978-09-30,10.211389626632254,4.8183321812148545,7.77714929390733,6.415988325855568,6.657166183828014,8.002260164703216,8.199524793160288
1978-12-31,10.417770667100363,5.1027073221178885,7.486527446948055,7.350926601523179,7.039014664310894,8.561833094125852,8.407421441010875
1979-03-31,10.406382360627205,5.102598143043786,7.172884088434884,6.132467045252966,7.034425469341861,8.52916633285898,8.305762714844073
1979-06-30,10.641332497042773,5.663137603797882,7.517053848576752,6.316369885490358,7.79391274066877,9.357220157238984,8.783982555038197
1979-09-30,10.851983224619504,6.452980692351071,7.721201098339742,7.3923249621489635,9.019324802088143,10.483803360899616,9.411828907253259
1979-12-31,10.888151634680732,6.913785036685958,7.523508931171887,9.393240484322355,9.761903365187639,11.145432472661275,9.79924788980243
1980-03-31,10.696911051569124,7.083069155102912,7.34450473550603,8.358556169970564,9.853131977111621,10.837223952803633,9.59435247358038
1980-06-30,10.614309860923326,7.5351057816782685,7.7465361139389985,8.648014203053208,10.468514749679562,11.354220087793884,9.896123969571763
1980-09-30,10.278898334352297,7.551284640841551,7.365913214817013,10.82574033305751,10.340855888712493,10.978574162203145,9.546855931964782
1980-12-31,9.86639343323461,7.419018829329973,6.825298750747246,11.112322402756337,9.770952640826671,10.438416901150836,9.067270508400796
1981-03-31,9.73686187303676,7.804613898393257,6.977875306571102,10.095365867152537,10.010708967337143,10.681824853568093,9.226452607832371
1981-06-30,9.429994355800115,7.908039411161173,6.944064949173905,10.135300084119487,9.72966039371141,10.415915013848068,9.013816563704143
1981-09-30,9.398192527125275,8.3645722378293,6.843624447239602,11.032014174092046,10.096637811423896,10.724986303644819,9.219503376369223
1981-12-31,9.402324738965168,9.042403177718086,7.181383181557676,12.335792892610911,11.197740641947501,11.747945233288245,9.9598041166281
1982-03-31,9.251275300558323,9.199006932415523,6.980041152540412,11.262712362696389,11.050998697960239,11.61262934468351,9.907344570581342
1982-06-30,9.386248587740807,9.877405118218306,7.571964986180418,11.931925141462656,11.781088799089696,12.560332358782548,10.533689283317798
1982-09-30,9.675875571960333,10.503484251544869,8.006537773966873,11.77572048419483,12.363291085499394,13.405347506546361,11.215604450046177
1982-12-31,9.312970595423145,9.921588815446123,7.4331497443047665,11.279129739001261,11.332491204679581,12.282738676895537,10.525746200615934
1983-03-31,8.568356730201568,8.766563487682172,6.688232709897993,7.496232799987725,9.070193162559944,10.151526188371967,9.155312689760198
1983-06-30,8.180638225257264,8.313466653632194,6.524993338599012,4.991140225641278,7.7851182891837585,8.950577130067517,8.348004000983
1983-09-30,7.760844919323154,8.202354987501533,6.262325346695419,5.937152200637461,7.407293314897564,8.677192469184986,8.051953308624782
1983-12-31,7.5140108353320585,8.204460651577659,6.225154770994301,9.405452937752685,7.209467347914337,8.53147754867728,7.839885097735163
1984-03-31,6.979285335616881,7.479404443812655,5.854791953919587,7.697965154159636,5.62949672801426,7.0555350153324925,6.810597538586354
1984-06-30,6.650776634848063,7.301207074269323,6.007381857919446,7.801310001576232,5.022032757448718,6.539652545582632,6.46027750536938
1984-09-30,6.641346126258115,7.18566092260511,6.0015803913180825,7.451504828815819,4.833352864809377,6.348488429913005,6.3080034912123395
1984-12-31,6.699044757339591,7.37115550386609,6.227735040289176,6.80756966708914,5.079808253905129,6.701208993468773,6.513232625611863
1985-03-31,6.927673101346422,7.70961810521422,6.742268062780768,6.5807611751554465,5.795665199200384,7.488858672364197,7.006036596763558
1985-06-30,7.352549385485242,8.571179077272383,7.793361685205753,8.712545036532436,7.0935324571072265,8.933423694815987,8.013284466671708
1985-09-30,7.700112268341426,9.320633120584226,8.586568936357462,9.795018124624345,8.044670947263624,9.88914388206233,8.693452597982212
1985-12-31,7.8186850274415916,9.559161742428943,8.921456268786592,9.12533837032078,8.3239696899027,10.138252293622124,8.922339632729521
1986-03-31,7.846179818494747,9.66687410885378,9.17719005245986,7.543877981390585,8.16949888807147,10.198552234420166,9.033688562138256
1986-06-30,7.6798818314034065,9.458618991692195,9.22774137003111,6.809816802526912,7.713915847355953,9.833463939436875,8.833240451852804
1986-09-30,7.7616997599013295,9.79565893737356,9.450803395735214,7.093618263736726,8.134300482254574,10.496936224077318,9.193315525631853
1986-12-31,7.670699815217903,9.946520944152333,9.53176830728529,6.928716387562974,8.394079070234682,10.711402308666578,9.382482494185231
1987-03-31,7.30484614174841,9.403727963561007,8.897791865052294,7.502018391374294,7.606034186185365,9.74611484668631,8.69695241484138
1987-06-30,7.013222849912285,8.99898288289789,8.45925719312012,7.674239989821789,7.251913207226318,9.022630501602375,8.17566409564699
1987-09-30,6.8639929258171035,8.490078309948107,7.9500297431439355,6.956671095149606,6.785618787700817,8.303089437704728,7.659831839937631
1987-12-31,6.791497859333132,8.112232047054174,7.599935917745051,5.753607411959942,6.329775367201241,7.776887452816114,7.224801809602036
1988-03-31,6.751843666921545,7.769438149944698,7.204276103017117,5.844041067238451,5.845766877596109,7.0783209544991,6.750701820429081
1988-06-30,6.719357923197399,7.487069698278049,6.958137803289575,8.679019505414754,5.444680589235094,6.526864971898825,6.270472975234667
1988-09-30,6.5926427621029635,7.303641973632375,6.5322744715212036,18.449002578748193,5.2958230381389075,6.318823478498903,5.944089787737554
1988-12-31,6.308571390899407,7.093090927208495,6.049474572786724,17.53656668238208,4.862028506432155,5.878222860350921,5.602673722092067
1989-03-31,6.1338314544197186,7.240547092925613,5.760084666812683,4.970087795278793,4.681270184779828,5.801150673001649,5.479225074611816
1989-06-30,6.201270445177032,7.721297076740324,5.761220269629208,15.34642924708777,5.13697363333612,6.4187191360167155,5.672439851768965
1989-09-30,6.116507090024478,8.053007978935865,5.553449564576892,25.46974816020603,5.659602031543732,6.9849543741742295,5.95596874793927
1989-12-31,5.823584357467014,8.169605449935624,5.341393631240814,15.391440726569886,5.74508002104383,7.051108736896014,6.0423881214627215
1990-03-31,5.523815482254843,8.216375341218942,5.1469977290967375,7.73398675839743,5.7183469061226315,7.032580571728153,6.050148796945292
1990-06-30,5.304634725762212,8.0803903083021,4.851710293426156,6.143542490230435,5.379651074458179,6.578616864855572,5.773543217216801
