Date,headline_yoy,official_core_yoy,model_headline_input
1972-12-31,,,4.245866326468515
1973-03-31,,,8.635865977237977
1973-06-30,,,14.487794706994057
1973-09-30,10.143042912873867,,14.044131164899973
1973-12-31,12.998712998713003,,15.524085256236729
1974-03-31,13.61916771752838,,10.944694355217
1974-06-30,14.512195121951233,,18.048287141446004
1974-09-30,16.4108618654073,,21.811254602627486
1974-12-31,16.287015945330307,,15.327748683133585
1975-03-31,17.536071032186463,,15.953216547101036
1975-06-30,16.9329073482428,,15.645723536695435
1975-09-30,12.170385395537542,,3.8423989289470075
1975-12-31,14.397649363369226,,25.622067032234376
1976-03-31,13.125590179414548,,10.819987408253967
1976-06-30,11.930783242258647,,10.923391831372372
1976-09-30,13.924050632911378,,10.537462340638045
1976-12-31,14.212328767123283,,27.54383675643421
1977-03-31,13.93989983305508,,9.655063212939844
1977-06-30,13.588283157038262,,9.42622117383949
1977-09-30,12.936507936507935,,8.045559816426483
1977-12-31,9.22038980509745,,9.921137849037443
1978-03-31,8.205128205128197,,5.628656490192304
1978-06-30,8.022922636103136,,8.711881859728074
1978-09-30,7.870695713281783,,7.387368313729109
1978-12-31,7.755662319835266,,11.026867458581853
1979-03-31,8.124576844956,,7.1162292220443195
1979-06-30,8.687002652519894,,11.050639159217136
1979-09-30,9.315960912052134,,9.91350606815984
1979-12-31,10.063694267515944,,12.555714346257991
1980-03-31,10.64495929868503,,9.431770222124676
1980-06-30,10.860280658938382,,11.8643607811998
1980-09-30,10.131108462455307,,7.078234264467219
1980-12-31,9.201388888888884,,8.737671401598348
1981-03-31,9.39445387662703,,10.136258706853772
1981-06-30,8.750687947165648,,9.249798142878625
1981-09-30,8.98268398268398,,8.025419165035608
1981-12-31,11.234764175940626,,18.385915589521865
1982-03-31,10.60527677185723,,7.6776055353345525
1982-06-30,10.728744939271252,,9.730438337985007
1982-09-30,12.462760675273078,,14.925750380653877
1982-12-31,11.052882324916634,,12.238541171224279
1983-03-31,11.365762394761457,,8.907113370630226
1983-06-30,11.151736745886653,,8.980733856267339
1983-09-30,9.227373068432666,,7.143757576780187
1983-12-31,8.622908622908621,,9.824909841442992
1984-03-31,5.879882402351955,,-1.2470559880638867
1984-06-30,3.9473684210526327,,1.3934730540289517
1984-09-30,3.4357316087308076,,5.031988136052627
1984-12-31,2.6066350710900466,,6.246928565052531
1985-03-31,4.442681475604915,,5.50529743480405
1985-06-30,6.6060126582278444,,9.813425961446995
1985-09-30,7.698319656115671,,9.37628408322864
1985-12-31,8.1986143187067,,8.264801120868055
1986-03-31,9.229016331181183,,9.606148856843024
1986-06-30,8.46011131725417,,6.829580997947541
1986-09-30,8.853410740203206,,11.053164005831594
1986-12-31,9.747420846673794,,11.930069442514423
1987-03-31,9.422809457579962,,8.324635140436904
1987-06-30,9.237085186452276,,6.023060046606433
1987-09-30,8.233333333333338,,6.942188520377961
1987-12-31,7.131280388978922,,7.361426114417913
1988-03-31,6.863679694947589,,7.232443376097992
