Date,Fresh food,Food excluding fresh food,Housing,"Fuel, light and water charges",Furniture and household utensils,Clothes and footwear,Medical care,Transportation and communication,Education,Culture and recreation,Miscellaneous
1970-02-01,0.0,0.6812197562248727,1.6653357601604264,0.06531159423864069,0.00253137720545783,0.2052359919114359,0.08999268624988843,0.19807750769479626,0.07433062292876785,0.1460706354295399,0.16610795863597463
1970-03-01,0.0,1.2691285601782731,1.8557675727608243,0.14319065517386428,0.09980915199373694,0.348896572565613,0.0853400776408538,0.3737106329904736,0.08614731124270467,0.40043405030564316,0.2576318346038964
1970-04-01,0.0,1.7725710673693809,2.0094887324753374,0.21339586110843728,0.1790365647604364,0.4695125648039332,0.08256759606748648,0.518574311559296,0.0959123636570321,0.6021677418539961,0.33446012078979914
1970-05-01,0.0,1.4521193046701217,1.9092583667510572,0.15493754732733178,0.12092777864674228,0.39691583963806804,0.07964304225234187,0.41845607673768725,0.08615605641120089,0.46380345715948124,0.28134989362898133
1970-06-01,0.0,1.2053139055527518,1.8349433234402133,0.12573057106329605,0.0712004024356232,0.342123284769369,0.07702283411037103,0.34290699972593147,0.078279527292697,0.35174972687277295,0.2411856744510288
1970-07-01,0.0,1.2032920830297476,1.824122979361643,0.12549519486247573,0.06962351315018284,0.34465983225428976,0.07303726961205362,0.3424539477517225,0.07484607825873385,0.3445975861523891,0.23634350629442055
1970-08-01,0.0,1.3815144810198299,1.8585135140636846,0.15778759050295177,0.09001810204749405,0.37934370879455026,0.06931267677445287,0.37475512155305557,0.07488553795339581,0.40720805474530175,0.25714560057953983
1970-09-01,0.0,1.5328782087148947,1.9002288594854486,0.19009506418395106,0.10716247954489899,0.4156370143091086,0.06607076492635536,0.4234895397107952,0.07422230447841094,0.46683268215022344,0.2759536949888042
1970-10-01,0.0,1.7020265694545,1.941661896383755,0.21133152747266276,0.125333243398567,0.4476346969419961,0.06359383576627389,0.47023723138627604,0.07530928498855506,0.5298761353631065,0.29527363522507416
1970-11-01,0.0,1.9225260101111115,2.002044548864075,0.24998259991252797,0.16339918250372892,0.5016972148018335,0.05942857444766461,0.5386121331592593,0.07789713930902696,0.6380754752072202,0.3344703868380342
1970-12-01,0.0,1.8530167710463603,1.9959293337848174,0.24247910222812796,0.1527624356406624,0.4889296640597338,0.053359287627957386,0.5282626460655975,0.07531440670942338,0.6065027588315238,0.3229623895508077
1971-01-01,0.0,1.7497496961744743,1.9742422916073807,0.2236591349425771,0.1364961214999046,0.4647237417174576,0.049136694757103486,0.5071486877249906,0.07140460656945347,0.5622084030503284,0.3066211915717089
1971-02-01,0.0,1.7525031287044688,1.991959932759229,0.21800819079800393,0.13201068028920543,0.4604315176371889,0.04775289469068453,0.5112822487211395,0.0705772020547186,0.5599465263384666,0.30474112917484064
1971-03-01,0.0,1.6374161787776056,1.9724891525296466,0.1970022916363699,0.11458615506500418,0.4373283934751075,0.04888484499272737,0.4882917851118469,0.06645016082174061,0.5190036266111905,0.2869374088807939
1971-04-01,0.0,1.7458578790223767,2.007962188196677,0.2104765767524826,0.13145446487324103,0.46068955932741534,0.0452998298280374,0.5287756363800865,0.06732436509193551,0.5659626276252117,0.29909233462064533
1971-05-01,0.0,1.5235352566826543,1.9541836310564349,0.1764679249837799,0.08904251789649854,0.4134315217347142,0.044583615344311836,0.4654738358510408,0.06260633017116304,0.47571138587688033,0.26522115368761223
1971-06-01,0.0,1.413066472630701,1.9259566910925692,0.15147955593437668,0.06345491315706378,0.38426948364740954,0.03977834156251825,0.42526101713860565,0.05843754227779352,0.4190743222232597,0.24480258869121907
1971-07-01,0.0,1.2839301411723962,1.886665185426525,0.12729589638621103,0.0354404196502902,0.3529245469316574,0.03643736762397163,0.38715805677944604,0.05494902172772197,0.35460135927783487,0.2231789268011458
1971-08-01,0.0,1.3463950256502,1.907091178715827,0.12284787868465001,0.04237483679440714,0.36424701148001515,0.03529654209188686,0.39814998789496897,0.05482816621677331,0.3766697845310797,0.23382556905710722
1971-09-01,0.0,1.471343423746609,1.953247535101738,0.13505768952206165,0.05930408355183841,0.39324662735716903,0.03535746719937298,0.4368402141085963,0.05628361450499107,0.4242426327374287,0.2539466159133754
1971-10-01,0.0,1.1781556884311544,1.877196817683197,0.09179602915555721,0.008870000364293626,0.32773815217571317,0.038013151318750535,0.3563731346015494,0.05028410942090794,0.2969534891044705,0.20882271683985199
1971-11-01,0.0,1.2460313825086855,1.8973640688466566,0.09266121306543548,0.017476675597017127,0.34062571375022965,0.03723505094257227,0.3730532482022051,0.05082125463875144,0.31843451195201034,0.21761230728178127
1971-12-01,0.0,1.2883877852768815,1.9166411050111565,0.09009601108121854,0.024459078441520878,0.34879001404554344,0.03650213184463941,0.3894222414911901,0.050352626699098485,0.33329805834921394,0.2236008825136853
1972-01-01,0.0,0.8827934173608905,1.8124544648729515,0.018904827282854926,-0.04936452489917377,0.2563785054822076,0.03921063440227836,0.28503534297792216,0.042493513640851674,0.15832126717742295,0.16070120211563554
1972-02-01,0.0,0.894072316661446,1.8174890191205118,0.012513175450474062,-0.04679005948600268,0.26595167789588625,0.0393405269155955,0.29671944453933485,0.04388089891340857,0.16017884382708905,0.1657310643725402
1972-03-01,0.0,1.2879839241822943,1.9378808505232514,0.05856525117566118,0.014577449248149191,0.3581392213005822,0.03824868490669999,0.4084638983795686,0.04994126559793097,0.323388854417732,0.2259658395605657
1972-04-01,0.0,1.5062470823919698,2.010907420806198,0.08734718025319405,0.05084566576054146,0.4143775787327233,0.03695307327301138,0.47143266379840715,0.05386505517189358,0.4159905700421094,0.26282448848487383
1972-05-01,0.0,1.3356608368911371,1.9715482889659874,0.059596315706987715,0.018793334951913876,0.37666221796942306,0.03682458359395704,0.4268422307680514,0.05013076450046616,0.3408956451084082,0.24037432783196372
1972-06-01,0.0,1.2706402406324884,1.9522139138672219,0.04524954126150364,0.0027112149974925824,0.3633069266982664,0.03660299925914173,0.41269474503642145,0.049492962171829954,0.3092096109038906,0.2314293057504981
