Date,Fresh food,Food excluding fresh food,Housing,"Fuel, light and water charges",Furniture and household utensils,Clothes and footwear,Medical care,Transportation and communication,Education,Culture and recreation,Miscellaneous
1970-02-01,7.228896189515682,2.7599317864836292,7.342317608311603,0.9002748485398253,0.06543537280476186,6.6134819552229995,1.8585614096745016,1.3202098302652976,2.3017332046616588,1.5519829112973431,2.8044633536278276
1970-03-01,14.113846426053493,5.141818366779667,8.181914573853197,1.973783474461578,2.5800378765977308,11.24277065349015,1.7624740588529022,2.4908252183226134,2.6676505451821444,4.254563563363943,4.349695492062079
1970-04-01,19.63837900216996,7.181493472451565,8.859657528002709,2.9415133526898636,4.628043712933801,15.12947532332053,1.7052157695849726,3.4563586336038483,2.9700366210913773,6.397959742858191,5.646816442194158
1970-05-01,15.91264124900843,5.883197294416993,8.417750738543026,2.135706203152525,3.125948302426208,12.79013353720772,1.6448168295394325,2.7890588511168852,2.6679213493798626,4.927855880105084,4.750136433611443
1970-06-01,12.9470078542331,4.8832761091086905,8.090102306246655,1.7331083728754868,1.8405099276310495,11.024509635036221,1.5907033460896822,2.28551538826156,2.4240155687580756,3.7372984895611125,4.072028763535909
1970-07-01,12.868978654499434,4.875084784360872,8.042396369247847,1.72986387584531,1.7997477930735633,11.106246814094604,1.50839203079265,2.282495743694478,2.3176948716268284,3.6613078556832725,3.9902766111476464
1970-08-01,14.699009957005646,5.59714496652886,8.19402118542169,2.174992063774577,2.3269420511312244,12.223892844402869,1.4314703963445685,2.4977868571475788,2.318916786442964,4.326536544795065,4.341486219527562
1970-09-01,16.42106129577319,6.210388431018695,8.377940442159149,2.6203280919932532,2.7701192791751037,13.393400779538842,1.3645172637565515,2.822607472435428,2.2983789993013337,4.960041030845902,4.6590303754818745
1970-10-01,17.947977409548884,6.895685551618838,8.560615025664731,2.9130579509660603,3.239828299367142,14.424487455568215,1.3133628295101736,3.1341863226059186,2.3320386006128473,5.629870129403937,4.9852162177005415
1970-11-01,20.5052542842094,7.789029306859481,8.826836782951744,3.445836070874739,4.22382187849046,16.166586796868174,1.2273403506780478,3.589913065710977,2.412174485172372,6.779475085649366,5.646989767760844
1970-12-01,20.18777770164473,7.507415691581755,8.799875342244606,3.3424055801618735,3.9488650309238578,15.75516789485752,1.1019952505658939,3.520932519871773,2.3321972005885114,6.444018776212313,5.452695906523267
1971-01-01,19.035656963954803,7.089033693949233,8.7042590974843,3.082985435928132,3.5283854881417906,14.975161283301524,1.0147887398418576,3.380205510119451,2.211125743749199,5.973396580059137,5.176801293988824
1971-02-01,18.660040590571718,7.100189104361261,8.782374605311041,3.0050911057840253,3.4124381227380405,14.836849546465032,0.986210001842974,3.4077561791713133,2.185504211597137,5.949364412375687,5.145059491020155
1971-03-01,17.9929274385317,6.63391940444412,8.696529662839225,2.715539412755616,2.9620191565194642,14.092379274305678,1.009587447685678,3.2545220416229332,2.0577056345280793,5.514351033205823,4.844472562296798
1971-04-01,19.07687338317013,7.073266168467029,8.852927129721946,2.9012730506112034,3.3980601141880253,14.84516462826971,0.9355484216731734,3.5243516605097036,2.084776374918522,6.013284764075437,5.049688760746294
1971-05-01,16.47953784332911,6.172535873077232,8.61582224283574,2.4324874670249086,2.3017234813798777,13.322331445123904,0.9207569018733748,3.1024377324492347,1.938676998779805,5.054376188748945,4.477828830308161
1971-06-01,15.107196859105901,5.724976468445787,8.491372168992685,2.0880401996835296,1.6402912571756696,12.382619989683185,0.8215166548497087,2.834414577348582,1.8095856883712318,4.4526142077868,4.133094491651066
1971-07-01,13.704346603772331,5.201786319121917,8.318139406681091,1.7546852924780572,0.9161246562439982,11.372567262446687,0.7525176562458786,2.580453875733327,1.70155963842222,3.7675967404651596,3.76801404734287
1971-08-01,14.284540316540568,5.454860042592157,8.408195798781172,1.6933724657241491,1.0953773452666746,11.73742000723976,0.7289569159517554,2.6537163863595836,1.6978172085655048,4.002071101253437,3.947765326518261
1971-09-01,15.724636539621926,5.961082964674668,8.611695078827339,1.8616762061318106,1.5329935055480766,12.671897603131988,0.7302151632424247,2.911591283801868,1.7428868382909168,4.507526884620727,4.2874765541343685
1971-10-01,12.748183156561186,4.773245790678851,8.276394213389192,1.2653443421180932,0.22928695864232235,10.560966111575258,0.7850613093709569,2.3752687572602365,1.5571052651053374,3.1550950619542437,3.5256327366335602
1971-11-01,13.20781882278678,5.048241170513927,8.365309834413537,1.2772702998673213,0.45176703835881593,10.976252217711405,0.7689916998028802,2.486443671574377,1.5737385843877607,3.383328342918171,3.674030709194338
1971-12-01,13.72978602894807,5.219846267537065,8.450300576492499,1.241910776726962,0.6322601439370885,11.239336933882335,0.7538551902864399,2.5955449325058444,1.5592269814059712,3.541251733488089,3.775138084880796
1972-01-01,9.115957085286329,3.576598581014364,7.990950924165405,0.2605898802065132,-1.2760587727276969,8.261487685090303,0.8097921618493782,1.899794005649131,1.315860509115106,1.6821443983710567,2.7131790428230156
1972-02-01,9.439957857458825,3.622294543898147,8.013147827148082,0.1724854103586227,-1.2095095821445623,8.569971603639166,0.8124747488763565,1.977669913513254,1.3588224893014291,1.7018809265803654,2.7981001055410166
1972-03-01,13.709337421357024,5.218210042130959,8.543944729942064,0.8072812070581993,0.37682287098046974,11.540603845699247,0.7899256339676192,2.722459809924996,1.546488711923542,3.43596763500384,3.8150665472214538
1972-04-01,16.3201390202859,6.102493597704086,8.865912398979226,1.2040200578399127,1.3143458380575879,13.35281698923668,0.7631681952840731,3.142154019899167,1.6679933676715508,4.419849712214178,4.437365027205717
1972-05-01,14.412212234677666,5.411370950434248,8.692381478865917,0.8214937136674103,0.4858023040469115,12.137485041268965,0.7605145800961816,2.844953551720979,1.5523567633272037,3.621975177886714,4.05833049236972
