Date,headline_yoy,official_core_yoy
1970-02-01,,
1970-03-01,,
1970-04-01,,
1970-05-01,,
1970-06-01,,
1970-07-01,,
1970-08-01,,
1970-09-01,,
1970-10-01,,
1970-11-01,,
1970-12-01,,
1971-01-01,6.666666666666665,6.181818181818177
1971-02-01,6.27306273062731,6.181818181818177
1971-03-01,5.494505494505497,6.159420289855078
1971-04-01,5.797101449275344,6.474820143884896
1971-05-01,6.545454545454543,7.168458781362008
1971-06-01,6.909090909090909,7.885304659498216
1971-07-01,6.909090909090909,7.499999999999996
1971-08-01,7.299270072992692,7.117437722419928
1971-09-01,7.885304659498216,7.042253521126751
1971-10-01,6.7137809187279185,6.271777003484313
1971-11-01,5.653710247349819,6.25
1971-12-01,4.912280701754379,5.498281786941583
1972-01-01,4.166666666666674,5.136986301369872
1972-02-01,4.513888888888884,5.47945205479452
1972-03-01,5.208333333333326,5.460750853242313
1972-04-01,5.136986301369872,5.405405405405395
1972-05-01,5.119453924914685,4.682274247491636
1972-06-01,5.102040816326525,4.983388704318936
1972-07-01,5.102040816326525,4.983388704318936
1972-08-01,5.7823129251700855,5.31561461794019
1972-09-01,3.6544850498338777,4.6052631578947345
1972-10-01,4.304635761589415,5.573770491803298
1972-11-01,5.0167224080267525,5.555555555555536
1972-12-01,5.685618729097008,5.863192182410426
1973-01-01,6.333333333333324,6.514657980456029
1973-02-01,6.976744186046524,7.467532467532467
1973-03-01,8.910891089108919,8.737864077669922
1973-04-01,9.446254071661242,9.294871794871806
1973-05-01,11.038961038961048,10.543130990415328
1973-06-01,10.679611650485455,10.759493670886066
1973-07-01,11.650485436893199,11.392405063291132
1973-08-01,11.575562700964625,11.671924290220815
1973-09-01,14.423076923076938,13.52201257861636
1973-10-01,13.968253968253963,13.35403726708073
1973-11-01,15.286624203821674,14.860681114551099
1973-12-01,18.354430379746823,17.538461538461547
1974-01-01,21.943573667711604,20.795107033639137
1974-02-01,24.84472049689441,22.658610271903324
1974-03-01,22.424242424242415,21.726190476190467
1974-04-01,23.511904761904766,21.994134897360706
1974-05-01,21.63742690058479,22.2543352601156
1974-06-01,22.514619883040933,22.285714285714285
1974-07-01,23.768115942028988,23.011363636363626
1974-08-01,24.20749279538905,22.881355932203395
1974-09-01,22.408963585434183,22.160664819944586
1974-10-01,24.51253481894151,24.657534246575352
1974-11-01,24.58563535911602,24.258760107816713
1974-12-01,20.85561497326205,21.20418848167538
1975-01-01,17.73778920308482,17.974683544303804
1975-02-01,13.930348258706449,15.02463054187193
1975-03-01,14.35643564356437,14.66992665036675
1975-04-01,13.25301204819278,14.663461538461542
1975-05-01,13.701923076923062,13.238770685579194
1975-06-01,12.887828162291171,12.61682242990656
1975-07-01,11.007025761124112,11.778290993071593
1975-08-01,9.744779582366569,10.804597701149433
1975-09-01,10.526315789473673,11.337868480725621
1975-10-01,9.843400447427285,8.571428571428562
1975-11-01,8.203991130820398,7.592190889370931
1975-12-01,7.964601769911495,7.559395248380141
1976-01-01,8.515283842794762,7.939914163090123
1976-02-01,9.388646288209612,8.351177730192717
1976-03-01,8.874458874458856,8.315565031982942
1976-04-01,9.57446808510638,8.595387840670842
1976-05-01,9.302325581395365,8.977035490605445
1976-06-01,9.513742071881603,8.713692946058082
1976-07-01,9.704641350210963,9.090909090909083
1976-08-01,9.513742071881603,9.336099585062229
1976-09-01,9.730848861283658,9.164969450101834
1976-10-01,8.553971486761691,8.906882591093112
1976-11-01,9.221311475409832,9.2741935483871
1976-12-01,10.655737704918034,10.441767068273089
1977-01-01,9.45674044265592,9.343936381709739
1977-02-01,9.181636726546905,8.89328063241106
1977-03-01,9.343936381709739,8.85826771653544
1977-04-01,8.543689320388337,8.4942084942085
1977-05-01,9.284332688587993,8.812260536398453
1977-06-01,8.4942084942085,8.778625954198471
