,headline_yoy
2005-09-30,
2005-12-31,
2006-03-31,
2006-06-30,4.010462074978194
2006-09-30,3.9019337016574562
2006-12-31,3.246307110958435
2007-03-31,2.452316076294281
2007-06-30,2.095557418273253
2007-09-30,1.8943170488534333
2007-12-31,2.9612377308268156
2008-03-31,4.255319148936176
2008-06-30,4.482758620689653
2008-09-30,4.973907371167652
2008-12-31,3.6677977056067235
2009-03-31,2.4075255102040893
2009-06-30,1.4458588716014464
2009-09-30,1.227279788721436
2009-12-31,2.1041147132169646
2010-03-31,2.942550210182149
2010-06-30,3.0518977536793113
2010-09-30,2.823818293431568
2010-12-31,2.671347885818953
2011-03-31,3.2970356926799615
2011-06-30,3.6229705351774166
2011-09-30,3.492537313432842
2011-12-31,3.092476955099621
2012-03-31,1.5812591508052698
2012-06-30,1.1751051791672573
2012-09-30,1.9469281799826765
2012-12-31,2.2065186039803786
2013-03-31,2.493513980974349
2013-06-30,2.351591626039573
2013-09-30,2.2068185033243815
2013-12-31,2.6809651474530627
2014-03-31,2.9391084235691256
2014-06-30,3.0680862986830926
2014-09-30,2.256055363321785
2014-12-31,1.7177408272639916
2015-03-31,1.3114754098360493
2015-06-30,1.5223596574690745
2015-09-30,1.4889009204114956
2015-12-31,1.6887327749256942
2016-03-31,1.2944983818770295
2016-06-30,1.0175391618690632
2016-09-30,1.3336889837289867
2016-12-31,1.4746911119968065
2017-03-31,2.1432374866879655
2017-06-30,1.8952948972829509
2017-09-30,1.8031060805475008
2017-12-31,1.9507724535218873
2018-03-31,1.9288413918936431
2018-06-30,2.09417273673258
2018-09-30,1.913380736910164
2018-12-31,1.7593424939000846
2019-03-31,1.3041810510165064
2019-06-30,1.5415976557523248
2019-09-30,1.674489407585944
2019-12-31,1.842503785966687
2020-03-31,2.2340022718667196
2020-06-30,-0.32622333751568533
2020-09-30,0.6487835308796042
2020-12-31,0.867410161090465
2021-03-31,1.0740740740740717
2021-06-30,3.81419939577039
2021-09-30,3.099045493987851
2021-12-31,3.4766584766584785
2022-03-31,5.105655307194312
2022-06-30,6.208318176306538
2022-09-30,7.25021041240832
2022-12-31,7.859432506232933
2023-03-31,7.007553747821027
2023-06-30,6.02808539787647
2023-09-30,5.313901345291483
2023-12-31,4.0506329113924044
2024-03-31,3.6164205039096453
2024-06-30,3.811779907397428
2024-09-30,2.852884820097934
2024-12-31,2.4119327197714924
2025-03-31,2.400167697306377
2025-06-30,2.0952183383466494
2025-09-30,3.2187952804802356
2025-12-31,3.625658506352636
2026-03-31,4.094165813715445
2026-06-30,3.9418876358833677
