iteration,date,log_likelihood_contribution
0,2000Q1,-33753.138193125065
0,2000Q2,-0.9062553624442704
0,2000Q3,-4.722821912001712
0,2000Q4,0.05812040873043545
0,2001Q1,-1.1658485683603237
0,2001Q2,-2.49404827189241
0,2001Q3,-5.844641997224038
0,2001Q4,-1.5944298920993756
0,2002Q1,-10.050170356090804
0,2002Q2,-1.6528150199181688
0,2002Q3,-3.7446243805468873
0,2002Q4,-1.1004317280251512
0,2003Q1,1.2165829665123045
0,2003Q2,0.5896056468734763
0,2003Q3,-0.28940442470606387
0,2003Q4,-3.5585190196737226
0,2004Q1,-0.7622080781301022
0,2004Q2,-0.8808629939306716
0,2004Q3,1.6055167056683328
0,2004Q4,0.6579240629512042
0,2005Q1,1.0128808379588565
0,2005Q2,-0.24996365675905663
0,2005Q3,0.1138283863000571
0,2005Q4,1.2735298694613477
0,2006Q1,-4.9516397892521535
0,2006Q2,0.010009821783314443
0,2006Q3,0.09567288221673209
0,2006Q4,2.1840648961834255
0,2007Q1,0.9469493650289378
0,2007Q2,1.1307344049277697
0,2007Q3,1.2178515963605654
0,2007Q4,-2.16612184926026
0,2008Q1,0.24994073170589326
0,2008Q2,0.5342207541859043
0,2008Q3,0.8602365630383557
0,2008Q4,-7.966716442688189
0,2009Q1,-1.4895006482684323
0,2009Q2,0.4726473836108016
0,2009Q3,0.20174997581872223
0,2009Q4,-0.7446886422944581
0,2010Q1,-9.112398069127586
0,2010Q2,-2.200012124523539
0,2010Q3,0.08081138205135918
0,2010Q4,1.3524255988609302
0,2011Q1,0.5480882526452515
0,2011Q2,1.1952357162401517
0,2011Q3,1.683006691569172
0,2011Q4,2.2470340178062784
0,2012Q1,-0.04722479099577637
0,2012Q2,-0.43218553525007986
0,2012Q3,0.8838354837607865
0,2012Q4,1.3467207421131102
0,2013Q1,1.461696898503383
0,2013Q2,1.816062461980113
0,2013Q3,2.129882550999112
0,2013Q4,2.1119671202586585
0,2014Q1,1.6840691398315184
