Date,Food and non-alcoholic beverages,Alcoholic beverages and tobacco,Clothing and footwear,"Housing, water, electricity and other fuels","Furnishings, household equipment and routine household maintenance",Health,Transport,Communication,Recreation and culture,Education,Restaurants and hotels,Miscellaneous goods and services
1985-02-01,0.0,0.2505592095913467,0.004064171105436545,0.6792495294761752,0.4482008430659919,0.2663031293486108,-0.2714776405211359,-0.04543187408268298,0.31730645978966265,0.056343443393339646,0.34896301603038404,-0.12039711070765095
1985-03-01,0.0,0.6431210727552465,-0.014656222316726317,0.8673531669485044,0.3377259717032499,0.46379104162345763,-0.10137547748969146,-0.1475893736210552,0.3598646953460508,0.6211941437310602,0.18364321826529445,-0.06419136183787467
1985-04-01,0.0,0.3519614098041465,0.04524337673173516,1.247675136546351,0.2668332557393938,0.3798355611951366,-0.14853866270850488,0.010963247873384666,0.2453304999774959,0.5903416848466719,0.45401498696732934,-0.030819666397628794
1985-05-01,0.0,-0.04185100309569069,0.03913184725061315,1.2737555418377562,0.1960189941784559,0.24010298094634747,-0.04488786808130363,0.1411428679606041,0.13899476512005818,0.32358161859818285,0.4767075323608364,-0.07808237767755877
1985-06-01,0.0,0.5003384134858613,0.04047532029987496,1.2288145889452387,0.13098196909667906,0.10471683138378751,0.36224666004051453,0.18853533313003654,0.06656330681881378,0.2856797095171205,0.6686135319728101,-0.121366000754452
1985-07-01,0.0,-0.35977311356839337,0.08683947902337409,1.14648590140351,0.0954953041138703,0.03976783568745882,0.3920294712611099,-0.03450307319848525,0.026793359727785453,0.18134398170581442,0.73468031170955,-0.03893910891682321
1985-08-01,0.0,-0.1753848262208018,0.06297508171368121,0.9413345909821502,0.01782968287643348,-0.011958739493343726,0.44862227664649246,-0.042479622114553084,-0.005012403277249507,0.31190713202621967,0.6622434886575089,0.15104562835966717
1985-09-01,0.0,0.3824187234854731,0.09832934229989512,0.7588410914510617,0.018921890765904253,-0.03894097031530046,0.4980075253765658,0.05558645444796397,0.11425638866671291,0.2196587163523931,0.7531797673339586,0.2780799851999915
1985-10-01,0.0,-0.629293820423304,0.19903047153245307,0.7307774514310359,0.07994872618019816,0.005489869115555577,0.6638001936504311,-0.025701142634697256,0.17037634512254585,0.20354417357942578,0.8022177609473199,0.4466933047234048
1985-11-01,0.0,-0.1673154946711633,0.19193284730173107,0.5928179675562422,0.09299941952985083,-0.0035551651154042928,0.6785285592780228,-0.018055809611024164,0.11339327725997442,0.07107144525194961,0.6434670263422125,0.6280091334784685
1985-12-01,0.0,0.7574763406510692,0.11333752222864174,0.16605313924146356,0.03949685659575981,0.06724006683568502,0.543069844312962,0.036441499010670494,0.10889799079726961,0.3332334957308172,0.8166509092258463,0.617578510075671
1986-01-01,0.0,0.03966906340312176,0.08995261258957887,0.03801409428931395,0.019825898311132076,0.05574254920678029,0.10085893099909775,0.1953082918044569,0.1185813695447395,0.14815761864846555,0.7981198839569345,0.344430152409651
1986-02-01,0.0,0.12886406319566945,0.0501346664083725,-0.1257305431651834,0.02511247505704023,0.05103399259427376,0.0929168748995806,0.30801828419862753,0.10177809610043573,0.17077013706374278,0.844439574255923,0.1555415423858234
1986-03-01,0.0,-0.3276507669006112,0.10045535704572908,0.01664584157844754,0.028677511065162885,0.13841067316107994,-0.007413080608231634,0.5384220574342914,0.14627554848032415,0.26191824580287015,0.7801139760735278,0.14479368885456975
1986-04-01,0.0,-0.48640682341242353,0.12851687057016703,0.49047455032344445,0.10038430389692056,0.21610380387176964,-0.3290971685800758,0.8499000465136076,0.07108548718602321,0.6101884826312495,0.7641911231686891,0.08581568426365423
1986-05-01,0.0,-0.17703819783245645,0.21367458603254835,0.8134766124647811,0.16202347516800214,0.672115801584237,-0.07546728161272669,0.9567752646474175,0.09896755469271659,0.3370404031414111,0.8420139200534951,0.14645558253259217
1986-06-01,0.0,0.6340501264404375,0.23630192201559652,0.809790008473598,0.17790037984263013,0.8408914790611597,-0.3038234635809319,0.7057286465120787,-0.058594623434861555,0.09394933827504166,0.7108515387138119,0.048943010950551966
1986-07-01,0.0,0.4535791345607559,0.12698257281834904,0.732639583487117,0.1858207292868926,1.0257697572914513,-0.16103048895767913,0.4180414857615541,-0.07375588710552858,0.0276161349268661,0.5798269749647293,-0.029119510213094592
1986-08-01,0.0,-0.41602229141845426,0.05844924347941343,0.536303914947471,0.12461359322659399,0.8617481754084979,-0.38397489913698524,0.19327690154350963,-0.14069153225878714,0.09780549077373574,0.34359139972310476,0.20311604932496136
1986-09-01,0.0,-0.2585010891856315,0.13547866071932074,0.6470373945764594,0.06259670598880411,0.8761711514975655,-0.045466939431767245,0.0005558719910759473,-0.014446884905138352,0.2044288626951017,0.2648515399443775,0.2913786740227683
1986-10-01,0.0,-0.02392556555168803,0.2144617072871226,0.3054379833209139,0.09904601456037204,0.6012927768217506,0.20773736148347838,0.09843832855520017,0.02261480802325465,0.17121877972415783,0.40464795962509525,0.22800941627940946
1986-11-01,0.0,-0.0053364615429256634,0.15825653589243094,0.28896745008199065,0.10631317409323196,0.27018942422112857,0.271434066968894,0.04364646323803323,0.07930759088646101,0.08045256207604816,0.49906655359610735,0.1479656980966504
1986-12-01,0.0,0.24620591915377124,0.16999134965571355,0.34354568844408684,0.16129256188831742,-0.03423197969141792,0.41558063829968983,-0.05724075156933809,0.11906852628936176,0.02667354426461139,0.5957197756124851,0.1371317081274731
1987-01-01,0.0,0.11966897590769193,0.1499050691314868,0.371172730219681,0.21889865294927446,0.02259518678980046,0.5018475050029287,0.01343724448197209,0.23020917510203695,0.35146078426810934,0.9016562313060912,0.20326735889446718
1987-02-01,0.0,0.5317530187528856,0.13795368933462826,0.3358695786832393,0.2421532722385524,0.17846100179070262,0.5589883326415508,0.1232620456578503,0.4410190955135972,0.457643555082365,0.8725519554552806,0.1828398873105966
1987-03-01,0.0,0.6550256059240656,0.1107856244274999,0.36174268649563024,0.2800938065891887,0.285750057419498,0.41763854145582296,0.008936309790567656,0.430351257595768,0.47973714684684177,0.8111758732193998,0.25990950937050417
1987-04-01,0.0,-0.05058802218093583,0.0864496378920374,0.5679116214989903,0.2569432006780036,0.24363961932743092,0.37252423446151617,0.0766492202104758,0.43300111196510116,0.40536370713816794,0.8499301497842959,0.2851491323584453
