Date,lower_16.67pct,MCT_median,upper_83.33pct
1985-02-01,1.6499724102395594,1.9336831764894775,2.2173939427393954
1985-03-01,1.616123441097124,3.148880875107517,4.6816383091179095
1985-04-01,3.3731801201704483,3.4128408305755116,3.4525015409805744
1985-05-01,1.7392658096520364,2.6646148993983005,3.5899639891445645
1985-06-01,3.0355932756683255,3.455599663936285,3.875606052204245
1985-07-01,2.002209683862906,2.2702203489487713,2.5382310140346362
1985-08-01,1.8201435545899118,2.361122290156205,2.902101025722498
1985-09-01,2.9709273470720596,3.1383389150646193,3.305750483057179
1985-10-01,2.1241800458841995,2.646883333224369,3.169586620564538
1985-11-01,2.2341458472097235,2.8232932066008596,3.4124405659919956
1985-12-01,3.461344244024242,3.599476174705855,3.7376081053874675
1986-01-01,1.8104460142104206,1.948660465163272,2.0868749161161233
1986-02-01,1.1937648005666668,1.8028791629943046,2.4119935254219422
1986-03-01,1.2051581258594672,1.82064905198716,2.436139978114853
1986-04-01,1.7224792245575755,2.5011563604330256,3.279833496308475
1986-05-01,3.5349739912294047,3.9900377208720172,4.445101450514629
1986-06-01,3.4161392058973044,3.8959883632691126,4.375837520640921
1986-07-01,2.475090902152285,3.2863704868214123,4.0976500714905395
1986-08-01,0.3650648798797107,1.47821604561306,2.5913672113464092
1986-09-01,1.0869752105372417,2.164083947912935,3.2411926852886284
1986-10-01,1.774625325951737,2.3289795701290674,2.883333814306398
1986-11-01,1.558461512752464,1.9402630576080497,2.3220646024636356
1986-12-01,1.6213672659070237,2.123736980474756,2.6261066950424885
1987-01-01,1.9108299246573814,3.0841189140535405,4.2574079034497
1987-02-01,3.122911200939244,4.062495432461249,5.002079663983254
1987-03-01,4.0237295334646,4.101146419134787,4.178563304804975
1987-04-01,2.156292281336639,3.52697361313353,4.897654944930421
1987-05-01,2.6941207791926374,3.7573611903586186,4.8206016015246
1987-06-01,2.2122450733086545,2.9038452602349043,3.595445447161154
1987-07-01,1.8455794752934302,2.6032798473423777,3.360980219391325
1987-08-01,2.643335870958767,2.979797152056488,3.316258433154209
1987-09-01,1.8475053370996193,2.4066970256091107,2.965888714118602
1987-10-01,2.107948217361038,2.822026042505141,3.536103867649244
1987-11-01,2.3047309672506024,2.4751019119925406,2.6454728567344787
1987-12-01,4.02823565330926,4.3634130508895845,4.6985904484699095
1988-01-01,5.119795090467182,6.387968956131142,7.656142821795102
1988-02-01,7.309580571590008,7.480630317852958,7.651680064115908
1988-03-01,8.599528388091105,9.131338083942444,9.663147779793782
1988-04-01,5.671154740449019,6.113936875160409,6.556719009871799
1988-05-01,7.8421641318858,8.2829499354837,8.7237357390816
1988-06-01,6.478247631759942,6.98427840544257,7.490309179125198
1988-07-01,5.521982153782664,5.911315877140429,6.300649600498193
1988-08-01,4.231036125156123,4.972338673527164,5.713641221898206
1988-09-01,2.69098148832769,4.333009980089567,5.975038471851445
1988-10-01,2.1706079024538276,3.74704204711815,5.323476191782472
1988-11-01,4.838949134203469,4.9303289354909205,5.021708736778372
1988-12-01,2.675981107442931,4.0274876745671255,5.37899424169132
1989-01-01,3.4707491869073017,3.6001829201531415,3.729616653398981
1989-02-01,3.1916478053492714,4.407537384522652,5.6234269636960335
1989-03-01,5.461653688829745,5.46188998163953,5.462126274449314
1989-04-01,6.353914784579517,6.644082143171523,6.934249501763528
1989-05-01,5.815294221329399,6.994813834938088,8.174333448546777
1989-06-01,6.189267693050013,6.382854447648121,6.5764412022462295
1989-07-01,3.379645575239966,4.084686916338675,4.789728257437384
1989-08-01,5.346352330072339,5.566035811393133,5.785719292713927
1989-09-01,4.155754662653479,4.869955675391974,5.58415668813047
1989-10-01,3.1868463995291947,4.1551601043935875,5.12347380925798
1989-11-01,2.065542670406794,3.8714913177729207,5.6774399651390475
1989-12-01,1.3409156543606748,1.8108604209416708,2.2808051875226667
1990-01-01,6.083291043419742,6.6778283150583,7.272365586696859
1990-02-01,6.634541561170137,7.28785401261904,7.941166464067944
1990-03-01,9.306026146718002,10.205758930003547,11.10549171328909
1990-04-01,8.21337136382116,8.463792350114824,8.714213336408488
1990-05-01,7.228914351324214,8.526624410586043,9.824334469847873
1990-06-01,6.221321642689553,6.968350840260895,7.715380037832237
1990-07-01,6.343976381661967,6.406821655270479,6.46966692887899
1990-08-01,6.5971256337140165,7.313164210639916,8.029202787565815
1990-09-01,4.590839397108816,5.441405217194829,6.291971037280842
1990-10-01,4.734243236121932,4.864926090874397,4.995608945626863
1990-11-01,6.693460231035303,7.456149469244377,8.21883870745345
1990-12-01,9.722102072773767,11.035592813364193,12.349083553954618
1991-01-01,9.796221459858828,10.216692161079264,10.6371628622997
1991-02-01,7.819704060541202,8.805084435475766,9.790464810410333
1991-03-01,6.244477667440691,7.452858134305579,8.661238601170467
1991-04-01,9.005145450179157,9.039086709312002,9.07302796844485
