Date,Food and non-alcoholic beverages,Alcoholic beverages and tobacco,Clothing and footwear,"Housing, water, electricity and other fuels","Furnishings, household equipment and routine household maintenance",Health,Transport,Communication,Recreation and culture,Education,Restaurants and hotels,Miscellaneous goods and services
1985-02-01,0.0,0.015261913087502457,0.0582257069369844,0.635061278978651,0.11106071421860644,0.13532590773217462,0.04568900398425794,-0.00010565350449090711,0.13292921470460403,0.24175379052417356,0.495119378057414,0.03914283011991872
1985-03-01,0.0,0.02980505053545667,0.06828329818423343,0.8667205463475935,0.14038776355590293,0.1539975312471764,0.1468558751455655,-7.198100265300275e-05,0.18044198277291434,0.30768195994077163,0.7086044608840371,0.0791125634580219
1985-04-01,0.0,0.09043240733417726,0.06519996731259077,1.0613583946127734,0.1199271874944912,0.15258725635560888,0.1478742695968579,7.165761639196753e-05,0.14205437089915773,0.2738247925703784,0.6580086578674063,0.06512426011421096
1985-05-01,0.0,0.06038645552822179,0.06495275729830981,1.029247799807848,0.10748272594755495,0.14110606055261316,0.10676063299212896,0.00016092334791745265,0.12340391923262875,0.2426114858445988,0.5981889039715376,0.05540464862585098
1985-06-01,0.0,0.020060185010210403,0.06333634143886566,0.8855706947878896,0.09073597621117266,0.12606834801963338,0.07519659428498632,0.0002596553782335725,0.10427981779081369,0.2099013458614714,0.547604437254164,0.045526992113737355
1985-07-01,0.0,0.006528995849454379,0.06651320509601272,0.8048307492531213,0.08963791765802881,0.12430300425702706,0.07338269542366775,0.00013856493659839415,0.10740879160020163,0.2034980150461818,0.5500325381888157,0.058015201248842255
1985-08-01,0.0,0.010452123915483938,0.0706523436328178,0.7700971656639746,0.097381070539004,0.11857275660917341,0.1143890213184009,6.653987348720613e-05,0.13247944661546757,0.21573174140102827,0.6404869598405067,0.08748045178498837
1985-09-01,0.0,0.013138052159143569,0.0784900217411651,0.7411763755600056,0.11482677145535405,0.11806698704544215,0.15041236213996856,0.00030020513481867077,0.16602862168972657,0.23100652268092212,0.7485566093514131,0.10865986722929674
1985-10-01,0.0,0.011563674164901328,0.08188940361079555,0.6271548077598859,0.10954004869200906,0.11588750136592979,0.13914147654848608,0.0007822432535312066,0.1673877392204185,0.2187268627367847,0.7346896054685115,0.11134709853562377
1985-11-01,0.0,0.012824227169818084,0.08821970762273093,0.5368516048167239,0.10926841784795781,0.11348194720064723,0.16185476268654778,0.00039711218893882013,0.17899240449530168,0.22211789974825238,0.7678982604487257,0.12772440114978403
1985-12-01,0.0,0.014297126546780508,0.08951985939139463,0.37818202542174373,0.11188320182262534,0.11105873994794735,0.14962714311167413,0.0001555773741109032,0.20075586377463744,0.2218090694056906,0.7932419348259632,0.1409912787558321
1986-01-01,0.0,0.012874789707836638,0.09131054065038474,0.27649772145816115,0.11621166030663302,0.11120694856611932,0.12035051573690819,0.00012096080789432813,0.21538565541708862,0.21656371411228514,0.8192996116033844,0.14529275840585887
1986-02-01,0.0,0.011361514220291538,0.0932055645983095,0.23814180959399445,0.11054598613186882,0.1157895218942236,0.10854700295106512,0.0001673742890316088,0.20134783015265728,0.20767785693905283,0.8219766998550335,0.14103847827421928
1986-03-01,0.0,0.008725135969613822,0.09188992614734551,0.2090511928811338,0.09320858998421953,0.11549531824354888,0.05479530793256565,0.0003034527862248154,0.16100222899246103,0.17567583630758826,0.7143777917035266,0.11672762385717328
