Date,Food and non-alcoholic beverages,Alcoholic beverages and tobacco,Clothing and footwear,"Housing, water, electricity and other fuels","Furnishings, household equipment and routine household maintenance",Health,Transport,Communication,Recreation and culture,Education,Restaurants and hotels,Miscellaneous goods and services
1985-02-01,4.200000313521052,0.8287798372833611,1.0072108175792867,3.175306394893254,2.089695017534305,1.3822574861214978,0.35444091698456903,-0.0019452941384806499,1.8132474756208308,2.806830206627076,2.9358149714807267,0.63727795527306
1985-03-01,4.886616973335187,1.6185274278115076,1.1811909242353282,4.333602731737967,2.6415066037492254,1.5729747834533017,1.1392616715632484,-0.001325315456572454,2.461354868349133,3.5722749882162663,4.201676761841767,1.2880185853317414
1985-04-01,4.464575738666577,4.91082313245089,1.1278542732702193,5.306791973063866,2.2565247120674,1.5585698327751474,1.147162055281231,0.001319361263182578,1.9377209893716585,3.1791836539294267,3.9016684758136453,1.0602773278556548
1985-05-01,4.40310028514781,3.2792138508363475,1.1235779387489881,5.146238999039239,2.0223723434868885,1.4412976185016912,0.828215398799699,0.0029629234444887203,1.6833157822193237,2.8167882930266,3.5469666869908716,0.9020339377795094
1985-06-01,4.088308057345884,1.089344223972185,1.0956165515029581,4.4278534739394475,1.7072690260786434,1.2876981262005405,0.5833515180517025,0.004780779281639597,1.42244966080315,2.4370142726541606,3.247025619654959,0.7412174427625551
1985-07-01,4.1430974839705526,0.35454926828049727,1.1505711687979618,4.024153746265606,1.6866081875129102,1.2696664006253475,0.5692798614241137,0.0025512599914468276,1.4651310523525116,2.362669782268254,3.261423066800303,0.944535914070335
1985-08-01,4.392787385983232,0.5675900202205834,1.2221715894547915,3.8504858283198717,1.8323017219838906,1.2111360139365568,0.8873940351825318,0.0012251332929618637,1.8071123242618627,2.504706821679056,3.797773403891877,1.4242547937669832
1985-09-01,5.027702483122485,0.7134461235788089,1.3577507793128962,3.705881877800027,2.1605563576467928,1.205969939107016,1.16685177862652,0.0055273820960175845,2.264746540696111,2.6820513729395286,4.438573398918537,1.7690733602037305
1985-10-01,4.837347422218487,0.6279514198408441,1.4165546027835196,3.135774038799429,2.0610824951259596,1.1837080496662826,1.0794157945623972,0.014402676213085303,2.283285854548793,2.539481031504212,4.356348870020613,1.8128237294794154
1985-11-01,4.519450780388116,0.6964042349179692,1.5260586520222406,2.6842580240836194,2.055971546349732,1.1591370321208965,1.255618321745552,0.007311636440118188,2.441581606629075,2.57885193483086,4.55325989955084,2.079459889687186
1985-12-01,4.7385242219744015,0.7763882643758022,1.548549180601141,1.8909101271087183,2.1051707711362395,1.1343857008968905,1.16076029647212,0.002864493282986157,2.7384504152406826,2.5752663267940803,4.703535453218219,2.295455733823604
1986-01-01,4.949236841390595,0.6991499727420147,1.5795250781860908,1.3824886072908056,2.1866141347169106,1.1358995460682184,0.9336414331127241,0.002227132471530762,2.938011007120223,2.514366261276599,4.858044690778878,2.3654874138942485
1986-02-01,4.744901050107297,0.6169733671525405,1.6123059359949505,1.190709047969972,2.0800100022180574,1.182707259348141,0.842073494864502,0.0030816982830283324,2.7465252507310005,2.4111989344209377,4.873918510543321,2.2962241813905147
1986-03-01,4.081301670811286,0.47380801657776317,1.589547512790775,1.0452559644056687,1.7537932062820252,1.1797021792019633,0.4250847577408803,0.005587177909461193,2.1961830282278463,2.039646380946018,4.235909780799072,1.9004231739934472
1986-04-01,3.6055087224755242,0.4402161086760825,1.616052150942247,1.4283931151533036,1.5761663847746306,1.232300378172475,0.26506197313236823,0.006665797257906687,1.730482950266249,1.7802546054553718,3.929584757416374,1.647215216795415
1986-05-01,4.01730871029188,0.542790101641154,1.7857893574392825,2.9534837056503247,1.923858993173687,1.3954336517010522,0.7564284984975921,0.006179552911232292,1.9045641938659723,2.0060053126956365,4.5704961302278875,1.877632297675841
1986-06-01,3.99833803487339,0.6032862422723602,1.8705348122685608,3.4949222309517065,2.1468216559573623,1.4571677931601688,0.9422865009338367,0.0018182137783094151,2.0021628314327726,2.1324385795743686,4.978044665773208,1.9721985222511933
