"Timestamp","Country","Status","Iteration","Total","Percent","Elapsed","ETA","Updated","StatusFile"
"2026-09-21 16:07:48","AU","complete","6001","6001","100.0%","00:25:21","00:00:00","2026-09-21 16:04:29","C:\Users\micha\Desktop\Stats Research\michaelwjones\macro-work\AU\Inflation Model\mct_model\results\python\australia_core_d3000_b3000_t2_s2022_status.json"
"2026-09-21 16:07:58","AU","complete","6001","6001","100.0%","00:25:21","00:00:00","2026-09-21 16:04:29","C:\Users\micha\Desktop\Stats Research\michaelwjones\macro-work\AU\Inflation Model\mct_model\results\python\australia_core_d3000_b3000_t2_s2022_status.json"
"2026-09-21 16:08:09","AU","complete","6001","6001","100.0%","00:25:21","00:00:00","2026-09-21 16:04:29","C:\Users\micha\Desktop\Stats Research\michaelwjones\macro-work\AU\Inflation Model\mct_model\results\python\australia_core_d3000_b3000_t2_s2022_status.json"
"2026-09-21 16:08:19","AU","complete","6001","6001","100.0%","00:25:21","00:00:00","2026-09-21 16:04:29","C:\Users\micha\Desktop\Stats Research\michaelwjones\macro-work\AU\Inflation Model\mct_model\results\python\australia_core_d3000_b3000_t2_s2022_status.json"
"2026-09-21 16:08:29","AU","complete","6001","6001","100.0%","00:25:21","00:00:00","2026-09-21 16:04:29","C:\Users\micha\Desktop\Stats Research\michaelwjones\macro-work\AU\Inflation Model\mct_model\results\python\australia_core_d3000_b3000_t2_s2022_status.json"
"2026-09-21 16:08:39","AU","complete","6001","6001","100.0%","00:25:21","00:00:00","2026-09-21 16:04:29","C:\Users\micha\Desktop\Stats Research\michaelwjones\macro-work\AU\Inflation Model\mct_model\results\python\australia_core_d3000_b3000_t2_s2022_status.json"
"2026-09-21 16:08:49","AU","complete","6001","6001","100.0%","00:25:21","00:00:00","2026-09-21 16:04:29","C:\Users\micha\Desktop\Stats Research\michaelwjones\macro-work\AU\Inflation Model\mct_model\results\python\australia_core_d3000_b3000_t2_s2022_status.json"
"2026-09-21 16:08:59","AU","complete","6001","6001","100.0%","00:25:21","00:00:00","2026-09-21 16:04:29","C:\Users\micha\Desktop\Stats Research\michaelwjones\macro-work\AU\Inflation Model\mct_model\results\python\australia_core_d3000_b3000_t2_s2022_status.json"
"2026-09-21 16:09:09","AU","complete","6001","6001","100.0%","00:25:21","00:00:00","2026-09-21 16:04:29","C:\Users\micha\Desktop\Stats Research\michaelwjones\macro-work\AU\Inflation Model\mct_model\results\python\australia_core_d3000_b3000_t2_s2022_status.json"
"2026-09-21 16:09:19","AU","complete","6001","6001","100.0%","00:25:21","00:00:00","2026-09-21 16:04:29","C:\Users\micha\Desktop\Stats Research\michaelwjones\macro-work\AU\Inflation Model\mct_model\results\python\australia_core_d3000_b3000_t2_s2022_status.json"
"2026-09-21 16:09:29","AU","complete","6001","6001","100.0%","00:25:21","00:00:00","2026-09-21 16:04:29","C:\Users\micha\Desktop\Stats Research\michaelwjones\macro-work\AU\Inflation Model\mct_model\results\python\australia_core_d3000_b3000_t2_s2022_status.json"
"2026-09-21 16:09:39","AU","complete","6001","6001","100.0%","00:25:21","00:00:00","2026-09-21 16:04:29","C:\Users\micha\Desktop\Stats Research\michaelwjones\macro-work\AU\Inflation Model\mct_model\results\python\australia_core_d3000_b3000_t2_s2022_status.json"
"2026-09-21 16:09:49","AU","complete","6001","6001","100.0%","00:25:21","00:00:00","2026-09-21 16:04:29","C:\Users\micha\Desktop\Stats Research\michaelwjones\macro-work\AU\Inflation Model\mct_model\results\python\australia_core_d3000_b3000_t2_s2022_status.json"
"2026-09-21 16:09:59","AU","complete","6001","6001","100.0%","00:25:21","00:00:00","2026-09-21 16:04:29","C:\Users\micha\Desktop\Stats Research\michaelwjones\macro-work\AU\Inflation Model\mct_model\results\python\australia_core_d3000_b3000_t2_s2022_status.json"
"2026-09-21 16:10:09","AU","complete","6001","6001","100.0%","00:25:21","00:00:00","2026-09-21 16:04:29","C:\Users\micha\Desktop\Stats Research\michaelwjones\macro-work\AU\Inflation Model\mct_model\results\python\australia_core_d3000_b3000_t2_s2022_status.json"
"2026-09-21 16:10:19","AU","complete","6001","6001","100.0%","00:25:21","00:00:00","2026-09-21 16:04:29","C:\Users\micha\Desktop\Stats Research\michaelwjones\macro-work\AU\Inflation Model\mct_model\results\python\australia_core_d3000_b3000_t2_s2022_status.json"
"2026-09-21 16:10:29","AU","complete","6001","6001","100.0%","00:25:21","00:00:00","2026-09-21 16:04:29","C:\Users\micha\Desktop\Stats Research\michaelwjones\macro-work\AU\Inflation Model\mct_model\results\python\australia_core_d3000_b3000_t2_s2022_status.json"
"2026-09-21 16:10:39","AU","complete","6001","6001","100.0%","00:25:21","00:00:00","2026-09-21 16:04:29","C:\Users\micha\Desktop\Stats Research\michaelwjones\macro-work\AU\Inflation Model\mct_model\results\python\australia_core_d3000_b3000_t2_s2022_status.json"
"2026-09-21 16:10:49","AU","complete","6001","6001","100.0%","00:25:21","00:00:00","2026-09-21 16:04:29","C:\Users\micha\Desktop\Stats Research\michaelwjones\macro-work\AU\Inflation Model\mct_model\results\python\australia_core_d3000_b3000_t2_s2022_status.json"
"2026-09-21 16:10:59","AU","complete","6001","6001","100.0%","00:25:21","00:00:00","2026-09-21 16:04:29","C:\Users\micha\Desktop\Stats Research\michaelwjones\macro-work\AU\Inflation Model\mct_model\results\python\australia_core_d3000_b3000_t2_s2022_status.json"
"2026-09-21 16:11:09","AU","complete","6001","6001","100.0%","00:25:21","00:00:00","2026-09-21 16:04:29","C:\Users\micha\Desktop\Stats Research\michaelwjones\macro-work\AU\Inflation Model\mct_model\results\python\australia_core_d3000_b3000_t2_s2022_status.json"
"2026-09-21 16:11:19","AU","complete","6001","6001","100.0%","00:25:21","00:00:00","2026-09-21 16:04:29","C:\Users\micha\Desktop\Stats Research\michaelwjones\macro-work\AU\Inflation Model\mct_model\results\python\australia_core_d3000_b3000_t2_s2022_status.json"
"2026-09-21 16:11:29","AU","complete","6001","6001","100.0%","00:25:21","00:00:00","2026-09-21 16:04:29","C:\Users\micha\Desktop\Stats Research\michaelwjones\macro-work\AU\Inflation Model\mct_model\results\python\australia_core_d3000_b3000_t2_s2022_status.json"
"2026-09-21 16:11:39","AU","complete","6001","6001","100.0%","00:25:21","00:00:00","2026-09-21 16:04:29","C:\Users\micha\Desktop\Stats Research\michaelwjones\macro-work\AU\Inflation Model\mct_model\results\python\australia_core_d3000_b3000_t2_s2022_status.json"
"2026-09-21 16:11:49","AU","complete","6001","6001","100.0%","00:25:21","00:00:00","2026-09-21 16:04:29","C:\Users\micha\Desktop\Stats Research\michaelwjones\macro-work\AU\Inflation Model\mct_model\results\python\australia_core_d3000_b3000_t2_s2022_status.json"
"2026-09-21 16:12:00","AU","complete","6001","6001","100.0%","00:25:21","00:00:00","2026-09-21 16:04:29","C:\Users\micha\Desktop\Stats Research\michaelwjones\macro-work\AU\Inflation Model\mct_model\results\python\australia_core_d3000_b3000_t2_s2022_status.json"
