"C by City","I by Expenditure Category",M198501 1985.01,M198502 1985.02,M198503 1985.03,M198504 1985.04,M198505 1985.05,M198506 1985.06,M198507 1985.07,M198508 1985.08,M198509 1985.09,M198510 1985.10,M198511 1985.11,M198512 1985.12,M198601 1986.01,M198602 1986.02,M198603 1986.03,M198604 1986.04,M198605 1986.05,M198606 1986.06,M198607 1986.07,M198608 1986.08,M198609 1986.09,M198610 1986.10,M198611 1986.11,M198612 1986.12,M198701 1987.01,M198702 1987.02,M198703 1987.03,M198704 1987.04,M198705 1987.05,M198706 1987.06,M198707 1987.07,M198708 1987.08,M198709 1987.09,M198710 1987.10,M198711 1987.11,M198712 1987.12,M198801 1988.01,M198802 1988.02,M198803 1988.03,M198804 1988.04,M198805 1988.05,M198806 1988.06,M198807 1988.07,M198808 1988.08,M198809 1988.09,M198810 1988.10,M198811 1988.11,M198812 1988.12,M198901 1989.01,M198902 1989.02,M198903 1989.03,M198904 1989.04,M198905 1989.05,M198906 1989.06,M198907 1989.07,M198908 1989.08,M198909 1989.09,M198910 1989.10,M198911 1989.11,M198912 1989.12,M199001 1990.01,M199002 1990.02,M199003 1990.03,M199004 1990.04,M199005 1990.05,M199006 1990.06,M199007 1990.07,M199008 1990.08,M199009 1990.09,M199010 1990.10,M199011 1990.11,M199012 1990.12,M199101 1991.01,M199102 1991.02,M199103 1991.03,M199104 1991.04,M199105 1991.05,M199106 1991.06,M199107 1991.07,M199108 1991.08,M199109 1991.09,M199110 1991.10,M199111 1991.11,M199112 1991.12,M199201 1992.01,M199202 1992.02,M199203 1992.03,M199204 1992.04,M199205 1992.05,M199206 1992.06,M199207 1992.07,M199208 1992.08,M199209 1992.09,M199210 1992.10,M199211 1992.11,M199212 1992.12,M199301 1993.01,M199302 1993.02,M199303 1993.03,M199304 1993.04,M199305 1993.05,M199306 1993.06,M199307 1993.07,M199308 1993.08,M199309 1993.09,M199310 1993.10,M199311 1993.11,M199312 1993.12,M199401 1994.01,M199402 1994.02,M199403 1994.03,M199404 1994.04,M199405 1994.05,M199406 1994.06,M199407 1994.07,M199408 1994.08,M199409 1994.09,M199410 1994.10,M199411 1994.11,M199412 1994.12,M199501 1995.01,M199502 1995.02,M199503 1995.03,M199504 1995.04,M199505 1995.05,M199506 1995.06,M199507 1995.07,M199508 1995.08,M199509 1995.09,M199510 1995.10,M199511 1995.11,M199512 1995.12,M199601 1996.01,M199602 1996.02,M199603 1996.03,M199604 1996.04,M199605 1996.05,M199606 1996.06,M199607 1996.07,M199608 1996.08,M199609 1996.09,M199610 1996.10,M199611 1996.11,M199612 1996.12,M199701 1997.01,M199702 1997.02,M199703 1997.03,M199704 1997.04,M199705 1997.05,M199706 1997.06,M199707 1997.07,M199708 1997.08,M199709 1997.09,M199710 1997.10,M199711 1997.11,M199712 1997.12,M199801 1998.01,M199802 1998.02,M199803 1998.03,M199804 1998.04,M199805 1998.05,M199806 1998.06,M199807 1998.07,M199808 1998.08,M199809 1998.09,M199810 1998.10,M199811 1998.11,M199812 1998.12,M199901 1999.01,M199902 1999.02,M199903 1999.03,M199904 1999.04,M199905 1999.05,M199906 1999.06,M199907 1999.07,M199908 1999.08,M199909 1999.09,M199910 1999.10,M199911 1999.11,M199912 1999.12,M200001 2000.01,M200002 2000.02,M200003 2000.03,M200004 2000.04,M200005 2000.05,M200006 2000.06,M200007 2000.07,M200008 2000.08,M200009 2000.09,M200010 2000.10,M200011 2000.11,M200012 2000.12,M200101 2001.01,M200102 2001.02,M200103 2001.03,M200104 2001.04,M200105 2001.05,M200106 2001.06,M200107 2001.07,M200108 2001.08,M200109 2001.09,M200110 2001.10,M200111 2001.11,M200112 2001.12,M200201 2002.01,M200202 2002.02,M200203 2002.03,M200204 2002.04,M200205 2002.05,M200206 2002.06,M200207 2002.07,M200208 2002.08,M200209 2002.09,M200210 2002.10,M200211 2002.11,M200212 2002.12,M200301 2003.01,M200302 2003.02,M200303 2003.03,M200304 2003.04,M200305 2003.05,M200306 2003.06,M200307 2003.07,M200308 2003.08,M200309 2003.09,M200310 2003.10,M200311 2003.11,M200312 2003.12,M200401 2004.01,M200402 2004.02,M200403 2004.03,M200404 2004.04,M200405 2004.05,M200406 2004.06,M200407 2004.07,M200408 2004.08,M200409 2004.09,M200410 2004.10,M200411 2004.11,M200412 2004.12,M200501 2005.01,M200502 2005.02,M200503 2005.03,M200504 2005.04,M200505 2005.05,M200506 2005.06,M200507 2005.07,M200508 2005.08,M200509 2005.09,M200510 2005.10,M200511 2005.11,M200512 2005.12,M200601 2006.01,M200602 2006.02,M200603 2006.03,M200604 2006.04,M200605 2006.05,M200606 2006.06,M200607 2006.07,M200608 2006.08,M200609 2006.09,M200610 2006.10,M200611 2006.11,M200612 2006.12,M200701 2007.01,M200702 2007.02,M200703 2007.03,M200704 2007.04,M200705 2007.05,M200706 2007.06,M200707 2007.07,M200708 2007.08,M200709 2007.09,M200710 2007.10,M200711 2007.11,M200712 2007.12,M200801 2008.01,M200802 2008.02,M200803 2008.03,M200804 2008.04,M200805 2008.05,M200806 2008.06,M200807 2008.07,M200808 2008.08,M200809 2008.09,M200810 2008.10,M200811 2008.11,M200812 2008.12,M200901 2009.01,M200902 2009.02,M200903 2009.03,M200904 2009.04,M200905 2009.05,M200906 2009.06,M200907 2009.07,M200908 2009.08,M200909 2009.09,M200910 2009.10,M200911 2009.11,M200912 2009.12,M201001 2010.01,M201002 2010.02,M201003 2010.03,M201004 2010.04,M201005 2010.05,M201006 2010.06,M201007 2010.07,M201008 2010.08,M201009 2010.09,M201010 2010.10,M201011 2010.11,M201012 2010.12,M201101 2011.01,M201102 2011.02,M201103 2011.03,M201104 2011.04,M201105 2011.05,M201106 2011.06,M201107 2011.07,M201108 2011.08,M201109 2011.09,M201110 2011.10,M201111 2011.11,M201112 2011.12,M201201 2012.01,M201202 2012.02,M201203 2012.03,M201204 2012.04,M201205 2012.05,M201206 2012.06,M201207 2012.07,M201208 2012.08,M201209 2012.09,M201210 2012.10,M201211 2012.11,M201212 2012.12,M201301 2013.01,M201302 2013.02,M201303 2013.03,M201304 2013.04,M201305 2013.05,M201306 2013.06,M201307 2013.07,M201308 2013.08,M201309 2013.09,M201310 2013.10,M201311 2013.11,M201312 2013.12,M201401 2014.01,M201402 2014.02,M201403 2014.03,M201404 2014.04,M201405 2014.05,M201406 2014.06,M201407 2014.07,M201408 2014.08,M201409 2014.09,M201410 2014.10,M201411 2014.11,M201412 2014.12,M201501 2015.01,M201502 2015.02,M201503 2015.03,M201504 2015.04,M201505 2015.05,M201506 2015.06,M201507 2015.07,M201508 2015.08,M201509 2015.09,M201510 2015.10,M201511 2015.11,M201512 2015.12,M201601 2016.01,M201602 2016.02,M201603 2016.03,M201604 2016.04,M201605 2016.05,M201606 2016.06,M201607 2016.07,M201608 2016.08,M201609 2016.09,M201610 2016.10,M201611 2016.11,M201612 2016.12,M201701 2017.01,M201702 2017.02,M201703 2017.03,M201704 2017.04,M201705 2017.05,M201706 2017.06,M201707 2017.07,M201708 2017.08,M201709 2017.09,M201710 2017.10,M201711 2017.11,M201712 2017.12,M201801 2018.01,M201802 2018.02,M201803 2018.03,M201804 2018.04,M201805 2018.05,M201806 2018.06,M201807 2018.07,M201808 2018.08,M201809 2018.09,M201810 2018.10,M201811 2018.11,M201812 2018.12,M201901 2019.01,M201902 2019.02,M201903 2019.03,M201904 2019.04,M201905 2019.05,M201906 2019.06,M201907 2019.07,M201908 2019.08,M201909 2019.09,M201910 2019.10,M201911 2019.11,M201912 2019.12,M202001 2020.01,M202002 2020.02,M202003 2020.03,M202004 2020.04,M202005 2020.05,M202006 2020.06,M202007 2020.07,M202008 2020.08,M202009 2020.09,M202010 2020.10,M202011 2020.11,M202012 2020.12,M202101 2021.01,M202102 2021.02,M202103 2021.03,M202104 2021.04,M202105 2021.05,M202106 2021.06,M202107 2021.07,M202108 2021.08,M202109 2021.09,M202110 2021.10,M202111 2021.11,M202112 2021.12,M202201 2022.01,M202202 2022.02,M202203 2022.03,M202204 2022.04,M202205 2022.05,M202206 2022.06,M202207 2022.07,M202208 2022.08,M202209 2022.09,M202210 2022.10,M202211 2022.11,M202212 2022.12,M202301 2023.01,M202302 2023.02,M202303 2023.03,M202304 2023.04,M202305 2023.05,M202306 2023.06,M202307 2023.07,M202308 2023.08,M202309 2023.09,M202310 2023.10,M202311 2023.11,M202312 2023.12,M202401 2024.01,M202402 2024.02,M202403 2024.03,M202404 2024.04,M202405 2024.05,M202406 2024.06,M202407 2024.07,M202408 2024.08,M202409 2024.09,M202410 2024.10,M202411 2024.11,M202412 2024.12,M202501 2025.01,M202502 2025.02,M202503 2025.03,M202504 2025.04,M202505 2025.05,M202506 2025.06,M202507 2025.07,M202508 2025.08,M202509 2025.09,M202510 2025.10,M202511 2025.11,M202512 2025.12,M202601 2026.01,M202602 2026.02,M202603 2026.03,M202604 2026.04,M202605 2026.05,M202606 2026.06,M202607 2026.07,M202608 2026.08
"T10 whole country","0 0 Total item",29.052,29.259,29.289,29.319,29.526,29.555,29.555,29.614,29.939,30.028,29.674,29.850,30.117,30.293,30.353,30.323,30.501,30.442,30.471,30.442,30.619,30.323,30.265,30.265,30.382,30.442,30.677,30.855,31.327,31.299,31.209,31.653,31.860,31.890,31.831,32.096,32.273,32.805,33.279,33.221,33.396,33.604,33.663,33.840,33.929,33.840,34.107,34.402,34.460,34.579,34.816,34.963,35.407,35.466,35.436,35.703,36.028,36.116,36.175,36.146,36.982,37.213,37.598,38.022,38.445,38.636,38.752,38.907,39.138,39.253,39.292,39.521,40.368,40.907,41.408,41.600,41.715,41.984,42.254,42.600,42.832,42.909,43.100,43.177,43.486,43.755,44.217,44.486,44.756,44.834,45.025,45.102,45.256,45.217,44.986,45.102,45.448,45.756,46.333,46.603,46.757,46.988,46.950,47.104,47.334,47.526,47.449,47.718,48.335,48.873,49.296,49.373,49.412,49.758,50.182,50.567,50.412,50.259,50.336,50.375,50.847,51.055,51.574,51.886,51.990,51.835,51.990,52.302,52.770,52.511,52.406,52.770,53.289,53.499,53.862,54.226,54.538,54.538,54.798,55.057,55.162,55.162,55.162,55.369,55.786,56.097,56.305,56.565,56.617,56.721,56.825,57.240,57.502,57.502,57.553,59.009,60.413,61.453,61.349,61.557,61.245,60.985,60.985,61.192,61.453,61.660,61.453,61.349,61.297,61.557,61.660,61.816,61.712,61.349,61.140,61.765,61.921,62.389,62.284,62.180,62.456,62.647,62.962,62.709,62.393,62.709,62.962,63.277,64.098,64.035,63.656,63.908,64.604,64.919,65.488,65.740,65.677,65.866,65.992,66.245,66.182,66.182,65.804,65.930,66.308,66.624,67.003,67.382,67.634,67.571,67.382,67.824,68.204,68.013,68.077,68.391,68.835,69.213,70.034,69.908,69.782,69.592,69.530,69.845,70.477,70.539,70.413,70.730,71.172,71.487,72.181,72.181,72.119,72.119,72.561,73.191,73.191,73.191,72.750,72.877,73.594,73.892,74.338,74.413,74.338,74.114,74.413,74.636,75.008,74.859,74.561,74.785,75.231,75.381,75.827,75.902,76.050,75.902,76.199,76.645,76.868,76.496,76.125,76.348,76.496,77.017,77.464,77.761,77.836,77.836,78.134,78.208,78.655,78.803,78.803,79.101,79.472,79.771,80.515,80.962,81.630,82.151,82.747,82.598,82.673,82.598,82.375,82.375,82.450,83.045,83.640,83.862,83.862,83.788,84.086,84.384,84.459,84.235,84.384,84.682,85.351,85.523,85.696,86.041,86.128,86.041,86.214,86.647,87.337,87.337,86.906,87.251,88.288,88.892,89.238,89.325,89.497,89.670,90.102,90.707,90.620,90.448,90.534,90.879,91.242,91.588,91.614,91.605,91.769,91.639,91.432,91.855,92.512,92.339,92.011,92.175,92.728,93.038,92.952,92.823,92.823,92.710,92.909,93.238,93.419,93.134,93.116,93.229,93.730,93.980,94.153,94.214,94.369,94.248,94.386,94.551,94.490,94.205,94.015,94.006,94.643,94.587,94.596,94.625,94.890,94.909,95.080,95.213,94.966,94.966,94.786,95.070,95.232,95.640,95.393,95.573,95.630,95.611,95.431,95.677,96.247,96.379,96.237,96.342,97.366,97.632,97.565,97.442,97.546,97.338,97.499,98.058,98.172,98.077,97.347,97.698,98.106,98.855,98.751,98.931,98.979,98.779,98.590,99.462,100.221,100.041,99.330,98.988,98.884,99.311,99.121,99.481,99.652,99.491,99.187,99.425,99.794,100.041,99.481,99.719,100.09,100.16,99.94,99.50,99.44,99.71,99.63,100.19,100.74,100.18,100.09,100.33,101.04,101.58,101.84,101.98,102.05,102.05,102.26,102.75,103.17,103.35,103.87,104.04,104.85,105.42,106.10,106.83,107.50,108.21,108.73,108.63,108.82,109.16,109.07,109.26,110.07,110.33,110.52,110.77,111.13,111.16,111.29,112.28,112.85,113.27,112.68,112.73,113.17,113.78,113.95,114.01,114.10,113.84,114.13,114.54,114.65,114.69,114.40,114.91,115.71,116.08,116.29,116.38,116.27,116.31,116.52,116.45,117.06,117.42,117.20,117.57,118.03,118.40,118.80,119.37,119.92,119.99,119.77,120.05
"T10 whole country","A 01 Food and non-alcoholic beverages",20.259,20.654,20.487,20.467,20.737,20.778,20.695,20.820,21.340,21.421,20.611,20.820,21.317,21.671,21.588,21.484,21.649,21.215,21.215,21.151,21.421,20.737,20.591,20.487,20.654,20.695,20.861,21.110,21.920,21.816,21.609,22.522,22.854,22.771,22.584,22.999,23.291,23.851,24.120,23.851,23.954,24.162,24.224,24.452,24.557,24.162,24.494,24.971,25.178,25.262,25.302,25.324,25.781,25.635,25.242,25.697,26.237,26.196,26.113,25.967,26.580,26.805,26.891,27.622,28.299,28.468,28.553,28.807,29.314,29.259,28.835,28.835,29.653,30.413,30.836,31.090,30.836,30.977,31.034,31.935,32.330,32.133,32.133,32.076,32.442,32.641,32.612,32.922,33.318,33.289,33.260,33.373,33.628,33.148,32.273,32.330,32.781,32.781,33.035,33.373,33.542,33.965,33.796,34.106,34.811,35.036,34.698,35.262,36.050,36.867,36.981,36.784,36.698,36.981,37.912,38.701,38.306,37.883,37.827,37.714,38.293,38.640,38.987,39.141,38.833,38.139,38.062,38.486,39.410,38.216,37.908,38.178,38.794,39.063,38.987,39.641,40.258,40.104,40.142,40.181,40.104,39.796,39.487,39.680,39.988,40.373,40.335,40.952,40.875,40.875,41.336,42.184,42.416,42.030,41.682,42.146,43.455,44.302,44.842,45.382,45.728,44.726,44.920,46.114,46.653,46.769,46.074,46.229,46.653,47.577,47.770,48.078,47.577,46.345,45.843,47.925,48.156,48.655,47.770,47.616,48.264,48.697,48.457,47.547,46.733,46.781,47.307,47.786,50.037,49.032,47.020,47.068,48.313,48.792,49.989,50.372,49.702,50.277,50.946,52.192,51.665,51.474,49.893,50.421,51.474,52.910,52.384,52.671,53.101,52.671,51.905,53.580,54.874,52.527,52.049,52.958,54.011,54.537,55.591,55.017,54.155,53.293,53.293,54.537,57.123,57.603,56.693,56.693,57.651,58.368,59.614,59.423,58.800,58.609,59.518,61.816,61.959,61.385,59.470,59.423,60.610,61.902,62.087,62.394,61.717,60.610,61.410,61.717,62.948,62.149,59.871,60.856,62.025,61.779,61.841,61.656,61.102,60.548,60.918,63.256,63.872,62.517,60.856,61.779,62.087,63.502,62.948,63.132,62.702,62.333,63.132,63.256,65.102,65.225,63.502,63.809,63.994,64.549,64.425,65.410,65.655,65.532,66.763,67.932,68.609,68.055,68.179,69.286,70.764,71.009,72.178,73.348,72.855,70.824,71.378,71.932,71.747,71.316,70.209,71.316,73.039,73.878,74.410,75.553,75.172,74.182,74.563,76.467,80.351,80.504,77.914,77.914,80.504,82.103,81.874,81.189,80.351,80.961,82.484,84.997,84.768,82.788,82.560,83.779,85.287,84.989,85.827,85.500,85.355,84.883,84.304,85.363,88.478,87.061,84.921,85.538,87.290,87.754,86.902,86.992,86.094,85.112,85.728,87.731,87.754,85.790,84.434,84.738,85.705,86.581,86.810,86.733,86.741,86.360,86.635,87.336,87.914,86.201,85.911,86.422,87.795,88.385,87.549,87.461,88.737,88.473,88.244,88.825,88.649,87.769,86.607,87.998,88.711,91.062,90.023,90.067,89.133,87.742,87.734,88.940,93.271,91.986,90.621,91.581,94.346,94.434,93.606,92.611,92.312,91.643,91.907,94.645,95.825,93.465,90.859,91.951,93.324,96.027,94.486,94.962,94.073,92.866,93.148,98.026,101.424,98.748,95.675,95.842,95.789,96.441,95.508,96.318,95.816,94.768,93.923,94.821,97.304,97.497,94.988,95.974,97.16,96.66,98.06,97.65,98.45,98.68,99.15,101.80,104.79,104.85,101.24,101.51,103.39,105.69,105.84,105.35,105.16,104.56,104.75,106.20,107.87,106.72,107.25,107.85,109.34,109.63,109.55,110.29,111.35,111.32,112.99,114.56,116.06,114.72,112.46,113.53,115.37,115.91,116.46,115.90,115.99,116.30,117.30,120.53,122.46,122.85,119.80,120.56,122.20,123.96,124.22,122.75,121.90,120.68,121.54,122.99,124.72,124.53,121.32,123.61,125.13,126.45,127.26,126.48,124.78,124.74,125.75,128.96,128.82,128.88,127.08,128.01,128.75,129.12,127.91,126.84,126.79,127.27,126.94,128.27
"T10 whole country","B 02 Alcoholic beverages and tobacco",22.027,22.027,22.027,22.226,22.315,22.315,22.271,22.271,22.493,22.493,22.493,22.539,22.561,22.785,22.785,22.785,22.785,22.962,22.984,22.962,22.962,22.918,22.918,22.940,22.962,22.984,23.028,23.028,23.028,23.074,23.318,23.318,23.318,23.342,23.342,23.318,23.364,23.453,23.542,23.542,23.564,23.586,23.653,23.698,23.787,23.832,23.832,23.876,23.921,23.921,23.921,24.166,24.723,24.945,25.125,25.414,25.437,25.481,25.503,25.503,25.614,25.641,25.771,25.875,25.954,26.111,26.215,26.267,26.582,26.608,26.660,26.687,27.027,27.236,27.210,27.210,27.288,27.340,27.131,26.895,26.817,26.791,26.791,27.314,27.759,28.047,28.099,28.073,28.073,28.151,28.570,28.727,28.806,28.858,29.198,29.329,29.355,29.538,30.009,30.349,30.402,30.271,30.271,30.271,30.323,30.349,30.375,30.375,32.965,33.071,33.097,33.148,33.201,33.201,33.226,33.201,33.148,33.148,33.148,33.175,33.132,33.098,33.132,33.132,33.132,33.945,34.215,34.215,34.386,34.690,34.724,34.758,34.825,34.893,34.893,35.028,35.164,35.164,38.314,38.891,39.161,39.161,39.128,39.128,39.161,39.161,39.161,39.161,39.161,39.298,39.331,39.534,39.636,39.670,39.670,39.805,40.144,40.517,41.703,42.143,42.210,42.347,42.347,42.379,42.379,42.347,42.279,42.210,44.751,44.718,44.683,44.649,44.615,44.649,44.615,44.615,44.615,44.615,44.583,44.514,45.323,45.233,45.099,44.964,45.008,44.918,44.874,45.008,44.964,44.874,44.874,44.918,47.393,47.393,47.348,47.123,47.259,47.259,47.169,47.213,47.213,47.169,47.169,47.213,47.393,51.084,51.084,51.084,51.084,51.039,50.949,51.084,51.039,51.084,51.039,51.039,51.039,51.670,52.255,52.434,52.344,52.344,52.210,52.344,52.344,52.344,52.299,52.344,52.299,52.299,52.344,52.344,52.974,52.929,52.929,52.974,52.974,53.020,53.020,52.974,60.528,60.589,60.589,60.528,60.589,60.589,60.589,60.589,60.589,60.649,60.649,60.649,60.528,60.467,60.467,60.467,60.406,60.406,60.406,60.406,60.528,60.528,60.528,60.528,60.467,60.467,60.528,60.528,60.589,60.770,60.831,60.891,60.891,60.891,60.891,60.891,60.891,60.891,60.891,60.891,60.891,60.891,60.891,61.255,61.255,61.255,61.255,61.255,61.558,61.618,61.679,61.679,61.740,61.740,61.679,61.740,61.800,61.800,61.861,61.921,62.044,62.044,61.920,61.982,61.920,61.982,61.858,61.982,62.044,62.044,62.044,61.982,61.982,61.920,61.920,61.858,62.726,62.664,62.664,62.788,62.788,62.788,62.788,62.726,62.794,63.259,63.166,63.246,63.061,63.259,63.166,63.488,63.804,63.842,63.835,63.904,64.349,64.349,64.492,64.405,64.436,64.443,64.449,64.474,64.498,64.523,64.560,64.536,64.467,64.523,64.436,64.424,64.331,64.294,64.294,64.418,64.418,64.431,64.461,64.455,96.460,96.508,96.479,96.596,96.605,96.518,96.818,96.847,96.789,96.808,96.692,96.973,97.147,97.301,97.321,97.379,97.388,97.234,97.195,97.446,97.272,97.359,97.514,97.495,97.920,98.645,98.713,98.896,98.722,98.906,98.974,99.041,99.080,98.954,98.916,98.887,99.070,99.167,98.983,99.109,98.964,98.935,99.128,99.109,99.041,99.032,99.235,98.983,99.157,99.186,98.858,99.244,99.689,99.873,99.892,99.940,100.153,100.221,99.960,100.008,100.17,100.19,99.85,99.83,99.95,99.95,99.98,99.98,100.08,100.14,99.98,99.88,100.16,100.21,99.87,100.38,100.43,100.52,100.57,100.66,100.74,100.66,100.56,100.40,100.82,101.51,102.29,102.72,102.96,102.87,103.05,103.19,102.92,103.06,102.99,103.04,102.85,103.33,103.40,103.41,103.23,103.50,103.55,103.58,103.28,103.66,104.81,105.01,104.40,104.33,104.43,104.70,104.46,104.54,104.71,104.59,104.48,104.68,104.81,104.58,104.61,104.69,104.72,104.79,104.75,104.87,104.88,104.91,105.05,105.10,104.87,104.63,105.08,105.33,105.35,104.92,105.06,105.35,105.09,105.29
"T10 whole country","C 03 Clothing and footwear",32.802,32.802,32.834,32.834,32.834,32.834,32.867,32.867,32.867,33.131,33.263,33.295,33.329,33.329,33.362,33.362,33.494,33.757,33.789,33.789,33.789,33.954,34.151,34.283,34.317,34.317,34.350,34.383,34.712,34.744,34.744,34.744,34.811,35.601,35.831,36.128,36.161,36.359,36.391,36.524,36.853,37.478,37.642,37.642,37.808,38.927,39.883,40.377,40.442,40.475,40.573,40.937,42.484,42.747,42.846,42.945,43.209,44.493,45.019,45.152,45.926,45.926,46.066,46.300,46.815,46.815,46.862,46.862,46.908,47.329,47.657,47.798,48.031,48.125,48.172,48.218,48.218,49.387,49.435,49.435,49.668,50.369,51.632,51.819,51.913,52.006,52.006,52.052,52.239,52.380,52.427,52.427,52.521,52.896,53.128,53.222,53.363,53.503,53.597,53.737,54.251,54.391,54.391,54.345,54.391,54.719,54.719,54.812,55.000,55.186,55.233,55.280,55.420,55.514,55.607,55.607,55.561,55.794,55.842,55.888,55.978,56.034,56.092,56.092,56.204,56.430,56.430,56.542,56.656,56.824,56.994,56.824,56.937,57.108,57.163,57.163,57.671,57.784,56.711,56.768,56.768,56.882,57.050,57.108,57.108,57.163,57.276,57.333,57.333,57.389,57.389,58.743,58.743,59.195,59.421,59.477,59.816,59.984,60.155,60.324,60.324,60.380,60.324,60.324,60.380,60.606,60.832,61.000,60.944,60.944,60.944,60.944,61.000,61.622,61.678,61.678,61.678,61.848,61.791,61.791,61.690,61.751,61.751,61.690,61.876,62.313,62.375,62.438,62.438,63.310,62.500,63.684,63.746,63.746,62.687,63.808,64.369,64.369,64.182,64.369,64.432,64.681,64.120,65.428,65.428,65.303,65.428,65.553,65.926,66.051,65.802,66.051,66.175,67.173,67.298,67.796,67.921,68.107,68.295,68.295,68.731,68.794,68.731,68.917,69.042,68.794,67.485,68.855,68.794,68.980,69.105,69.166,68.794,68.794,68.544,68.669,68.669,68.731,67.485,68.855,68.925,68.925,68.925,68.995,69.342,69.342,69.342,69.342,69.342,70.036,70.175,70.175,70.175,70.382,70.382,70.382,71.355,71.423,71.355,71.423,71.423,71.909,72.465,72.465,72.465,72.535,72.535,72.535,73.089,73.089,73.367,73.367,73.367,73.576,73.924,74.130,74.130,74.062,74.130,74.201,74.963,75.033,75.172,75.242,75.310,75.381,76.075,76.769,76.838,77.046,77.184,76.907,78.920,79.406,79.476,79.198,79.614,79.684,80.864,80.933,80.747,80.666,80.666,80.666,80.828,81.315,81.396,81.396,81.477,81.396,80.909,82.371,82.452,82.533,82.614,82.695,83.669,83.750,84.156,84.237,84.237,83.831,86.022,86.022,85.990,86.736,86.761,86.403,87.832,88.417,88.408,88.408,88.417,88.018,89.479,89.479,89.455,89.641,89.618,88.733,89.925,90.153,89.593,90.161,90.721,90.697,93.277,93.196,93.172,93.180,93.310,93.277,93.740,94.316,94.251,94.276,94.308,94.373,95.298,95.216,95.013,94.831,94.889,94.498,95.117,95.117,95.165,95.270,95.642,95.279,96.347,96.633,96.023,96.757,96.757,96.795,97.243,97.252,96.557,97.252,97.272,97.357,97.329,97.758,97.252,97.853,97.882,96.967,98.234,98.358,97.691,98.387,98.444,98.444,98.396,99.073,98.501,99.092,99.178,99.187,99.206,99.226,99.111,99.111,99.178,99.178,99.511,99.550,98.901,99.521,99.226,98.959,99.054,99.102,99.111,99.111,99.149,99.321,99.893,99.893,99.62,99.78,99.79,99.38,99.94,99.94,100.26,100.25,100.27,100.17,100.27,100.33,100.19,100.24,100.25,100.20,100.36,100.36,100.38,100.38,100.39,100.49,101.71,101.74,102.08,102.21,102.25,102.22,103.42,103.47,103.59,103.69,103.71,103.84,106.93,107.15,107.41,107.48,107.85,107.84,111.55,111.45,111.59,111.68,111.68,112.31,113.50,113.57,113.61,113.63,113.65,113.59,114.30,114.31,114.38,114.44,114.44,114.79,115.48,115.49,115.46,115.86,115.87,115.92,116.23,116.46,116.46,116.48,116.48,117.24,118.17,118.19,118.24,118.28,118.30,118.40,119.45,119.52,119.71,119.72
