,headline_yoy
1972-12-31,
1973-03-31,
1973-06-30,
1973-09-30,10.143042912873867
1973-12-31,12.998712998713003
1974-03-31,13.61916771752838
1974-06-30,14.512195121951233
1974-09-30,16.4108618654073
1974-12-31,16.287015945330307
1975-03-31,17.536071032186463
1975-06-30,16.9329073482428
1975-09-30,12.170385395537542
1975-12-31,14.397649363369226
1976-03-31,13.125590179414548
1976-06-30,11.930783242258647
1976-09-30,13.924050632911378
1976-12-31,14.212328767123283
1977-03-31,13.93989983305508
1977-06-30,13.588283157038262
1977-09-30,12.936507936507935
1977-12-31,9.22038980509745
1978-03-31,8.205128205128197
1978-06-30,8.022922636103136
1978-09-30,7.870695713281783
1978-12-31,7.755662319835266
1979-03-31,8.124576844956
1979-06-30,8.687002652519894
1979-09-30,9.315960912052134
1979-12-31,10.063694267515944
1980-03-31,10.64495929868503
1980-06-30,10.860280658938382
1980-09-30,10.131108462455307
1980-12-31,9.201388888888884
1981-03-31,9.39445387662703
1981-06-30,8.750687947165648
1981-09-30,8.98268398268398
1981-12-31,11.234764175940626
1982-03-31,10.60527677185723
1982-06-30,10.728744939271252
1982-09-30,12.462760675273078
1982-12-31,11.052882324916634
1983-03-31,11.365762394761457
1983-06-30,11.151736745886653
1983-09-30,9.227373068432666
1983-12-31,8.622908622908621
1984-03-31,5.879882402351955
1984-06-30,3.9473684210526327
1984-09-30,3.4357316087308076
1984-12-31,2.6066350710900466
1985-03-31,4.442681475604915
1985-06-30,6.6060126582278444
1985-09-30,7.698319656115671
1985-12-31,8.1986143187067
1986-03-31,9.229016331181183
1986-06-30,8.46011131725417
1986-09-30,8.853410740203206
1986-12-31,9.747420846673794
1987-03-31,9.422809457579962
1987-06-30,9.237085186452276
1987-09-30,8.233333333333338
1987-12-31,7.131280388978922
1988-03-31,6.863679694947589
1988-06-30,7.140620106482931
1988-09-30,7.39143825069295
1988-12-31,7.624810892586997
1989-03-31,6.7796610169491345
1989-06-30,7.570885705933916
1989-09-30,7.9724691712073525
1989-12-31,7.815574922687651
1990-03-31,8.63269284321917
1990-06-30,7.690217391304355
