,Food and non-alcoholic beverages,Alcohol and tobacco,Clothing and footwear,Housing,"Furnishings, household equipment and services",Transport,Other goods and services
1972-12-31,6.217259379028861,3.1005458525861007,5.856895804133133,6.93207725660836,3.47039481757645,2.3295470935079,2.339628455824494
1973-03-31,19.205288675185873,7.824184499594011,5.772396086764764,4.297167328300233,3.731212580001242,1.8496619946042125,9.87974590030516
1973-06-30,22.51818739337692,14.124766018755208,17.795902777465813,11.853423699517652,8.983337859713236,2.305380864639761,17.348968366797024
1973-09-30,25.964920123650124,0.0,11.135276053362531,8.391367514346149,12.637904389621557,10.381289062499954,16.139168453992745
1973-12-31,15.812864734002364,25.184743887438522,18.530159655963672,15.65837035531703,6.830525698268963,12.038105026419998,16.40820998025141
1974-03-31,13.717022424350422,0.0,8.585090706581223,10.855409353733148,11.756718170401337,9.825329844484498,12.153397270145948
1974-06-30,17.142949867602653,22.104701025655736,32.73856179631673,21.33381234491065,15.342773648898778,9.58992722965608,17.770134415814674
1974-09-30,9.548332640418566,30.190928940987604,19.705119085729915,20.256449590544136,25.20786858160955,36.69285186014017,21.840317703870802
1974-12-31,0.0,6.219016390268961,32.36319517799271,23.223006644046617,25.36368927293522,19.99409552655709,14.401130302613074
1975-03-31,4.584985375228312,23.362961496959866,5.526547294854822,12.576148491074868,15.803692618359676,18.630623127928448,22.962415285071614
1975-06-30,13.613025538576707,8.194987333078952,18.529427649231287,23.3535216881511,14.030523397702233,12.764247539202733,14.26832259287687
1975-09-30,6.019418779918562,9.216049314198127,9.267279605221578,14.816073482323144,9.330799133621248,22.67001749582416,-14.342855545407085
1975-12-31,13.390200353260795,99.19649849625236,32.06238658560003,23.17845906297542,31.904375895833258,24.458798929363688,17.204319780872112
1976-03-31,21.832953524356036,8.516077449044035,4.754793693481085,12.243866083736066,8.489618374710428,11.079025925082032,5.455217819834179
1976-06-30,1.43495465858956,10.260339846005785,25.321279066000834,17.773319748409033,10.86574744393789,5.440951308642017,12.189808969482986
1976-09-30,13.427612057600014,0.0,6.709958629630131,12.574767643980111,6.7757563808085175,7.82183171740396,12.02425680334609
1976-12-31,16.043096411169188,5.367950220033668,29.666303788200054,13.742023816305228,6.847505536001175,6.4637889762974465,59.861236485539116
1977-03-31,7.5053464911862156,2.6228116722533557,6.174937611464548,9.205858184008274,12.282897214039078,11.787305079397893,11.477283952193673
1977-06-30,12.26261423269117,5.262048356236537,14.615603017389155,11.522101280676988,9.92087394625958,7.336471538551614,7.45290991984473
1977-09-30,17.156950459181086,5.193737964094303,6.876210753668288,7.711432333565771,6.207542542396638,6.071456041976364,5.18568972605169
1977-12-31,8.152791299986939,5.12717808135752,13.97259199748011,10.985584472924149,10.572783417463349,12.225740673937313,9.757429033135478
1978-03-31,2.1059826920112545,5.062302283955544,4.637815591498851,4.75919303077037,3.9971121878800586,6.889510125635834,8.277140333809774
1978-06-30,12.417898218928535,0.8205085225225561,10.292316743340413,6.953981151506494,9.026753912102748,4.6533997992627585,10.691475605960644
1978-09-30,12.044372361633982,3.3055075032078607,4.471921711801019,5.567133435216198,4.817487573284063,9.088245807333205,7.215520419219357
1978-12-31,13.839778387463841,88.71501642899608,9.921266126703078,8.002305794892983,5.858149528073087,13.680746074320016,-3.7881469594453376
1979-03-31,12.485657745789869,-0.6890585893371881,1.710581325789584,4.471921711801019,6.707591582098238,9.869376700037492,7.199508053643111
1979-06-30,20.66842169878229,4.933005139197699,12.38452122209961,7.757679928917072,4.614920182431037,12.652564454614335,10.15208381855659
1979-09-30,12.35046419269754,5.583318817571725,5.87875135296676,6.411997480273168,9.278940381808765,17.016329332925807,9.816291332205985
1979-12-31,9.34619012100093,4.806019777445791,6.641382253001149,9.576022184513144,9.219840336983488,15.11246997455482,18.33532118328116
1980-03-31,17.524030412986757,8.243215999999997,2.5037912420101005,7.315836357963157,10.795629632699644,1.8991820142756355,9.740688347546357
1980-06-30,10.233167700209522,6.697894679088479,12.426818924196814,9.183209819821748,10.512143626432424,20.611805404326855,12.728009116217965
1980-09-30,8.542826337234356,7.94325072570945,4.69792485904863,11.241618243807604,14.699044177197562,0.7983992333493672,3.945892773030546
1980-12-31,11.662089980639024,3.839566022216112,9.446657499351762,10.934577648636456,9.06888931302694,8.184213518321371,6.73098446223972
1981-03-31,8.81030432742711,9.04131928443903,3.771196831527268,9.569646882316363,11.410156937509353,15.425267233994134,9.876838386833931
1981-06-30,5.325082142317106,6.899478837228656,12.32289031056708,11.185557020034409,6.195903484936838,16.530026382150666,8.407203179098953
