date,python_mle,at_eviews_params
1980Q1,0.6598999999999999,0.6598999999999999
1980Q2,-0.14355800049599912,-0.14059517713745362
1980Q3,0.23038585031158915,0.2880164898734695
1980Q4,0.6479062652036314,0.8233930981451799
1981Q1,0.874877108510084,0.7282427045924136
1981Q2,0.8501962262871726,0.7778337115240538
1981Q3,0.30497616857926524,0.5932983550426574
1981Q4,0.12191850640029286,0.18538946656711472
1982Q1,-0.43983838304489487,-0.5548065024858946
1982Q2,-1.0936839966681606,-1.2001417687383114
1982Q3,-2.635861032015194,-2.7292054569178976
1982Q4,-5.021928376198109,-4.631926735239335
1983Q1,-5.470568663209624,-5.457673291813711
1983Q2,-5.429890311928577,-5.3026165990320635
1983Q3,-4.577800558515714,-4.488648768086068
1983Q4,-3.163572203630103,-3.166282142754185
1984Q1,-2.9834476054110257,-2.577724115899908
1984Q2,-2.636320073255828,-2.0917201042208533
1984Q3,-2.3548499540206667,-1.9304707730509993
1984Q4,-2.405850732953272,-2.1521287647080047
1985Q1,-2.2268169877887005,-1.6933226045428702
1985Q2,-1.9376819021165739,-1.055716754541617
1985Q3,-1.2895143478073252,-0.4567041910296458
1985Q4,-1.2055263621382863,-0.5478981053821237
1986Q1,-1.6380436642042342,-1.0579891964252137
1986Q2,-1.7800688712594208,-1.5494907485056073
1986Q3,-2.516154474898443,-2.055022507789773
1986Q4,-2.178461194945337,-1.7182545483155076
1987Q1,-2.0680440128738335,-1.5965139858884556
1987Q2,-1.604135786142305,-0.8848101065582614
1987Q3,-1.3231005477757518,-0.3534947536313768
1987Q4,-1.016553578394174,0.09763480754250223
1988Q1,-0.765214258156519,0.20250031202675356
1988Q2,-0.5025205353319968,0.38541467825169134
1988Q3,0.25031594671802504,0.7421975181313392
1988Q4,0.14904302169534994,0.9500054761243798
1989Q1,0.5869609188648474,1.3906729096590178
1989Q2,1.1892997593761594,2.04890997444085
1989Q3,1.068580421670024,1.853643220684743
1989Q4,0.8046789930493082,1.3273982178405535
1990Q1,0.0767702435284198,0.7903347697351767
1990Q2,-0.5935948134695944,0.02216575519633488
1990Q3,-1.8206204712422938,-1.1813522204059888
