iteration,log_likelihood,change_in_log_likelihood,beta1,beta2,beta3,eps1,eps2,eps3,eps5,eps6,eps7,g_star,gamma,lambda1,lambda3,phi1,phi2,phi3,psi,rho
10,529.6916703833676,6.164272269049093,-0.49786272357868305,-1.1364685432330082,-0.7729965564993038,0.004165278975871259,0.12501988965246577,0.3531740483507971,0.00621389660884768,0.004510395153962312,0.15977024281511137,0.007560735076994554,0.004866299365118348,4.073710750833107,-24.684566984069868,1.1409662526254596,-0.19746683833119716,-0.000583178495306202,0.01581578717345248,0.7497459925128791
11,535.8502880957826,6.15861771241498,-0.5417250420248156,-1.2318953109431818,-0.7574113540834225,0.00425946988580118,0.09914524321320707,0.3288082299627274,0.005775479408730401,0.0049003629658944245,0.15977024281511137,0.007681935622599781,0.004817944661629469,3.9638369935991506,-26.56953099341829,1.2178724863766712,-0.30453119329097655,-0.000575321382142574,0.017765244912858812,0.7200155951485765
12,540.0538967104291,4.203608614646441,-0.4762970695152634,-1.305491562733314,-0.6844581377550994,0.004084530575526716,0.07904823754628981,0.31851795035837355,0.005502778453348459,0.004955561342177335,0.15977024281511137,0.007562732790879275,0.004768150056999222,3.904877028664769,-27.8717181127198,1.2823009248270925,-0.36634531522977015,-0.0006918636542511138,0.01953433784698212,0.685001692153196
13,541.6157777467811,1.5618810363520197,-0.4468413169922525,-1.3267544648238163,-0.6512686290029664,0.003969487156221005,0.07053788411492615,0.31646368553740895,0.0053637343095775,0.004964777043578244,0.15977024281511137,0.0074888686210800425,0.0047454551076065,3.879075210869634,-28.387884053002978,1.3069063598347874,-0.39264078142764175,-0.0005366676532802503,0.020292172310512235,0.6648972138149563
14,542.9536146737639,1.3378369269828454,-0.4189725036996615,-1.305051084090021,-0.6359084227800611,0.0038449640169861818,0.06834607834715228,0.3257257022723166,0.005310963077008424,0.00489567391259544,0.15977024281511137,0.007380467921692241,0.004733847627246558,3.874273290057651,-28.4480769810396,1.312524179741413,-0.39187001953305894,-0.0005546837839603335,0.020547013638551662,0.6560040087061227
15,545.4012987333166,2.447684059552671,-0.38869883870630845,-1.2722619889997107,-0.6269499036703945,0.003973672657317069,0.05210826745609387,0.3372255483846541,0.005211719903028179,0.004915926884482928,0.15977024281511137,0.007274475055721957,0.00468851796498458,3.8142838369654033,-29.467222064926887,1.3607172351023018,-0.4328501992719443,-0.0005583025198543974,0.021919230061061695,0.6385608042385017
16,547.2456541132331,1.8443553799164647,-0.3597301454496345,-1.218235986448569,-0.6400051790307547,0.00411331749678683,0.031021486794764765,0.34250960756028503,0.005096554734764807,0.004848423527293883,0.15977024281511137,0.007350685182798499,0.004634549190763879,3.741512055485041,-30.684153143044895,1.4064636556046812,-0.47523854859996806,-0.0005347943281438558,0.023631401652265408,0.6097577174792583
17,547.7262554763051,0.4806013630720827,-0.3460219861288926,-1.1956898218179113,-0.6235470557819683,0.004271576404279618,0.02568752278914643,0.33931753460385666,0.005238100954653242,0.004666482348942632,0.15977024281511137,0.007452326161182785,0.004622245277607903,3.7341763658857086,-30.88743872281571,1.4061383223914181,-0.45999243778270416,-0.0005195089079692497,0.0240560417895305,0.6079578678271679
18,548.152840670136,0.42658519383087423,-0.3385112070852877,-1.1707188887153872,-0.6330692907809283,0.004394133373059837,0.01971072928108592,0.337108864648786,0.005304495253487903,0.004518638523444067,0.15977024281511137,0.007536016097881099,0.004609880595720659,3.7203859261916157,-31.12819555780934,1.3944533380331132,-0.46279089708376986,-0.0005063268610375306,0.024508890781687546,0.6044171860133161
19,548.3875669554934,0.2347262853573966,-0.34462491770266623,-1.169351449453189,-0.6445386729830317,0.004391642544011503,0.017637465669354726,0.3339327469417715,0.005290439474354879,0.004450537902765638,0.15977024281511137,0.007533909198705526,0.004608979107884972,3.7176881236172803,-31.162923722411577,1.3879380001925599,-0.4558985178507553,-0.0005042815450248475,0.02462937478576291,0.605512686979484
20,548.7936487950992,0.4060818396058039,-0.36612815125946047,-1.1772553159152053,-0.6554756906751907,0.004389943487229584,0.013293861389977044,0.32828024166352865,0.005319911680546131,0.004223389669131545,0.15977024281511137,0.007455780006928043,0.004611891458062002,3.719850799790116,-31.078603704742722,1.35718227019458,-0.426726728795709,-0.0005005555131385489,0.0248347340329995,0.612801335253166
21,548.987902851736,0.194254056636737,-0.37659128323035895,-1.2021864768475852,-0.6622534475646754,0.004378978537652947,0.009015142077024646,0.331209821595059,0.005397779924256605,0.0040560398522842215,0.15977024281511137,0.007572606655276625,0.0046157909337433845,3.7274607273712985,-30.888823727678467,1.3296000687754943,-0.3957720375508579,-0.000490201877156302,0.02505711301052327,0.6111549568580091
22,549.1247569643872,0.13685411265123548,-0.3820096177635208,-1.2053545872369367,-0.6564466019945384,0.0044017934158828665,0.0072112914913103135,0.33361937573441,0.005458362173930683,0.004034253722748276,0.15977024281511137,0.0074776994866535985,0.004615203814179472,3.7253686223098788,-30.83676702492299,1.3220601529781402,-0.38920737094888974,-0.0004889496880443088,0.025161851315311616,0.612285228851398
23,549.1596950079324,0.034938043545253095,-0.38340492885673616,-1.2064121174758768,-0.6525625471289956,0.004404650365906948,0.006168908518984442,0.33565036379831265,0.005497961255282163,0.0040479629070425144,0.15977024281511137,0.0074729328210544265,0.0046145640631646626,3.7229846980347596,-30.78100258239958,1.31907074914361,-0.3864205400566675,-0.0004902580862368121,0.02522611514091664,0.6129487301493278
24,549.1700533270355,0.010358319103033864,-0.38423901712438285,-1.2063518861124207,-0.6515831923700859,0.0043954269248418455,0.005436605340971946,0.3365433184347083,0.005516063740537001,0.004061745107186553,0.15977024281511137,0.007471094984395065,0.004614246690289218,3.720910085582367,-30.728679103868654,1.3168057907832322,-0.38431145973048936,-0.00047904129076038835,0.025269623291126128,0.6139531509574212
25,549.1910440886948,0.02099076165927727,-0.3862169597280189,-1.2066133167109454,-0.6510525820675168,0.004380609281023302,0.004320311441246817,0.33772380613435726,0.005539650652061431,0.004083386158576408,0.15977024281511137,0.007475430204462527,0.004613798960009819,3.717582927158393,-30.658874636024276,1.3138171150996196,-0.38150572109890196,-0.00048545282631192436,0.025334832146526393,0.6151771269376194
26,549.2169074149986,0.02586332630380639,-0.38913599315911307,-1.2052619240500122,-0.652404832234296,0.004353042667528979,0.002771750311620329,0.33817817351391216,0.005565619277568033,0.004115105186868712,0.15977024281511137,0.007483243297184086,0.004613424482078726,3.7124656081278093,-30.54376136602198,1.3090342854726162,-0.3769385333260462,-0.0004917860514343582,0.025421356859695248,0.6179425299081213
27,549.2436617258766,0.026754310878004617,-0.39192643198390464,-1.2024265021944809,-0.6557190246796969,0.004316703951297115,0.0010018691399984157,0.3375332184365957,0.005587973841234086,0.004159212604445754,0.15977024281511137,0.007489509795260671,0.00461324855109511,3.7060223988406427,-30.385005124417376,1.3032561185562617,-0.37130111064361276,-0.0004967295793439017,0.025517523422115374,0.6218027603153619
28,549.2644532766863,0.020791550809690307,-0.3904550556890651,-1.203817311238528,-0.6571580533247448,0.004303193059534276,0.0001010361832813238,0.33635277941132996,0.005603277256737992,0.0042052915580521434,0.15977024281511137,0.007479848585615062,0.004614589811552907,3.703405095191472,-30.19872403253292,1.2978091291382186,-0.366900421732513,-0.000497361036920148,0.025559324865979928,0.6234071281097164
29,549.2687845941074,0.004331317421133463,-0.38899816207999593,-1.203918263905548,-0.6562522634837473,0.004303739662633517,7.435684682545608e-05,0.33550886538805474,0.005611333916809601,0.004211978637205389,0.15977024281511137,0.007476843192218419,0.004615363731166551,3.7038754980615374,-30.150520578040044,1.2978122973266562,-0.3650786895256063,-0.0004967522901871464,0.025555963595178425,0.6246670012517539
30,549.2728260041852,0.004041410077775254,-0.38712819911460983,-1.2047846548723962,-0.6555454565116682,0.004306994137656906,0.00022422850488047668,0.33475074555814976,0.0056143640758642924,0.004212537909459655,0.15977024281511137,0.007478118011720134,0.00461626986252961,3.705066262674253,-30.113071785391217,1.2965247124453876,-0.36498778171962,-0.0004947317661596192,0.02554255331956892,0.6249178736880702
31,549.274139872339,0.0013138681538293895,-0.3859039925897386,-1.2050234708218575,-0.6546085880101912,0.0043091129026778295,0.0003373309274106557,0.33452363566028087,0.00561839024604467,0.004206771237732303,0.15977024281511137,0.0074803578512819885,0.0046168024842915874,3.706256406405526,-30.10256610770619,1.2961802714320576,-0.3650572588629326,-0.000493807239413825,0.025533594725984626,0.6250407958953172
32,549.2755916066055,0.0014517342665385513,-0.38412993200905526,-1.2048588903857422,-0.6533296418454274,0.00430881128775739,0.0003624687432153105,0.3344553452723722,0.0056268061074034245,0.004199146558571676,0.15977024281511137,0.007482114176489131,0.004617633123602291,3.707908572310265,-30.078507006006326,1.295626032669777,-0.3647890711258226,-0.0004934479733373963,0.025528133224795933,0.6252718759540083
33,549.277307692528,0.0017160859224532032,-0.38147949937033865,-1.2038802026713242,-0.6523792159669672,0.004306676536065472,0.0002982147974728437,0.33463463542704325,0.005637136605310071,0.00419002794758969,0.15977024281511137,0.007482705421218918,0.0046192855823607255,3.7107168065483482,-30.027958285188824,1.2949389799377036,-0.36409845858659623,-0.0004932837207166986,0.025523083158173025,0.6253721313556774
34,549.2779149200803,0.0006072275523365533,-0.3806331502385072,-1.2014418486807388,-0.6521950803537749,0.004307017160387848,6.259486348383137e-05,0.3348038249143573,0.0056470667135179444,0.004186769939343444,0.15977024281511137,0.007480560263688384,0.004621688812401436,3.7133911807707283,-29.966380399626303,1.2943726717530997,-0.3636337239337704,-0.0004945184795770454,0.025520126093130653,0.6264498678614928
35,549.2782227025659,0.0003077824856063671,-0.3804848212048168,-1.2017205434353868,-0.6524597768601875,0.004306265250058497,7.320055671145427e-05,0.334951391950336,0.005645675645276168,0.004186204030803463,0.15977024281511137,0.007482175269514589,0.0046219463142644825,3.7138778221947293,-29.96457473452811,1.2945491284439394,-0.3635984964096455,-0.000493066190304513,0.025518472890962363,0.6260504536852548
36,549.278298254573,7.555200704700837e-05,-0.3805218584743751,-1.2019563564308242,-0.6527570824302621,0.004307442614327867,0.00014900743548231475,0.3349190513547933,0.005642546865688162,0.004186303516783756,0.15977024281511137,0.007482011376924727,0.004622083489578254,3.7141645804713934,-29.969104399131172,1.2948796819767285,-0.3638119766121088,-0.0004941379771685331,0.02551348726175418,0.6257677642806525
37,549.2783497282539,5.147368096913851e-05,-0.3806229167334597,-1.201757883512217,-0.6528046936526,0.004307616882391339,0.00013368364642040424,0.3349294488527073,0.00564288228088634,0.00418604524729365,0.15977024281511137,0.00748202675208375,0.004622337319136804,3.714420129513241,-29.96594642691359,1.2949009547595636,-0.363852086378297,-0.000493820329244954,0.025512540136129087,0.6258726304223747
38,549.2784160366164,6.63083624203864e-05,-0.38076761922347363,-1.2015205915073237,-0.6529252865568123,0.004308394354218704,0.0001411341162936058,0.3349146332732047,0.005642764101450063,0.004185113154240036,0.15977024281511137,0.007482184878935156,0.004622985800105445,3.7151790743203423,-29.96050206413014,1.2950411666801462,-0.36402981910732923,-0.0004935012915994947,0.025507776066206595,0.6259835268615686
39,549.2784916789005,7.564228417322738e-05,-0.3809033755642663,-1.2013921883519212,-0.6530446298831513,0.004309272213213559,0.00017390324670895808,0.33487249970167104,0.0056424782220752525,0.004183482805316467,0.15977024281511137,0.007482566166142226,0.004623978502936142,3.7164028767355117,-29.953530722063984,1.2952720792791836,-0.36431131829181257,-0.0004932935941546405,0.02549952705908168,0.6260558777732871
40,549.2786172597423,0.0001255808417681692,-0.3811270891678585,-1.2014736376803572,-0.653113754323404,0.004309050876760871,0.0002081679132366135,0.3348366634278717,0.0056431421601289,0.0041810797634047854,0.15977024281511137,0.0074831165484503925,0.00462573930522671,3.718499108678448,-29.941373342511636,1.2955616353078792,-0.3646960122436774,-0.0004931874737047575,0.025486854312680222,0.626103109463773
41,549.2786934391488,7.61794065056165e-05,-0.3812078597626834,-1.2017140678878313,-0.6530096575976301,0.004309403481785984,0.00024398770770978594,0.33478394451302335,0.005644782016541787,0.004178947170294791,0.15977024281511137,0.00748226577173061,0.004627651990519716,3.7207543694058947,-29.929591580471143,1.2959443861866105,-0.3648780994133087,-0.0004931224327828388,0.025473908708482505,0.6261821440102325
42,549.2787838230254,9.038387656801206e-05,-0.3814520656279014,-1.2021143087325137,-0.652994670971856,0.004308034789847679,0.00023537961025142068,0.33483691950296257,0.005646418365106952,0.004177815300196221,0.15977024281511137,0.0074823410558018345,0.004629528188224087,3.7227989157823513,-29.918842314993217,1.2960330302875211,-0.36515679389780215,-0.0004932930363942237,0.02546413521711779,0.6261160811878999
43,549.2788038112816,1.998825621285505e-05,-0.38147743231607895,-1.2022223874316116,-0.6529793481756634,0.004307779991175444,0.00021352363027062364,0.3348709536309174,0.005646721210643912,0.004178534353883044,0.15977024281511137,0.0074822346370917526,0.0046297711387776495,3.7229427468691965,-29.918615925666398,1.2959841079049537,-0.36508721241496345,-0.0004934773343018775,0.025464674270551543,0.626095562688595
44,549.2788179712952,1.4160013620312384e-05,-0.38150078187068565,-1.2023179615768949,-0.652959820420058,0.004307694681559101,0.00018377651692881044,0.33490461205767746,0.005647036882304506,0.004179524861573811,0.15977024281511137,0.007482050827971619,0.004630159968350434,3.723181241694054,-29.91815971149535,1.2959163681264863,-0.364993400506476,-0.0004936264258497486,0.02546514560046652,0.626100064274773
45,549.2788304024541,1.243115889337787e-05,-0.38151826047926807,-1.2023891591077842,-0.6529520283731656,0.004307844461859358,0.00016362302107678406,0.33491091062521144,0.005647036877901824,0.004180368913649743,0.15977024281511137,0.007481883185925721,0.004630691134833613,3.7235650843031145,-29.917692545726066,1.295869717839411,-0.3649478393587361,-0.0004936585003417787,0.025464380880607918,0.626122335574856
46,549.2788429085148,1.2506060670602892e-05,-0.3815255892436764,-1.2023298192449692,-0.6528807418451549,0.004307590129243029,0.00011556846259238824,0.33491083401006855,0.005647716536540837,0.004181226591930076,0.15977024281511137,0.007482126753120284,0.004631863500031306,3.7244696772342385,-29.914482356891092,1.2957567135705015,-0.3648552239935014,-0.0004939419306248213,0.025462433055391153,0.6262730248910634
47,549.2788710127535,2.810423870869272e-05,-0.38149534932480844,-1.2025502018888075,-0.6528001793066143,0.004307294355789156,6.083771767265251e-05,0.3348944908255213,0.005647898460173289,0.004183034636848939,0.15977024281511137,0.007482317170008128,0.004634079294712751,3.7262483974847793,-29.911187489916905,1.295613372501898,-0.36475685995141854,-0.0004936135542265251,0.025457067546493708,0.6263628162149885
48,549.2788845989353,1.3586181808022957e-05,-0.3814751719623168,-1.2024982703348757,-0.6528366822972805,0.004307569003048047,5.929651148645529e-05,0.3348629251165621,0.005647446077164616,0.004183128331029591,0.15977024281511137,0.007482411148635296,0.004634760319006173,3.7268426973197006,-29.910111496707184,1.2956227246245016,-0.3647881321634687,-0.000493608262643341,0.0254543473385016,0.6264027593162034
49,549.2789087214705,2.412253525108099e-05,-0.38145254610054236,-1.202180673003246,-0.6529515268125079,0.0043061377133710105,1.3194659491791075e-05,0.3348301857911149,0.005647156498603475,0.004183225040810127,0.15977024281511137,0.007482426337678114,0.004637714072895426,3.729348868206974,-29.90452760802354,1.2956078422540656,-0.3648139656858998,-0.0004933992480393705,0.025445326405696682,0.6265118018857606
50,549.2789220294947,1.3308024108482641e-05,-0.38137809021579916,-1.202199996752233,-0.6529996023350221,0.004306286648205378,1e-05,0.3347989214654797,0.005646433739181793,0.004183936580892956,0.15977024281511137,0.007482061700958014,0.004638741745258216,3.7301348657060975,-29.905776689860048,1.2955981432477646,-0.3647939562684253,-0.0004937079457496829,0.02544254670509287,0.6264767068533899
51,549.2789269126004,4.8831057029019576e-06,-0.38136484521119546,-1.2022247829470165,-0.6529884543399088,0.004306000640933971,1e-05,0.3348069745580791,0.005646623576915338,0.004183872604158426,0.15977024281511137,0.007481990984256808,0.004638943772436426,3.7302998692035425,-29.90612128457351,1.2955987871296295,-0.36479414678192185,-0.0004937468412909862,0.025442117537553603,0.6264416631115176
52,549.2789391997368,1.2287136428312806e-05,-0.3812899664969737,-1.2022317816095434,-0.6529478727337338,0.004305449706899543,1e-05,0.3348203750805755,0.005647080966017555,0.004183707238480051,0.15977024281511137,0.007481917738099858,0.0046398248135588425,3.7309810573559266,-29.90801500110816,1.2955942495479211,-0.36479225511751606,-0.0004937848656733631,0.025440249180224712,0.6263569744921109
53,549.2789579802213,1.8780484538183373e-05,-0.3811491222371253,-1.202189360394746,-0.6528816498868021,0.004305316615668359,1e-05,0.33482574319392827,0.00564749143875234,0.004183571426512523,0.15977024281511137,0.007481922855426385,0.004641840600320568,3.7325301187951054,-29.911566049520097,1.2956011030661918,-0.36479390309180465,-0.0004937836535680545,0.025435496848948035,0.6262690149899565
54,549.2789855262142,2.7545992907107575e-05,-0.3808925423376805,-1.2020839691346543,-0.6527566987356758,0.004305913242197956,1e-05,0.3348294968926753,0.005646865220404,0.004183370335670309,0.15977024281511137,0.007481981287098391,0.004647324747109883,3.7367159675704813,-29.91902708318863,1.2955708747967192,-0.3649106353550025,-0.000493769081373865,0.02542188212550835,0.6261890477968374
55,549.2790078131042,2.2286889930001053e-05,-0.38065361880387627,-1.2019799293960216,-0.6526308768869653,0.004306843598464159,1e-05,0.3348364425812021,0.00564603553813271,0.004183314682054346,0.15977024281511137,0.0074820440299615725,0.004652660688154547,3.740698226933172,-29.927422271417186,1.2956670826451746,-0.3648655468356608,-0.000493703594457084,0.025409593615118662,0.6261681377525997
56,549.279018469714,1.065660978838423e-05,-0.3807278283255557,-1.2019851510133517,-0.6526694939459617,0.004307101669004986,1e-05,0.334831632949943,0.005645292933140496,0.004183330339545352,0.15977024281511137,0.007482160781686701,0.004652580624466983,3.740599706895891,-29.926046990470855,1.2956585535513023,-0.3649061745304572,-0.0004936801973892518,0.02540966232175507,0.626244235541246
57,549.2790234178159,4.948101945956296e-06,-0.3807842344096358,-1.2019994161107501,-0.6526877158275416,0.004307391378240779,1e-05,0.33483325993003,0.005644363112372171,0.004183361335614313,0.15977024281511137,0.0074822482003299344,0.004653442850951193,3.741136874738145,-29.92623065443493,1.2956602961191472,-0.36493391163035266,-0.0004937099876582064,0.02540815315275424,0.626318837330202
58,549.2790266564468,3.2386309385401546e-06,-0.38083005289961824,-1.2020389909534521,-0.6527117406610347,0.004307340749091635,1e-05,0.33483891522376236,0.005643918926820649,0.00418345382384568,0.15977024281511137,0.0074821351293854555,0.004654342505093849,3.7415757578948288,-29.927424387517373,1.295655765955259,-0.36493306947404286,-0.0004936988025243173,0.025407886494800296,0.6263273426118048
59,549.2790304122051,3.7557582572844694e-06,-0.3810028976437934,-1.2020803086730931,-0.6527521308927102,0.004306982336727351,1e-05,0.33486711724568674,0.005643194905794917,0.004183341094612129,0.15977024281511137,0.007482186029261546,0.004657267012721552,3.742914840083068,-29.93107613203653,1.2956507755494915,-0.36492888608460705,-0.0004939311178631296,0.025407892123601873,0.6263644930638139
60,549.2790337332143,3.3210092169611016e-06,-0.3809833730727817,-1.202100762335053,-0.652768406436027,0.004306873073600959,1e-05,0.33486101702585136,0.0056432111870421695,0.004183569371441146,0.15977024281511137,0.0074820069657031895,0.004658002572059406,3.7433181746804123,-29.932351412463042,1.295641438207281,-0.36491557782869,-0.0004938076118822752,0.02540744068830541,0.6263123840794419
61,549.2790353516691,1.6184548030651058e-06,-0.38098374089342085,-1.2020945721080496,-0.6527776889921119,0.004306881576182683,1e-05,0.3348545631575674,0.005643351972706806,0.0041836896104393475,0.15977024281511137,0.007481992730001372,0.0046583201956713685,3.7434173902811843,-29.932870338732002,1.2956347306540845,-0.36490681856952006,-0.0004937985295114521,0.02540784382230026,0.6262866080836808
62,549.2790368433966,1.4917275166226318e-06,-0.38103792419331234,-1.2020847269346981,-0.6527828640119022,0.004306718004403917,1e-05,0.33485659605792645,0.005643567334602706,0.00418370105590849,0.15977024281511137,0.007482110395601663,0.004659217900508443,3.743682919455864,-29.933974862541817,1.2956256977530232,-0.3648968235519565,-0.0004936733918017821,0.025409122328965774,0.6262670430394643
63,549.2790395648826,2.721485998335993e-06,-0.38108134226956786,-1.2020666677854714,-0.652809759363271,0.004306804474056032,1e-05,0.3348430307795325,0.005643821455455652,0.004183920794024487,0.15977024281511137,0.007482175126200808,0.004659854936428234,3.743735757560275,-29.93465341165354,1.2956090093714658,-0.36488251886713485,-0.0004937280355888891,0.02541104712095061,0.6262350954339827
64,549.2790412493094,1.6844268202476087e-06,-0.38113645708030075,-1.2020574696516735,-0.6528290734683047,0.004306964201201872,1e-05,0.33483628970970647,0.00564373314740681,0.004184064147343423,0.15977024281511137,0.0074822414444097735,0.004661053454647458,3.744132614096828,-29.93572608282935,1.295597950229383,-0.36487783730503676,-0.0004937722162028148,0.02541219083952806,0.6262317199645192
65,549.2790432114627,1.9621533056124463e-06,-0.38119415523842143,-1.2020531725849974,-0.6528409358574881,0.0043071499889213586,1e-05,0.3348308966093953,0.005643536965670424,0.00418415561901288,0.15977024281511137,0.007482289402624546,0.0046622152317680006,3.7444362811550884,-29.93620857492654,1.295590460033792,-0.36487858614863017,-0.0004938025710118482,0.02541385609864183,0.6262485483051725
66,549.2790477585634,4.547100616036914e-06,-0.38126086589948377,-1.2020532136323343,-0.6528515075841057,0.0043072906985726035,1e-05,0.3348229467019345,0.005643220298257628,0.004184293450435828,0.15977024281511137,0.007482263022024186,0.004664681524660101,3.7450309741339205,-29.936936720277426,1.295579129478698,-0.3648733358119961,-0.0004938361702455387,0.025417903086117116,0.6262720017495237
67,549.279059261898,1.150333469013276e-05,-0.38138050138427154,-1.2020798367850634,-0.6528623530652078,0.004307281197935198,1e-05,0.33481499343656806,0.00564257310845722,0.004184608673585686,0.15977024281511137,0.007482359039444816,0.0046733649547986275,3.746953802985919,-29.93858421892191,1.2955159214789713,-0.36488801781175845,-0.0004939094851786084,0.025433266010289446,0.6263051325848034
68,549.2790666524131,7.390515065708314e-06,-0.3814350884515796,-1.202070524864902,-0.6528429894170792,0.00430737375957386,1e-05,0.3348044384949881,0.005642291047465478,0.004184833030677473,0.15977024281511137,0.0074824306374194705,0.00468273873410518,3.7487203473505253,-29.93875734959678,1.2955506056592767,-0.3648131146165661,-0.0004939769222428815,0.025451981251522274,0.6263582349866456
69,549.279075359356,8.706942935532425e-06,-0.38132365130368157,-1.2020789099158602,-0.6527977220407575,0.004307121863260435,1e-05,0.33481914166879045,0.005642566309638831,0.004184612936593744,0.15977024281511137,0.007482317970293645,0.004681759890323809,3.7483739359387487,-29.937371482671345,1.2955401279316368,-0.36485012710702214,-0.0004939067906731391,0.02545085271347192,0.6263406470070692
70,549.279079179589,3.820232905127341e-06,-0.3812063475188958,-1.2020787967214492,-0.6527493841685427,0.00430689441916407,1e-05,0.3348338180468094,0.005642878246238698,0.0041844232857362875,0.15977024281511137,0.0074822015446461545,0.0046824441411271395,3.748417440811628,-29.936167161641638,1.295546514577366,-0.3648684420829421,-0.0004938435718928945,0.025452123849030714,0.6263193121747316
71,549.279081004182,1.824593027777155e-06,-0.3811589919031838,-1.2020632900302055,-0.6527274503410968,0.004306918796121089,1e-05,0.334839792122081,0.005642978179328131,0.00418436030840304,0.15977024281511137,0.0074821877161034825,0.004684536409824661,3.7488643486241786,-29.935623913662162,1.2955560683217895,-0.36487835402467683,-0.0004938199315232303,0.025454677258680156,0.626314721312375
72,549.2790837359108,2.7317288413541974e-06,-0.38111711704796747,-1.2020110977510823,-0.6526848639846862,0.004306739905563143,1e-05,0.33486293862322725,0.005643280055016381,0.004183946799532955,0.15977024281511137,0.007482319509922397,0.004688355949725143,3.7499623632259107,-29.935045268645432,1.2955955213111094,-0.3649151739884887,-0.0004938958879814681,0.025455165177102588,0.6263008047137061
73,549.2790853978519,1.6619410416751634e-06,-0.3811332122285427,-1.2019695505792198,-0.6526903658751565,0.0043068218647636285,1e-05,0.334862606511327,0.005643515810002282,0.004183917104034917,0.15977024281511137,0.007482409624366082,0.004690946251529749,3.750641777634679,-29.935288740166346,1.2956051686583738,-0.3649247905483703,-0.0004937450382166301,0.02545656224493683,0.6262770764550055
