date,gap_smooth_final,y_star,u_star
1980Q1,0.6598636726453222,12.049357306367009,6.193896062323646
1980Q2,-0.1278190032507011,12.05068375014509,6.227970978474146
1980Q3,0.24715569430179188,12.060155651595393,6.2219286730788435
1980Q4,0.6642687455903342,12.069488938581575,6.267411734849479
1981Q1,0.8915369997783303,12.073243317941518,6.199319993958703
1981Q2,0.8665281351457119,12.083348657335247,6.178909418617245
1981Q3,0.3213329531500113,12.095263639547523,6.29660391108427
1981Q4,0.13799221407364964,12.101863048268687,6.2841150235931496
1982Q1,-0.42325923681532,12.107388011041499,6.269622026767123
1982Q2,-1.0774438177507337,12.117175783182295,6.27996023501641
1982Q3,-2.6193735136984575,12.125211720986613,6.263528998327387
1982Q4,-5.004310335658704,12.133432366812476,6.477948679019732
1983Q1,-5.453839112058141,12.13481754727606,6.411501877018953
1983Q2,-5.413663908142112,12.13978128337874,6.430688241151915
1983Q3,-4.562327359086886,12.14460126982012,6.404328232952846
1983Q4,-3.149663790925387,12.15364338332115,6.289606621981611
1984Q1,-2.9695205321768867,12.16642248459245,6.355908253358426
1984Q2,-2.6231041625458276,12.17879368340663,6.401615524343385
1984Q3,-2.3419796808644455,12.188450301629377,6.406971931612119
1984Q4,-2.392709101651832,12.196416081113142,6.375622851736488
1985Q1,-2.2145907555637567,12.211773625726986,6.416940854838701
1985Q2,-1.9263124081804985,12.227532774874803,6.5188493104354714
1985Q3,-1.279069561533518,12.238633696861918,6.5371607637972025
1985Q4,-1.1948606685990724,12.244724019974077,6.519878452843129
1986Q1,-1.6266842849107226,12.249937159654072,6.559650797869031
1986Q2,-1.7688209279750913,12.25408377515783,6.465547671608826
1986Q3,-2.50424321506856,12.262216208731386,6.53901068159124
1986Q4,-2.1678766557996187,12.273344779479034,6.532702292909723
1987Q1,-2.057581457056972,12.282628852283759,6.528870877416845
1987Q2,-1.5949134618977017,12.297494877426224,6.560352665437989
1987Q3,-1.3145762886700405,12.31103711366465,6.616767898578434
1987Q4,-1.008661904408989,12.322249868445647,6.679305100266256
1988Q1,-0.7573159731399823,12.32755637051585,6.66986202520335
1988Q2,-0.4943558738691075,12.33223239893718,6.700253433545595
1988Q3,0.2580153753640079,12.335848029098342,6.565003336001312
1988Q4,0.15714863167097942,12.345296439090076,6.6317144887900215
1989Q1,0.5945568712659528,12.354253313436201,6.62882424141244
1989Q2,1.196086516386066,12.365209011403923,6.63431127197799
1989Q3,1.0758635235898755,12.372191679885832,6.657955647654305
1989Q4,0.8122117049355643,12.377987484615641,6.597441094513813
1990Q1,0.08452644283445422,12.388539750473853,6.666687851631776
1990Q2,-0.5860225348979861,12.396896446262199,6.6609825056785334
1990Q3,-1.8123152185773994,12.403478722120033,6.709077128003767
1990Q4,-2.6544442211910892,12.411593907065798,6.698189125036322
1991Q1,-4.1237197887717105,12.416838748487713,6.794144938168627
1991Q2,-4.439531316860567,12.419997754857048,6.782470167752609
1991Q3,-4.230175151932414,12.424903095476699,6.705246796477077
1991Q4,-4.697227344925386,12.43145291524048,6.745677221666867
1992Q1,-4.778383219987563,12.438452155147859,6.69775021452946
1992Q2,-5.203470503181075,12.448198089574877,6.7437727822655855
1992Q3,-5.144595515491215,12.459035383739689,6.733626258446881
1992Q4,-5.0933065247910525,12.471908132111347,6.8455493993237235
1993Q1,-4.624787229976933,12.477899311349805,6.772745080765819
1993Q2,-4.757390985433179,12.486338340576783,6.804604756659556
1993Q3,-4.891410245336299,12.49238528286667,6.807726277149917
1993Q4,-4.487330433258181,12.500574090746293,6.833388382249608
1994Q1,-3.5032839854229683,12.508045383606058,6.793169439479712
1994Q2,-2.7829943387143197,12.515408111722396,6.768633176061045
1994Q3,-2.3817334116774034,12.522358810996431,6.762860971092879
1994Q4,-2.004117747824626,12.52915694104777,6.774043609875301
1995Q1,-1.7526800936379892,12.532443386513103,6.721657715381143
1995Q2,-1.7510400349329973,12.537586711168075,6.644808398742729
1995Q3,-1.9868061539761166,12.549244483017356,6.707351384406526
1995Q4,-2.082722321233849,12.55664783605289,6.671067918007412
1996Q1,-2.1148329276574063,12.567493358100592,6.6858039801220865
1996Q2,-2.1862917149167367,12.576783552014529,6.656355400212944
1996Q3,-2.5666915895412243,12.586080056656465,6.700868531108124
1996Q4,-2.3471750617237577,12.594472817310892,6.638506234109799
1997Q1,-2.2904362367303954,12.605987059413298,6.651189979899457
1997Q2,-1.8706923108443338,12.620068167891544,6.707858500300625
1997Q3,-1.5377849786987012,12.626978610059705,6.696650211326424
1997Q4,-1.0567097704779915,12.635128766236775,6.649463409296787
1998Q1,-1.1056817251790292,12.643609239158481,6.634178936436545
1998Q2,-1.2848664454287815,12.653489023358986,6.67114215609375
1998Q3,-0.8931276389188244,12.664104228448618,6.699844461594549
1998Q4,-0.22343582325276157,12.672873767655949,6.668259016765668
1999Q1,-0.024693014311517967,12.68078175739159,6.674527725383892
1999Q2,0.03466102029040484,12.68747275855579,6.624119627809933
1999Q3,-0.1761599036493488,12.69635157552122,6.665362967219685
1999Q4,0.25884225686938134,12.706045414251482,6.651828208743275
2000Q1,0.3207475385438814,12.711639738240105,6.68635010897141
2000Q2,0.9527188858661306,12.716512881714005,6.614234399983724
2000Q3,0.8874770036289833,12.720752882653453,6.542168248430564
2000Q4,0.13152592524632786,12.727367389206837,6.528362659721452
2001Q1,-0.4226089371169573,12.738118618193374,6.532327297109832
2001Q2,-0.8888331717637133,12.748680510201066,6.592173814255314
2001Q3,-0.6249421385823835,12.757817893653339,6.564874283351352
2001Q4,-0.36056961840655183,12.766769988545615,6.611602319209529
2002Q1,0.42013152281275556,12.773182340452752,6.502550582297709
2002Q2,0.5948940799357858,12.784652086480165,6.5278259367131
2002Q3,0.5402596903432495,12.793400236347857,6.538225273454886
2002Q4,0.640898008740728,12.801966916793331,6.538168906583959
2003Q1,0.6417710679385833,12.808438257113803,6.509447804172937
2003Q2,0.5118006451523263,12.81476351925212,6.518998902138053
2003Q3,0.9593907663223094,12.822326395097853,6.477611488866602
2003Q4,1.2690106358654716,12.830823659071953,6.464388133072804
2004Q1,1.2822362123442288,12.837841957799917,6.449639861452014
2004Q2,1.2626034762430929,12.84517240551834,6.446961587562327
2004Q3,1.3848150807403117,12.85175080947527,6.452336821007467
2004Q4,1.811479825453495,12.857729797255951,6.3670794868763885
2005Q1,1.5627744164856325,12.86509583878844,6.397277071163163
2005Q2,1.6104424317482366,12.870994222760407,6.355297102495374
2005Q3,1.6758053910966562,12.879207866422508,6.334335205615092
2005Q4,1.4785302303282974,12.88645990840185,6.361842895776435
2006Q1,1.5464679117320035,12.89070015393198,6.337631823742488
2006Q2,1.9210570434085754,12.895671672796238,6.252563539105362
2006Q3,2.170659324321645,12.906172048047097,6.234972124517823
2006Q4,2.229001193638777,12.91814159545066,6.251738967694269
2007Q1,2.234443266221593,12.929096704546671,6.30428430957937
2007Q2,2.5439807590108066,12.93697482721067,6.253749356902328
2007Q3,2.4467070854706527,12.946014838454754,6.27223883233494
2007Q4,2.3071241668497326,12.952547325446192,6.300983946273234
2008Q1,2.640775439637481,12.958419057701587,6.21933045441103
2008Q2,2.2247378505833875,12.964656774265231,6.258930923907395
2008Q3,2.2336760076261917,12.971095355946861,6.168179391744874
2008Q4,1.2258641634103495,12.97919727334774,6.130419412838336
2009Q1,0.018732758089540225,12.992219911693638,6.277926516501629
2009Q2,0.12116568256774554,12.99962252174577,6.291480684019516
2009Q3,0.6268564902724453,13.002376839469708,6.2259373026999665
2009Q4,1.0155366702060358,13.006388186831117,6.169594858553799
2010Q1,1.0689513866553817,13.011190753323163,6.148698420605788
2010Q2,1.107151863236504,13.016304983143916,6.134686850409635
2010Q3,1.2617004999932295,13.021591886580982,6.1033920684367695
2010Q4,1.3351649434377242,13.027232672716949,6.087724562736753
2011Q1,1.2986142410852874,13.03188361800853,6.018964374105281
2011Q2,1.1146293299738723,13.042026342622147,6.003645446563372
2011Q3,0.8435432688749092,13.054446358862114,6.077601784668607
2011Q4,1.1116255622864144,13.064693885927293,6.074417514738922
2012Q1,1.2191034774460707,13.073919395515553,6.065067924794977
2012Q2,1.0524703585970547,13.082991894799012,6.0666837018139
2012Q3,0.7202104409632905,13.091539450710473,6.1060827024916255
2012Q4,0.6889890666726487,13.098280781354175,6.079838932687994
