date,output_gap,y_star,u_star
1995Q1,0.07717304632457456,13.077834097893726,3.0852450171501533
1995Q2,-0.4600341553731767,13.076625296980902,3.0852450171501533
1995Q3,-0.32571886019028884,13.079948049815759,3.109004922323956
1995Q4,-0.7040645181156802,13.085910821834823,3.1900337908222705
1996Q1,-0.826056734891803,13.09446482606402,3.139019286526201
1996Q2,-0.42843700040621086,13.101580929549005,3.1789446177280714
1996Q3,-0.5947672804766012,13.107358116372037,3.080319607932812
1996Q4,-0.5826447469878778,13.115706673350267,3.0925881450304957
1997Q1,-0.4207279888932362,13.12200133361979,3.0851574003620432
1997Q2,-1.196702128781199,13.125875599133778,3.061395086519874
1997Q3,-1.306551751142103,13.127975656443207,3.126202289292244
1997Q4,-1.5451728520068537,13.130212537047205,3.223184275772964
1998Q1,-2.7426094124600886,13.12952736473531,3.3177855088862853
1998Q2,-3.518411957254118,13.12968133619622,3.621111844525338
1998Q3,-3.674397704608332,13.131217397620388,3.674980239337107
1998Q4,-3.192876313460767,13.133619618762955,3.764860916559135
1999Q1,-3.375044991801183,13.127397056932258,3.948150424206961
1999Q2,-3.135270352968332,13.126220945314042,4.037480620700709
1999Q3,-2.6467380297000838,13.126138960694437,4.049450373346377
1999Q4,-2.357921062808888,13.124421164482257,3.962237284860663
2000Q1,-2.1201889424191904,13.133544354287128,4.153369841935097
2000Q2,-1.4992774409699845,13.13686679049678,4.116095248531488
2000Q3,-1.662661036026664,13.139671285320134,4.126785271848957
2000Q4,-1.6916705870537883,13.146833499583765,4.228337485450668
2001Q1,-1.8061137933100866,13.154010925949168,4.266899897363731
2001Q2,-2.4467348882807953,13.156276264938377,4.4208885199745875
2001Q3,-3.261413496737836,13.154718149488597,4.600866613484949
2001Q4,-3.7118180679039527,13.155026016298432,4.781842882375424
2002Q1,-3.1420979629206496,13.15265865955227,4.668074790427262
2002Q2,-3.093568808972037,13.156757850847635,4.70793140345789
2002Q3,-2.923135455403698,13.15926915477743,4.708745371670781
2002Q4,-2.482322177459681,13.15876760910133,4.631754422621823
2003Q1,-2.590613911089722,13.158909726786089,4.6909532652331185
2003Q2,-2.148876969515224,13.160358490264908,4.8095816452214
2003Q3,-1.452399803893407,13.158393238195924,4.62917469234288
2003Q4,-1.1560736185100788,13.162468925253396,4.571186662563283
2004Q1,-0.8053582353129387,13.167057498943292,4.471385198396619
2004Q2,-0.9718904493389524,13.1700279904586,4.374211299260943
2004Q3,-1.0547801388641505,13.174721849166156,4.44429220547849
2004Q4,-0.9183340223863957,13.173193141819507,4.2546381792576815
2005Q1,-1.2853429062957973,13.179142451265578,4.2412829109903605
2005Q2,-0.8260612793526937,13.183568292219736,4.146551561182949
2005Q3,-0.8856136771937207,13.19187134118353,4.02562895331315
2005Q4,-1.072590816684049,13.197844186900864,4.150957411652037
2006Q1,-0.5015039735258136,13.196412285924046,3.984235307388985
2006Q2,-0.7317332726065165,13.1998972461721,3.911747437023438
2006Q3,-0.7959582353045144,13.201197197724575,3.8983970958490994
2006Q4,-0.6046809911212626,13.208623951247926,3.7983360481345594
2007Q1,-0.7867123687263629,13.217505027712573,3.7579228956436395
2007Q2,-0.5037580520954906,13.219621673808604,3.522742475204506
2007Q3,-1.1502039576074727,13.221215647678743,3.505992816076601
2007Q4,-0.7617160261058633,13.221391776929808,3.64189330099322
2008Q1,-0.41860195565049513,13.22083328015,3.7680382115827182
2008Q2,-0.17449291721552396,13.21606753194184,3.880245254928347
2008Q3,0.45872619398540354,13.202573420345422,4.069227300241872
2008Q4,-2.1800698062209958,13.202357049961806,4.015499640957196
2009Q1,-5.25527137685799,13.19236013827268,4.329953974885736
2009Q2,-5.773590000355041,13.196312357306518,4.568297901110545
2009Q3,-6.6518795489917375,13.201025105193038,4.52129807507941
2009Q4,-3.81454675631375,13.191872440161916,4.217877551023381
2010Q1,-2.4461737492170235,13.190383206634536,4.044349458452848
2010Q2,-2.447285117242701,13.198932517456056,4.144906693696538
2010Q3,-1.7013613833515275,13.206932751780284,4.191922201743273
2010Q4,-1.8304393022946328,13.20611446802276,4.267935230188123
2011Q1,-2.1932482579574177,13.199015175470516,4.166548562777444
2011Q2,-2.105914613358513,13.190845171208386,4.240891516458587
2011Q3,-0.7886577375429735,13.193315719484888,4.131451415346365
2011Q4,-1.2249010939592972,13.199394944471079,4.12865557695901
2012Q1,-0.7244827509082211,13.206750147749329,4.209347962463679
2012Q2,-1.183411053114761,13.20806792572478,4.116988060236293
2012Q3,-1.52827551023997,13.207636521606899,3.9690155810529455
2012Q4,-1.336640926446003,13.205152005325866,3.915940154186294
2013Q1,-1.273915074325991,13.211933624730124,3.9253733157051234
2013Q2,-0.25349007955443054,13.213776106210045,3.825082544266477
2013Q3,0.6539078040744962,13.214931705922423,3.814967882298508
2013Q4,0.4452940524270575,13.217165120485143,3.7817224960260036
2014Q1,0.8442283969777172,13.22115358395271,3.6149807700727696
2014Q2,-0.9763778361820418,13.227342190627338,3.542901576832228
2014Q3,-1.1116510080241009,13.229490589701816,3.4501941617363614
2014Q4,-1.358528203224816,13.235945847216984,3.255090174336071
2015Q1,-1.3960363084288911,13.248191707425939,3.166244964739921
2015Q2,-0.4006844841292463,13.246031095637516,3.0835959410624083
2015Q3,-1.3678043733142429,13.254287824064745,3.0427530204492443
2015Q4,-1.2461713548245392,13.254127354388908,2.927744386394069
2016Q1,-1.0963789479681232,13.258392838939768,2.941987906702552
2016Q2,-1.3816977877466492,13.260359635869477,2.8477054358936864
2016Q3,-1.2199543499737668,13.26097056652084,2.741202255333477
2016Q4,-1.0961284179323825,13.26051945941573,2.722707400095113
2017Q1,-0.3238011359089425,13.259374503541363,2.6794698774117647
2017Q2,-0.3150322710892348,13.261746302440624,2.703198197601118
2017Q3,0.33798795361600126,13.264718572041476,2.675192088925194
2017Q4,0.47901430471460565,13.2665174882329,2.6852426372035825
2018Q1,0.5883243633102699,13.265642384466739,2.5217439796198073
2018Q2,0.41179268125631285,13.270455801100207,2.447252594932515
2018Q3,0.2270113929700476,13.27024299787491,2.529905548097843
2018Q4,0.017064019157117614,13.271982342028402,2.547556354874312
2019Q1,-0.2710216532061346,13.275368151275481,2.4985567096428944
2019Q2,0.1352014074662128,13.275935037692344,2.377069897648452
2019Q3,-0.27821443343045604,13.27999627416785,2.2837348295320754
2019Q4,-2.4788943460272708,13.278892502234466,2.139737913906148
2020Q1,-2.2261106010146743,13.276024558084673,2.207810607783171
2020Q2,-5.744402406771732,13.254457561272554,2.311412674393078
2020Q3,-3.998046481549159,13.259289994207657,2.3671417108187156
2020Q4,-2.0910851241544557,13.260976786774584,2.4237168778317164
2021Q1,-0.6030467977954763,13.259784304493333,2.308994823822255
2021Q2,-1.1706177271876217,13.26962266444316,2.3386005312297495
2021Q3,-0.6714315344272666,13.267437719747447,2.3395548644818605
2021Q4,-0.27596208224260976,13.271423342953526,2.447013278185416
2022Q1,-0.8648931881589498,13.275833320907564,2.4281646232551615
2022Q2,0.8841897702565594,13.269126699704378,2.5465681725778233
2022Q3,0.6951652929887183,13.268216628096466,2.6204339773524623
2022Q4,1.4887323025321733,13.264088642576905,2.7640567853640063
2023Q1,1.071709915795784,13.271612975396101,2.834493287918905
2023Q2,0.9662549227598833,13.275330269962094,2.7934540840366715
2023Q3,0.19101422053114936,13.273596578938358,2.8411435761186232
2023Q4,0.118868409981009,13.27603142722216,2.7123232771749146
2024Q1,0.03828868017721329,13.275635287494607,2.7007748132503204
2024Q2,0.023063226835656973,13.275356071305842,2.69101742845636
2024Q3,0.564816371057131,13.275615088368621,2.6389194292253517
2024Q4,0.7201054767010421,13.277418336095502,2.5751393978152435
2025Q1,1.3819114098012304,13.27647866172105,2.641716890839669
2025Q2,1.7430171074335346,13.275769527236458,2.750059294368901
2025Q3,0.6028485991187663,13.280626003349655,2.745609430494248
2025Q4,0.37958314836553925,13.283744123902245,2.820343288030539
2026Q1,-0.8357506484967506,13.296889201773507,2.7064651224323484
