Period,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400,401,402
1959-01,15.164,27.809,63.517,30.19,35.124,37.357,37.337,37.348,32.438,,,11.435,10.381,22.544,5.006,11.596,25.124,,,35.891,46.107,27.263,56.465,53.053,41.469,142.904,34.203,53.627,81.686,78.098,114.184,38.039,49.067,30.065,56.307,55.313,61.91,331.285,2076.256,1159.841,5616.341,2481.668,379.235,195.171,94.598,,251.032,12561.885,,,63.809,77.622,25.038,23.194,34.012,23.206,23.187,23.191,23.193,17.743,40.799,33.292,34.461,34.096,37.981,20.609,28.381,16.649,4.598,37.465,217.348,18.294,16.034,15.019,14.945,14.111,19.244,12.139,17.373,12.761,19.211,17.299,26.587,9.223,16.402,20.001,10.98,31.616,16.738,12.017,13.688,11.173,15.862,11.634,16.098,14.516,18.032,13.743,24.978,33.248,24.991,19.297,25.228,51.205,56.213,65.844,46.588,34.338,34.515,49.097,33.91,33.085,9.793,10.677,10.771,8.421,5.633,5.709,5.523,15.431,13.583,13.445,12.963,21.892,28.381,49.979,140.227,17.368,25.536,45.672,27.166,22.102,11.445,82.111,49.098,20.316,26.468,28.543,23.41,28.564,3.277,12.233,8.197,22.602,,5.109,5.106,5.128,21.298,10.152,9.62,11.421,11.93,11.273,11.007,11.276,11.18,14.919,,12.192,12.19,12.19,11.2,11.399,9.532,4.49,4.196,5.106,11.866,13.792,9.426,5.44,7.519,7.484,5.568,8.758,,,,,,4.091,3.831,3.83,3.83,3.83,6.219,6.219,6.219,12.017,11.59,9.629,22.917,,,,11.207,12.349,13.295,7.665,10.663,7.361,7.848,7.465,7.311,7.847,18.491,31.744,12.35,9.928,11.431,12.269,7.829,7.038,7.037,10.455,7.041,18.846,5.356,28.325,22.065,38.978,,,,13.048,13.035,13.035,13.034,11.596,9.05,12.26,29.258,9.287,9.416,9.427,9.391,9.251,9.249,9.25,9.398,,,,9.202,9.254,9.25,9.252,8.318,8.563,6.984,9.913,14.571,14.734,16.404,15.426,6.111,12.559,8.674,57.853,,,,,,,,,40.029,5.944,6.785,3.724,12.412,27.88,4.733,2.537,57.985,11.382,6.542,10.654,54.485,71.207,18.79,84.986,,7.02,7.837,6.599,,3.459,2.715,2.623,2.739,3.401,2.763,7.889,8.106,5.23,4.161,5.005,4.364,8.215,7.32,10.907,4.159,6.52,9.87,9.974,11.214,8.88,9.291,9.427,8.554,8.88,11.696,8.169,13.935,,,,,,,12.426,12.152,10.908,9.027,9.234,11.472,9.071,6.835,8.522,,15.022,14.817,15.252,,11.176,13.048,,,48.39,8.074,6.762,7.417,6.611,7.826,11.605,8.83,13.371,12.152,10.91,12.308,13.861,10.566,4.504,4.159,8.237,3.83,6.219,9.916,2.964,13.044,12.152,10.908,12.304,13.859,8.77,33.078,13.635,10.466,15.029,15.606,15.501,39.644,10.134,,,,,,9.793,,,,9.532,5.44,12.017,,,,,54.485,3.459,,9.87,8.169,,,,,
1959-02,15.179,27.822,63.554,30.235,35.124,37.357,37.337,37.348,32.436,,,11.575,10.51,22.737,5.083,11.671,25.316,,,35.822,46.026,27.204,56.434,53.006,41.47,142.663,34.133,53.484,81.809,78.214,114.376,37.91,48.901,29.963,56.12,55.126,61.734,331.295,2080.185,1162.828,5632.876,2481.668,379.772,197.134,95.548,,249.952,12609.834,,,64.053,77.633,25.023,23.157,34.018,23.19,23.178,23.163,23.144,17.744,40.801,33.343,34.537,34.172,38.066,20.66,28.413,16.706,4.615,37.465,218.178,18.302,15.973,14.96,14.913,14.07,19.197,12.102,17.348,12.873,18.554,17.144,26.986,9.184,16.434,20.104,10.98,31.341,16.787,11.933,13.366,11.217,15.817,11.634,15.917,14.187,17.624,13.432,24.994,33.305,24.986,19.298,24.692,51.194,56.172,65.85,46.488,34.351,34.594,49.116,33.981,33.171,9.987,10.954,11.055,8.412,5.666,5.751,5.445,15.429,13.582,13.444,12.963,21.888,28.413,49.824,140.24,17.112,25.54,45.481,27.2,22.037,11.492,82.111,49.117,20.834,26.468,28.541,23.412,28.56,3.278,12.247,8.197,22.671,,5.109,5.106,5.128,21.256,10.167,9.636,11.43,11.936,11.274,11.007,11.277,11.18,14.942,,12.191,12.139,12.19,11.32,11.368,9.552,4.506,4.212,5.12,11.889,13.837,9.422,5.45,7.539,7.516,5.568,8.758,,,,,,4.092,3.831,3.83,3.831,3.83,6.271,6.271,6.27,12.048,11.627,9.667,22.863,,,,11.26,12.3,13.32,7.682,10.663,7.381,7.886,7.525,7.31,7.885,18.491,30.01,12.415,9.957,11.53,12.247,7.842,7.064,7.063,10.375,7.066,19.107,7.088,28.782,22.269,38.978,,,,13.044,13.03,13.03,13.03,11.497,8.933,12.238,29.247,9.335,9.467,9.479,9.429,9.292,9.289,9.29,9.436,,,,9.293,9.293,9.288,9.292,8.308,8.563,6.947,9.933,14.546,14.64,16.643,14.459,6.138,12.617,8.695,58.214,,,,,,,,,40.126,5.984,6.816,3.723,12.453,28.08,4.753,2.571,57.754,11.385,6.634,10.649,54.777,71.642,18.92,85.435,,7.025,7.842,6.627,,3.416,2.698,2.632,2.713,3.351,2.725,7.565,7.917,5.243,4.162,4.92,4.232,8.018,7.343,10.999,4.161,6.56,9.904,10.031,11.292,8.88,9.304,9.427,8.581,8.88,11.457,7.954,13.567,,,,,,,12.282,11.911,10.671,9.025,9.216,11.618,9.064,6.909,8.565,,15.041,14.865,15.252,,11.235,13.116,,,48.183,8.084,6.797,7.428,6.647,7.892,11.602,8.73,13.019,11.911,10.673,11.983,13.496,10.624,4.523,4.161,8.251,3.83,6.271,9.986,2.928,12.701,11.911,10.671,11.98,13.494,8.818,33.033,13.648,10.613,15.059,15.603,15.513,39.65,10.145,,,,,,9.987,,,,9.552,5.45,12.048,,,,,54.777,3.416,,9.904,7.954,,,,,
1959-03,15.189,27.816,63.634,30.315,35.258,37.499,37.481,37.492,32.559,,,11.529,10.463,23.01,5.044,11.742,25.603,,,35.847,46.019,27.268,56.485,53.055,41.568,142.907,34.072,53.319,81.951,78.342,114.718,37.784,48.738,29.863,56.302,55.199,62.944,331.015,2082.677,1164.306,5646.706,2481.668,380.091,196.275,95.13,,250.21,12605.227,,,64.03,77.633,25.079,23.259,33.994,23.258,23.241,23.201,23.269,17.745,40.852,33.33,34.468,34.103,37.989,20.686,28.497,16.706,4.614,37.568,218.1,18.289,15.942,14.919,14.869,14.132,19.149,12.177,17.259,12.873,18.116,17.043,27.038,9.184,16.402,20.154,10.934,30.768,16.452,11.854,13.311,11.128,15.831,11.634,15.825,14.187,17.624,13.433,25.034,33.307,25.05,19.345,24.81,51.224,56.169,65.844,46.487,34.344,34.745,49.106,33.91,33.344,9.982,10.908,11.007,8.449,5.737,5.833,5.367,15.442,13.612,13.473,12.987,21.944,28.497,49.843,140.577,17.008,25.542,45.592,27.279,22.104,11.492,82.529,49.107,20.834,26.467,28.544,23.409,28.563,3.277,12.28,8.231,22.674,,5.108,5.105,5.128,21.252,10.185,9.651,11.439,11.941,11.273,11.007,11.276,11.18,14.919,,12.192,12.19,12.19,11.439,11.265,9.57,4.507,4.213,5.12,11.913,13.883,9.423,5.459,7.579,7.549,5.606,8.818,,,,,,4.077,3.816,3.816,3.816,3.816,6.263,6.263,6.262,12.105,11.671,9.704,22.946,,,,11.308,12.343,13.411,7.753,10.663,7.464,7.926,7.616,7.4,7.924,18.414,30.978,12.508,10.029,11.626,12.301,7.903,7.124,7.124,10.416,7.127,19.326,9.464,28.88,22.423,38.923,,,,13.03,13.017,13.017,13.016,11.452,8.862,12.292,29.326,9.351,9.481,9.494,9.429,9.29,9.288,9.288,9.436,,,,9.354,9.293,9.287,9.293,8.355,8.632,6.931,9.933,14.491,14.543,16.842,13.636,6.16,12.619,8.694,58.231,,,,,,,,,40.123,6.024,6.839,3.75,12.497,28.061,4.777,2.618,57.435,11.375,6.724,10.661,55.14,72.149,19.059,86.013,,7.052,7.874,6.456,,3.375,2.684,2.641,2.69,3.278,2.664,7.486,7.809,5.269,4.182,4.878,4.134,7.954,7.366,11.079,4.181,6.601,9.945,10.09,11.338,9.013,9.328,9.432,8.609,9.013,11.281,7.792,13.291,,,,,,,12.203,11.711,10.57,9.026,9.205,11.757,9.1,6.899,8.622,,15.06,14.913,15.252,,11.235,13.116,,,48.524,8.158,6.801,7.473,6.648,7.882,11.665,8.614,12.753,11.711,10.572,11.739,13.221,10.669,4.569,4.148,8.299,3.816,6.263,10.07,2.886,12.442,11.711,10.57,11.736,13.219,8.874,33.031,13.63,10.622,15.075,15.609,15.531,39.689,10.156,,,,,,9.982,,,,9.57,5.459,12.105,,,,,55.14,3.375,,9.945,7.792,,,,,
1959-04,15.219,27.836,63.698,30.344,35.189,37.426,37.409,37.42,32.493,,,11.679,10.6,23.136,5.16,11.746,25.79,,,35.874,46.02,27.329,56.648,53.257,41.668,143.208,34.21,54.062,82.077,78.468,114.78,37.783,48.737,29.862,56.472,55.405,62.732,329.991,2083.104,1164.157,5647.97,2481.668,379.974,195.728,94.862,,250.941,12607.753,,,64.043,77.598,25.087,23.227,34.049,23.26,23.234,23.269,23.269,17.676,40.907,33.36,34.535,34.17,38.064,20.749,28.58,16.76,4.615,37.568,218.145,18.3,15.898,14.859,14.81,14.16,19.104,12.215,17.18,12.836,18.061,17.041,26.485,9.225,16.316,20.206,10.979,28.686,16.26,11.803,13.258,11.084,15.864,11.634,15.551,14.12,17.543,13.371,25.085,33.467,25.112,19.346,25.198,51.31,56.228,65.957,46.487,34.34,34.95,49.588,33.981,33.515,10.049,11.046,11.15,8.449,5.706,5.792,5.484,15.504,13.641,13.502,13.012,21.998,28.58,49.987,140.546,17.216,25.628,45.639,27.25,22.101,11.491,82.537,49.589,20.403,26.537,28.617,23.473,28.616,3.326,12.233,8.197,22.599,,5.109,5.106,5.128,21.216,10.221,9.681,11.486,11.996,11.321,11.342,11.323,11.228,14.937,,12.243,12.242,12.242,11.556,11.468,9.575,4.525,4.23,5.138,11.914,13.884,9.424,5.483,7.61,7.588,5.606,8.878,,,,,,4.093,3.831,3.83,3.831,3.83,6.288,6.287,6.286,12.14,11.708,9.74,22.916,,,,11.358,12.31,13.452,7.775,10.663,7.489,7.917,7.714,7.402,7.915,18.491,30.643,12.59,10.122,11.741,12.399,7.978,7.214,7.213,10.373,7.216,19.327,9.303,28.945,22.423,38.923,,,,13.035,13.021,13.021,13.021,11.547,8.963,12.39,29.317,9.41,9.54,9.554,9.468,9.329,9.327,9.327,9.475,,,,9.475,9.332,9.327,9.331,8.421,8.702,6.985,9.916,14.45,14.451,17.017,12.941,6.187,12.644,8.743,58.191,,,,,,,,,40.347,6.053,6.87,3.779,12.54,28.031,4.793,2.653,57.106,11.375,6.767,10.657,55.162,72.186,19.058,86.109,,7.049,7.869,6.533,,3.337,2.675,2.654,2.672,3.223,2.618,7.482,7.652,5.287,4.183,4.955,4.232,8.131,7.379,11.18,4.181,6.624,9.969,10.174,11.445,9.036,9.303,9.428,8.554,9.035,11.087,7.613,12.986,,,,,,,12.111,11.502,10.252,9.03,9.202,11.757,9.104,6.973,8.611,,15.115,14.961,15.313,,11.236,13.116,,,49.087,8.309,6.829,7.52,6.674,7.911,11.736,8.52,12.461,11.502,10.254,11.471,12.919,10.732,4.67,4.165,8.35,3.83,6.287,10.176,2.852,12.157,11.502,10.252,11.468,12.917,8.937,33.001,13.62,10.678,15.117,15.631,15.57,39.769,10.183,,,,,,10.049,,,,9.575,5.483,12.14,,,,,55.162,3.337,,9.969,7.613,,,,,
1959-05,15.227,27.825,63.804,30.442,35.323,37.568,37.553,37.564,32.616,,,11.698,10.617,23.134,5.198,11.751,25.786,,,35.816,45.927,27.337,56.726,53.311,41.668,143.455,34.203,54.511,82.083,78.469,114.884,37.913,48.904,29.965,56.784,55.747,62.732,329.64,2083.61,1164.754,5652.519,2481.668,379.613,196.594,95.28,,250.21,12647.724,,,64.246,77.904,25.025,23.396,34.072,23.148,23.129,23.083,23.178,17.743,40.962,33.353,34.537,34.172,38.066,20.757,28.608,16.758,4.629,37.568,218.837,18.28,15.862,14.805,14.771,14.195,19.102,12.252,17.171,12.873,18.061,16.992,26.133,9.143,16.275,20.307,10.98,27.365,16.211,11.669,13.205,10.908,15.88,11.634,15.369,13.921,17.297,13.183,25.167,33.626,25.171,19.392,25.682,51.366,56.233,65.966,46.488,34.316,35.177,49.588,34.051,33.774,9.994,11.0,11.102,8.446,5.673,5.751,5.562,15.538,13.671,13.532,13.036,22.058,28.608,50.128,140.889,17.316,25.706,45.609,27.237,22.037,11.49,82.744,49.589,20.315,26.538,28.621,23.471,28.62,3.35,12.235,8.197,22.607,,5.108,5.105,5.128,21.199,10.238,9.696,11.495,11.999,11.319,11.007,11.322,11.228,14.907,,12.243,12.19,12.242,11.671,11.324,9.599,4.547,4.248,5.177,11.94,13.927,9.429,5.511,7.638,7.62,5.606,8.939,,,,,,4.119,3.855,3.855,3.855,3.855,6.315,6.313,6.313,12.153,11.708,9.74,22.934,,,,11.358,12.322,13.496,7.799,10.663,7.517,8.001,7.776,7.402,8.0,18.568,31.571,12.61,10.168,11.81,12.361,8.036,7.276,7.276,10.381,7.279,19.181,6.887,29.274,22.723,38.89,,,,13.062,13.048,13.048,13.048,11.598,9.043,12.353,29.184,9.464,9.598,9.613,9.507,9.366,9.363,9.364,9.514,,,,9.596,9.37,9.365,9.367,8.407,8.702,6.935,9.911,14.405,14.376,17.174,12.373,6.225,12.643,8.742,58.185,,,,,,,,,40.343,6.089,6.912,3.803,12.584,28.041,4.819,2.687,57.069,11.389,6.809,10.643,55.184,72.175,19.062,86.059,,7.077,7.9,6.616,,3.3,2.668,2.667,2.657,3.144,2.552,7.355,7.567,5.313,4.203,4.98,4.379,8.026,7.389,11.197,4.202,6.665,9.989,10.22,11.524,8.964,9.299,9.463,8.518,8.964,10.905,7.47,12.742,,,,,,,11.98,11.285,9.977,8.995,9.168,11.44,9.193,6.975,8.619,,15.152,15.056,15.313,,11.236,13.116,,,49.17,8.406,6.861,7.565,6.705,7.945,11.726,8.411,12.227,11.285,9.979,11.254,12.675,10.71,4.748,4.191,8.399,3.855,6.313,10.241,2.811,11.928,11.285,9.977,11.251,12.673,8.939,32.97,13.586,10.653,15.131,15.638,15.589,39.834,10.191,,,,,,9.994,,,,9.599,5.511,12.153,,,,,55.184,3.3,,9.989,7.47,,,,,
1959-06,15.271,27.886,63.931,30.561,35.39,37.64,37.625,37.636,32.678,,,11.884,10.788,23.343,5.313,11.821,25.978,,,35.764,45.94,27.271,56.831,53.52,41.77,143.737,34.412,55.119,82.086,78.472,114.867,37.78,48.732,29.86,56.674,55.604,62.944,329.044,2080.425,1161.81,5629.829,2481.668,378.927,196.904,95.43,,252.351,12566.659,,,63.834,78.025,25.032,23.365,34.14,23.146,23.127,23.083,23.178,17.746,41.196,33.346,34.536,34.171,38.065,20.82,28.693,16.812,4.6,37.568,217.434,18.321,15.916,14.856,14.839,14.174,18.965,12.252,17.078,12.873,17.787,16.94,25.679,9.143,16.23,20.206,10.98,27.412,16.163,12.398,13.58,11.835,15.96,11.634,15.368,13.791,17.134,13.059,25.217,33.788,25.243,19.391,25.698,51.418,56.228,65.957,46.488,34.318,35.402,49.588,33.981,34.033,9.953,10.999,11.102,8.442,5.601,5.667,5.641,15.61,13.699,13.559,13.058,22.114,28.693,50.293,141.517,17.219,25.868,45.927,27.343,22.103,11.49,82.748,49.589,21.269,26.606,28.695,23.53,28.719,3.386,12.235,8.197,22.607,,5.14,5.137,5.16,21.286,10.275,9.732,11.544,12.052,11.369,11.869,11.37,11.276,14.963,,12.294,12.242,12.294,11.784,11.271,9.62,4.562,4.263,5.188,11.964,13.929,9.477,5.527,7.659,7.652,5.606,8.939,,,,,,4.13,3.865,3.865,3.866,3.865,6.345,6.342,6.341,12.184,11.748,9.776,22.95,,,,11.411,12.32,13.517,7.806,10.663,7.526,8.076,7.773,7.4,8.075,18.644,30.047,12.693,10.233,11.917,12.482,8.062,7.3,7.299,10.418,7.302,19.345,7.652,29.72,22.689,39.057,,,,13.093,13.08,13.08,13.079,11.551,8.973,12.474,29.182,9.486,9.62,9.635,9.545,9.405,9.403,9.403,9.552,,,,9.566,9.406,9.401,9.404,8.425,8.702,7.001,9.924,14.408,14.329,17.326,11.93,6.261,12.709,8.768,58.582,,,,,,,,,40.464,6.123,6.952,3.819,12.627,28.116,4.841,2.733,56.59,11.401,6.849,10.698,55.266,72.343,19.095,86.316,,7.048,7.867,6.665,,3.261,2.651,2.677,2.631,3.096,2.517,6.996,7.426,5.336,4.222,4.969,4.271,8.072,7.444,11.304,4.221,6.687,10.082,10.29,11.599,9.045,9.405,9.572,8.619,9.045,10.729,7.305,12.46,,,,,,,11.924,11.061,9.94,9.178,9.346,12.225,9.204,7.034,8.676,,15.189,15.152,15.313,,11.236,13.116,,,49.15,8.465,6.891,7.575,6.736,7.981,11.82,8.312,11.956,11.061,9.942,11.003,12.392,10.807,4.8,4.202,8.413,3.865,6.342,10.318,2.777,11.664,11.061,9.94,11.0,12.391,9.019,33.03,13.612,10.636,15.169,15.685,15.635,39.931,10.223,,,,,,9.953,,,,9.62,5.527,12.184,,,,,55.266,3.261,,10.082,7.305,,,,,
1959-07,15.303,27.911,63.962,30.602,35.39,37.64,37.625,37.636,32.678,,,12.019,10.908,23.811,5.352,11.813,26.463,,,35.646,46.11,26.932,56.798,53.473,41.67,144.266,34.416,55.114,81.953,78.347,114.615,37.911,48.901,29.963,56.552,55.493,62.732,329.228,2085.122,1164.945,5669.561,2481.668,377.409,195.793,94.894,,251.887,12605.195,,,64.03,78.154,25.041,23.302,34.244,23.142,23.131,23.109,23.112,17.743,41.227,33.363,34.539,34.174,38.069,20.87,28.735,16.864,4.614,37.568,218.099,18.34,15.944,14.888,14.881,14.181,19.009,12.252,17.093,12.91,17.459,16.938,26.286,9.143,16.48,20.307,11.026,30.239,16.211,12.128,13.527,11.438,16.009,11.683,15.641,13.728,17.052,12.997,25.32,33.891,25.354,19.484,24.887,51.431,56.214,65.845,46.589,34.348,35.5,49.133,34.051,34.204,9.904,10.952,11.055,8.442,5.569,5.626,5.719,15.669,13.698,13.558,13.058,22.111,28.735,50.418,141.823,17.316,25.949,45.817,27.529,22.102,11.536,82.955,49.134,23.256,26.604,28.694,23.526,28.719,3.41,12.233,8.197,22.597,,5.141,5.138,5.16,21.352,10.312,9.763,11.56,12.058,11.368,11.677,11.369,11.276,14.945,,12.295,12.294,12.294,11.895,11.336,9.677,4.581,4.282,5.206,12.038,13.974,9.582,5.538,7.67,7.652,5.644,8.938,,,,,,4.14,3.874,3.875,3.875,3.875,6.377,6.373,6.372,12.219,11.787,9.81,23.008,,,,11.463,12.346,13.548,7.821,10.708,7.537,8.094,7.737,7.43,8.093,18.721,30.609,12.77,10.301,12.021,12.484,8.13,7.367,7.367,10.472,7.369,19.459,8.578,29.424,22.689,39.214,,,,13.111,13.098,13.098,13.097,11.612,9.044,12.476,29.187,9.533,9.671,9.686,9.583,9.443,9.441,9.441,9.59,,,,9.657,9.445,9.441,9.442,8.425,8.702,6.999,9.95,14.451,14.33,17.513,11.583,6.289,12.804,8.838,59.002,,,,,,,,,40.785,6.149,6.983,3.811,12.61,28.096,4.863,2.779,56.174,11.394,6.877,10.757,55.297,72.431,19.116,86.428,,7.022,7.837,6.646,,3.272,2.657,2.71,2.626,3.109,2.53,6.903,7.454,5.342,4.222,5.032,4.379,8.124,7.517,11.412,4.221,6.665,10.18,10.336,11.644,9.116,9.542,9.748,8.713,9.115,10.764,7.305,12.461,,,,,,,11.984,11.141,9.917,9.289,9.512,11.864,9.22,7.054,8.678,,15.244,15.295,15.313,,11.294,13.184,,,49.776,8.564,6.892,7.575,6.736,8.02,11.892,8.323,11.957,11.141,9.919,11.002,12.39,10.904,4.854,4.211,8.412,3.875,6.373,10.407,2.781,11.665,11.141,9.917,10.998,12.388,9.095,33.071,13.625,10.625,15.2,15.72,15.672,39.982,10.254,,,,,,9.904,,,,9.677,5.538,12.219,,,,,55.297,3.272,,10.18,7.305,,,,,
1959-08,15.325,27.916,63.665,30.25,35.324,37.57,37.553,37.564,32.617,,,11.918,10.815,23.662,5.314,11.821,26.366,,,33.101,41.234,26.734,56.832,53.494,41.671,144.294,34.48,55.114,81.951,78.345,114.597,38.039,49.066,30.064,56.465,55.399,62.732,329.735,2089.176,1166.576,5691.199,2481.668,375.851,196.349,95.164,,253.444,12648.599,,,64.25,78.415,25.129,23.302,34.304,23.248,23.232,23.262,23.211,17.743,41.462,33.321,34.46,34.096,37.982,20.92,28.774,16.919,4.63,37.465,218.848,18.375,15.885,14.828,14.809,14.131,18.915,12.214,16.813,12.762,16.856,16.786,25.776,9.102,16.466,20.358,11.026,29.645,16.214,12.253,13.634,11.57,16.022,11.683,15.505,13.794,17.134,13.059,25.383,33.996,25.361,19.532,24.316,51.655,56.348,65.844,46.89,34.347,35.95,49.124,34.263,34.722,10.066,11.229,11.338,8.446,5.531,5.585,5.72,15.736,13.728,13.587,13.083,22.166,28.774,50.554,142.444,17.215,26.032,46.181,27.629,22.102,11.537,82.957,49.125,24.693,26.676,28.774,23.591,28.77,3.446,12.22,8.197,22.532,,5.141,5.138,5.16,21.365,10.342,9.791,11.572,12.063,11.367,11.39,11.369,11.276,14.942,,12.295,12.294,12.294,12.005,11.373,9.711,4.579,4.28,5.206,12.087,14.023,9.63,5.561,7.67,7.652,5.644,8.939,,,,,,4.181,3.913,3.914,3.915,3.914,6.399,6.394,6.393,12.257,11.816,9.847,22.858,,,,11.464,12.247,13.609,7.857,10.752,7.573,8.143,7.715,7.491,8.142,18.798,29.305,12.852,10.389,12.111,12.551,8.217,7.454,7.453,10.538,7.456,19.553,9.424,29.627,22.689,39.214,,,,13.124,13.111,13.111,13.11,11.573,8.977,12.544,29.315,9.546,9.684,9.7,9.582,9.441,9.439,9.44,9.59,,,,9.718,9.445,9.441,9.443,8.433,8.702,7.029,9.968,14.479,14.332,17.652,11.341,6.313,12.862,8.859,59.368,,,,,,,,,40.884,6.169,7.01,3.815,12.592,27.976,4.869,2.814,55.532,11.38,6.906,10.832,55.364,72.589,19.151,86.651,,6.986,7.797,6.642,,3.276,2.66,2.723,2.625,3.118,2.537,6.931,7.448,5.358,4.24,4.975,4.241,7.995,7.576,11.457,4.24,6.685,10.258,10.364,11.672,9.154,9.66,9.923,8.773,9.154,10.803,7.335,12.512,,,,,,,12.035,11.162,9.94,9.469,9.715,12.192,9.281,7.083,8.68,,15.299,15.438,15.313,,11.294,13.184,,,49.952,8.645,6.921,7.575,6.767,8.046,11.954,8.33,12.006,11.162,9.942,11.044,12.438,10.936,4.914,4.25,8.413,3.914,6.394,10.497,2.784,11.713,11.162,9.94,11.041,12.436,9.133,33.013,13.634,10.758,15.239,15.727,15.697,39.985,10.281,,,,,,10.066,,,,9.711,5.561,12.257,,,,,55.364,3.276,,10.258,7.335,,,,,
1959-09,15.365,27.982,63.773,30.363,35.462,37.716,37.697,37.708,32.744,,,11.884,10.779,23.936,5.275,11.897,26.658,,,33.444,41.405,27.27,56.819,53.474,41.67,144.287,34.414,55.128,81.952,78.34,114.705,38.036,49.063,30.062,56.385,55.29,62.944,329.881,2092.519,1168.748,5716.914,2481.668,374.583,196.624,95.298,,253.938,12566.573,,,63.833,78.427,25.138,23.228,34.37,23.255,23.24,23.262,23.224,17.744,41.542,33.353,34.537,34.172,38.066,20.972,28.825,16.97,4.6,37.465,217.428,18.423,15.957,14.899,14.887,14.173,18.964,12.252,16.874,12.799,17.021,16.785,25.827,9.102,16.441,20.359,11.026,29.283,16.165,12.73,14.011,12.1,15.958,11.732,15.459,13.795,17.133,13.059,25.518,34.211,25.482,19.625,24.051,51.7,56.365,65.963,46.791,34.318,36.075,49.588,34.263,34.808,10.003,11.138,11.244,8.471,5.532,5.585,5.719,15.81,13.741,13.6,13.082,22.221,28.825,50.645,142.749,17.218,26.116,46.195,27.722,22.039,11.629,83.166,49.589,25.475,26.742,28.847,23.646,28.867,3.482,12.28,8.231,22.671,,5.141,5.137,5.16,21.42,10.373,9.819,11.582,12.068,11.37,11.055,11.373,11.276,15.047,,12.296,12.345,12.294,12.055,11.551,9.74,4.618,4.317,5.245,12.113,14.022,9.683,5.599,7.698,7.684,5.644,8.999,,,,,,4.226,3.957,3.959,3.959,3.959,6.424,6.418,6.417,12.278,11.83,9.844,23.124,,,,11.515,12.409,13.646,7.869,10.786,7.582,8.205,7.775,7.463,8.204,18.951,30.076,12.886,10.445,12.246,12.551,8.255,7.485,7.485,10.603,7.487,19.485,8.336,29.711,22.911,39.18,,,,13.156,13.143,13.143,13.142,11.563,8.965,12.544,29.325,9.576,9.714,9.73,9.621,9.481,9.478,9.479,9.628,,,,9.718,9.483,9.478,9.48,8.471,8.771,6.981,10.008,14.54,14.359,17.778,11.193,6.346,12.965,8.88,60.11,,,,,,,,,40.979,6.2,7.046,3.793,12.575,28.08,4.902,2.86,55.488,11.375,6.934,10.878,55.433,72.648,19.151,86.793,,7.014,7.828,6.67,,3.289,2.666,2.735,2.629,3.147,2.561,6.933,7.444,5.385,4.26,5.049,4.379,8.096,7.616,11.517,4.259,6.708,10.331,10.455,11.79,9.173,9.714,10.0,8.804,9.173,10.83,7.339,12.518,,,,,,,12.067,11.231,9.963,9.506,9.772,12.137,9.23,7.078,8.735,,15.316,15.484,15.313,,11.294,13.184,,,50.184,8.729,6.954,7.62,6.799,8.076,12.027,8.369,12.012,11.231,9.965,11.048,12.443,11.022,4.975,4.295,8.461,3.959,6.418,10.592,2.797,11.719,11.231,9.963,11.045,12.441,9.178,33.11,13.667,10.723,15.271,15.775,15.738,40.077,10.31,,,,,,10.003,,,,9.74,5.599,12.278,,,,,55.433,3.289,,10.331,7.339,,,,,
