,ppi_index,ppi_yoy
2002-03,74.878490646314,
2002-04,75.3058567551156,
2002-05,75.9140346999979,
2002-06,75.6305710550072,
2002-07,75.4954203373241,
2002-08,75.5796950233763,
2002-09,75.6822344771,
2002-10,75.8852271703966,
2002-11,76.0984572144908,
2002-12,76.2955996170572,
2003-01,76.4639751814129,
2003-02,76.6088996631099,
2003-03,77.3137945641928,3.252341088687105
2003-04,76.7130346307451,1.868616779974297
2003-05,76.6274299704961,0.9397409495061515
2003-06,76.5329159458192,1.1930954351193623
2003-07,76.7238469985779,1.6271538800168406
2003-08,76.9159277169317,1.7679784142316413
2003-09,77.1755923371708,1.9731947271227401
2003-10,77.4986631886606,2.1261529792104383
2003-11,77.9464527338913,2.4284270496992555
2003-12,78.7214141262984,3.1794946516140454
2004-01,79.3336962789442,3.7530367610666415
2004-02,80.0764087858065,4.526248435815017
2004-03,80.8259930936409,4.542783793300886
2004-04,81.020209669032,5.6146586548417865
2004-05,81.5364579472402,6.4063586350660895
2004-06,81.741421140265,6.805575261411856
2004-07,82.09102647922,6.99545146731444
2004-08,82.5985182169582,7.388054293435475
2004-09,82.8784808254633,7.389497528411937
2004-10,82.9970036128489,7.094755184103363
2004-11,83.2266803223402,6.774173042198028
2004-12,82.9660558932106,5.391978553767096
2005-01,83.334004123279,5.042381777182503
2005-02,83.3486258478869,4.086368397005824
2005-03,83.4135905363727,3.2014421891902067
2005-04,83.436818780374,2.982723842870638
2005-05,83.079289694703,1.892198638872844
2005-06,82.8792289683771,1.3919599295437513
2005-07,83.3416898707577,1.5235080436645232
2005-08,83.3442985146957,0.9028979137114534
2005-09,83.6662565842641,0.9505190623122273
2005-10,83.9955777082978,1.2031447546069218
2005-11,84.0395270171919,0.9766660062656696
2005-12,84.1575705020191,1.4361471037530826
2006-01,84.2148053663577,1.0569529837732183
2006-02,84.2037255094888,1.0259313250856605
2006-03,84.014390647099,0.7202664540190584
2006-04,83.9419068294038,0.605353914989637
2006-05,84.1374529859788,1.2736787894604085
2006-06,84.0423445217002,1.4033860688627886
2006-07,84.2195672954566,1.053347281606909
2006-08,84.5188028037889,1.4092197187143052
2006-09,84.8361915046038,1.398335443825438
2006-10,84.2969137462163,0.35875226546449035
2006-11,84.2876541137237,0.2952504676532186
2006-12,84.5215426969771,0.4324889523150688
2007-01,84.4813879278782,0.3165507066848816
2007-02,84.5501312596976,0.41139005205863555
2007-03,84.6636037954171,0.7727404118719416
2007-04,84.9620190862794,1.2152598093212008
2007-05,85.2208485437946,1.28764957740799
2007-06,85.3356024222678,1.538817018882277
2007-07,85.2842386896237,1.2641615581235
2007-08,85.0683024487517,0.6501507673250639
2007-09,85.5769926442024,0.873213573664966
2007-10,86.1693375697737,2.2212246455362683
2007-11,87.0271756622489,3.250205000163997
2007-12,87.5933583388108,3.634358228465673
2008-01,88.1389274781887,4.329402771451796
2008-02,88.97966205907,5.238940180668683
2008-03,89.7158364511072,5.967419799301732
2008-04,91.2847275026497,7.441805743751884
2008-05,92.8205370968708,8.917640088001178
2008-06,94.2509005532977,10.447337193348872
2008-07,95.8747101923265,12.417853129046353
2008-08,95.4450585261793,12.198146405565048
2008-09,95.2488640807953,11.301952940558424
2008-10,95.5899587539849,10.932683771165186
2008-11,93.9939814774511,8.005322202159327
2008-12,92.5136951843039,5.617248771831829
2009-01,92.1793771757237,4.584182963350525
2009-02,92.8189131625006,4.314751275276696
2009-03,92.7078372763159,3.3349751209634793
2009-04,92.4494926248427,1.2759693259304372
2009-05,91.5970610866886,-1.318109168992776
2009-06,91.4303015463415,-2.9926493968736034
2009-07,92.2293642987493,-3.8021975620730064
2009-08,92.7076907842194,-2.8680036287149213
2009-09,92.9901209349926,-2.371412160765196
2009-10,92.7871128312308,-2.9321551753857866
2009-11,93.7095712182678,-0.3025834789768256
2009-12,94.1924950120929,1.8146500628307471
2010-01,94.355667361795,2.3609295839812194
2010-02,94.4428442658368,1.7495691858545381
2010-03,94.3815387187771,1.8053505416944615
2010-04,94.7679033061137,2.5077592266287807
2010-05,95.4821917798105,4.241545140236513
2010-06,95.8285422380663,4.810484726986886
2010-07,95.9323967487122,4.015025451078724
2010-08,96.2298867225446,3.7992489172481436
2010-09,96.8840316656442,4.187445603360107
2010-10,97.7313283899598,5.328558468805866
2010-11,98.6264992842009,5.246985982339658
2010-12,99.498569283521,5.63322403844051
2011-01,100.603081926216,6.62113335542005
2011-02,101.189638454595,7.143785472795994
2011-03,101.906632488391,7.973056883545793
2011-04,102.340120404176,7.990276068051205
2011-05,102.70681860207,7.566465209470752
2011-06,102.819238709054,7.295004502542413
2011-07,102.903579117568,7.266765561081834
2011-08,103.063334430503,7.101169855536638
2011-09,103.126909416048,6.4436601605809996
2011-10,103.445120495967,5.8464283665607075
2011-11,103.583810300827,5.0263479415822765
2011-12,103.633982631061,4.156254082162891
2012-01,103.739755668593,3.117870429334846
2012-02,104.187706688415,2.9628213714443463
2012-03,104.30847623296,2.356906205140885
2012-04,104.309721974049,1.924564444613086
2012-05,103.822822710382,1.0865920330332512
2012-06,102.835107930254,0.015434097158495419
2012-07,102.402327691886,-0.48710786347802015
2012-08,103.028901648281,-0.033409342335233294
2012-09,103.269614581842,0.13837820468205475
2012-10,102.876459111541,-0.5497227725189568
2012-11,102.556319169718,-0.9919418180553197
2012-12,102.247519807588,-1.3378457415931133
2013-01,102.074701399417,-1.6050300662893369
2013-02,102.544461087388,-1.5771972080557584
2013-03,101.822720006856,-2.3830817167268092
2013-04,101.51734619145,-2.6770043383815167
2013-05,101.273271335255,-2.4556752634621315
2013-06,101.374895364485,-1.4199553004401566
2013-07,101.359703564189,-1.018164480434569
2013-08,101.583191905698,-1.4032079537432685
2013-09,101.420444250929,-1.7906238329644664
2013-10,101.431952416682,-1.404117819891948
2013-11,101.539854757147,-0.9911280170740833
2013-12,101.686709722164,-0.5484828252845242
2014-01,101.79265610491,-0.2763126324547005
2014-02,101.723950612954,-0.800150944998157
2014-03,101.507470626062,-0.3096061279572737
2014-04,101.327071477424,-0.1874307408185838
2014-05,101.333469491863,0.05944130747856935
2014-06,101.352220754792,-0.022367085668961728
2014-07,101.451484317871,0.0905495482471208
2014-08,101.310676174294,-0.26826852581771643
2014-09,100.950816093249,-0.4630507795036487
2014-10,100.570778085287,-0.8490168146002897
2014-11,100.506962505733,-1.0172284113310615
2014-12,99.4107323753657,-2.2382249883164618
2015-01,98.1237211864547,-3.6043218232501895
2015-02,98.0203353014412,-3.640848875015257
2015-03,97.8211650882817,-3.63156082507472
2015-04,97.7378158230951,-3.5422474981215535
2015-05,97.7642531619397,-3.5222482244229303
2015-06,97.6522159615986,-3.650640080344225
2015-07,97.37394682241,-4.019199445801236
2015-08,96.7546733657933,-4.497060902705452
2015-09,96.3411335502846,-4.566265753321308
2015-10,95.9351009633699,-4.60936786030024
2015-11,95.73491378268,-4.747978253527263
2015-12,95.4057111294207,-4.0287614327419
2016-01,94.8435737271411,-3.3428690021658047
2016-02,94.6309679572304,-3.4578205979274634
2016-03,94.584578570253,-3.308677130463278
2016-04,94.7864880345124,-3.0196375514719764
2016-05,94.8823243265383,-2.9478349623636935
2016-06,95.0885115842295,-2.6253417314946237
2016-07,95.067956158479,-2.36818033897368
2016-08,95.1285519871283,-1.680664429011336
2016-09,95.2731428236288,-1.1085511321063723
2016-10,95.761956402198,-0.1804809287041076
2016-11,96.3883242869179,0.682520596113112
2016-12,97.162876947676,1.841782632773059
2017-01,98.4599889160734,3.813031338671924
2017-02,98.5988735483435,4.193030755964
2017-03,98.6096321266461,4.255507205546705
2017-04,98.4198094046275,3.8331638247765643
2017-05,98.1734007419749,3.4685874727418575
2017-06,97.8624274335575,2.9171934686041068
2017-07,97.9954376414656,3.0793567057510574
2017-08,98.3246913767093,3.3598108273670046
2017-09,98.8160331988972,3.718666426095596
2017-10,99.1390157383954,3.5265145607654924
2017-11,99.2826611869365,3.0027878598688496
2017-12,99.3187957801751,2.2188709311891763
2018-01,99.5299866842053,1.0867335858060656
2018-02,99.7443108987857,1.1617144387360279
2018-03,99.8103032677996,1.2176002640507333
2018-04,99.95118372347,1.555961475749923
2018-05,100.305097848239,2.171359136133777
2018-06,100.409352826136,2.602556935661249
2018-07,100.883402602823,2.9470402203044976
2018-08,101.114651536058,2.8374969911266756
