,headline_index,headline_yoy,core_index,core_yoy
2002-03,66.6475082439757,,69.0903473206946,
2002-04,67.0557553516312,,69.4111745112987,
2002-05,67.5516856578338,,69.6342242010227,
2002-06,67.6547303924971,,69.7589890052747,
2002-07,67.5383703423426,,69.9600338813333,
2002-08,67.8164170476376,,70.1321831556271,
2002-09,68.0686859745612,,70.338658939074,
2002-10,67.9367503821468,,70.6354516649061,
2002-11,68.497874562117,,70.855797619825,
2002-12,68.7543390304206,,71.0317210191647,
2003-01,68.8959654834022,,71.1447472064723,
2003-02,69.156699057194,,71.3181411635026,
2003-03,69.6761172259914,4.544219374157121,71.6388584169347,3.6886644735055985
2003-04,69.5782566398506,3.761796843524823,71.8345214521683,3.4912922277019476
2003-05,69.6801529713497,3.1508722436581538,71.9826542737591,3.372522778392506
2003-06,69.674713077725,2.985722762486853,72.1799215525137,3.470423785895105
2003-07,69.6635253560268,3.1465891209871977,72.2326847689684,3.2484988379079205
2003-08,69.8137615047074,2.945222623110233,72.3403470450008,3.1485742921671944
2003-09,70.2928590635841,3.2675422731887727,72.5672703256227,3.1684018719763785
2003-10,70.4912980704173,3.760185281016648,72.6810539283462,2.895999409962613
2003-11,70.8499054255453,3.433728241152023,72.6872151889332,2.584710963151693
2003-12,71.1195130373236,3.440035989374457,73.0569272933492,2.851129389977869
2004-01,71.2443938929595,3.4086588279585994,73.131544958528,2.7926134114859114
2004-02,71.4551892758585,3.3235973520997497,73.1569038810642,2.5782538461652793
2004-03,71.8379008632319,3.1026178313421804,73.3379870522769,2.371797475405546
2004-04,71.8503544008712,3.265528443435106,73.4190458881138,2.2057979978339137
2004-05,71.9861783901833,3.309443680156332,73.5524644057988,2.1808172369825574
2004-06,72.2167597326783,3.648449405335241,73.7499312677376,2.1751335848732456
2004-07,72.6571323451569,4.2972372900033085,74.1112119790422,2.6006609280579074
2004-08,73.1455327408183,4.772370323988695,74.2219117072343,2.600989266837539
2004-09,72.9722874841839,3.8118074243872924,74.2784354259666,2.3580397783540707
2004-10,73.1647084953389,3.792539644043713,74.3937997604494,2.3565231095736827
2004-11,73.1901333152378,3.3030783536497355,74.3828867173989,2.3328332555569986
2004-12,73.2678481835659,3.020739392738614,74.6289149390971,2.1517297592270834
2005-01,73.6833031128984,3.4232998369011725,75.1141713727924,2.7110413370710518
2005-02,73.8942643399661,3.4134330743864627,75.2018858303616,2.7953369276289664
2005-03,74.0187213104621,3.035751909541662,75.1706193742194,2.498885496592851
2005-04,74.1126632504464,3.148639792301111,75.2875912442725,2.5450417307332662
2005-05,74.1811846558205,3.049205159551205,75.3395248556499,2.4296404808296312
2005-06,74.2104846675352,2.7607510254364698,75.4801254447864,2.346028189189231
2005-07,74.4441591490936,2.459533904321254,75.5405492394331,1.9286383560899178
