date ,mcpi_monthly_chg,mcpi_ann_monthly_chg
1/1/1983,0.0040858001,5
2/1/1983,0.0040362999,5
3/1/1983,0.0029615001,3.6
4/1/1983,0.0039369999,4.8
5/1/1983,0.0030865001,3.8
6/1/1983,0.002012,2.4
7/1/1983,0.0030302999,3.7
8/1/1983,0.0039920001,4.9
9/1/1983,0.0039447998,4.8
10/1/1983,0.0038425,4.7
11/1/1983,0.0039801002,4.9
12/1/1983,0.0029732001,3.6
1/1/1984,0.0039565,4.9
2/1/1984,0.0037807,4.6
3/1/1984,0.003212,3.9
4/1/1984,0.0036538001,4.5
5/1/1984,0.0027880999,3.4
6/1/1984,0.0037072001,4.5
7/1/1984,0.0038425,4.7
8/1/1984,0.0038278,4.7
9/1/1984,0.0036563,4.5
10/1/1984,0.0028681001,3.5
11/1/1984,0.0021478001,2.6
12/1/1984,0.0028873,3.5
1/1/1985,0.0025269999,3.1
2/1/1985,0.0045536999,5.6
3/1/1985,0.0038462,4.7
4/1/1985,0.0036696999,4.5
5/1/1985,0.002715,3.3
6/1/1985,0.0040242001,4.9
7/1/1985,0.0020039999,2.4
8/1/1985,0.0028383001,3.5
9/1/1985,0.0028301999,3.4
10/1/1985,0.0028409001,3.5
11/1/1985,0.0043859999,5.4
12/1/1985,0.0025337001,3.1
1/1/1986,0.0036134,4.4
2/1/1986,0.0026042,3.2
3/1/1986,0.0035842001,4.4
4/1/1986,0.0034099999,4.2
5/1/1986,0.0018502,2.2
6/1/1986,0.0027854999,3.4
7/1/1986,0.0032895,4
8/1/1986,0.0026954,3.3
9/1/1986,0.0032748999,4
10/1/1986,0.0034107999,4.2
11/1/1986,0.0037594,4.6
12/1/1986,0.0032154,3.9
1/1/1987,0.0043592001,5.4
2/1/1987,0.0027397999,3.3
3/1/1987,0.0031119999,3.8
4/1/1987,0.0038610001,4.7
5/1/1987,0.0036799,4.5
6/1/1987,0.0023596,2.9
7/1/1987,0.0034246,4.2
8/1/1987,0.0027198,3.3
9/1/1987,0.0042552999,5.2
10/1/1987,0.0031007,3.8
11/1/1987,0.0027296999,3.3
12/1/1987,0.0023365,2.8
1/1/1988,0.0027242999,3.3
2/1/1988,0.0023922999,2.9
3/1/1988,0.0036100999,4.4
4/1/1988,0.0038647,4.7
5/1/1988,0.0028011,3.4
6/1/1988,0.0038131999,4.7
7/1/1988,0.0037314,4.6
8/1/1988,0.0042917999,5.3
9/1/1988,0.0040815999,5
10/1/1988,0.0034926999,4.3
11/1/1988,0.0024311,3
12/1/1988,0.0032335999,4
1/1/1989,0.0038199001,4.7
2/1/1989,0.0042408998,5.2
3/1/1989,0.0041017001,5
4/1/1989,0.0039777001,4.9
5/1/1989,0.0043827998,5.4
6/1/1989,0.0031570999,3.9
7/1/1989,0.0047207,5.8
8/1/1989,0.0023493001,2.9
9/1/1989,0.002849,3.5
10/1/1989,0.0042087999,5.2
11/1/1989,0.0034043,4.2
12/1/1989,0.0030888,3.8
1/1/1990,0.0042462,5.2
2/1/1990,0.0040595001,5
3/1/1990,0.0042734998,5.3
4/1/1990,0.0043243002,5.3
5/1/1990,0.0032468,4
6/1/1990,0.0045731999,5.6
7/1/1990,0.004315,5.3
8/1/1990,0.0046029999,5.7
9/1/1990,0.0023175001,2.8
10/1/1990,0.0037175,4.6
11/1/1990,0.0029629001,3.6
12/1/1990,0.0041185999,5.1
1/1/1991,0.0045214999,5.6
2/1/1991,0.0035587,4.4
3/1/1991,0.0029962,3.7
4/1/1991,0.0027681,3.4
5/1/1991,0.0036496001,4.5
6/1/1991,0.0023866999,2.9
7/1/1991,0.0036283999,4.4
8/1/1991,0.0025390999,3.1
9/1/1991,0.0033263001,4.1
10/1/1991,0.0019256,2.3
11/1/1991,0.0035079999,4.3
12/1/1991,0.0021786999,2.6
1/1/1992,0.0014326,1.7
2/1/1992,0.0021321999,2.6
3/1/1992,0.0031024001,3.8
4/1/1992,0.0020014001,2.4
5/1/1992,0.0023058001,2.8
6/1/1992,0.0035057,4.3
7/1/1992,0.0014701,1.8
8/1/1992,0.0017475,2.1
9/1/1992,0.0015408,1.9
10/1/1992,0.0030998001,3.8
11/1/1992,0.0026898,3.3
12/1/1992,0.0015517001,1.9
1/1/1993,0.0028248001,3.4
2/1/1993,0.001894,2.3
3/1/1993,0.0014064,1.7
4/1/1993,0.0033513,4.1
5/1/1993,0.0024464,3
6/1/1993,0.0020993999,2.5
7/1/1993,0.0013966,1.7
8/1/1993,0.0020834,2.5
9/1/1993,0.0019245,2.3
10/1/1993,0.0030320999,3.7
11/1/1993,0.0029807,3.6
12/1/1993,0.0023183001,2.8
1/1/1994,0.0022322,2.7
2/1/1994,0.0029563,3.6
3/1/1994,0.0017943,2.2
4/1/1994,0.0020717999,2.5
5/1/1994,0.0023866,2.9
6/1/1994,0.0023809001,2.9
7/1/1994,0.0017084,2.1
8/1/1994,0.0028860001,3.5
9/1/1994,0.0030702001,3.7
10/1/1994,0.0018317,2.2
11/1/1994,0.0035884001,4.4
12/1/1994,0.0010078,1.2
1/1/1995,0.0034233001,4.2
2/1/1995,0.0027397,3.3
3/1/1995,0.0026805999,3.3
4/1/1995,0.0029988,3.7
5/1/1995,0.0029189,3.6
6/1/1995,0.001733,2.1
7/1/1995,0.0024927999,3
8/1/1995,0.0024194999,2.9
9/1/1995,0.0026795,3.3
10/1/1995,0.0026501999,3.2
11/1/1995,0.0021976,2.7
12/1/1995,0.0021247,2.6
1/1/1996,0.0030932999,3.8
2/1/1996,0.0021567,2.6
3/1/1996,0.0025559,3.1
4/1/1996,0.0025742999,3.1
5/1/1996,0.0024158,2.9
6/1/1996,0.0020689999,2.5
7/1/1996,0.0026254,3.2
8/1/1996,0.0019143,2.3
9/1/1996,0.0025718,3.1
10/1/1996,0.0023705,2.9
11/1/1996,0.0028681001,3.5
12/1/1996,0.0018153,2.2
1/1/1997,0.0024875,3
2/1/1997,0.0019318,2.3
3/1/1997,0.0024283,3
4/1/1997,0.0024563,3
5/1/1997,0.0021703001,2.6
6/1/1997,0.0020586001,2.5
7/1/1997,0.001673,2
8/1/1997,0.0019095,2.3
9/1/1997,0.0020858999,2.5
10/1/1997,0.0020448,2.5
