Section/Chart Name,,MCT Common to all,,,,Trend Inflation,,Sector Aggs,,,Sector Specifc,,,,,
Top-Level-Route,,MCT,MCT,MCT,MCT,trend-inflation,trend-inflation,decompositions#sector-aggregates,decompositions#sector-aggregates,decompositions#sector-aggregates,decompositions#sector-specific,decompositions#sector-specific,decompositions#sector-specific,decompositions#sector-specific,decompositions#sector-specific,decompositions#sector-specific
Radio Button Routes,,,,,,,,,,,all: goods,all: goods,all: services-ex-housing,all: services-ex-housing,all: housing,all: housing
column name,Date,MCT,MCT,MCT,MCT,Headline PCE inflation (YoY),Core PCE inflation (YoY),Goods,Services ex. housing,Housing,Goods: Common,Goods: Sector-specific,Services ex. housing: Common,Services ex. housing: Sector-specific,Housing: Common,Housing: Sector-specific
,5/1/1974,10.23,10.64,11.06,8.81,10.1,7.09,4.85,3.77,0.19,4.67,0.17,3.46,0.3,0.04,0.15
,6/1/1974,10.55,10.98,11.39,9.15,10.41,7.72,4.99,3.89,0.26,4.8,0.18,3.6,0.28,0.07,0.2
,7/1/1974,10.6,11.1,11.61,9.27,10.82,8.22,5.06,3.89,0.31,4.89,0.16,3.64,0.25,0.08,0.22
,8/1/1974,10.63,11.05,11.48,9.22,10.7,8.75,5.03,3.83,0.36,4.89,0.14,3.6,0.24,0.11,0.25
,9/1/1974,10.36,10.77,11.19,8.94,11.41,9.18,4.72,3.76,0.45,4.65,0.08,3.52,0.24,0.14,0.31
,10/1/1974,9.85,10.26,10.67,8.43,11.57,9.61,4.35,3.56,0.51,4.3,0.05,3.34,0.22,0.15,0.35
,11/1/1974,9.35,9.73,10.1,7.9,11.5,9.88,3.95,3.4,0.54,3.94,0,3.15,0.25,0.15,0.38
,12/1/1974,8.85,9.22,9.61,7.39,11.46,10.04,3.57,3.25,0.57,3.6,-0.04,2.98,0.26,0.15,0.41
,1/1/1975,7.76,8.15,8.53,6.32,11.09,10.14,2.99,2.75,0.56,3.06,-0.07,2.5,0.26,0.13,0.42
,2/1/1975,7.34,7.72,8.09,5.89,10.41,10.22,2.75,2.57,0.56,2.83,-0.08,2.3,0.26,0.12,0.42
,3/1/1975,6.04,6.41,6.82,4.58,9.51,9.94,2.01,2.04,0.54,2.13,-0.13,1.76,0.27,0.1,0.44
,4/1/1975,5.79,6.16,6.54,4.34,9.11,9.65,1.82,1.96,0.55,1.96,-0.15,1.66,0.29,0.09,0.45
,5/1/1975,5.11,5.47,5.87,3.64,8.48,9.07,1.46,1.66,0.53,1.64,-0.19,1.35,0.29,0.07,0.45
,6/1/1975,5.27,5.65,6.02,3.82,8.24,8.49,1.52,1.75,0.55,1.7,-0.19,1.42,0.3,0.08,0.46
,7/1/1975,5.25,5.64,6.04,3.82,8.37,8.2,1.54,1.72,0.55,1.69,-0.16,1.41,0.29,0.08,0.46
,8/1/1975,5.26,5.63,6,3.81,7.71,7.54,1.53,1.71,0.56,1.68,-0.16,1.41,0.28,0.08,0.47
,9/1/1975,5.93,6.32,6.72,4.49,7.13,7.16,1.89,2,0.6,2.02,-0.13,1.69,0.3,0.1,0.49
,10/1/1975,6,6.39,6.78,4.56,6.99,6.86,1.89,2.04,0.63,1.96,-0.09,1.7,0.32,0.1,0.51
,11/1/1975,6.45,6.85,7.25,5.02,6.87,6.78,2.17,2.21,0.64,2.2,-0.04,1.87,0.31,0.12,0.51
,12/1/1975,6.25,6.66,7.04,4.83,6.62,6.68,2.13,2.06,0.63,2.1,0.02,1.78,0.26,0.11,0.5
,1/1/1976,5.98,6.35,6.73,4.52,6.36,6.6,2.02,1.87,0.62,1.95,0.07,1.64,0.2,0.1,0.5
,2/1/1976,5.7,6.06,6.45,4.24,5.93,6.28,1.92,1.7,0.61,1.79,0.11,1.5,0.17,0.09,0.51
,3/1/1976,5.41,5.79,6.16,3.96,5.73,6.07,1.78,1.57,0.6,1.63,0.13,1.38,0.16,0.09,0.51
,4/1/1976,5.3,5.68,6.07,3.85,5.61,5.97,1.74,1.49,0.61,1.56,0.16,1.32,0.14,0.08,0.51
,5/1/1976,5.4,5.77,6.14,3.95,5.69,6.02,1.74,1.55,0.65,1.56,0.16,1.34,0.18,0.09,0.55
,6/1/1976,5.38,5.77,6.13,3.94,5.49,5.94,1.73,1.53,0.67,1.55,0.16,1.31,0.19,0.09,0.57
,7/1/1976,5.61,5.97,6.34,4.15,5.13,5.87,1.81,1.63,0.71,1.61,0.19,1.38,0.24,0.09,0.6
,8/1/1976,5.71,6.09,6.47,4.27,5.25,6.11,1.82,1.67,0.75,1.61,0.19,1.4,0.26,0.1,0.64
,9/1/1976,5.96,6.32,6.69,4.49,5.32,6.16,1.94,1.75,0.79,1.71,0.22,1.49,0.25,0.11,0.67
,10/1/1976,5.93,6.3,6.67,4.47,5.26,6.15,1.92,1.72,0.83,1.69,0.21,1.47,0.23,0.11,0.7
,11/1/1976,6.15,6.54,6.93,4.71,5.06,5.93,2.01,1.83,0.86,1.77,0.22,1.55,0.26,0.12,0.72
,12/1/1976,6.21,6.59,6.97,4.76,5.07,5.86,2.02,1.85,0.88,1.79,0.22,1.55,0.27,0.13,0.74
,1/1/1977,6.51,6.9,7.29,5.08,5.28,5.97,2.11,2.03,0.92,1.88,0.22,1.7,0.32,0.14,0.76
,2/1/1977,6.36,6.78,7.18,4.95,5.97,6.19,2.05,1.99,0.91,1.82,0.21,1.61,0.34,0.13,0.76
,3/1/1977,6.31,6.7,7.1,4.87,6.34,6.29,2,1.98,0.88,1.79,0.2,1.58,0.38,0.13,0.74
,4/1/1977,6.09,6.5,6.9,4.67,6.72,6.4,1.87,1.93,0.86,1.68,0.18,1.49,0.42,0.12,0.73
,5/1/1977,6.08,6.46,6.86,4.63,6.75,6.44,1.84,1.95,0.84,1.64,0.19,1.49,0.44,0.11,0.72
,6/1/1977,6.27,6.66,7.06,4.83,6.88,6.64,1.95,2.04,0.84,1.74,0.2,1.58,0.44,0.12,0.71
,7/1/1977,6.05,6.44,6.84,4.61,6.89,6.72,1.84,1.96,0.81,1.65,0.18,1.5,0.44,0.11,0.68
,8/1/1977,5.9,6.3,6.67,4.48,6.8,6.62,1.78,1.89,0.79,1.6,0.17,1.45,0.42,0.1,0.68
,9/1/1977,5.66,6.08,6.46,4.25,6.6,6.45,1.68,1.78,0.77,1.5,0.16,1.37,0.4,0.09,0.66
,10/1/1977,5.58,6,6.38,4.17,6.54,6.44,1.66,1.77,0.73,1.49,0.14,1.35,0.39,0.09,0.63
,11/1/1977,5.67,6.06,6.46,4.24,6.67,6.51,1.69,1.83,0.7,1.55,0.12,1.41,0.4,0.09,0.61
,12/1/1977,5.81,6.2,6.6,4.37,6.59,6.48,1.75,1.93,0.68,1.64,0.09,1.49,0.41,0.09,0.58
,1/1/1978,5.89,6.29,6.71,4.46,6.6,6.47,1.69,2.08,0.69,1.65,0.04,1.57,0.48,0.1,0.58
,2/1/1978,6.12,6.53,6.93,4.7,6.26,6.23,1.8,2.22,0.66,1.78,0,1.7,0.5,0.1,0.56
,3/1/1978,6.31,6.71,7.1,4.88,6.42,6.35,1.88,2.35,0.64,1.89,-0.01,1.79,0.53,0.11,0.54
,4/1/1978,6.56,6.97,7.36,5.14,6.6,6.52,2.01,2.49,0.64,2.02,-0.03,1.91,0.55,0.11,0.53
,5/1/1978,6.64,7.03,7.43,5.2,6.83,6.6,2.02,2.52,0.64,2.08,-0.06,1.95,0.55,0.11,0.53
,6/1/1978,6.59,6.97,7.38,5.15,6.92,6.56,1.97,2.53,0.64,2.05,-0.09,1.95,0.56,0.11,0.53
,7/1/1978,6.63,7.05,7.46,5.22,6.95,6.53,1.95,2.59,0.66,2.07,-0.12,1.99,0.58,0.12,0.55
,8/1/1978,6.71,7.12,7.53,5.29,7,6.57,1.99,2.61,0.67,2.11,-0.12,2.03,0.56,0.12,0.55
,9/1/1978,6.82,7.21,7.6,5.38,7.2,6.74,1.99,2.67,0.71,2.15,-0.16,2.09,0.56,0.13,0.58
,10/1/1978,7.03,7.44,7.85,5.62,7.55,7,2.11,2.76,0.73,2.25,-0.14,2.19,0.56,0.13,0.59
,11/1/1978,6.85,7.27,7.66,5.44,7.55,7.02,2.04,2.66,0.73,2.19,-0.15,2.1,0.54,0.13,0.59
,12/1/1978,6.75,7.17,7.58,5.34,7.53,6.89,2.01,2.6,0.73,2.16,-0.17,2.06,0.51,0.13,0.59
,1/1/1979,7.18,7.61,8.02,5.78,7.7,6.8,2.19,2.83,0.75,2.32,-0.14,2.28,0.53,0.14,0.61
,2/1/1979,7.24,7.63,8.03,5.8,7.78,6.74,2.19,2.86,0.76,2.34,-0.15,2.3,0.53,0.14,0.62
,3/1/1979,7.13,7.53,7.91,5.71,7.92,6.77,2.1,2.82,0.77,2.26,-0.17,2.24,0.55,0.14,0.63
,4/1/1979,7.02,7.43,7.85,5.6,8.23,7.06,1.99,2.79,0.81,2.17,-0.18,2.2,0.58,0.15,0.67
,5/1/1979,7.05,7.43,7.83,5.6,8.57,7.36,1.95,2.78,0.87,2.14,-0.2,2.17,0.58,0.15,0.71
,6/1/1979,7.03,7.45,7.84,5.62,8.76,7.36,1.9,2.8,0.9,2.11,-0.22,2.19,0.59,0.16,0.74
,7/1/1979,7.34,7.78,8.17,5.95,8.99,7.27,2.06,2.93,0.94,2.26,-0.21,2.32,0.58,0.18,0.77
,8/1/1979,7.69,8.09,8.51,6.26,9.27,7.41,2.23,3.06,0.98,2.42,-0.2,2.46,0.56,0.19,0.78
,9/1/1979,7.92,8.35,8.76,6.53,9.61,7.52,2.36,3.16,1,2.54,-0.19,2.57,0.55,0.2,0.8
,10/1/1979,8.43,8.86,9.29,7.04,9.63,7.52,2.56,3.44,1.02,2.74,-0.18,2.85,0.57,0.21,0.8
,11/1/1979,9,9.42,9.85,7.59,9.77,7.62,2.86,3.72,1.01,3,-0.15,3.13,0.57,0.23,0.78
,12/1/1979,9.32,9.73,10.17,7.9,10.18,7.98,3,3.88,1.02,3.12,-0.13,3.28,0.58,0.23,0.79
,1/1/1980,9.69,10.12,10.54,8.3,10.5,8.24,3.23,4.02,1.02,3.32,-0.09,3.43,0.57,0.24,0.77
,2/1/1980,9.91,10.35,10.8,8.53,11.1,8.97,3.32,4.12,1.07,3.4,-0.09,3.54,0.58,0.26,0.8
,3/1/1980,9.62,10.06,10.49,8.23,11.6,9.35,3.1,4.02,1.1,3.18,-0.09,3.42,0.59,0.26,0.83
,4/1/1980,9.16,9.57,9.98,7.74,11.02,8.9,2.81,3.79,1.13,2.92,-0.11,3.19,0.58,0.26,0.87
,5/1/1980,8.95,9.35,9.76,7.52,10.74,8.84,2.67,3.65,1.19,2.79,-0.12,3.06,0.59,0.27,0.92
,6/1/1980,8.67,9.09,9.5,7.26,10.52,8.95,2.53,3.49,1.23,2.63,-0.11,2.9,0.57,0.26,0.95
,7/1/1980,8.44,8.84,9.26,7.01,10.54,9.16,2.44,3.35,1.22,2.52,-0.09,2.76,0.56,0.25,0.95
,8/1/1980,8.47,8.85,9.26,7.02,10.61,9.23,2.41,3.37,1.25,2.48,-0.09,2.76,0.59,0.26,0.97
,9/1/1980,8.58,8.96,9.38,7.13,10.66,9.51,2.4,3.45,1.28,2.47,-0.09,2.79,0.65,0.27,1
,10/1/1980,8.27,8.67,9.08,6.84,10.64,9.61,2.27,3.3,1.27,2.35,-0.08,2.62,0.66,0.25,0.99
,11/1/1980,8.21,8.64,9.03,6.81,10.78,9.78,2.25,3.28,1.27,2.32,-0.08,2.58,0.68,0.25,0.99
,12/1/1980,8.24,8.65,9.08,6.82,10.57,9.65,2.25,3.32,1.26,2.29,-0.06,2.61,0.69,0.26,0.99
,1/1/1981,8.38,8.8,9.26,6.97,10.47,9.76,2.34,3.38,1.26,2.37,-0.04,2.67,0.69,0.26,0.98
,2/1/1981,8.3,8.71,9.16,6.89,10.39,9.47,2.35,3.3,1.24,2.36,-0.02,2.61,0.66,0.25,0.97
,3/1/1981,7.85,8.24,8.64,6.41,9.81,9.07,2.15,3.05,1.21,2.15,0,2.39,0.64,0.24,0.96
,4/1/1981,7.65,8.05,8.46,6.23,9.72,9.21,2.05,2.96,1.21,2.03,0,2.29,0.65,0.23,0.98
,5/1/1981,7.43,7.84,8.26,6.01,9.36,9.08,1.96,2.83,1.22,1.92,0.02,2.19,0.63,0.22,0.99
,6/1/1981,7.25,7.63,8.03,5.8,9.11,8.9,1.87,2.73,1.2,1.85,0.01,2.1,0.62,0.21,0.98
,7/1/1981,7.22,7.64,8.04,5.82,8.92,8.8,1.88,2.74,1.19,1.86,0.02,2.11,0.6,0.21,0.96
,8/1/1981,7.16,7.56,7.97,5.73,8.7,8.74,1.9,2.65,1.18,1.86,0.05,2.08,0.56,0.21,0.95
,9/1/1981,7.06,7.46,7.87,5.64,8.35,8.43,1.86,2.61,1.16,1.79,0.06,2.04,0.55,0.2,0.95
,10/1/1981,6.8,7.21,7.61,5.38,7.98,8.18,1.75,2.5,1.13,1.67,0.07,1.93,0.53,0.19,0.94
,11/1/1981,6.44,6.85,7.25,5.02,7.68,7.97,1.62,2.32,1.07,1.52,0.09,1.77,0.51,0.17,0.9
,12/1/1981,6.03,6.42,6.79,4.59,7.32,7.72,1.49,2.07,1.02,1.37,0.11,1.57,0.47,0.14,0.87
,1/1/1982,5.99,6.37,6.78,4.55,6.93,7.45,1.52,2.04,0.98,1.37,0.15,1.57,0.43,0.14,0.83
,2/1/1982,5.74,6.16,6.54,4.33,6.18,7.08,1.5,1.91,0.91,1.31,0.18,1.48,0.4,0.12,0.78
,3/1/1982,5.48,5.88,6.28,4.05,5.71,6.95,1.4,1.78,0.87,1.2,0.19,1.35,0.4,0.11,0.75
,4/1/1982,5.45,5.82,6.21,3.99,5.31,6.69,1.38,1.77,0.84,1.17,0.2,1.34,0.41,0.1,0.73
,5/1/1982,5.49,5.88,6.26,4.05,5.46,6.54,1.42,1.8,0.82,1.2,0.21,1.36,0.42,0.1,0.71
,6/1/1982,5.51,5.9,6.29,4.07,5.8,6.54,1.4,1.85,0.82,1.18,0.2,1.38,0.45,0.1,0.7
,7/1/1982,5.33,5.74,6.12,3.91,5.79,6.59,1.34,1.76,0.8,1.12,0.21,1.29,0.45,0.09,0.7
,8/1/1982,5.02,5.42,5.82,3.59,5.46,6.37,1.21,1.61,0.76,0.98,0.21,1.14,0.45,0.08,0.68
,9/1/1982,5,5.4,5.79,3.57,5.11,6.07,1.26,1.57,0.72,0.99,0.25,1.13,0.41,0.08,0.64
,10/1/1982,5.08,5.47,5.87,3.64,5.23,6.11,1.31,1.61,0.7,1.02,0.27,1.18,0.4,0.07,0.63
,11/1/1982,4.8,5.18,5.57,3.35,4.98,5.88,1.24,1.46,0.65,0.93,0.29,1.06,0.37,0.06,0.58
,12/1/1982,4.69,5.08,5.47,3.25,4.81,5.83,1.24,1.4,0.61,0.91,0.31,1.03,0.33,0.06,0.54
,1/1/1983,4.69,5.08,5.48,3.26,4.68,5.9,1.24,1.42,0.58,0.91,0.31,1.06,0.34,0.06,0.51
,2/1/1983,4.35,4.74,5.14,2.91,4.54,5.89,1.11,1.26,0.54,0.79,0.3,0.91,0.3,0.05,0.48
,3/1/1983,4.12,4.49,4.88,2.67,4.41,5.56,1.02,1.14,0.49,0.73,0.28,0.83,0.27,0.04,0.44
,4/1/1983,3.98,4.36,4.75,2.53,4.83,5.46,0.99,1.08,0.47,0.69,0.27,0.78,0.26,0.03,0.43
,5/1/1983,3.67,4.06,4.45,2.23,4.51,5.04,0.86,0.93,0.43,0.58,0.25,0.67,0.24,0.02,0.39
,6/1/1983,3.6,3.98,4.39,2.16,4.15,5.01,0.85,0.92,0.4,0.58,0.26,0.65,0.25,0.02,0.37
,7/1/1983,3.74,4.13,4.5,2.3,4.12,5.03,0.9,1,0.39,0.63,0.24,0.71,0.25,0.03,0.35
,8/1/1983,3.69,4.09,4.47,2.26,4.24,5.09,0.85,1.03,0.38,0.62,0.21,0.71,0.29,0.02,0.35
,9/1/1983,3.74,4.12,4.49,2.29,4.32,5.13,0.85,1.05,0.38,0.65,0.19,0.74,0.28,0.02,0.35
,10/1/1983,3.76,4.14,4.5,2.31,3.91,4.65,0.86,1.05,0.37,0.67,0.19,0.76,0.27,0.03,0.34
,11/1/1983,3.75,4.11,4.47,2.28,3.74,4.51,0.86,1.03,0.38,0.66,0.18,0.75,0.27,0.03,0.35
,12/1/1983,3.56,3.93,4.29,2.11,3.64,4.25,0.78,0.92,0.39,0.59,0.18,0.65,0.25,0.02,0.36
,1/1/1984,3.73,4.08,4.46,2.25,3.61,3.89,0.85,1.01,0.4,0.65,0.19,0.72,0.26,0.02,0.36
,2/1/1984,3.71,4.06,4.43,2.23,4.13,4.16,0.82,0.99,0.42,0.62,0.18,0.7,0.26,0.02,0.39
,3/1/1984,3.52,3.89,4.23,2.06,4.34,4.42,0.75,0.87,0.43,0.53,0.2,0.6,0.24,0.02,0.41
,4/1/1984,3.51,3.86,4.23,2.03,4.26,4.6,0.77,0.82,0.44,0.53,0.22,0.58,0.21,0.02,0.42
,5/1/1984,3.27,3.63,3.99,1.8,4.1,4.69,0.69,0.67,0.43,0.43,0.24,0.47,0.18,0.01,0.41
,6/1/1984,3.18,3.54,3.89,1.71,3.9,4.45,0.68,0.58,0.43,0.4,0.26,0.43,0.15,0.01,0.42
,7/1/1984,3.22,3.59,3.96,1.77,3.68,4.19,0.72,0.59,0.45,0.4,0.29,0.45,0.13,0.01,0.43
,8/1/1984,3.17,3.54,3.89,1.71,3.56,4,0.71,0.55,0.44,0.39,0.3,0.43,0.11,0.01,0.42
,9/1/1984,3.13,3.49,3.87,1.67,3.34,3.74,0.71,0.52,0.43,0.37,0.32,0.41,0.09,0.01,0.42
,10/1/1984,3.16,3.52,3.89,1.69,3.4,3.79,0.71,0.54,0.44,0.38,0.31,0.42,0.1,0.01,0.42
,11/1/1984,3.22,3.59,3.93,1.76,3.4,3.77,0.76,0.56,0.43,0.4,0.33,0.44,0.1,0.01,0.42
,12/1/1984,3.37,3.71,4.06,1.89,3.64,4.1,0.81,0.63,0.45,0.45,0.34,0.49,0.12,0.01,0.43
,1/1/1985,3.54,3.88,4.25,2.05,3.7,4.34,0.89,0.72,0.45,0.51,0.36,0.56,0.14,0.01,0.43
,2/1/1985,3.71,4.06,4.43,2.23,3.49,4.22,0.95,0.82,0.47,0.58,0.35,0.64,0.15,0.01,0.44
,3/1/1985,3.6,3.97,4.32,2.14,3.56,4.19,0.89,0.78,0.46,0.53,0.34,0.59,0.16,0.01,0.44
,4/1/1985,3.39,3.77,4.11,1.94,3.31,3.83,0.78,0.68,0.47,0.43,0.33,0.47,0.18,0.01,0.45
,5/1/1985,3.32,3.66,4.02,1.83,3.43,3.94,0.73,0.62,0.48,0.38,0.32,0.42,0.18,0.01,0.46
,6/1/1985,3.33,3.68,4.02,1.85,3.52,4.04,0.72,0.63,0.49,0.38,0.33,0.42,0.19,0.01,0.48
,7/1/1985,3.16,3.51,3.85,1.68,3.41,3.9,0.66,0.54,0.48,0.31,0.33,0.34,0.18,0,0.47
,8/1/1985,3.27,3.62,3.97,1.79,3.43,4.07,0.72,0.59,0.48,0.37,0.34,0.41,0.16,0.01,0.47
,9/1/1985,3.32,3.67,4.02,1.85,3.47,4.12,0.79,0.6,0.45,0.42,0.35,0.44,0.13,0.01,0.45
,10/1/1985,3.36,3.7,4.06,1.88,3.39,4.05,0.76,0.63,0.48,0.42,0.32,0.46,0.15,0.01,0.48
,11/1/1985,3.28,3.61,3.97,1.78,3.55,4.09,0.72,0.58,0.5,0.39,0.31,0.43,0.13,0.01,0.49
,12/1/1985,3.12,3.47,3.82,1.64,3.6,3.96,0.66,0.49,0.48,0.33,0.31,0.36,0.1,0,0.47
,1/1/1986,3.1,3.45,3.79,1.62,3.56,3.94,0.68,0.47,0.46,0.34,0.33,0.36,0.09,0,0.46
,2/1/1986,2.92,3.27,3.63,1.44,3.09,3.67,0.59,0.4,0.46,0.28,0.3,0.3,0.07,0,0.45
,3/1/1986,2.83,3.18,3.53,1.35,2.46,3.62,0.56,0.34,0.46,0.25,0.29,0.27,0.05,0,0.45
,4/1/1986,2.82,3.16,3.52,1.33,2.1,3.69,0.6,0.31,0.43,0.26,0.32,0.28,0.01,0,0.43
,5/1/1986,2.9,3.27,3.6,1.44,2.05,3.51,0.69,0.35,0.39,0.33,0.36,0.34,-0.02,0,0.38
,6/1/1986,3.05,3.4,3.74,1.57,2.15,3.47,0.78,0.43,0.36,0.39,0.37,0.43,-0.03,0,0.36
,7/1/1986,3.04,3.37,3.71,1.54,1.92,3.36,0.81,0.4,0.34,0.4,0.4,0.42,-0.05,0,0.34
,8/1/1986,3.11,3.44,3.78,1.61,1.72,3.07,0.88,0.43,0.32,0.44,0.42,0.46,-0.06,0,0.32
,9/1/1986,3.15,3.48,3.82,1.65,1.88,3.19,0.95,0.42,0.29,0.46,0.46,0.47,-0.07,0,0.29
,10/1/1986,3.22,3.55,3.89,1.73,1.89,3.38,0.93,0.48,0.3,0.48,0.44,0.5,-0.05,0,0.31
,11/1/1986,3.27,3.62,3.95,1.79,1.78,3.34,0.98,0.51,0.29,0.51,0.46,0.55,-0.07,0,0.29
,12/1/1986,3.37,3.69,4.02,1.86,1.58,3.2,1.09,0.52,0.26,0.57,0.5,0.58,-0.09,0,0.26
,1/1/1987,3.55,3.91,4.25,2.08,1.59,2.89,1.12,0.67,0.28,0.63,0.47,0.69,-0.04,0,0.29
,2/1/1987,3.52,3.84,4.18,2.02,1.94,2.83,1.12,0.61,0.28,0.6,0.5,0.64,-0.04,0,0.28
,3/1/1987,3.57,3.89,4.23,2.07,2.44,2.83,1.12,0.66,0.28,0.6,0.5,0.65,0,0,0.28
,4/1/1987,3.56,3.87,4.19,2.04,3.03,3.07,1.1,0.67,0.26,0.58,0.5,0.62,0.02,0,0.27
,5/1/1987,3.53,3.84,4.14,2.01,3.1,3.19,1.08,0.68,0.25,0.57,0.49,0.61,0.05,0,0.26
,6/1/1987,3.6,3.92,4.24,2.1,3.11,3.16,1.11,0.75,0.23,0.6,0.49,0.64,0.09,0,0.24
,7/1/1987,3.57,3.89,4.21,2.06,3.32,3.24,1.08,0.75,0.23,0.58,0.48,0.61,0.12,-0.01,0.24
,8/1/1987,3.59,3.92,4.23,2.09,3.6,3.38,1.07,0.76,0.25,0.57,0.49,0.6,0.13,0,0.26
,9/1/1987,3.66,3.97,4.28,2.15,3.61,3.45,1.07,0.81,0.27,0.56,0.48,0.61,0.17,0,0.27
,10/1/1987,3.59,3.9,4.22,2.08,3.75,3.54,0.99,0.78,0.29,0.51,0.47,0.56,0.2,0,0.3
,11/1/1987,3.61,3.93,4.26,2.11,3.76,3.53,1,0.82,0.28,0.51,0.47,0.57,0.22,0,0.28
,12/1/1987,3.71,4.05,4.38,2.22,3.81,3.62,1.05,0.89,0.28,0.55,0.47,0.61,0.26,0,0.28
,1/1/1988,4.14,4.45,4.77,2.62,3.73,3.86,1.22,1.15,0.25,0.72,0.48,0.8,0.32,-0.01,0.26
,2/1/1988,4.18,4.5,4.82,2.67,3.52,3.86,1.24,1.2,0.23,0.74,0.48,0.82,0.35,-0.01,0.24
,3/1/1988,4.27,4.59,4.9,2.76,3.6,4,1.29,1.27,0.19,0.79,0.48,0.88,0.37,-0.01,0.21
,4/1/1988,4.35,4.65,4.98,2.82,3.72,4.06,1.31,1.33,0.18,0.81,0.48,0.92,0.39,-0.01,0.2
,5/1/1988,4.22,4.53,4.84,2.7,3.75,4.12,1.24,1.27,0.17,0.77,0.47,0.85,0.39,-0.01,0.19
,6/1/1988,4.22,4.51,4.82,2.68,3.8,4.27,1.24,1.26,0.17,0.76,0.47,0.86,0.38,-0.01,0.19
,7/1/1988,4.25,4.55,4.86,2.73,4.07,4.43,1.25,1.29,0.17,0.77,0.46,0.88,0.39,-0.01,0.19
,8/1/1988,4.18,4.48,4.79,2.65,3.96,4.34,1.21,1.26,0.18,0.73,0.45,0.84,0.39,-0.01,0.19
,9/1/1988,4.28,4.57,4.88,2.74,4.12,4.48,1.26,1.31,0.17,0.79,0.46,0.9,0.38,-0.01,0.19
,10/1/1988,4.19,4.49,4.79,2.66,4.13,4.43,1.22,1.28,0.16,0.76,0.44,0.87,0.38,-0.02,0.18
,11/1/1988,4.03,4.33,4.62,2.5,4.17,4.5,1.14,1.18,0.17,0.69,0.43,0.79,0.37,-0.01,0.19
,12/1/1988,4.1,4.39,4.69,2.56,4.3,4.63,1.17,1.23,0.16,0.73,0.42,0.82,0.38,-0.01,0.18
,1/1/1989,4.17,4.47,4.77,2.64,4.43,4.66,1.2,1.28,0.16,0.76,0.42,0.86,0.39,-0.02,0.18
,2/1/1989,4.04,4.33,4.64,2.51,4.63,4.71,1.1,1.23,0.17,0.69,0.39,0.8,0.41,-0.01,0.19
,3/1/1989,3.9,4.19,4.49,2.36,4.66,4.58,1.02,1.16,0.19,0.63,0.37,0.73,0.41,-0.01,0.2
,4/1/1989,3.74,4.04,4.33,2.21,4.84,4.42,0.96,1.06,0.19,0.58,0.36,0.66,0.37,-0.01,0.2
,5/1/1989,3.66,3.96,4.25,2.13,4.92,4.38,0.91,1.01,0.21,0.54,0.35,0.62,0.37,-0.01,0.22
,6/1/1989,3.66,3.97,4.26,2.14,4.71,4.22,0.91,1.02,0.22,0.54,0.34,0.62,0.37,-0.01,0.23
,7/1/1989,3.67,3.97,4.26,2.14,4.45,4.06,0.9,1.01,0.23,0.55,0.34,0.63,0.36,-0.01,0.24
,8/1/1989,3.49,3.8,4.09,1.97,4.15,3.95,0.83,0.9,0.24,0.47,0.34,0.54,0.33,-0.01,0.25
,9/1/1989,3.56,3.86,4.15,2.04,3.88,3.75,0.85,0.94,0.24,0.49,0.34,0.56,0.35,-0.01,0.25
,10/1/1989,3.66,3.94,4.23,2.12,3.94,3.73,0.87,0.99,0.26,0.52,0.33,0.6,0.37,-0.01,0.27
,11/1/1989,3.78,4.06,4.34,2.23,3.93,3.72,0.91,1.07,0.25,0.56,0.33,0.65,0.4,-0.01,0.26
,12/1/1989,3.96,4.25,4.53,2.43,3.91,3.68,0.99,1.2,0.24,0.64,0.34,0.73,0.43,-0.01,0.25
,1/1/1990,4.02,4.33,4.64,2.5,4.16,3.55,1.06,1.24,0.2,0.7,0.34,0.79,0.42,-0.01,0.22
,2/1/1990,4.09,4.38,4.68,2.55,4.27,3.79,1.07,1.29,0.19,0.71,0.34,0.82,0.44,-0.02,0.21
,3/1/1990,4.04,4.34,4.64,2.52,4.28,3.98,1.03,1.27,0.21,0.67,0.34,0.8,0.45,-0.01,0.23
,4/1/1990,3.91,4.21,4.51,2.38,3.8,3.94,0.96,1.21,0.2,0.61,0.34,0.73,0.45,-0.01,0.22
,5/1/1990,3.94,4.25,4.54,2.42,3.66,3.95,0.97,1.24,0.2,0.62,0.33,0.74,0.46,-0.01,0.21
,6/1/1990,3.92,4.22,4.52,2.4,3.89,4.07,0.97,1.22,0.19,0.61,0.34,0.74,0.46,-0.01,0.21
,7/1/1990,3.92,4.2,4.5,2.37,3.9,4.07,0.97,1.22,0.18,0.61,0.34,0.74,0.46,-0.01,0.2
,8/1/1990,3.84,4.13,4.44,2.3,4.58,4.36,0.95,1.21,0.14,0.59,0.34,0.72,0.47,-0.01,0.16
,9/1/1990,3.73,4.01,4.29,2.18,4.98,4.36,0.94,1.16,0.08,0.58,0.35,0.7,0.43,-0.02,0.1
,10/1/1990,3.63,3.9,4.18,2.08,5.17,4.33,0.92,1.12,0.03,0.55,0.35,0.68,0.42,-0.02,0.05
,11/1/1990,3.44,3.74,4.02,1.91,5.08,4.18,0.88,1.03,-0.01,0.5,0.36,0.61,0.39,-0.02,0.02
,12/1/1990,3.43,3.72,4.01,1.89,4.87,4.03,0.9,0.99,-0.01,0.5,0.38,0.61,0.36,-0.02,0.02
