Section/Chart Name,,MCT Common to all,,,,Trend Inflation,,Sector Aggs,,,Sector Specifc,,,,,
Top-Level-Route,,MCT,MCT,MCT,MCT,trend-inflation,trend-inflation,decompositions#sector-aggregates,decompositions#sector-aggregates,decompositions#sector-aggregates,decompositions#sector-specific,decompositions#sector-specific,decompositions#sector-specific,decompositions#sector-specific,decompositions#sector-specific,decompositions#sector-specific
Radio Button Routes,,,,,,,,,,,all: goods,all: goods,all: services-ex-housing,all: services-ex-housing,all: housing,all: housing
column name,Date,MCT,MCT,MCT,MCT,Headline PCE inflation (YoY),Core PCE inflation (YoY),Goods,Services ex. housing,Housing,Goods: Common,Goods: Sector-specific,Services ex. housing: Common,Services ex. housing: Sector-specific,Housing: Common,Housing: Sector-specific
,3/1/1963,0.94,1.2,1.45,-0.63,1.02,1.1,0.41,-0.67,-0.37,-0.13,0.56,-0.09,-0.56,0,-0.37
,4/1/1963,1.2,1.47,1.73,-0.36,0.9,1.21,0.59,-0.58,-0.37,-0.02,0.61,-0.02,-0.55,0,-0.36
,5/1/1963,1.41,1.68,1.94,-0.15,1,1.25,0.7,-0.49,-0.36,0.06,0.62,0.03,-0.53,0,-0.37
,6/1/1963,1.42,1.7,1.98,-0.13,1.16,1.24,0.7,-0.45,-0.38,0.06,0.62,0.03,-0.49,0,-0.38
,7/1/1963,1.36,1.62,1.86,-0.21,1.42,1.24,0.62,-0.44,-0.39,0.03,0.58,0.01,-0.46,0,-0.39
,8/1/1963,1.38,1.64,1.89,-0.19,1.41,1.32,0.61,-0.41,-0.39,0.04,0.56,0.02,-0.43,0,-0.39
,9/1/1963,1.54,1.79,2.04,-0.04,0.9,1.3,0.7,-0.36,-0.38,0.14,0.54,0.09,-0.47,0,-0.39
,10/1/1963,1.69,1.94,2.2,0.12,1.19,1.54,0.76,-0.28,-0.37,0.2,0.53,0.13,-0.43,0.01,-0.39
,11/1/1963,1.76,2.02,2.28,0.19,1.27,1.55,0.74,-0.17,-0.38,0.22,0.5,0.14,-0.34,0.01,-0.4
,12/1/1963,1.58,1.84,2.12,0.01,1.45,1.67,0.63,-0.21,-0.4,0.11,0.5,0.06,-0.29,0,-0.41
,1/1/1964,1.35,1.62,1.88,-0.21,1.42,1.62,0.47,-0.28,-0.4,0.01,0.46,-0.01,-0.28,0,-0.41
,2/1/1964,1.29,1.53,1.79,-0.29,1.45,1.69,0.41,-0.29,-0.4,-0.02,0.43,-0.02,-0.27,0,-0.4
,3/1/1964,1.18,1.44,1.69,-0.39,1.6,1.73,0.32,-0.29,-0.42,-0.07,0.4,-0.05,-0.23,0,-0.41
,4/1/1964,1.06,1.31,1.56,-0.51,1.68,1.7,0.26,-0.35,-0.42,-0.11,0.37,-0.08,-0.26,0,-0.41
,5/1/1964,0.96,1.2,1.45,-0.63,1.53,1.6,0.17,-0.38,-0.42,-0.16,0.35,-0.11,-0.24,0,-0.41
,6/1/1964,0.96,1.22,1.47,-0.61,1.45,1.5,0.17,-0.35,-0.42,-0.15,0.34,-0.11,-0.22,0,-0.41
,7/1/1964,0.96,1.19,1.46,-0.63,1.38,1.51,0.17,-0.37,-0.42,-0.17,0.35,-0.12,-0.24,0,-0.41
