Date,"Median PCE Inflation, monthly percent change","Median PCE Inflation, year-over-year percent change"
06/01/2020,0.0949078298959627,2.30588479647331
07/01/2020,0.213340140768037,2.3258103565899
08/01/2020,0.166487745410215,2.29345607234077
09/01/2020,0.0827076651626069,2.19826310836195
10/01/2020,0.183642924697214,2.18917490492323
11/01/2020,0.0672760380692639,2.09441477208869
12/01/2020,0.141230150826566,1.98644869039077
01/01/2021,0.140126927875306,1.88863409727904
02/01/2021,0.242847728154971,1.91368254296445
03/01/2021,0.230094564354277,1.98486319224478
04/01/2021,0.240784165745755,2.05091667067261
05/01/2021,0.285020300974259,2.1082960465526
06/01/2021,0.297202461986856,2.31465979302081
07/01/2021,0.300198647769889,2.4033395893587
08/01/2021,0.285978187502223,2.52549841307956
09/01/2021,0.389663295488751,2.83994613061314
10/01/2021,0.44901991919406,3.11235942106289
11/01/2021,0.413111260557053,3.46871853438639
12/01/2021,0.384766735166808,3.72034734162168
01/01/2022,0.519903644524544,4.11370187562872
02/01/2022,0.450227716330498,4.329089793602
03/01/2022,0.352234869516943,4.45622513074919
04/01/2022,0.48789002836569,4.71372257384857
05/01/2022,0.580763802762685,5.02252645010395
06/01/2022,0.70921985815604,5.45395531177615
07/01/2022,0.423868312757203,5.58397953406899
08/01/2022,0.596174617079015,5.91056331042448
09/01/2022,0.42290621148533,5.94563441081173
10/01/2022,0.574427046922765,6.07790387165408
11/01/2022,0.438768445375004,6.10500850321631
12/01/2022,0.347496720499696,6.06561472513838
01/01/2023,0.551257967400298,6.09869887473993
02/01/2023,0.339384050581271,5.98162229878918
03/01/2023,0.347515378120833,5.97663806146518
04/01/2023,0.372371557259532,5.85480985710767
05/01/2023,0.319209934018549,5.57954116758372
06/01/2023,0.229306308328781,5.07641888680117
07/01/2023,0.223894261981261,4.86718021198351
08/01/2023,0.262144793804397,4.51896850505875
09/01/2023,0.327271339427138,4.41943286565407
10/01/2023,0.242126439851176,4.07442825613102
11/01/2023,0.255672469222268,3.8847046132684
12/01/2023,0.145954384635982,3.67605799314805
01/01/2024,0.50886468758502,3.63234727062212
02/01/2024,0.332619188542571,3.62536039763433
03/01/2024,0.314978558688472,3.59176076512557
04/01/2024,0.265971737144688,3.48194822866976
05/01/2024,0.287140845328016,3.44886810595151
06/01/2024,0.189301568144429,3.40757833509135
07/01/2024,0.153684101466034,3.33513789833861
08/01/2024,0.230258897347713,3.30227471239601
09/01/2024,0.307263773026833,3.28167386186935
10/01/2024,0.303085365410483,3.34448118741391
11/01/2024,0.233943002977455,3.32208225117177
12/01/2024,0.29460249065596,3.4754447302759
01/01/2025,0.282540995761904,3.24244095755208
02/01/2025,0.279718252702965,3.18800580187499
03/01/2025,0.292379709922486,3.16475972067072
04/01/2025,0.281584738614526,3.18082410938854
05/01/2025,0.238029089106973,3.13029528348292
06/01/2025,0.301827414798117,3.246124255347
07/01/2025,0.1909336859647,3.28452399335077
08/01/2025,0.336218375499331,3.39371232014818
09/01/2025,0.136723315930043,3.2179243433182
10/01/2025,0.160589725087346,3.07128773519649
11/01/2025,0.161744866895996,2.99704587026481
12/01/2025,0.251236241824859,2.95251111556061
01/01/2026,0.218630710936463,2.88689925288186
02/01/2026,0.223063973063953,2.82877201376481
03/01/2026,0.270398763891344,2.80623517004228
04/01/2026,0.238511471588687,2.76207750708808
05/01/2026,0.290881321809167,2.81626058792794
06/01/2026,0.159046351775882,2.66990019389441
07/01/2026,0.241299239033133,2.72151191280454
