iteration,date,log_likelihood_contribution
0,1980Q1,0.2624970136204414
0,1980Q2,1.9257358016143566
0,1980Q3,3.70725350898614
0,1980Q4,0.4637158139307136
0,1981Q1,2.44127146598327
0,1981Q2,0.3993548551354218
0,1981Q3,-4.171232924521544
0,1981Q4,4.2494957657171515
0,1982Q1,-15.702845795283835
0,1982Q2,0.5762670469244289
0,1982Q3,-0.39687964260975495
0,1982Q4,-21.126404057301663
0,1983Q1,-18.45872574532673
0,1983Q2,1.3261692276631338
0,1983Q3,1.653293235161807
0,1983Q4,-15.659882802264239
0,1984Q1,-2.675969172177017
0,1984Q2,-14.85487521765678
0,1984Q3,-0.818577772343323
0,1984Q4,2.968837853944147
0,1985Q1,-13.3280669087691
0,1985Q2,-8.05466071776517
0,1985Q3,-12.748035520578913
0,1985Q4,3.051523420298397
0,1986Q1,2.733064244601824
0,1986Q2,-4.272894695602307
0,1986Q3,-2.6231341957147754
0,1986Q4,3.3465588954837733
0,1987Q1,-0.824251795515532
0,1987Q2,2.371959514817767
0,1987Q3,1.764992217229194
0,1987Q4,1.6343551207135225
0,1988Q1,2.11264570790632
0,1988Q2,3.659269586919306
0,1988Q3,1.5017318158919375
0,1988Q4,3.4208543168373886
0,1989Q1,1.203588435243978
0,1989Q2,-5.0264540654835415
0,1989Q3,0.579817535459386
0,1989Q4,2.17549702267395
0,1990Q1,1.9351578052803289
0,1990Q2,-7.484852378340644
0,1990Q3,2.436302032489494
0,1990Q4,-14.473195700672765
0,1991Q1,-22.656620628834496
0,1991Q2,-13.524792150403709
0,1991Q3,-1.9051444129840371
0,1991Q4,0.44876136991780946
0,1992Q1,-12.794498530568054
0,1992Q2,1.8798537403728943
0,1992Q3,2.9408049572031287
0,1992Q4,2.929105477891608
0,1993Q1,1.7174927801706428
0,1993Q2,2.946206719855762
0,1993Q3,3.559643479053425
0,1993Q4,4.439535713643221
0,1994Q1,3.9087399152476654
0,1994Q2,3.637116083270114
0,1994Q3,3.1320252354910005
0,1994Q4,2.4350112593838578
0,1995Q1,3.0718677502352065
0,1995Q2,3.461466387550942
0,1995Q3,1.6242638326277117
0,1995Q4,4.410872731349098
0,1996Q1,2.59444601978929
0,1996Q2,3.6209723511371723
0,1996Q3,-1.081639742165005
0,1996Q4,4.0246510134054585
0,1997Q1,3.7015002153054244
0,1997Q2,-5.400409353557473
0,1997Q3,4.101688460925977
0,1997Q4,2.7478611289918167
0,1998Q1,1.450415076232781
0,1998Q2,3.198251082264008
0,1998Q3,2.188589499370446
0,1998Q4,2.6215573790700613
0,1999Q1,3.1979895078253073
0,1999Q2,3.725575116265081
0,1999Q3,3.381024508075967
0,1999Q4,0.36010463141681104
0,2000Q1,0.11483318723149782
0,2000Q2,1.5156592170496022
0,2000Q3,3.580191661523506
0,2000Q4,4.009841072772444
0,2001Q1,2.6639593918960953
0,2001Q2,3.7587561095901503
0,2001Q3,3.9839283978666646
0,2001Q4,3.7479405855291805
0,2002Q1,3.279627275852599
0,2002Q2,2.8467277400262367
0,2002Q3,4.013273827380508
0,2002Q4,3.2712350011834785
0,2003Q1,4.129635590946032
0,2003Q2,4.224626275595142
0,2003Q3,3.585815481825972
0,2003Q4,3.412221010523067
0,2004Q1,4.07706903482548
0,2004Q2,3.8117147054329754
0,2004Q3,3.7591662432099384
0,2004Q4,3.4218845579910138
0,2005Q1,3.792783295347366
0,2005Q2,4.1819259384751515
0,2005Q3,3.876002729693308
0,2005Q4,4.121364804047189
0,2006Q1,4.24150342047259
0,2006Q2,3.32611732906817
0,2006Q3,3.5508819058778736
0,2006Q4,3.619967743314913
0,2007Q1,3.2533799078433523
0,2007Q2,3.895561458303117
0,2007Q3,3.495173437910172
0,2007Q4,3.8464513726611655
0,2008Q1,3.874142804635338
0,2008Q2,4.344704705376164
0,2008Q3,3.380590554460835
0,2008Q4,3.0116522619178467
0,2009Q1,1.2689663000215283
0,2009Q2,1.1671364194700051
0,2009Q3,4.229986664593722
0,2009Q4,4.159862182337571
0,2010Q1,4.082558696473614
0,2010Q2,4.027241340075437
0,2010Q3,4.161304933259143
0,2010Q4,3.992199365598715
0,2011Q1,3.300939687349751
0,2011Q2,4.46105850189353
0,2011Q3,3.4998579618551333
0,2011Q4,2.5575385154000627
0,2012Q1,2.445448963642401
0,2012Q2,4.055940216032184
0,2012Q3,4.076481253266944
0,2012Q4,3.081176130848175
0,2013Q1,3.4076326115129065
0,2013Q2,4.261581972927181
0,2013Q3,4.340283968282513
0,2013Q4,4.293870093682236
0,2014Q1,4.179231788715127
0,2014Q2,4.202144555733239
0,2014Q3,3.493066371075688
0,2014Q4,3.9979177847170915
0,2015Q1,4.400456523038309
0,2015Q2,3.7874801688143775
0,2015Q3,4.467275636430126
0,2015Q4,4.120672943114915
0,2016Q1,3.821632551630916
0,2016Q2,4.208926427050187
0,2016Q3,3.8439546051253926
0,2016Q4,4.44903676065019
0,2017Q1,3.486090113022385
0,2017Q2,3.8558856207833303
0,2017Q3,4.071320629454907
0,2017Q4,4.44960018640832
0,2018Q1,4.441068438255734
0,2018Q2,4.286713922028923
0,2018Q3,3.846746779207151
0,2018Q4,4.109750314987185
0,2019Q1,4.179481656912488
0,2019Q2,4.25134570735509
0,2019Q3,4.241739405450357
0,2019Q4,4.28548825531137
0,2020Q1,3.803840881663148
0,2020Q2,-25.268072972625852
0,2020Q3,0.6067956992418275
0,2020Q4,3.606779062693574
