code,description,measure,name,frequency,unit,adjustment,source
A130398762T,Contribution to All groups CPI Percentage Points Change from Previous Period ;  Preschool and primary education ;  Australia ;,Contribution to All groups CPI Percentage Points Change from Previous Period,Preschool and primary education,Month,% pts,Original,640105.xlsx
A130390057R,Contribution to All groups CPI Percentage Points Change from Previous Period ;  Secondary education ;  Australia ;,Contribution to All groups CPI Percentage Points Change from Previous Period,Secondary education,Month,% pts,Original,640105.xlsx
A130396245J,Contribution to All groups CPI Percentage Points Change from Previous Period ;  Tertiary education ;  Australia ;,Contribution to All groups CPI Percentage Points Change from Previous Period,Tertiary education,Month,% pts,Original,640105.xlsx
A130392766T,Contribution to All groups CPI Percentage Points Change from Previous Period ;  Insurance and financial services ;  Australia ;,Contribution to All groups CPI Percentage Points Change from Previous Period,Insurance and financial services,Month,% pts,Original,640105.xlsx
A130393949A,Contribution to All groups CPI Percentage Points Change from Previous Period ;  Insurance ;  Australia ;,Contribution to All groups CPI Percentage Points Change from Previous Period,Insurance,Month,% pts,Original,640105.xlsx
A130392640K,Contribution to All groups CPI Percentage Points Change from Previous Period ;  Insurance ;  Australia ;,Contribution to All groups CPI Percentage Points Change from Previous Period,Insurance,Month,% pts,Original,640105.xlsx
A130399119X,Contribution to All groups CPI Percentage Points Change from Previous Period ;  Financial services ;  Australia ;,Contribution to All groups CPI Percentage Points Change from Previous Period,Financial services,Month,% pts,Original,640105.xlsx
A130399105K,Contribution to All groups CPI Percentage Points Change from Previous Period ;  Deposit and loan facilities (direct charges) ;  Australia ;,Contribution to All groups CPI Percentage Points Change from Previous Period,Deposit and loan facilities (direct charges),Month,% pts,Original,640105.xlsx
A130392479A,Contribution to All groups CPI Percentage Points Change from Previous Period ;  Other financial services ;  Australia ;,Contribution to All groups CPI Percentage Points Change from Previous Period,Other financial services,Month,% pts,Original,640105.xlsx
A130393720C,Index Numbers ;  All groups CPI ;  Australia ;,Index Numbers,All groups CPI,Month,Index Numbers,Original,640106.xlsx
A130607789R,"Index Numbers ;  All groups CPI, seasonally adjusted ;  Australia ;",Index Numbers,"All groups CPI, seasonally adjusted",Month,Index Numbers,Seasonally Adjusted,640106.xlsx
A130400381L,Index Numbers ;  Trimmed Mean ;  Australia ;,Index Numbers,Trimmed Mean,Month,Index Numbers,Seasonally Adjusted,640106.xlsx
A130400612K,Index Numbers ;  Weighted Median ;  Australia ;,Index Numbers,Weighted Median,Month,Index Numbers,Seasonally Adjusted,640106.xlsx
A130392362W,Index Numbers ;  Tradables ;  Australia ;,Index Numbers,Tradables,Month,Index Numbers,Original,640106.xlsx
A130395029W,Index Numbers ;  Non-tradables ;  Australia ;,Index Numbers,Non-tradables,Month,Index Numbers,Original,640106.xlsx
A130397424J,"Index Numbers ;  All groups, goods component ;  Australia ;",Index Numbers,"All groups, goods component",Month,Index Numbers,Original,640106.xlsx
A130396114J,"Index Numbers ;  All groups, services component ;  Australia ;",Index Numbers,"All groups, services component",Month,Index Numbers,Original,640106.xlsx
A130395057F,Index Numbers ;  Market goods and services excluding 'volatile items' - Goods ;  Australia ;,Index Numbers,Market goods and services excluding 'volatile items' - Goods,Month,Index Numbers,Original,640106.xlsx
A130392404J,Index Numbers ;  Market goods and services excluding 'volatile items' - Services ;  Australia ;,Index Numbers,Market goods and services excluding 'volatile items' - Services,Month,Index Numbers,Original,640106.xlsx
A130396142T,Index Numbers ;  Market goods and services excluding 'volatile items' - Total ;  Australia ;,Index Numbers,Market goods and services excluding 'volatile items' - Total,Month,Index Numbers,Original,640106.xlsx
A130398642X,Index Numbers ;  All groups CPI excluding 'volatile items' and holiday travel ;  Australia ;,Index Numbers,All groups CPI excluding 'volatile items' and holiday travel,Month,Index Numbers,Original,640106.xlsx
A130397648V,Index Numbers ;  All groups CPI excluding Food and non-alcoholic beverages ;  Australia ;,Index Numbers,All groups CPI excluding Food and non-alcoholic beverages,Month,Index Numbers,Original,640106.xlsx
A130392663A,Index Numbers ;  All groups CPI excluding Alcohol and tobacco ;  Australia ;,Index Numbers,All groups CPI excluding Alcohol and tobacco,Month,Index Numbers,Original,640106.xlsx
A130396366C,Index Numbers ;  All groups CPI excluding Clothing and footwear ;  Australia ;,Index Numbers,All groups CPI excluding Clothing and footwear,Month,Index Numbers,Original,640106.xlsx
A130390115A,Index Numbers ;  All groups CPI excluding Housing ;  Australia ;,Index Numbers,All groups CPI excluding Housing,Month,Index Numbers,Original,640106.xlsx
A130398862A,"Index Numbers ;  All groups CPI excluding Furnishings, household equipment and services ;  Australia ;",Index Numbers,"All groups CPI excluding Furnishings, household equipment and services",Month,Index Numbers,Original,640106.xlsx
A130394035X,Index Numbers ;  All groups CPI excluding Health ;  Australia ;,Index Numbers,All groups CPI excluding Health,Month,Index Numbers,Original,640106.xlsx
A130398890K,Index Numbers ;  All groups CPI excluding Transport ;  Australia ;,Index Numbers,All groups CPI excluding Transport,Month,Index Numbers,Original,640106.xlsx
A130392719A,Index Numbers ;  All groups CPI excluding Communication ;  Australia ;,Index Numbers,All groups CPI excluding Communication,Month,Index Numbers,Original,640106.xlsx
A130395260L,Index Numbers ;  All groups CPI excluding Recreation and culture ;  Australia ;,Index Numbers,All groups CPI excluding Recreation and culture,Month,Index Numbers,Original,640106.xlsx
A130398918A,Index Numbers ;  All groups CPI excluding Education ;  Australia ;,Index Numbers,All groups CPI excluding Education,Month,Index Numbers,Original,640106.xlsx
