code,name,depth,parent,published,weight
115,"Equipment for sports, camping and open-air recreation",3,114,0.47,0.004707951310088714
116,"Games, toys and hobbies",3,114,0.58,0.005809812255003093
117,Pets and related products,3,114,0.51,0.005108628017330306
118,Veterinary and other services for pets,3,114,0.51,0.005108628017330306
119,Sports participation,3,114,1.06,0.010617932741902206
120,"Other recreational, sporting and cultural services",3,114,0.94,0.009415902620177429
121,Education,1,0,4.65,0.04650000000000001
122,Education,2,121,4.65,0.04650000000000001
123,Preschool and primary education,3,122,0.91,0.009100000000000002
124,Secondary education,3,122,2.01,0.020100000000000003
125,Tertiary education,3,122,1.73,0.017300000000000006
126,Insurance and financial services,1,0,5.57,0.0557
127,Insurance,2,126,1.36,0.0136
128,Insurance,3,127,1.36,0.013600000000000001
129,Financial services,2,126,4.21,0.04209999999999999
130,Deposit and loan facilities (direct charges),3,129,0.4,0.003990521327014217
131,Other financial services,3,129,3.82,0.03810947867298577
