Period,Value,id
2006-08,77.246,KO0001
2006-09,77.398,KO0001
2006-10,77.398,KO0001
2006-11,77.549,KO0001
2006-12,77.625,KO0001
2007-01,77.851,KO0001
2007-02,78.229,KO0001
2007-03,78.834,KO0001
2007-04,78.985,KO0001
2007-05,79.06,KO0001
2007-06,79.06,KO0001
2007-07,79.212,KO0001
2007-08,79.287,KO0001
2007-09,79.287,KO0001
2007-10,79.439,KO0001
2007-11,79.513,KO0001
2007-12,79.664,KO0001
2008-01,80.043,KO0001
2008-02,80.345,KO0001
2008-03,81.252,KO0001
2008-04,81.403,KO0001
2008-05,81.705,KO0001
2008-06,81.856,KO0001
2008-07,82.235,KO0001
2008-08,82.235,KO0001
2008-09,82.537,KO0001
2008-10,82.613,KO0001
2008-11,82.915,KO0001
2008-12,83.217,KO0001
2009-01,83.217,KO0001
2009-02,83.596,KO0001
2009-03,83.973,KO0001
2009-04,83.897,KO0001
2009-05,84.2,KO0001
2009-06,84.351,KO0001
2009-07,84.427,KO0001
2009-08,84.502,KO0001
2009-09,84.653,KO0001
2009-10,84.653,KO0001
2009-11,84.879,KO0001
2009-12,85.031,KO0001
2010-01,85.242,KO0001
2010-02,85.414,KO0001
2010-03,85.414,KO0001
2010-04,85.5,KO0001
2010-05,85.672,KO0001
2010-06,85.757,KO0001
2010-07,85.93,KO0001
2010-08,86.102,KO0001
2010-09,86.187,KO0001
2010-10,86.187,KO0001
2010-11,86.187,KO0001
2010-12,86.445,KO0001
2011-01,86.874,KO0001
2011-02,87.217,KO0001
2011-03,87.475,KO0001
2011-04,87.646,KO0001
2011-05,87.99,KO0001
2011-06,88.161,KO0001
2011-07,88.333,KO0001
2011-08,88.505,KO0001
2011-09,88.419,KO0001
2011-10,88.419,KO0001
2011-11,88.59,KO0001
2011-12,88.762,KO0001
2012-01,88.968,KO0001
2012-02,89.312,KO0001
2012-03,89.046,KO0001
2012-04,89.02,KO0001
2012-05,89.286,KO0001
2012-06,89.381,KO0001
2012-07,89.389,KO0001
2012-08,89.535,KO0001
2012-09,89.621,KO0001
2012-10,89.664,KO0001
2012-11,89.801,KO0001
2012-12,89.938,KO0001
2013-01,90.299,KO0001
2013-02,90.531,KO0001
2013-03,90.402,KO0001
2013-04,90.342,KO0001
2013-05,90.685,KO0001
2013-06,90.737,KO0001
2013-07,90.754,KO0001
2013-08,90.711,KO0001
2013-09,90.986,KO0001
2013-10,91.089,KO0001
2013-11,91.32,KO0001
2013-12,91.381,KO0001
2014-01,91.638,KO0001
2014-02,91.793,KO0001
2014-03,91.972,KO0001
2014-04,92.102,KO0001
2014-05,92.325,KO0001
2014-06,92.291,KO0001
2014-07,92.462,KO0001
2014-08,92.591,KO0001
2014-09,92.506,KO0001
2014-10,92.557,KO0001
2014-11,92.54,KO0001
2014-12,92.66,KO0001
2015-01,93.882,KO0001
2015-02,93.995,KO0001
2015-03,94.137,KO0001
2015-04,94.194,KO0001
2015-05,94.383,KO0001
2015-06,94.345,KO0001
2015-07,94.78,KO0001
2015-08,94.969,KO0001
2015-09,94.752,KO0001
2015-10,94.846,KO0001
2015-11,94.903,KO0001
2015-12,95.111,KO0001
2016-01,95.555,KO0001
2016-02,95.782,KO0001
2016-03,95.905,KO0001
2016-04,96.075,KO0001
2016-05,96.302,KO0001
2016-06,96.321,KO0001
2016-07,96.529,KO0001
2016-08,96.708,KO0001
2016-09,96.642,KO0001
2016-10,96.604,KO0001
2016-11,96.51,KO0001
2016-12,96.633,KO0001
2017-01,97.228,KO0001
2017-02,97.483,KO0001
2017-03,97.502,KO0001
2017-04,97.597,KO0001
2017-05,97.786,KO0001
2017-06,97.729,KO0001
2017-07,97.984,KO0001
2017-08,98.126,KO0001
2017-09,97.965,KO0001
2017-10,98.145,KO0001
2017-11,97.805,KO0001
2017-12,97.965,KO0001
2018-01,98.192,KO0001
2018-02,98.608,KO0001
2018-03,98.807,KO0001
2018-04,98.996,KO0001
2018-05,99.137,KO0001
2018-06,98.958,KO0001
2018-07,98.967,KO0001
2018-08,99.137,KO0001
2018-09,99.062,KO0001
2018-10,99.137,KO0001
2018-11,99.015,KO0001
2018-12,98.996,KO0001
2019-01,99.223,KO0001
2019-02,99.695,KO0001
2019-03,99.544,KO0001
2019-04,99.695,KO0001
2019-05,99.705,KO0001
2019-06,99.638,KO0001
2019-07,99.837,KO0001
2019-08,99.969,KO0001
2019-09,99.534,KO0001
2019-10,99.761,KO0001
2019-11,99.534,KO0001
2019-12,99.62,KO0001
2020-01,99.84,KO0001
2020-02,100.07,KO0001
2020-03,99.75,KO0001
2020-04,99.79,KO0001
2020-05,99.93,KO0001
2020-06,100.02,KO0001
2020-07,100.17,KO0001
2020-08,100.36,KO0001
2020-09,100.16,KO0001
2020-10,99.5,KO0001
2020-11,100.16,KO0001
2020-12,100.26,KO0001
2021-01,100.56,KO0001
2021-02,100.7,KO0001
2021-03,100.82,KO0001
2021-04,101.01,KO0001
2021-05,101.12,KO0001
2021-06,101.14,KO0001
2021-07,101.45,KO0001
2021-08,101.7,KO0001
2021-09,101.58,KO0001
2021-10,101.83,KO0001
