,Motor vehicles and parts,Furnishings and durable household equipment,Recreational goods and vehicles,Other durable goods,Food and beverages purchased for off-premises consumption,Clothing and footwear,Gasoline and other energy goods,Other nondurable goods,Housing excluding gas and electric utilities,Gas and electric utilities,Health care,Transportation services,Recreation services,Food services and accommodations,Financial services and insurance,Other services,Final consumption expenditures of nonprofit institutions serving households (NPISHs)
1960-01,-8.2008831705361,1.3593435673560528,2.3835420978433053,0.43271764333301377,-1.7978165096400378,-1.3832100986685414,-8.458581820823706,1.2954258466045143,0.1293070310612654,1.3550502102483097,-5.933239426237136,3.7588430490151037,2.800069722336773,5.491825518017235,10.149697026734161,1.2114947121135922,-14.934650751901469
1960-02,1.8846254090323367,2.0215494295852787,2.6611867879282824,1.6309654887908032,-1.4278761572475207,5.450805296054861,-3.4910585132027605,0.3790147424753032,0.26027532128667374,4.130633367958025,12.741495225988464,1.9564072027018709,3.74051467779255,5.076696736882269,2.373777838625335,0.4385557219628744,-18.636924350984007
1960-03,-10.493668278372937,2.5123351234469737,3.1090489580443137,1.228382418070617,6.470613352148025,1.0456207259187833,-10.490956505429539,1.7538400239356156,-0.3485458161672783,2.01901915724787,10.75451810250252,-0.3865040707451417,0.4592941822386898,0.0,2.4888857726102165,0.658253270005571,-16.760989215462864
1960-04,2.225841848064536,1.1827101741674673,0.46362730880096237,-0.8223662498961115,12.828010513931009,4.647926677903191,8.839575805322886,-0.827763135540549,0.12959531807719138,4.169869077481825,10.204387376425084,0.3880037209209597,3.066085840288535,1.4926647096512369,6.37737602692805,3.7808399119372504,-7.631065503177625
1960-05,-1.272180042308657,0.27315450540181807,1.8546082561249122,0.684527865786011,0.07461526160301712,-0.5968304337354735,-3.8533441681235847,0.15128590177597712,4.5160616816845245,2.282648350849814,14.468781799370078,0.19376709632008549,-0.7287601649803799,-0.36955252515988857,4.511873979236802,2.9825224230491942,-14.592817154473414
1960-06,-7.607406972654795,-0.08389114634325123,-0.4715592833501314,1.190981455774387,-2.068509376761052,-0.7115842104881032,8.547432722117376,-0.6781125019409306,0.33469599292010876,-0.5409019131874859,9.556544336190287,3.8404854365432506,4.66989081263236,0.867449570775003,5.464572667718137,3.7595903849611867,-10.575033242988429
1960-07,-0.9628490513886923,1.1601513328869828,0.9642061579066441,-0.10752526561333964,-0.07468956801927051,1.9998181934263615,13.97118120407388,0.15135268621915277,3.627110627139185,2.260967870438546,6.232901502763566,2.3402169502983794,2.2086701449016033,3.891345600947105,4.594884439710567,1.3083588346057606,-7.553942104567202
1960-08,0.4445260389101868,0.10486118046251214,0.245485765294573,-0.32228676688615954,0.37423939241305604,3.934085537228449,13.810613969870822,0.5305865194105586,0.16199830466692156,2.5721187768302345,7.69734267758253,1.5516098605859119,6.6515522857989895,-0.368229525188446,5.539721954129395,2.2973890486716497,-2.724780582799091
1960-09,-12.343332021690657,1.6897739972351777,0.5675017035628338,-0.39388237282448335,0.7495280711423025,1.8500155295571918,-1.8390285090243874,0.91075210944489,1.670383470664527,0.07763274849372781,7.008759394910724,2.923535306991676,0.7260594668901721,0.7404326876154554,3.9618143971436037,4.184427983021166,-0.7685050352485567
1960-10,-2.5776431337836025,1.0515888563535913,-1.2896075174683386,-0.9290071499219676,6.929301093270879,-0.0915471404285495,-8.475298424983968,-0.3769668539444049,0.48321222008165243,-0.028549763487895063,3.2255331045174973,2.621318126470573,2.0991826547394066,1.360453407439599,5.976305945398797,0.7564465192572367,-2.00379985227791
1960-11,20.787064843088633,-1.371549572852515,-0.75853101261385,1.373224514752569,4.623477793090269,-1.6137082759943855,19.43788144208829,1.291898296153704,5.095397176640648,0.19075233810816883,4.653877215487023,4.294485485534882,0.0,-0.7341661839647018,4.047069779258128,1.6263482426192688,-1.113825270424862
1960-12,-19.84217049175252,1.411828348880384,-0.6585937926736118,-0.32236372501439625,4.759983152468394,2.904103397398816,-8.415121291523963,0.07549306051553017,0.18494942724900376,0.3073020395817361,-0.39408816245755096,6.582210755987061,3.576925778733786,4.130237540581394,2.17144815128405,-0.5360719850566742,7.105059101052058
1961-01,7.451690921879739,-0.6047790611491743,-0.9207050246064608,2.6877368273295232,-1.5361336271187964,-2.084280277019235,5.107582389495047,1.290427344816636,0.23639345382076016,0.005646397478131782,-1.9568845322936346,0.09493294652482831,5.157014098847612,1.6033373518437033,-2.5674193965954606,-1.8127196144320235,3.7230208047415614
1961-02,1.7234473791990945,-0.2925298291041156,-0.7312922043437031,-1.1750781115135278,1.037604291953631,2.175380030205365,-1.6065447316850445,-0.6013889106503023,0.4970240872472331,5.645966769425903,-1.3757869972578218,3.5677586375505888,6.076944067893986,4.74666253724505,0.6813639095170965,0.5397854861827645,7.831966218355091
1961-03,2.4668134820602594,0.9247355915495303,-1.4157359579910156,-4.285550387110504,-1.6820153161690055,-0.2741393358219102,-13.750604094729901,0.3777500505646847,0.31838285516527787,0.22027133729796144,-2.1566026297988206,5.032040906547919,0.0892027445466459,-0.12173470481818827,0.0,0.43142123158670387,7.865688504210144
1961-04,6.43039149743454,0.27219651288243885,-0.19897701167824744,-0.07191226395562023,-2.7688284082683645,-4.0413585338262115,-25.84676836699391,0.6048368841090612,4.779719563025719,0.4439494572745728,-1.7708809065146713,2.4774425952576395,0.9851770345421729,5.237925890166029,0.9089125796014175,1.1900866611311178,0.6811606106290169
1961-05,6.438859296417121,0.8816527108820305,-0.19177964820409343,0.5770428649510606,-5.409420481128402,2.2966404026211196,10.441691132054043,-0.07533192778318432,0.34436024388129205,2.7770220907313847,0.0,6.684463187176837,3.25469208722029,1.097159851688878,0.6804623858469805,1.8428503450624412,5.89607956652487
1961-06,4.9682935799434835,0.9863595892859012,-2.158930984966645,-1.7829076258917942,-4.5118684562808875,-1.2983256224900708,3.880665559029972,-0.07533665716262794,3.3907521639208182,-2.0957014663536833,-0.5944009647206205,0.2809315737688056,1.9722942422624623,1.2186303866152493,5.798334780598546,2.606661962694923,10.387612988930005
1961-07,3.741947162188719,-1.0594460102734904,-1.3666946286513215,0.18018283726286555,3.1021938600826804,4.685569554459312,13.74464096419703,-0.2258680853541195,1.6694326706132578,-0.025298486092872885,1.1991863468019393,3.8048482875241874,3.1492337099972456,4.194774319449235,7.319964225889852,-1.171809589273154,1.4002108113900125
1961-08,4.890691379683942,0.3348094412640945,-1.328784139309791,0.8311828720203529,-1.6982638900455815,1.0331970153940162,12.275415023047987,-0.3011101181270459,0.11840435094436774,-4.716119067025226,0.3978774638753624,1.9750906781556443,3.7799392995193415,-0.601592417479524,6.799615129250869,1.294131545194932,6.354294020037599
1961-09,10.044967287351891,-1.3080190418203852,0.1273713264807741,-2.0315024401634796,-2.722838194951016,1.1937645820280673,1.996704701348806,-0.7514053675283794,0.33529053111354123,0.10656933749613184,3.6323046600379216,0.0,3.131157106671134,9.176749297680553,6.1724798547711845,1.8358849985761205,6.483445602814464
1961-10,-2.1453867132082416,0.12553612758647859,-2.2885612998089777,0.36097786250612884,0.14949542521840442,-1.5625713838546607,-10.60218756450001,0.5294161010903853,0.2843410792244594,2.494998297528306,0.595384018970857,3.306141498541959,4.305573323057277,-0.23940138257696475,4.631746326650088,1.615836814111904,-3.1129124861273727
1961-11,-12.518865630971943,0.2931116629382613,-1.727849938366166,0.21637857891330103,-2.144557428740057,0.15999539483573244,7.770325721819082,1.0609311233594543,0.15842234563032687,-0.23546598669011987,2.1978982643475975,0.09284691202231521,-0.5247418956559557,4.9010095548687405,6.117141151475525,1.722085641399973,-0.3569300215925386
1961-12,5.187929941401914,-0.7499313980651179,-1.02056146092242,-0.7538216559628497,2.039012962701059,-0.41028700847439703,-17.0372745088573,-0.526166225325797,0.02349030098320881,-0.13541092917133124,2.597475668295135,2.724651818679913,3.474691185125911,0.8388626641852248,6.666490294230187,0.6417090501388945,0.4864249925794484
1962-01,-2.3197237855611674,0.1465137314592191,-1.3285142991872445,1.6340747273862366,5.591212018770486,-7.4113980653020555,3.8549564722808682,2.2081037563873585,4.376778368583301,2.4729533078744925,3.6050271853346194,2.6236225778432987,2.2084736861226695,-0.47614234431206937,10.630769704164834,2.6973176012689226,-0.10208855301812036
1962-02,3.890362243766776,0.6292255679132497,-0.3103334066001828,0.32443608476611097,6.585645149491781,1.5280432420853085,16.332778878739006,0.8308371302578887,1.5111506720716816,-2.488127393349693,5.435403434090635,2.9020826392845755,2.471918897171088,3.8865564238285355,4.07677254537524,1.0686514554614668,-3.145744379077453
1962-03,4.992988990651903,0.9236194410299436,-1.3411660996506258,2.03389093573918,2.999030235435396,7.5024187447477075,-21.44056537918231,2.2792496971193676,2.003860365866239,0.06220990628627021,0.7852078529176465,1.2980812273382103,2.8237609432785415,2.6488548136111234,1.738772301891367,3.453523472672826,6.891275379595796
1962-04,2.3978889091538225,-1.4317212124125844,-0.6715936510861775,-23.122470664612994,0.5918601882108687,-1.2481517424652866,28.035866328799266,-0.22492258855618674,-2.7444819162124268,-0.1770081575575566,7.686091771238779,6.249027241791483,1.4876666640017966,0.35670014527660054,4.168746021697123,2.2477996519423282,0.5872136308961329
1962-05,1.6296701632915633,-1.1027292206394312,-1.2855099533351955,1.4043505065625572,-2.2623327541249516,-0.25104350675591025,-1.962324415893013,-1.268679159152264,4.814775771547297,-0.12779590447030698,0.5843665053538949,0.735347161913924,1.485824687321835,3.8642657275096415,2.7156288040152132,2.351577219327039,0.050912175403583504
1962-06,3.6857366419879245,-0.06277627898049198,-1.7533676932193432,29.339512039493208,-1.248874164331104,2.4027977720411764,-14.054972664491306,-1.1957259424789757,0.36720345895691064,-0.09462221720768493,5.370549181404671,3.2518783623720626,3.434406709218818,6.077839196413404,2.162274196928582,1.916535017619836,-2.2416016898950453
