,lower,median,upper
1960-01,1.2184487984495092,1.5106525675395668,1.8053550056594285
1960-02,1.1824400614498154,1.4658351786694492,1.7512508872825565
1960-03,1.1756335712666863,1.463179469300849,1.7389002599169827
1960-04,1.2139009872026674,1.4947839332245576,1.7519059505323917
1960-05,1.1141437247519188,1.3888716639597112,1.6664191713285348
1960-06,1.1276436979315803,1.3754336189457974,1.6270773447071563
1960-07,1.2387234212505942,1.486210687074276,1.7330534022812178
1960-08,1.307933362924568,1.5519789398078947,1.7996861077490163
1960-09,1.2983201474077386,1.5450597498332397,1.8072028638745177
1960-10,1.1596202385003247,1.411631525377424,1.6600683946231072
1960-11,1.0746474266804098,1.3153330526326412,1.5658714844657051
1960-12,1.078039466587029,1.3068271157029925,1.5459261855722102
1961-01,0.8392363189514124,1.0929894880723072,1.341776088892062
1961-02,0.9192401812002091,1.1677414505606498,1.4005007562046905
1961-03,0.8940707254861212,1.1418035850839074,1.3840240922064868
1961-04,0.9526507301437193,1.2122736646551204,1.4568751928877977
1961-05,1.1043207637105856,1.3429846087232855,1.5833564121698942
1961-06,1.1612627798247372,1.392177413292233,1.6312655928557305
1961-07,1.1538506302313336,1.38885851068441,1.6347258991750901
1961-08,1.1324816245130243,1.377585602148892,1.6007485617128037
1961-09,1.0950292099867212,1.3362734397342944,1.5613177515125534
1961-10,1.032792922812861,1.2735796670829078,1.5038049309926078
1961-11,1.0824068667781879,1.3226365075881046,1.5489773084255034
1961-12,1.1506639419731364,1.3911287732153514,1.6218195380043197
1962-01,1.3509725092252338,1.6016779522315723,1.8670789523640023
1962-02,1.3391583401782805,1.577627201872299,1.8171274595423208
1962-03,1.3119902180089724,1.5517487237293128,1.8018935984964208
1962-04,1.0907744185103592,1.3232610569642755,1.555771649495758
1962-05,0.8686174200075605,1.102019164497614,1.331137083496161
1962-06,0.8427248995352165,1.0824647395066511,1.319667828042092
1962-07,0.7156033652985526,0.9534536328743513,1.1931687311415886
1962-08,0.5765410643048716,0.8094869412048408,1.044390510660379
1962-09,0.7482988825221139,0.9873924068895732,1.2218061105251612
1962-10,0.8395148549624669,1.0813178345500374,1.3104386950741418
1962-11,0.9760004339002547,1.213179363408182,1.4512173007098756
1962-12,0.9667339999805818,1.2096670474708517,1.4452996746985933
1963-01,1.1530595769713092,1.3826215195259186,1.6236750681957781
1963-02,0.9665541074349631,1.2078331378425022,1.4520433303802653
1963-03,0.9826623548385275,1.2272168426332866,1.4659098035402236
1963-04,1.1708530197236189,1.4407922790980814,1.6855621098534748
1963-05,1.357746013531096,1.6287800822127128,1.8867845155124963
1963-06,1.414036327643016,1.680992226930334,1.9247227429568838
1963-07,1.4195797432871597,1.6556035139922232,1.8859875446852163
1963-08,1.4441131794382969,1.6706799744075869,1.8925037425765485
1963-09,1.5504540135722626,1.7941841246117718,2.024749462933656
1963-10,1.6816665296310203,1.9076352719904843,2.1585489857582827
1963-11,1.7365165090883714,1.9781211323620855,2.2250113586416056
1963-12,1.5607910828407499,1.8155722676195791,2.063597117267201
1964-01,1.348507395506736,1.5977564309971393,1.8379563917188455
1964-02,1.2716208802564881,1.512162370716481,1.7458895227316298
1964-03,1.1872426364838884,1.4234142637613565,1.6555795471086598
1964-04,1.0579737337335313,1.2999217516631556,1.5494225730774762
1964-05,0.9992369805286486,1.2279606459919004,1.4658356081774482
1964-06,0.981600563030697,1.2335214412860958,1.4682942266188188
1964-07,0.9694253545876166,1.2157944094545377,1.4578681389828165
1964-08,1.0033821355143933,1.241662237843466,1.4894456357158656
1964-09,1.0110250057196168,1.2504705598430501,1.4764578059662343
1964-10,1.0547732918825414,1.295769110153034,1.5318566837954635
1964-11,1.1374182586311812,1.36315918087206,1.5945778377448359
1964-12,1.1362752457061602,1.3726360882314474,1.612280428889937
1965-01,1.2731451820579442,1.512125561664245,1.764853673153592
1965-02,1.337625641006491,1.560738583343261,1.8192902556230992
1965-03,1.295918337762509,1.5385309972781789,1.7738898419887457
1965-04,1.4794384846737965,1.713568276864558,1.957466754627645
1965-05,1.5723454345178722,1.8054166846769468,2.052121383233436
1965-06,1.4981284190653887,1.7480455994513775,1.9828785761772079
1965-07,1.2601180623803263,1.5027094119717415,1.7467200393388083
1965-08,1.2028644448788735,1.4710221558364136,1.7215809804670732
1965-09,1.3203954536125149,1.5871875835303464,1.8536656517946053
1965-10,1.4444125374579029,1.7112789232014824,1.9779088413699992
1965-11,1.7019033613304895,1.9608515167448162,2.20661926033623
1965-12,2.0499198636213616,2.3167781271776846,2.559814323070583
1966-01,2.263536800909123,2.523202620157848,2.7803683741638188
1966-02,2.4908974787604694,2.7606619204647647,3.032234647272435
1966-03,2.5847721602919247,2.86342844684642,3.1240240337272076
1966-04,2.8905395318490434,3.1569955150309648,3.4282551007671165
1966-05,2.951835603165007,3.2116648729037287,3.480247350753193
1966-06,3.1157545004432925,3.386957515251016,3.635309549595903
1966-07,3.2387869459825476,3.501073413667033,3.761165896961895
1966-08,3.2574568120780603,3.4918505454003883,3.7558009320423547
1966-09,3.2972138198687118,3.55489898498203,3.8040168325696784
1966-10,3.279501824382488,3.5350320323106015,3.792394716545831
1966-11,3.162441562689776,3.4109213446803066,3.6570570082101903
1966-12,2.831269772019784,3.1033729950398405,3.359289093962861
1967-01,2.42460350002193,2.695949266807027,2.9650212532765083
1967-02,2.247504237495369,2.5115680357191126,2.776398028986509
1967-03,2.2602506347111984,2.5217602334080294,2.777490107793369
1967-04,2.6188522772499567,2.8728740533679753,3.1269027197077572
1967-05,2.758306925360079,3.013083596138209,3.271107680130112
1967-06,2.9656506601626975,3.231058535177385,3.5058390320968695
1967-07,3.2688034684750398,3.532382810060051,3.8072686794256145
1967-08,3.4727453979581266,3.7432454254410317,4.017021033329428
1967-09,3.606687679143861,3.87324004859559,4.1518892748673295
1967-10,3.7577428572208516,4.034830468345224,4.312018094843351
1967-11,4.001427489272408,4.275351099870723,4.542594828712087
1967-12,4.319771611336531,4.603312999400365,4.883249393081246
