,headline_yoy,official_core_yoy
1985-02,,
1985-03,,
1985-04,,
1985-05,,
1985-06,,
1985-07,,
1985-08,,
1985-09,,
1985-10,,
1985-11,,
1985-12,,
1986-01,3.6658405617513434,
1986-02,3.5339553641614563,
1986-03,3.6327631534023075,
1986-04,3.424400559364238,
1986-05,3.3021743548059312,
1986-06,3.0011842327863247,
1986-07,3.099306377939426,
1986-08,2.7959748767474757,
1986-09,2.271284946056973,
1986-10,0.9824164113494183,
1986-11,1.9916425153333028,
1986-12,1.3902847571189314,
1987-01,0.8799017166384537,
1987-02,0.49186280658899406,
1987-03,1.0674397917833423,
1987-04,1.7544438215216118,
1987-05,2.7081079308875156,
1987-06,2.81518954076605,
1987-07,2.4219749926159384,
1987-08,3.9780566322843436,
1987-09,4.0530389627355445,
1987-10,5.16769448933152,
1987-11,5.174293738642,
1987-12,6.0498926152321,
1988-01,6.224080047396496,
1988-02,7.762302082648964,
1988-03,8.481924568895272,
1988-04,7.6681251012801654,
1988-05,6.604526446835002,
1988-06,7.364452538419752,
1988-07,7.863116408728232,
1988-08,6.909297696900785,
1988-09,6.494036409290649,
1988-10,6.114769520225782,
1988-11,7.150262322892775,
1988-12,7.184695912263228,
1989-01,6.776562451584911,
1989-02,5.407712238987972,
1989-03,4.618528200967575,
1989-04,5.24367117184914,
1989-05,6.021679243023104,
1989-06,5.541007022973465,
1989-07,5.266910257552815,
1989-08,5.505319148936172,
1989-09,6.1864481711809916,
1989-10,6.725768321512993,
1989-11,6.063271469199871,
1989-12,5.069472705075295,
1990-01,7.318630295995354,
1990-02,7.6173400040487005,
1990-03,7.9905790441176405,
1990-04,8.7492492063038,
1990-05,8.580224249442203,
1990-06,8.938137934923596,
1990-07,9.357715317755954,
1990-08,8.974035795311309,
1990-09,8.632174975019424,
1990-10,8.685900985712713,
1990-11,8.616447823082263,
1990-12,9.337132739445586,
1991-01,9.15580552701314,8.441881276722674
1991-02,9.926638540295052,8.950464702392713
1991-03,10.133517740305331,8.827186075424788
1991-04,9.410341381305564,8.63375541728204
1991-05,8.505657432696069,8.423782537700507
1991-06,8.665493322290097,8.500691694891005
1991-07,9.036952931461585,9.015223596574696
1991-08,9.491865217056073,8.996014423989385
1991-09,9.438397465378934,9.116539126726519
1991-10,9.313937788194536,9.214686865826604
1991-11,9.69154026264889,9.297030864921974
1991-12,9.250778067356592,9.269879912919322
1992-01,7.723939754260778,7.654043645699615
1992-02,6.962133620162825,7.3167411575197905
1992-03,6.783713292117466,7.604946014963487
1992-04,6.9374999999999964,7.441663509327157
1992-05,7.289943665348186,7.266566265060237
1992-06,6.788300304878048,6.59265772697295
1992-07,6.557959009797898,5.92624918175868
1992-08,5.873239436619704,5.66341633292704
1992-09,5.659320134478896,5.6495212454132915
1992-10,5.378824955137618,5.500939869930632
1992-11,4.375870069605559,5.102435253189008
1992-12,4.458392199550687,5.090083335118578
1993-01,4.511796900151777,5.180674147733311
1993-02,4.57319163524168,5.380322185108466
1993-03,4.785489743763716,5.3000811874180265
1993-04,4.758800521512385,5.395370063060079
1993-05,4.470908928411821,5.254681725269972
1993-06,4.804389525806307,5.368227845490736
1993-07,4.275402554136609,5.361924772380844
1993-08,4.438827546450264,5.479339183454868
1993-09,4.591656354958462,5.234386238928068
1993-10,5.106486498440854,5.332896434495882
1993-11,5.475036678077627,5.089698009889254
1993-12,5.800186244512462,5.075935174803803
1994-01,6.352314733321607,5.4943720139282615
1994-02,6.812221348019931,5.56302284992074
1994-03,6.395010036043436,5.144020718423192
1994-04,5.943823359011224,5.010923261626865
1994-05,5.678294159163344,5.108085840950993
1994-06,5.895122158849064,5.646676583418153
1994-07,6.883919062832788,5.863262233865774
1994-08,7.351817255434789,6.075459907042147
1994-09,6.502725313727975,5.964144826778095
1994-10,5.750536548415597,5.607294927381257
1994-11,6.084427490568833,5.939766297902116
1994-12,5.568129427050583,5.820157144242888
1995-01,5.197062170269984,5.755133371713694
1995-02,4.464632823849568,4.944887875332582
1995-03,4.621064589419022,4.896117326313809
1995-04,5.089826423348809,5.40717833380191
1995-05,5.217356107828075,5.384270837221461
1995-06,4.174203143213151,4.718676473312722
1995-07,3.6028854967916857,4.910615350520797
1995-08,3.431091423260235,5.10337463409245
1995-09,4.6774577481552,5.527091780317006
1995-10,4.480789510336458,5.521291676638995
1995-11,4.112364907819455,5.500293642636911
1995-12,4.754342431761782,5.912549271243939
1996-01,4.802643223789005,5.545373713912416
1996-02,4.78699441778474,5.635435152656543
1996-03,4.4363438942102595,5.680331248095505
1996-04,4.509887060093276,5.232930298719762
1996-05,4.900942488940174,5.109178812403692
1996-06,5.21462332400886,5.203099568324965
1996-07,5.40103866128101,4.8796803210871875
1996-08,5.267484991013727,4.85732803166985
1996-09,4.532878529467488,4.745105572923025
1996-10,5.04846603568776,4.838090585525845
1996-11,5.258939816051589,4.529877359311119
1996-12,4.925146863748342,4.111130344469438
1997-01,4.685770046351023,3.792658815438843
1997-02,4.856165535804413,3.8793842356087405
1997-03,4.535665218521401,3.4533057430713443
1997-04,4.313428982406964,3.347244985891229
1997-05,3.812020976200081,3.337713977625012
1997-06,4.00271370420624,3.3313713949381984
1997-07,3.699040110952967,3.3233186189764785
1997-08,3.9649817461903103,3.214059002372127
1997-09,4.2420506870672,3.396358543417355
1997-10,4.2420506870672,3.388307344106245
1997-11,4.334505637939157,3.48483083426252
1997-12,6.574075746356267,3.8573447501870417
1998-01,8.29419567633456,5.341968826091992
1998-02,9.547747651389571,5.977193590441754
1998-03,8.958351833762546,6.12191363084893
1998-04,8.82524529302573,6.011706232424285
1998-05,8.174223289824623,5.535356170413963
1998-06,7.51749792845684,5.155746509129977
1998-07,7.320721513418382,4.9627186926363365
1998-08,6.904262753319346,4.303563914155295
1998-09,6.871065354248551,3.92175834099302
1998-10,7.23105283294494,3.7344064386317877
1998-11,6.776362657029189,3.547593393692794
1998-12,3.9654967886254555,2.900824461698548
1999-01,1.4632612186118887,1.0708220642807742
1999-02,0.16923502514116784,0.17751755710926354
1999-03,0.5069357283737252,-0.4372141886046288
1999-04,0.4207482495898196,-0.697089804290496
1999-05,0.7625112254061595,-0.6102459522926651
1999-06,0.5968680823153161,-0.5215587953075196
1999-07,0.25416085922767007,-0.6113226235800462
1999-08,0.9363969146293671,-0.3506866320117874
1999-09,0.7615576131352331,-0.3506866320117874
1999-10,1.1822899772948592,-0.17379160524477744
1999-11,1.3522529412721918,-0.08697137709856584
1999-12,1.354545306361965,0.08712292110708564
2000-01,1.890794002969165,0.6534219083031312
2000-02,1.770716571632791,0.7694340385183462
2000-03,2.111579630230298,1.3049887500969914
2000-04,1.4446098097580018,1.4955970740343938
2000-05,1.1035130930775239,1.2792812397991904
2000-06,2.2168250501230835,1.468643527233704
2000-07,2.980045796532549,1.9682648437378436
2000-08,2.4479883429126437,2.1706971457045476
2000-09,3.5157700941522263,2.6798922437284878
2000-10,2.6382855952171047,2.6005316089720676
2000-11,2.202812921456543,2.6005316089720676
2000-12,2.7790286265680253,2.905196399981347
2001-01,3.4392212117330567,3.238171785399624
2001-02,3.6266700719906675,3.4337014870117866
2001-03,4.01194371208029,3.409613087032448
2001-04,4.833436986716411,3.6066225976251642
2001-05,5.263410959562775,4.1178095647369295
2001-06,5.034365083161907,4.116772205271313
2001-07,4.812426542994186,3.5978803658964775
2001-08,4.690487854986802,3.593800009144532
2001-09,3.2512714905301277,3.278738246891133
2001-10,3.352853908019071,3.175468896766964
2001-11,3.3743873319090234,3.2724297791109747
2001-12,3.1639231395130585,3.264251835291998
2002-01,2.6376075784781294,2.745837824889219
2002-02,2.6263497589303464,2.6366808840635914
2002-03,2.3134009284143664,2.812833274084614
2002-04,2.497718284149686,2.9981243261604895
2002-05,2.9797341535088284,2.9938530933533825
2002-06,2.5885889533294737,2.8922333814390466
2002-07,2.1063159170808587,3.0911422632998953
2002-08,2.3835761189523685,3.0821968192317195
2002-09,3.0552113867818864,3.173181404364045
2002-10,2.7666132785349573,3.46245337875537
2002-11,3.4541973132332426,3.5560249977995007
2002-12,3.7327468527225793,3.5457776867603874
2003-01,3.811003197200913,3.5307317926150494
2003-02,3.8859870317002887,3.5206765278544605
2003-03,4.523678044266677,3.6795320626413774
2003-04,3.748775637410584,3.474383056826169
2003-05,3.1759174379749844,3.3734077572634913
2003-06,2.990928060854503,3.467868899384574
2003-07,3.1877949600783495,3.275852207732788
2003-08,2.979771172446344,3.178431764336498
2003-09,3.332649111489072,3.1680970069595693
2003-10,3.7139958537338424,2.879648027249515
2003-11,3.431408552080728,2.598101714123824
2003-12,3.420040648623357,2.8677582041900074
2004-01,3.395075179777729,2.765696913397786
2004-02,3.2855099475532112,2.5742157344374794
2004-03,3.065653825284853,2.3664281247828933
2004-04,3.2514161469359593,2.178431861644614
2004-05,3.34900117508814,2.176471402661062
2004-06,3.6311645016668503,2.173101130123256
2004-07,4.359269380123698,2.6292106829855832
2004-08,4.790607774357514,2.626810341250163
2004-09,3.850901712615462,2.349321966091389
2004-10,3.75962233657976,2.349321966091389
2004-11,3.3189893911635737,2.3500497072793447
2004-12,3.035487063480824,2.1588365354244132
2005-01,3.4030236609902786,2.691264688963768
2005-02,3.3642480450991163,2.8051834316288105
2005-03,2.98832102630886,2.4963349079654584
2005-04,3.092226486194427,2.509018905796534
2005-05,3.0768590801314444,2.418731961137688
2005-06,2.76626131809925,2.3286039207191633
2005-07,2.552335276525941,1.9669211882470394
2005-08,1.9742864559850082,2.0797390554237793
2005-09,2.4825456681832447,2.0797390554237793
2005-10,2.2789687256629776,2.0797390554237793
2005-11,2.489347079037807,2.273156517281394
2005-12,2.6181099661072738,2.1132156636061827
2006-01,2.2243661168030116,1.511089771802765
2006-02,2.015103123477524,1.6105631646900598
2006-03,2.0030132637413045,1.8011575085753684
2006-04,2.000994449894522,1.7979995766299606
2006-05,2.3029944308429195,2.0996507197290404
2006-06,2.4124996626817996,1.9977773073666327
2006-07,2.4001182589063808,2.1988780694326637
2006-08,2.6917305321828566,1.9951145441341467
2006-09,2.4797354948805417,2.1958143526770835
2006-10,2.186777808947493,2.1958143526770835
