,Food and non-alcoholic beverages,Alcoholic beverages and tobacco,Clothing and footwear,"Housing, water, electricity and other fuels","Furnishings, household equipment and routine household maintenance",Health,Transport,Communication,Recreation and culture,Education,Restaurants and hotels,Miscellaneous goods and services
1985-02,0.0,0.018414918414918418,0.05780885780885781,0.20000000000000004,0.053146853146853155,0.09790209790209792,0.12890442890442882,0.05431235431235432,0.07331002331002331,0.08613053613053613,0.16864801864801868,0.061421911421911425
1985-03,0.0,0.018414918414918418,0.05780885780885781,0.20000000000000004,0.053146853146853155,0.09790209790209792,0.12890442890442882,0.05431235431235432,0.07331002331002331,0.08613053613053613,0.16864801864801868,0.061421911421911425
1985-04,0.0,0.018414918414918418,0.05780885780885781,0.20000000000000004,0.053146853146853155,0.09790209790209792,0.12890442890442882,0.05431235431235432,0.07331002331002331,0.08613053613053613,0.16864801864801868,0.061421911421911425
1985-05,0.0,0.018414918414918418,0.05780885780885781,0.20000000000000004,0.053146853146853155,0.09790209790209792,0.12890442890442882,0.05431235431235432,0.07331002331002331,0.08613053613053613,0.16864801864801868,0.061421911421911425
1985-06,0.0,0.018414918414918418,0.05780885780885781,0.20000000000000004,0.053146853146853155,0.09790209790209792,0.12890442890442882,0.05431235431235432,0.07331002331002331,0.08613053613053613,0.16864801864801868,0.061421911421911425
1985-07,0.0,0.018414918414918418,0.05780885780885781,0.20000000000000004,0.053146853146853155,0.09790209790209792,0.12890442890442882,0.05431235431235432,0.07331002331002331,0.08613053613053613,0.16864801864801868,0.061421911421911425
1985-08,0.0,0.018414918414918418,0.05780885780885781,0.20000000000000004,0.053146853146853155,0.09790209790209792,0.12890442890442882,0.05431235431235432,0.07331002331002331,0.08613053613053613,0.16864801864801868,0.061421911421911425
1985-09,0.0,0.018414918414918418,0.05780885780885781,0.20000000000000004,0.053146853146853155,0.09790209790209792,0.12890442890442882,0.05431235431235432,0.07331002331002331,0.08613053613053613,0.16864801864801868,0.061421911421911425
1985-10,0.0,0.018414918414918418,0.05780885780885781,0.20000000000000004,0.053146853146853155,0.09790209790209792,0.12890442890442882,0.05431235431235432,0.07331002331002331,0.08613053613053613,0.16864801864801868,0.061421911421911425
1985-11,0.0,0.018414918414918418,0.05780885780885781,0.20000000000000004,0.053146853146853155,0.09790209790209792,0.12890442890442882,0.05431235431235432,0.07331002331002331,0.08613053613053613,0.16864801864801868,0.061421911421911425
1985-12,0.0,0.018414918414918418,0.05780885780885781,0.20000000000000004,0.053146853146853155,0.09790209790209792,0.12890442890442882,0.05431235431235432,0.07331002331002331,0.08613053613053613,0.16864801864801868,0.061421911421911425
1986-01,0.0,0.018414918414918418,0.05780885780885781,0.20000000000000004,0.053146853146853155,0.09790209790209792,0.12890442890442882,0.05431235431235432,0.07331002331002331,0.08613053613053613,0.16864801864801868,0.061421911421911425
1986-02,0.0,0.018414918414918418,0.05780885780885781,0.20000000000000004,0.053146853146853155,0.09790209790209792,0.12890442890442882,0.05431235431235432,0.07331002331002331,0.08613053613053613,0.16864801864801868,0.061421911421911425
1986-03,0.0,0.018414918414918418,0.05780885780885781,0.20000000000000004,0.053146853146853155,0.09790209790209792,0.12890442890442882,0.05431235431235432,0.07331002331002331,0.08613053613053613,0.16864801864801868,0.061421911421911425
1986-04,0.0,0.018414918414918418,0.05780885780885781,0.20000000000000004,0.053146853146853155,0.09790209790209792,0.12890442890442882,0.05431235431235432,0.07331002331002331,0.08613053613053613,0.16864801864801868,0.061421911421911425
1986-05,0.0,0.018414918414918418,0.05780885780885781,0.20000000000000004,0.053146853146853155,0.09790209790209792,0.12890442890442882,0.05431235431235432,0.07331002331002331,0.08613053613053613,0.16864801864801868,0.061421911421911425
1986-06,0.0,0.018414918414918418,0.05780885780885781,0.20000000000000004,0.053146853146853155,0.09790209790209792,0.12890442890442882,0.05431235431235432,0.07331002331002331,0.08613053613053613,0.16864801864801868,0.061421911421911425
1986-07,0.0,0.018414918414918418,0.05780885780885781,0.20000000000000004,0.053146853146853155,0.09790209790209792,0.12890442890442882,0.05431235431235432,0.07331002331002331,0.08613053613053613,0.16864801864801868,0.061421911421911425
1986-08,0.0,0.018414918414918418,0.05780885780885781,0.20000000000000004,0.053146853146853155,0.09790209790209792,0.12890442890442882,0.05431235431235432,0.07331002331002331,0.08613053613053613,0.16864801864801868,0.061421911421911425
1986-09,0.0,0.018414918414918418,0.05780885780885781,0.20000000000000004,0.053146853146853155,0.09790209790209792,0.12890442890442882,0.05431235431235432,0.07331002331002331,0.08613053613053613,0.16864801864801868,0.061421911421911425
1986-10,0.0,0.018414918414918418,0.05780885780885781,0.20000000000000004,0.053146853146853155,0.09790209790209792,0.12890442890442882,0.05431235431235432,0.07331002331002331,0.08613053613053613,0.16864801864801868,0.061421911421911425
1986-11,0.0,0.018414918414918418,0.05780885780885781,0.20000000000000004,0.053146853146853155,0.09790209790209792,0.12890442890442882,0.05431235431235432,0.07331002331002331,0.08613053613053613,0.16864801864801868,0.061421911421911425
1986-12,0.0,0.018414918414918418,0.05780885780885781,0.20000000000000004,0.053146853146853155,0.09790209790209792,0.12890442890442882,0.05431235431235432,0.07331002331002331,0.08613053613053613,0.16864801864801868,0.061421911421911425
1987-01,0.0,0.018414918414918418,0.05780885780885781,0.20000000000000004,0.053146853146853155,0.09790209790209792,0.12890442890442882,0.05431235431235432,0.07331002331002331,0.08613053613053613,0.16864801864801868,0.061421911421911425
