,Food and non-alcoholic beverages,Alcoholic beverages and tobacco,Clothing and footwear,"Housing, water, electricity and other fuels","Furnishings, household equipment and routine household maintenance",Health,Transport,Communication,Recreation and culture,Education,Restaurants and hotels,Miscellaneous goods and services
1985-02,26.076463724883503,0.0,0.0,1.1826796458663358,14.34908523647962,0.0,0.0,0.0,10.142496532199253,0.0,2.4604776326477396,-1.1723993574825342
1985-03,-9.282653813043906,0.0,1.1769620049346896,2.4959521380242045,7.441018904557661,12.81216165808441,0.0,0.0,10.07783633705297,35.451525651016325,3.732974469829564,-1.2089099987387275
1985-04,-1.1652050668750857,11.396487884302386,0.0,8.86287500072045,1.2265745613166734,0.0,1.1789614649941216,0.0,-4.6871201429016125,2.502333836721782,1.1886934630786827,-1.2101290981045287
1985-05,17.030984182213736,4.912436674045972,0.0,8.7979343313775,1.19794388387775,1.1960985568513882,0.0,0.0,1.2091846723100375,0.0,0.0,-1.175915551900042
1985-06,2.3985415655166653,0.0,0.0,4.9258708132688955,0.0,-1.1819611367521854,0.0,0.0,2.4481921401921403,0.0,0.0,-2.446649644945864
1985-07,-4.689605828779531,-2.340629416249096,1.212756172248719,3.7086515414930243,1.1967491992306734,2.4390755320326196,0.0,0.0,-3.555875556836219,1.1721647597631835,2.4454360121365593,-1.1794880303174882
1985-08,7.493829059419643,0.0,0.0,3.618115978884484,0.0,-1.2133816795257713,0.0,0.0,-2.3606355671407897,1.2402943850399417,4.935410657392869,3.7315126852121683
1985-09,34.45107500123989,12.639829382490975,0.0,4.875764031813623,1.2228802758690316,0.0,0.0,0.0,2.4177088624579124,1.1006540109910867,7.395257418166845,14.106669752452806
1985-10,4.651127909226016,0.0,10.076282995093976,3.631992813350915,1.221635362915685,0.0,2.457006963130426,1.1994552697254468,2.4506728193741445,1.2378776878993136,4.94349345560523,-1.1993506787952857
1985-11,-37.03316488250823,0.0,4.887191279128844,3.6210343220144825,1.1658647026916436,0.0,12.724539490428599,0.0,1.2067340537777138,0.0,1.0567444742714205,19.480076099061172
1985-12,12.870368400211806,2.481889413637983,1.1605637999235974,0.0,1.2192081767593566,0.0,17.912661283080155,0.0,3.6375634714610916,3.681321922924452,2.5171761228916845,9.827220900464306
1986-01,32.72242870222761,1.177611687043889,1.2323151623838458,0.0,1.1907576309941659,1.2282854703957513,0.0,0.0,12.610098998836406,1.0951919718137582,8.54005869299581,4.824211461702554
1986-02,21.85248860043698,12.58700042841765,0.0,-1.2024279869383037,0.0,1.1936859248615317,-1.1357738294253017,0.0,8.56771676170187,3.6666791981556868,12.442410210915344,3.548529040108428
1986-03,-4.500414391188279,0.0,1.19464620481462,-1.1662223950200001,1.1895772295316132,1.2258100040847264,-3.4160937224192445,28.317166670365566,3.584047199837004,46.89466628658252,4.712538214108264,2.3696419945843816
1986-04,-5.630248438451257,0.0,0.0,-1.1673568802018974,1.242723645283017,0.0,-5.783673602581874,85.46858942252796,-3.460037811539396,4.697410995404594,4.806949384574821,0.0
1986-05,9.615598836045791,0.0,4.852612433754033,7.321461016380315,32.53290099589863,2.395562047170219,0.0,0.0,-3.4525322672613323,0.0,1.1369411425109055,4.745206573122496
1986-06,-21.573587733467637,9.730701665754825,9.84035625793831,9.87703729872933,-1.1213495459168277,74.83250813510456,0.0,0.0,-2.314818268972596,0.0,12.14279167204213,0.0
1986-07,0.0,1.1558035909675857,1.1434914636577753,3.532237352223788,-1.1743207911694142,2.2809103436137512,0.0,0.0,1.187661799969253,0.0,2.3160327506790424,-1.159143806319285
1986-08,-3.560615554793767,-1.1425974090830238,0.0,1.1615614756840253,0.0,2.308534321389466,0.0,0.0,-1.173721952699236,0.0,3.513081708657806,5.882356627007379
1986-09,16.441028167127424,0.0,0.0,2.33320851715364,0.0,1.1302568185903583,1.1579365114898987,0.0,1.187661799969253,0.0,0.0,20.079282788268337
1986-10,-32.2554694556429,-2.2753711294586476,6.019869625770213,1.1581982166239069,1.1882749509751322,5.796694887163523,0.0,1.1358475899825748,0.0,1.11837888314128,3.393392836592879,7.008497249478918
1986-11,-8.129066097346893,0.0,7.188888938814975,1.1946101664344955,2.2799109792794647,2.322741392893768,0.0,0.0,1.1681365546468259,0.0,3.492946646932693,-6.54947731219816
1986-12,-5.895336509638083,1.1580343336105914,4.738107678619774,2.324098355368398,3.5662276007525806,1.0904027775717973,3.6834336884969066,0.0,9.810585280295282,0.0,0.0,0.0
1987-01,10.23250150408237,1.1569178869847097,1.1966072095319413,1.1537082695351142,3.555661755384487,0.0,20.53570608265609,0.0,-1.1457260207890618,7.016753463343606,8.205036462111504,4.67057496369081
1987-02,2.408285805979138,1.1558035909675857,0.0,0.0,10.897550963648307,1.1206981993670873,0.0,0.0,11.022699368360577,3.568305494602342,8.149343556910505,-1.1662485104127152
1987-03,10.061723189222738,2.3215931712699422,1.160069766725158,1.1899827284810538,3.460974243218029,3.4892602600456346,0.0,0.0,3.538365305996649,73.64001212236178,4.570048697178053,-2.22375904634623
1987-04,15.302128029879004,0.0,1.1589493939199613,8.359061929695354,4.652233246488713,3.3518675301458245,0.0,0.0,5.94293583405312,0.0,3.370326959880332,7.001616990062498
1987-05,57.11867140156252,0.0,12.10640823062159,7.122596113222968,5.843448314068911,2.2694813908071154,2.3680898573991582,0.0,-1.1633070583303429,1.1828350790849873,16.728636947680343,9.40245339909338
1987-06,-5.547185952348121,2.423593801830437,1.11187193980391,1.1371678763300253,-5.5208408334633585,1.111271311174944,0.0,1.1060815904855525,-1.1468860388181068,0.0,0.0,-5.462048629778127
1987-07,-10.810334578305058,13.454288358793853,0.0,0.0,-3.357595914634448,-4.359600029291444,0.0,0.0,-1.130413801222896,0.9318391662558101,3.3171974120560055,4.591248796952518
1987-08,64.31129393292565,0.0,0.0,3.481460582774809,1.137355146590413,-1.103127155731376,1.17538718594552,0.0,1.143338254648052,0.0,0.0,8.155785729608045
1987-09,19.196424143406297,0.0,2.338770420519487,-1.1571712873962525,4.670070478968524,0.0,0.0,0.0,5.906708309500752,0.0,0.0,4.509017792433334
1987-10,-4.272093123723764,1.242113109397991,30.90263057065725,2.3168200616121792,10.703559187341739,1.1154317866738594,-1.1617323329687235,0.0,-4.48178993096513,0.0,2.2117033792321106,4.5263490575657706
1987-11,-9.421496304390386,0.0,8.034081175057972,0.0,8.156975846875714,2.2401652064080624,-2.313308630353539,0.0,5.900882834165455,1.1807524010225334,7.896357716880464,1.085500909767223
1987-12,24.421965374227184,-1.2268739472633405,10.412919956871814,3.46808200886346,3.4052414968251954,-1.1011027490672842,0.0,0.0,10.810890262116168,8.929190699452526,0.0,1.11755178741908
1988-01,16.34565951043001,2.3931244175899646,1.1016261520616855,1.1651415812739652,8.07854190931383,0.0,0.0,0.0,9.490953987263095,2.1671552448574216,5.540159215687268,2.1777738806536773
1988-02,32.99076501311213,4.668131629733696,6.772147365024961,3.4173792957835403,19.250727078252837,65.34540303826273,63.06744971640648,0.0,14.364497218181004,4.369316995896777,7.80836591042271,4.560640646724035
1988-03,14.405929188955579,4.650045546438952,1.0612620285950891,0.0,4.41946792255572,31.701068721871884,24.715978366542114,0.0,6.927250092977322,166.38638181712713,18.551039443249408,6.764500920378924
1988-04,-12.591942822440883,0.0,4.474940117238391,5.776226935800843,4.454296259256596,9.816982584109347,-1.0985307851616666,0.0,2.226014681479871,2.0421937340687535,39.55293261393753,-4.307438543076458
1988-05,5.307046810004001,1.1271817589302957,11.361265249081987,16.8321737044552,6.697844374035089,5.333803361623413,0.0,0.0,-4.327914486869222,-1.0052973302308144,23.82483653677605,2.2279566645829307
1988-06,10.932299946870216,1.1261239812429436,22.360915155049412,10.468070204998714,2.1600893094621654,0.0,0.0,0.0,-1.1236952899087882,0.0,17.39417040894753,-6.347185824132929
