date,0201,0202,0241,0203,0204,0205,0206,0207,0208,0211,0214,0215,0218,0219,0220,0242,0221,0243,0222,0223,0224,0225,0226,0227,0228,0229,0230,0245,0246,0231,0247,0248,0232,0233,0234,0235,0236,0237,0238,0239,0240
1971-07,-0.1,-0.3,-0.1,-1.6,-2.3,0.0,0.0,0.1,0.5,-0.6,0.2,-0.2,0.0,-0.3,0.4,0.4,0.2,,0.4,0.2,0.0,0.0,0.0,0.0,0.4,0.6,0.5,,,0.3,,,0.4,0.4,,0.0,0.0,-0.4,,,0.0
1971-08,-0.2,-0.3,0.1,0.4,0.7,0.0,0.0,-0.6,0.4,-3.4,0.0,-0.2,0.1,0.4,0.0,0.2,0.2,,0.4,0.2,0.0,0.3,0.0,0.0,0.0,0.4,0.1,,,-0.9,,,0.2,0.4,,0.0,0.0,-0.2,,,0.0
1971-09,2.6,3.8,0.9,12.5,17.0,0.0,0.0,1.2,0.5,4.4,0.0,0.5,0.0,-0.3,0.3,0.4,0.1,,0.2,0.4,0.0,0.0,0.0,0.0,0.4,0.5,0.3,,,0.4,,,0.4,0.8,,0.0,-0.3,0.4,,,0.0
1971-10,0.2,0.2,0.5,-0.8,-1.1,0.3,0.2,0.6,0.5,1.2,0.2,0.2,0.1,0.2,0.4,0.4,0.1,,1.0,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0.7,,,0.5,,,0.4,0.8,,0.0,0.3,-0.1,,,0.3
1971-11,-0.9,-1.7,0.4,-7.1,-9.5,0.0,0.0,0.3,0.4,0.5,-0.2,0.2,0.0,-0.3,0.5,0.4,0.0,,-0.4,0.2,0.0,0.0,0.0,0.0,0.7,0.7,0.7,,,0.9,,,0.3,0.8,,0.0,0.0,0.0,,,0.0
1971-12,0.1,-0.1,0.4,-1.1,-1.5,0.5,0.1,0.2,0.4,-0.2,-0.2,0.0,0.0,1.4,0.5,0.4,0.1,,0.3,0.2,0.0,0.0,0.0,0.0,0.7,0.8,0.5,,,0.6,,,0.5,0.8,,0.0,0.0,-0.2,,,0.3
1972-01,0.1,-0.1,-0.4,0.0,0.0,0.0,0.1,-0.1,0.4,-1.2,-0.2,-0.2,0.0,0.3,0.4,0.5,0.2,,-0.1,0.2,0.0,0.3,0.0,0.0,0.4,0.9,0.5,,,0.6,,,0.4,0.8,,0.0,-0.5,-0.6,,,0.0
1972-02,0.5,-0.1,-0.1,0.6,0.8,0.0,0.1,-0.4,0.2,-2.0,-0.2,0.2,0.1,-0.8,1.4,1.5,4.6,,0.1,0.2,12.6,1.6,0.0,0.0,0.4,0.3,0.5,,,0.6,,,0.3,0.4,,0.0,0.3,0.0,,,2.2
1972-03,0.8,1.0,0.3,3.5,4.5,0.3,0.2,0.3,0.3,0.4,-0.2,0.2,0.0,0.8,0.4,0.4,0.1,,0.1,0.2,0.0,0.0,0.0,0.0,0.7,0.8,0.4,,,0.4,,,0.3,0.8,,0.0,-0.3,0.0,,,0.0
1972-04,1.2,0.7,0.1,2.1,2.7,0.5,0.3,0.1,0.3,0.0,0.0,0.0,0.3,0.3,2.0,1.9,0.6,,2.0,0.4,0.0,0.3,7.4,0.0,2.5,0.7,1.2,,,2.6,,,3.7,1.2,,8.3,1.1,-0.1,,,0.5
1972-05,0.4,0.3,0.5,-0.6,-0.7,0.3,0.3,0.6,0.3,2.1,-0.2,0.3,0.0,0.0,0.6,0.5,0.3,,1.1,0.0,0.0,0.0,0.0,0.0,0.7,0.6,1.1,,,1.4,,,0.4,0.4,,1.4,0.0,0.3,,,0.0
1972-06,0.1,-0.2,0.4,-2.9,-4.1,0.8,0.6,0.8,0.4,2.9,0.2,0.2,0.1,0.2,0.4,0.3,0.2,,0.3,0.6,0.0,0.3,0.0,0.0,0.7,0.5,1.2,,,0.8,,,0.3,0.8,,0.0,-0.3,-0.2,,,0.0
1972-07,0.1,-0.1,0.5,-1.3,-2.0,0.0,0.0,0.3,0.2,0.4,0.2,-0.2,0.0,-0.2,0.5,0.4,0.4,,0.3,0.2,0.0,0.3,0.0,0.0,0.7,0.3,0.4,,,1.2,,,0.3,0.8,,0.0,0.0,-0.2,,,0.3
