period,0201,0202,0241,0203,0204,0205,0206,0207,0208,0211,0214,0215,0218,0219,0220,0242,0221,0243,0222,0223,0224,0225,0226,0227,0228,0229,0230,0245,0246,0231,0247,0248,0232,0233,0234,0235,0236,0237,0238,0239,0240
1988,75.9,74.4,76.7,54.9,54.3,54.0,55.1,80.9,64.8,79.0,53.9,118.2,75.3,53.8,77.1,75.1,84.0,,78.3,71.8,69.7,88.0,694.8,77.8,74.8,61.5,88.2,,,81.5,,,70.9,62.2,46.7,61.3,87.6,207.4,75.1,64.5,80.1
1989,77.7,75.7,78.1,55.9,55.2,54.8,55.9,82.2,66.1,82.6,54.8,117.4,74.9,57.9,79.4,77.5,85.5,,82.4,72.7,70.0,90.9,714.5,79.5,77.4,63.8,90.5,,,83.7,,,73.8,64.6,48.1,63.9,91.1,200.6,77.8,65.6,81.0
1990,80.1,78.1,79.9,59.9,60.1,55.5,56.6,84.3,67.8,86.3,59.2,117.1,74.8,59.5,81.8,79.8,87.3,,85.1,74.1,70.4,91.1,735.4,97.5,79.9,65.3,92.6,,,86.2,,,76.8,66.8,50.2,67.3,94.4,199.1,80.7,68.0,82.0
1991,82.7,81.0,82.3,63.9,65.0,55.4,56.6,87.2,70.9,90.1,62.0,118.5,75.0,61.2,84.0,81.9,87.9,,86.6,74.4,70.6,91.1,755.8,103.1,82.5,67.2,95.1,,,88.7,,,79.8,69.6,50.9,70.8,97.5,198.7,84.2,70.8,82.4
1992,84.1,81.7,83.7,61.6,61.7,57.6,58.8,88.6,72.6,92.7,60.6,119.5,75.2,66.5,86.5,84.3,89.2,,88.9,75.5,73.4,92.3,782.1,103.1,85.3,68.8,97.9,,,91.2,,,83.4,73.3,54.2,74.1,100.6,198.5,86.7,71.0,83.5
1993,85.2,82.1,84.0,62.1,61.8,59.5,60.5,88.8,73.2,92.7,60.9,119.4,75.6,67.7,88.4,86.2,90.0,,91.8,75.8,74.4,92.0,811.6,103.1,87.6,70.1,100.2,,,93.3,,,86.3,76.1,56.3,77.3,103.1,196.5,87.1,71.5,84.1
1994,85.7,82.0,83.9,63.0,61.7,65.5,66.3,88.2,73.4,91.4,59.4,118.1,75.4,71.1,89.9,87.5,90.3,,94.8,76.4,75.4,91.1,840.9,103.1,89.4,70.9,102.1,,,95.5,,,88.4,77.7,58.3,79.8,104.8,192.0,86.6,71.7,84.8
1995,85.7,80.9,82.9,60.9,60.8,57.4,58.1,87.2,73.2,90.7,57.0,116.2,75.8,71.9,91.2,88.6,92.2,,97.7,77.7,75.6,93.4,859.9,103.1,90.5,70.8,103.8,,,97.2,,,89.7,78.9,59.7,82.3,104.6,185.8,86.1,70.7,85.5
1996,85.7,80.3,82.2,61.0,61.3,56.0,56.6,86.3,73.0,91.4,55.2,113.9,75.0,72.4,92.2,89.5,93.6,,100.1,78.6,76.5,95.4,882.7,103.2,91.4,70.6,104.8,,,98.6,,,90.8,79.7,61.5,84.2,104.9,178.5,86.3,70.4,86.0
1997,87.3,81.4,83.5,61.8,62.3,55.6,56.2,87.2,74.2,93.3,56.1,113.7,78.1,74.0,94.1,91.4,95.4,,100.7,78.7,84.7,96.3,901.6,104.5,93.2,72.4,105.6,,,100.1,,,92.9,81.4,62.9,86.0,107.6,176.1,87.7,71.6,88.0
1998,87.8,81.6,83.1,63.9,65.2,53.4,54.0,87.0,74.6,94.4,52.7,113.0,76.7,74.8,95.1,92.5,97.2,,97.0,78.6,99.8,96.2,920.1,104.8,94.0,73.0,106.1,,,101.0,,,93.8,82.1,64.3,87.6,107.8,173.3,88.5,71.9,88.6
1999,87.5,81.0,82.9,62.2,63.0,54.2,54.8,86.8,74.9,94.2,52.3,112.2,75.4,75.0,95.2,92.5,97.1,,96.1,78.4,98.5,96.2,934.8,104.8,94.1,73.2,106.0,,,101.1,,,93.9,81.9,64.8,88.9,106.9,170.7,88.1,71.4,88.0
2000,86.9,80.1,82.3,59.2,59.9,52.2,52.6,86.3,74.6,93.1,55.3,109.3,76.2,75.2,95.1,92.2,96.7,,96.2,78.9,97.2,95.1,948.6,104.3,94.4,72.5,105.8,,,101.6,,,93.9,81.6,66.6,89.9,108.1,165.3,87.1,70.7,87.6
2001,86.3,78.9,81.0,59.1,60.0,50.6,50.9,84.6,73.8,90.9,56.3,105.5,76.1,75.4,95.0,91.9,96.6,,96.6,80.8,99.6,92.4,962.8,103.9,94.4,72.0,105.6,,,102.1,,,93.7,81.5,67.4,90.8,106.8,153.9,85.6,70.4,87.4
2002,85.6,77.5,79.5,58.6,59.4,50.4,50.7,82.8,73.0,88.5,54.7,102.6,75.0,75.6,95.0,91.9,96.5,,96.1,82.3,99.0,91.9,976.1,102.0,94.4,72.2,105.3,,,102.3,,,93.6,81.2,67.5,91.7,106.2,146.2,83.9,69.5,87.1
2003,85.3,76.9,78.8,59.2,59.9,52.3,52.7,81.8,72.3,86.6,55.9,100.6,74.2,75.6,95.4,92.3,97.7,,95.7,82.2,106.3,91.9,991.3,102.1,94.4,72.2,105.1,,,102.4,,,93.5,81.0,68.0,92.0,106.0,140.0,82.8,69.3,87.7
2004,85.3,76.9,78.6,61.4,61.5,57.4,57.8,81.2,71.9,86.1,58.2,98.7,73.9,75.9,95.3,92.2,97.1,,95.2,80.3,107.1,91.6,1002.7,102.1,94.4,72.8,104.7,,,102.2,,,93.4,80.9,68.4,92.6,105.3,134.3,82.2,69.9,87.4
2005,85.0,76.7,78.6,59.5,60.6,49.9,50.1,81.5,71.7,86.7,64.0,97.2,72.8,76.2,95.0,91.8,96.1,,95.1,80.9,107.2,88.6,1016.9,102.1,94.5,72.9,104.2,,,102.4,,,93.5,80.8,69.4,93.1,105.1,131.0,82.5,69.7,86.5
2006,85.3,77.2,78.8,60.7,62.3,48.2,48.5,81.7,71.5,87.2,70.7,95.3,73.8,76.5,94.9,91.7,96.1,,95.7,81.1,106.7,88.5,1026.0,102.2,94.4,73.3,104.0,,,102.4,,,93.1,80.9,70.2,93.8,103.9,123.6,82.9,70.9,86.9
2007,85.3,77.2,78.8,61.0,62.8,47.4,47.7,81.5,71.6,87.3,72.5,93.9,74.2,76.8,95.0,91.9,96.4,,96.0,81.2,107.5,88.6,1032.1,102.4,94.4,73.8,103.8,,,102.2,,,93.2,80.9,71.8,94.4,103.6,118.1,83.2,71.2,87.3
2008,86.5,79.0,80.9,61.4,63.3,46.9,47.1,83.8,74.5,87.2,82.8,93.2,76.5,77.0,95.4,92.5,96.2,,96.6,80.2,107.1,89.1,1041.3,102.5,95.0,74.9,103.6,,,102.2,,,94.1,81.4,74.9,95.1,104.8,113.8,83.7,73.8,88.0
2009,85.3,77.1,78.8,60.2,62.0,47.1,47.3,81.3,75.2,86.4,65.9,91.2,76.2,77.5,95.2,92.3,95.8,,96.6,79.9,107.0,88.5,1047.4,102.5,94.8,75.6,103.1,,,101.9,,,93.8,81.5,84.5,95.7,102.9,108.6,83.2,71.8,87.7
2010,84.7,76.6,78.0,61.9,64.2,45.5,45.6,80.5,73.7,85.1,71.8,89.0,74.4,77.8,94.3,91.3,93.7,,96.6,80.3,107.2,88.1,511.5,102.6,94.5,75.5,102.5,101.5,102.9,101.6,101.2,102.3,93.1,81.2,87.3,93.7,102.4,103.1,81.9,72.0,86.0
2011,84.5,76.1,77.5,61.4,63.9,43.7,43.8,79.6,73.5,84.8,78.5,85.0,76.1,78.0,94.4,91.5,93.9,,96.3,81.8,107.2,88.6,363.2,102.6,94.5,75.7,102.1,101.3,102.5,101.3,101.0,102.0,93.4,81.2,87.4,93.5,103.1,92.4,81.2,72.9,87.5
2012,84.4,76.1,77.4,62.0,63.9,47.6,47.8,78.9,73.2,84.9,79.6,82.9,79.7,78.4,94.3,91.5,94.5,,96.6,83.1,107.4,88.6,363.2,101.7,94.3,75.7,101.5,100.9,101.8,101.0,100.7,101.6,93.2,81.2,87.7,93.7,102.4,88.5,81.0,73.4,89.0
2013,84.7,76.6,78.0,62.3,64.1,48.5,48.8,78.8,72.8,85.1,83.9,81.9,83.8,78.7,94.4,91.9,95.4,,97.1,85.4,107.5,88.6,363.2,99.4,94.1,75.9,100.9,100.5,101.1,100.6,100.3,101.0,93.2,81.3,87.8,94.2,102.2,85.7,81.3,74.3,91.0
2014,87.1,79.7,81.0,65.5,68.4,45.6,45.7,81.6,75.4,86.8,88.5,84.6,89.3,80.6,95.8,94.0,98.2,,97.0,88.3,108.2,92.2,400.0,101.9,95.1,77.9,100.5,100.1,100.6,100.2,100.1,100.5,95.2,83.2,89.1,95.6,104.6,88.5,83.4,77.6,94.6
2015,87.7,80.3,81.2,68.7,72.7,42.6,42.6,81.8,77.3,88.7,76.2,86.2,88.4,81.6,96.6,95.1,99.6,129.0,97.1,89.7,108.3,94.0,452.9,102.7,95.6,79.5,100.1,100.0,100.2,100.0,100.0,100.0,96.2,84.3,90.4,96.5,105.6,90.1,85.4,77.9,95.3
2016,87.6,79.9,80.3,71.1,75.2,44.2,44.2,81.5,78.1,89.8,67.4,86.5,81.6,81.8,96.9,95.7,100.2,129.8,97.4,90.2,109.1,94.3,476.7,102.8,95.8,80.2,99.8,99.6,99.9,99.7,99.6,99.7,96.8,84.8,93.6,97.5,105.9,89.6,86.8,77.1,93.5
2017,88.1,80.6,81.2,71.7,75.6,46.3,46.3,82.2,78.7,90.0,74.0,85.9,83.3,82.2,96.9,95.8,100.7,129.7,97.7,90.4,110.6,94.4,481.1,103.1,95.7,80.4,99.5,99.5,99.4,99.4,99.4,99.2,96.7,85.1,93.9,98.0,105.2,88.1,87.1,78.3,94.4
2018,88.9,82.0,82.4,73.9,77.7,48.5,48.5,83.2,79.3,89.7,82.0,85.9,86.3,82.9,97.2,96.2,101.4,129.8,97.9,90.4,113.3,95.0,478.9,103.5,95.8,81.1,99.3,99.3,99.3,99.2,99.2,99.1,96.8,85.5,94.1,98.6,105.0,87.7,87.2,80.2,95.9
2019,89.3,82.5,83.3,72.8,76.5,48.6,48.6,83.8,80.1,90.1,81.0,86.7,88.7,85.1,97.4,96.6,101.3,129.8,98.1,91.9,111.2,95.5,404.4,104.5,96.2,82.4,99.2,99.2,99.3,99.2,99.2,99.0,97.4,86.8,94.7,99.5,104.8,88.5,87.5,80.7,96.7
2020,89.3,82.9,83.5,74.6,78.5,48.6,48.6,84.2,80.6,90.9,76.8,88.3,86.1,86.5,97.0,95.9,98.9,126.5,98.3,93.3,102.1,97.2,182.0,105.3,96.3,84.4,99.3,99.3,99.2,99.2,99.3,99.0,96.9,88.9,96.4,98.3,102.5,89.7,88.9,80.8,94.4
2021,89.1,83.6,84.2,74.3,78.4,47.1,47.1,85.1,80.7,90.5,85.1,88.6,86.3,88.4,95.7,94.1,99.3,126.4,98.4,94.7,101.7,97.5,180.8,104.3,94.6,84.7,99.2,99.4,99.0,99.4,99.5,98.8,92.3,89.3,97.2,98.4,91.9,89.4,89.1,81.6,95.0
2022,91.4,88.1,88.6,78.4,83.5,45.0,45.0,88.4,84.2,91.6,94.8,90.9,101.0,89.9,95.2,93.3,98.9,126.7,98.5,94.1,100.7,97.8,180.8,104.3,94.0,87.4,99.2,99.6,99.0,99.4,99.6,98.7,89.9,91.4,97.4,99.3,84.8,92.7,90.7,86.9,99.6
2023,94.3,92.1,92.5,84.4,90.1,46.8,46.8,93.8,91.6,95.2,96.1,95.5,91.9,93.0,96.9,95.8,99.4,117.6,98.7,94.8,100.5,99.8,180.9,103.2,96.2,92.8,99.3,99.8,99.0,99.5,99.7,98.8,93.4,94.5,98.1,100.6,89.5,96.8,94.9,90.9,96.9
2024,96.9,95.5,95.6,90.1,94.7,59.7,59.7,96.5,94.9,97.8,97.7,97.9,96.4,96.7,98.6,98.0,99.5,105.8,99.4,96.9,100.3,98.8,174.8,99.6,98.3,95.7,99.5,99.9,99.4,99.7,99.9,99.2,97.4,97.1,99.1,100.4,96.4,98.5,97.6,94.7,98.5
2025,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
