date,0163
1946-01,
1946-02,
1946-03,
1946-04,
1946-05,
1946-06,
1946-07,
1946-08,
1946-09,
1946-10,
1946-11,
1946-12,
1947-01,
1947-02,
1947-03,
1947-04,
1947-05,
1947-06,
1947-07,
1947-08,141.1
1947-09,182.6
1947-10,189.2
1947-11,193.5
1947-12,180.4
1948-01,148.9
1948-02,141.2
1948-03,132.6
1948-04,127.8
1948-05,100.6
1948-06,75.0
1948-07,62.4
1948-08,71.0
1948-09,59.9
1948-10,60.8
1948-11,67.7
1948-12,61.8
1949-01,68.4
1949-02,59.6
1949-03,54.1
1949-04,52.4
1949-05,48.3
1949-06,40.6
1949-07,30.3
1949-08,16.9
1949-09,17.0
1949-10,18.1
1949-11,9.0
1949-12,5.1
1950-01,2.0
1950-02,-4.2
1950-03,-8.7
1950-04,-12.1
1950-05,-11.6
1950-06,-10.2
1950-07,-9.7
1950-08,-7.8
1950-09,-7.0
1950-10,-7.4
1950-11,-3.0
1950-12,-1.0
1951-01,2.1
1951-02,9.1
1951-03,14.7
1951-04,20.2
1951-05,22.0
1951-06,20.0
1951-07,17.2
1951-08,22.2
1951-09,21.3
1951-10,22.0
1951-11,22.4
1951-12,22.7
1952-01,13.3
1952-02,8.8
1952-03,6.1
1952-04,5.5
1952-05,5.3
1952-06,6.5
1952-07,8.0
1952-08,3.6
1952-09,2.3
1952-10,1.5
1952-11,0.4
1952-12,0.2
1953-01,2.1
1953-02,4.1
1953-03,3.9
1953-04,4.4
1953-05,4.7
1953-06,5.7
1953-07,6.4
1953-08,7.3
1953-09,7.7
1953-10,10.6
1953-11,10.7
1953-12,11.1
1954-01,10.1
1954-02,9.2
1954-03,9.4
1954-04,9.0
1954-05,8.9
1954-06,8.3
1954-07,6.7
1954-08,5.6
1954-09,5.2
1954-10,3.2
1954-11,1.9
1954-12,1.2
1955-01,0.7
1955-02,0.3
1955-03,-0.5
1955-04,-0.3
1955-05,-0.3
1955-06,-1.4
1955-07,-2.4
1955-08,-1.8
1955-09,-1.9
1955-10,-1.5
1955-11,-2.0
1955-12,-1.6
1956-01,-1.7
1956-02,-0.8
1956-03,0.1
1956-04,-0.6
1956-05,0.0
1956-06,2.0
1956-07,0.3
1956-08,0.3
1956-09,0.6
1956-10,0.5
1956-11,1.2
1956-12,2.7
1957-01,3.3
1957-02,2.2
1957-03,2.3
1957-04,2.7
1957-05,4.0
1957-06,1.6
1957-07,4.9
1957-08,5.0
1957-09,3.7
1957-10,2.9
1957-11,3.1
1957-12,1.8
1958-01,0.9
1958-02,0.3
1958-03,-0.4
1958-04,-0.6
1958-05,-1.5
1958-06,-0.1
1958-07,-1.7
1958-08,-1.3
1958-09,-1.3
1958-10,-0.3
1958-11,0.2
1958-12,0.2
1959-01,0.2
1959-02,0.5
1959-03,1.2
1959-04,1.4
1959-05,0.7
1959-06,0.3
1959-07,0.9
1959-08,1.3
1959-09,0.9
1959-10,1.5
1959-11,1.9
1959-12,2.1
1960-01,2.8
1960-02,3.4
1960-03,2.6
1960-04,2.7
1960-05,3.8
1960-06,4.1
1960-07,4.3
1960-08,4.1
1960-09,5.2
1960-10,3.9
1960-11,2.7
1960-12,3.3
1961-01,3.7
1961-02,4.1
1961-03,4.3
1961-04,4.6
1961-05,3.2
1961-06,3.6
1961-07,5.4
