trading_class,expiration,strike,type,bid,ask,last,close,conId,spot_price,snapshot_date,r,q,expiry_date,ttm,mid,rate,div_yld,spread_pct,model_price,error,fwd,log_m,maturity_label,fit_C,fit_G,fit_M,fit_Y
01,20260813,700.0,call,160.5,204.3,185.75,178.72,854608925,872.49,2026-07-30,0.0291,0.0079,2026-08-13,0.038356164383561646,182.4,0.0291,0.0079,24.013157894736846,175.2913580706102,-7.108641929389819,873.1997543706138,-0.221084008334376,Aug 2026,2.9389148469902704,60.042955900892906,130.25953209277083,1.3555548383378415
01,20260813,702.5,call,157.0,202.1,,176.55,883683631,872.49,2026-07-30,0.0291,0.0079,2026-08-13,0.038356164383561646,179.55,0.0291,0.0079,25.1183514341409,172.94336074604104,-6.606639253958974,873.1997543706138,-0.21751894216987983,Aug 2026,2.9389148469902704,60.042955900892906,130.25953209277083,1.3555548383378415
01,20260813,705.0,call,154.85,199.9,,174.37,854608932,872.49,2026-07-30,0.0291,0.0079,2026-08-13,0.038356164383561646,177.375,0.0291,0.0079,25.398167723749125,170.60321886378478,-6.771781136215225,873.1997543706138,-0.2139665405655121,Aug 2026,2.9389148469902704,60.042955900892906,130.25953209277083,1.3555548383378415
01,20260813,707.5,call,152.8,197.7,,172.25,883683636,872.49,2026-07-30,0.0291,0.0079,2026-08-13,0.038356164383561646,175.25,0.0291,0.0079,25.620542082738933,168.27122470658074,-6.978775293419261,873.1997543706138,-0.21042671386038803,Aug 2026,2.9389148469902704,60.042955900892906,130.25953209277083,1.3555548383378415
01,20260813,710.0,call,150.7,195.55,,170.05,854608942,872.49,2026-07-30,0.0291,0.0079,2026-08-13,0.038356164383561646,173.125,0.0291,0.0079,25.906137184115533,165.94767481082653,-7.177325189173473,873.1997543706138,-0.2068993733424196,Aug 2026,2.9389148469902704,60.042955900892906,130.25953209277083,1.3555548383378415
01,20260813,712.5,call,148.65,193.25,183.0,167.91,883683646,872.49,2026-07-30,0.0291,0.0079,2026-08-13,0.038356164383561646,170.95,0.0291,0.0079,26.089499853758404,163.63286970934772,-7.317130290652273,873.1997543706138,-0.20338443123497507,Aug 2026,2.9389148469902704,60.042955900892906,130.25953209277083,1.3555548383378415
01,20260813,715.0,call,146.55,190.95,,165.77,854608949,872.49,2026-07-30,0.0291,0.0079,2026-08-13,0.038356164383561646,168.75,0.0291,0.0079,26.3111111111111,161.32711366110397,-7.422886338896035,873.1997543706138,-0.19988180068377298,Aug 2026,2.9389148469902704,60.042955900892906,130.25953209277083,1.3555548383378415
01,20260813,717.5,call,144.65,188.75,181.15,163.65,883683654,872.49,2026-07-30,0.0291,0.0079,2026-08-13,0.038356164383561646,166.7,0.0291,0.0079,26.45470905818836,159.03071436828276,-7.66928563171723,873.1997543706138,-0.19639139574400458,Aug 2026,2.9389148469902704,60.042955900892906,130.25953209277083,1.3555548383378415
01,20260813,720.0,call,142.45,186.7,,161.53,854608959,872.49,2026-07-30,0.0291,0.0079,2026-08-13,0.038356164383561646,164.575,0.0291,0.0079,26.887437338599426,156.74398268130855,-7.831017318691437,873.1997543706138,-0.19291313136767974,Aug 2026,2.9389148469902704,60.042955900892906,130.25953209277083,1.3555548383378415
01,20260813,722.5,call,140.6,184.45,176.85,159.42,883683660,872.49,2026-07-30,0.0291,0.0079,2026-08-13,0.038356164383561646,162.52499999999998,0.0291,0.0079,26.98046454391632,154.46723229227848,-8.057767707721496,873.1997543706138,-0.18944692339119348,Aug 2026,2.9389148469902704,60.042955900892906,130.25953209277083,1.3555548383378415
01,20260813,725.0,call,138.6,182.45,,157.32,854608967,872.49,2026-07-30,0.0291,0.0079,2026-08-13,0.038356164383561646,160.52499999999998,0.0291,0.0079,27.316617349322534,152.20077941747505,-8.32422058252493,873.1997543706138,-0.1859926885231059,Aug 2026,2.9389148469902704,60.042955900892906,130.25953209277083,1.3555548383378415
01,20260813,727.5,call,136.75,180.25,172.65,155.23,883683671,872.49,2026-07-30,0.0291,0.0079,2026-08-13,0.038356164383561646,158.5,0.0291,0.0079,27.444794952681388,149.9449424695371,-8.555057530462904,873.1997543706138,-0.18255034433213307,Aug 2026,2.9389148469902704,60.042955900892906,130.25953209277083,1.3555548383378415
01,20260813,730.0,call,134.6,178.1,,153.15,854608973,872.49,2026-07-30,0.0291,0.0079,2026-08-13,0.038356164383561646,156.35,0.0291,0.0079,27.82219379597058,147.7000417199847,-8.649958280015284,873.1997543706138,-0.17911980923534396,Aug 2026,2.9389148469902704,60.042955900892906,130.25953209277083,1.3555548383378415
01,20260813,732.5,call,132.6,175.85,168.4,151.09,883683677,872.49,2026-07-30,0.0291,0.0079,2026-08-13,0.038356164383561646,154.225,0.0291,0.0079,28.043443021559412,145.46639895280342,-8.758601047196578,873.1997543706138,-0.17570100248655837,Aug 2026,2.9389148469902704,60.042955900892906,130.25953209277083,1.3555548383378415
01,20260813,735.0,call,130.8,173.75,,149.03,854608982,872.49,2026-07-30,0.0291,0.0079,2026-08-13,0.038356164383561646,152.275,0.0291,0.0079,28.20554917090789,143.24433710980784,-9.030662890192161,873.1997543706138,-0.17229384416494403,Aug 2026,2.9389148469902704,60.042955900892906,130.25953209277083,1.3555548383378415
01,20260813,737.5,call,128.5,171.6,164.25,146.98,883683684,872.49,2026-07-30,0.0291,0.0079,2026-08-13,0.038356164383561646,150.05,0.0291,0.0079,28.723758747084297,141.03417992856936,-9.015820071430653,873.1997543706138,-0.1688982551638058,Aug 2026,2.9389148469902704,60.042955900892906,130.25953209277083,1.3555548383378415
01,20260813,740.0,call,126.6,169.45,,144.95,854608988,872.49,2026-07-30,0.0291,0.0079,2026-08-13,0.038356164383561646,148.02499999999998,0.0291,0.0079,28.947812869447727,138.83625157369772,-9.188748426302254,873.1997543706138,-0.16551415717956522,Aug 2026,2.9389148469902704,60.042955900892906,130.25953209277083,1.3555548383378415
01,20260813,742.5,call,124.7,167.25,,142.92,883683694,872.49,2026-07-30,0.0291,0.0079,2026-08-13,0.038356164383561646,145.975,0.0291,0.0079,29.14882685391334,136.6508762622824,-9.3241237377176,873.1997543706138,-0.16214147270092608,Aug 2026,2.9389148469902704,60.042955900892906,130.25953209277083,1.3555548383378415
01,20260813,745.0,call,122.75,165.05,,140.91,854608997,872.49,2026-07-30,0.0291,0.0079,2026-08-13,0.038356164383561646,143.9,0.0291,0.0079,29.395413481584438,134.47837788435368,-9.42162211564633,873.1997543706138,-0.15878012499822122,Aug 2026,2.9389148469902704,60.042955900892906,130.25953209277083,1.3555548383378415
01,20260813,747.5,call,120.8,162.9,154.1,138.91,883683701,872.49,2026-07-30,0.0291,0.0079,2026-08-13,0.038356164383561646,141.85,0.0291,0.0079,29.679238632358132,132.31907961919924,-9.530920380800751,873.1997543706138,-0.1554300381129392,Aug 2026,2.9389148469902704,60.042955900892906,130.25953209277083,1.3555548383378415
01,20260813,750.0,call,120.3,160.8,,136.92,854609007,872.49,2026-07-30,0.0291,0.0079,2026-08-13,0.038356164383561646,140.55,0.0291,0.0079,28.815368196371406,130.17330354842636,-10.37669645157365,873.1997543706138,-0.15209113684742456,Aug 2026,2.9389148469902704,60.042955900892906,130.25953209277083,1.3555548383378415
01,20260813,752.5,call,117.05,158.7,,134.94,883683711,872.49,2026-07-30,0.0291,0.0079,2026-08-13,0.038356164383561646,137.875,0.0291,0.0079,30.20852221214868,128.04137026664768,-9.833629733352325,873.1997543706138,-0.14876334675474986,Aug 2026,2.9389148469902704,60.042955900892906,130.25953209277083,1.3555548383378415
01,20260813,755.0,call,115.35,156.8,,132.97,854609012,872.49,2026-07-30,0.0291,0.0079,2026-08-13,0.038356164383561646,136.075,0.0291,0.0079,30.461142752158754,125.92359849067753,-10.151401509322454,873.1997543706138,-0.14544659412875605,Aug 2026,2.9389148469902704,60.042955900892906,130.25953209277083,1.3555548383378415
01,20260813,757.5,call,113.35,154.7,,131.02,883683717,872.49,2026-07-30,0.0291,0.0079,2026-08-13,0.038356164383561646,134.02499999999998,0.0291,0.0079,30.85245290057825,123.8203046681547,-10.204695331845272,873.1997543706138,-0.14214080599425652,Aug 2026,2.9389148469902704,60.042955900892906,130.25953209277083,1.3555548383378415
01,20260813,760.0,call,111.5,152.65,,129.08,854609022,872.49,2026-07-30,0.0291,0.0079,2026-08-13,0.038356164383561646,132.075,0.0291,0.0079,31.15653984478517,121.73180258647162,-10.343197413528372,873.1997543706138,-0.13884591009740394,Aug 2026,2.9389148469902704,60.042955900892906,130.25953209277083,1.3555548383378415
