trading_class,expiration,strike,type,bid,ask,last,close,conId,spot_price,snapshot_date,r,q,expiry_date,ttm,mid,rate,div_yld,spread_pct,model_price,error,fwd,log_m,label
01,20260813,700.0,call,160.5,204.3,185.75,178.72,854608925,872.49,2026-07-30,0.0291,0.0079,2026-08-13,0.038356164383561646,182.4,0.0291,0.0079,24.013157894736846,180.9396222443645,-1.4603777556355055,873.1997543706138,-0.221084008334376,Aug 2026
01,20260813,702.5,call,157.0,202.1,,176.55,883683631,872.49,2026-07-30,0.0291,0.0079,2026-08-13,0.038356164383561646,179.55,0.0291,0.0079,25.1183514341409,178.74935115992653,-0.8006488400734781,873.1997543706138,-0.21751894216987983,Aug 2026
01,20260813,705.0,call,154.85,199.9,,174.37,854608932,872.49,2026-07-30,0.0291,0.0079,2026-08-13,0.038356164383561646,177.375,0.0291,0.0079,25.398167723749125,176.56849511514804,-0.8065048848519609,873.1997543706138,-0.2139665405655121,Aug 2026
01,20260813,707.5,call,152.8,197.7,,172.25,883683636,872.49,2026-07-30,0.0291,0.0079,2026-08-13,0.038356164383561646,175.25,0.0291,0.0079,25.620542082738933,174.39724288444555,-0.8527571155544535,873.1997543706138,-0.21042671386038803,Aug 2026
01,20260813,710.0,call,150.7,195.55,,170.05,854608942,872.49,2026-07-30,0.0291,0.0079,2026-08-13,0.038356164383561646,173.125,0.0291,0.0079,25.906137184115533,172.2357834411293,-0.889216558870686,873.1997543706138,-0.2068993733424196,Aug 2026
01,20260813,712.5,call,148.65,193.25,183.0,167.91,883683646,872.49,2026-07-30,0.0291,0.0079,2026-08-13,0.038356164383561646,170.95,0.0291,0.0079,26.089499853758404,170.0843058298452,-0.8656941701547964,873.1997543706138,-0.20338443123497507,Aug 2026
01,20260813,715.0,call,146.55,190.95,,165.77,854608949,872.49,2026-07-30,0.0291,0.0079,2026-08-13,0.038356164383561646,168.75,0.0291,0.0079,26.3111111111111,167.94299903708557,-0.8070009629144295,873.1997543706138,-0.19988180068377298,Aug 2026
01,20260813,717.5,call,144.65,188.75,181.15,163.65,883683654,872.49,2026-07-30,0.0291,0.0079,2026-08-13,0.038356164383561646,166.7,0.0291,0.0079,26.45470905818836,165.81205185991425,-0.8879481400857401,873.1997543706138,-0.19639139574400458,Aug 2026
01,20260813,720.0,call,142.45,186.7,,161.53,854608959,872.49,2026-07-30,0.0291,0.0079,2026-08-13,0.038356164383561646,164.575,0.0291,0.0079,26.887437338599426,163.6916527731072,-0.8833472268927949,873.1997543706138,-0.19291313136767974,Aug 2026
01,20260813,722.5,call,140.6,184.45,176.85,159.42,883683660,872.49,2026-07-30,0.0291,0.0079,2026-08-13,0.038356164383561646,162.52499999999998,0.0291,0.0079,26.98046454391632,161.58198979485462,-0.9430102051453559,873.1997543706138,-0.18944692339119348,Aug 2026
01,20260813,725.0,call,138.6,182.45,,157.32,854608967,872.49,2026-07-30,0.0291,0.0079,2026-08-13,0.038356164383561646,160.52499999999998,0.0291,0.0079,27.316617349322534,159.4832503512263,-1.0417496487736742,873.1997543706138,-0.1859926885231059,Aug 2026
01,20260813,727.5,call,136.75,180.25,172.65,155.23,883683671,872.49,2026-07-30,0.0291,0.0079,2026-08-13,0.038356164383561646,158.5,0.0291,0.0079,27.444794952681388,157.3956211395747,-1.1043788604252995,873.1997543706138,-0.18255034433213307,Aug 2026
01,20260813,730.0,call,134.6,178.1,,153.15,854608973,872.49,2026-07-30,0.0291,0.0079,2026-08-13,0.038356164383561646,156.35,0.0291,0.0079,27.82219379597058,155.3192879910765,-1.0307120089235013,873.1997543706138,-0.17911980923534396,Aug 2026
01,20260813,732.5,call,132.6,175.85,168.4,151.09,883683677,872.49,2026-07-30,0.0291,0.0079,2026-08-13,0.038356164383561646,154.225,0.0291,0.0079,28.043443021559412,153.25443573258548,-0.9705642674145167,873.1997543706138,-0.17570100248655837,Aug 2026
01,20260813,735.0,call,130.8,173.75,,149.03,854608982,872.49,2026-07-30,0.0291,0.0079,2026-08-13,0.038356164383561646,152.275,0.0291,0.0079,28.20554917090789,151.20124804800915,-1.0737519519908574,873.1997543706138,-0.17229384416494403,Aug 2026
01,20260813,737.5,call,128.5,171.6,164.25,146.98,883683684,872.49,2026-07-30,0.0291,0.0079,2026-08-13,0.038356164383561646,150.05,0.0291,0.0079,28.723758747084297,149.15990733939174,-0.8900926606082749,873.1997543706138,-0.1688982551638058,Aug 2026
01,20260813,740.0,call,126.6,169.45,,144.95,854608988,872.49,2026-07-30,0.0291,0.0079,2026-08-13,0.038356164383561646,148.02499999999998,0.0291,0.0079,28.947812869447727,147.1305945879219,-0.894405412078072,873.1997543706138,-0.16551415717956522,Aug 2026
01,20260813,742.5,call,124.7,167.25,,142.92,883683694,872.49,2026-07-30,0.0291,0.0079,2026-08-13,0.038356164383561646,145.975,0.0291,0.0079,29.14882685391334,145.1134892150337,-0.8615107849662991,873.1997543706138,-0.16214147270092608,Aug 2026
01,20260813,745.0,call,122.75,165.05,,140.91,854608997,872.49,2026-07-30,0.0291,0.0079,2026-08-13,0.038356164383561646,143.9,0.0291,0.0079,29.395413481584438,143.10876894384035,-0.7912310561596598,873.1997543706138,-0.15878012499822122,Aug 2026
01,20260813,747.5,call,120.8,162.9,154.1,138.91,883683701,872.49,2026-07-30,0.0291,0.0079,2026-08-13,0.038356164383561646,141.85,0.0291,0.0079,29.679238632358132,141.11660966106686,-0.733390338933134,873.1997543706138,-0.1554300381129392,Aug 2026
01,20260813,750.0,call,120.3,160.8,,136.92,854609007,872.49,2026-07-30,0.0291,0.0079,2026-08-13,0.038356164383561646,140.55,0.0291,0.0079,28.815368196371406,139.13718527970613,-1.4128147202938806,873.1997543706138,-0.15209113684742456,Aug 2026
01,20260813,752.5,call,117.05,158.7,,134.94,883683711,872.49,2026-07-30,0.0291,0.0079,2026-08-13,0.038356164383561646,137.875,0.0291,0.0079,30.20852221214868,137.17066760259482,-0.7043323974051816,873.1997543706138,-0.14876334675474986,Aug 2026
01,20260813,755.0,call,115.35,156.8,,132.97,854609012,872.49,2026-07-30,0.0291,0.0079,2026-08-13,0.038356164383561646,136.075,0.0291,0.0079,30.461142752158754,135.21722618709916,-0.857773812900831,873.1997543706138,-0.14544659412875605,Aug 2026
01,20260813,757.5,call,113.35,154.7,,131.02,883683717,872.49,2026-07-30,0.0291,0.0079,2026-08-13,0.038356164383561646,134.02499999999998,0.0291,0.0079,30.85245290057825,133.2770282111228,-0.7479717888771802,873.1997543706138,-0.14214080599425652,Aug 2026
01,20260813,760.0,call,111.5,152.65,,129.08,854609022,872.49,2026-07-30,0.0291,0.0079,2026-08-13,0.038356164383561646,132.075,0.0291,0.0079,31.15653984478517,131.3502383406249,-0.7247616593750763,873.1997543706138,-0.13884591009740394,Aug 2026
01,20260813,762.5,call,109.5,150.55,,127.15,883683727,872.49,2026-07-30,0.0291,0.0079,2026-08-13,0.038356164383561646,130.025,0.0291,0.0079,31.57085175927707,129.43701859884905,-0.5879814011509552,873.1997543706138,-0.13556183489621398,Aug 2026
01,20260813,765.0,call,107.7,148.55,140.1,125.23,854609028,872.49,2026-07-30,0.0291,0.0079,2026-08-13,0.038356164383561646,128.125,0.0291,0.0079,31.8829268292683,127.53752823744878,-0.5874717625512176,873.1997543706138,-0.13228850955124483,Aug 2026
01,20260813,767.5,call,105.9,146.5,,123.45,883683732,872.49,2026-07-30,0.0291,0.0079,2026-08-13,0.038356164383561646,126.2,0.0291,0.0079,32.17115689381933,125.65192360970336,-0.548076390296643,873.1997543706138,-0.12902586391642842,Aug 2026
01,20260813,770.0,call,104.1,144.5,,121.44,854609038,872.49,2026-07-30,0.0291,0.0079,2026-08-13,0.038356164383561646,124.3,0.0291,0.0079,32.502011263073214,123.78035804600967,-0.5196419539903303,873.1997543706138,-0.1257738285300512,Aug 2026
01,20260813,772.5,call,102.2,142.45,,119.56,883683742,872.49,2026-07-30,0.0291,0.0079,2026-08-13,0.038356164383561646,122.32499999999999,0.0291,0.0079,32.9041487839771,121.92298173182392,-0.40201826817606445,873.1997543706138,-0.12253233460588019,Aug 2026
01,20260813,775.0,call,100.6,140.5,,117.7,854609045,872.49,2026-07-30,0.0291,0.0079,2026-08-13,0.038356164383561646,120.55,0.0291,0.0079,33.09829946080465,120.07994158824566,-0.47005841175433716,873.1997543706138,-0.1193013140244337,Aug 2026
01,20260813,777.5,call,98.7,138.5,166.6,115.85,883683751,872.49,2026-07-30,0.0291,0.0079,2026-08-13,0.038356164383561646,118.6,0.0291,0.0079,33.55817875210792,118.25138115539349,-0.3486188446065057,873.1997543706138,-0.11608069932439147,Aug 2026
01,20260813,780.0,call,97.0,136.55,,114.02,854609055,872.49,2026-07-30,0.0291,0.0079,2026-08-13,0.038356164383561646,116.775,0.0291,0.0079,33.86855063155642,116.43744047876376,-0.3375595212362441,873.1997543706138,-0.11287042369414321,Aug 2026
01,20260813,782.5,call,95.3,134.5,,112.2,883683757,872.49,2026-07-30,0.0291,0.0079,2026-08-13,0.038356164383561646,114.9,0.0291,0.0079,34.11662315056571,114.63825599871534,-0.26174400128466857,873.1997543706138,-0.10967042096347246,Aug 2026
01,20260813,785.0,call,93.75,132.6,,110.39,854609062,872.49,2026-07-30,0.0291,0.0079,2026-08-13,0.038356164383561646,113.175,0.0291,0.0079,34.3273691186216,112.85396044324717,-0.32103955675282236,873.1997543706138,-0.10648062559537227,Aug 2026
01,20260813,787.5,call,91.9,130.7,,108.6,883683766,872.49,2026-07-30,0.0291,0.0079,2026-08-13,0.038356164383561646,111.3,0.0291,0.0079,34.86073674752919,111.08468272421129,-0.2153172757887063,873.1997543706138,-0.10330097267799256,Aug 2026
01,20260813,790.0,call,90.25,128.75,,106.82,854609068,872.49,2026-07-30,0.0291,0.0079,2026-08-13,0.038356164383561646,109.5,0.0291,0.0079,35.15981735159817,109.33054783711164,-0.16945216288836207,873.1997543706138,-0.10013139791671348,Aug 2026
01,20260813,792.5,call,87.25,126.8,,105.06,883683772,872.49,2026-07-30,0.0291,0.0079,2026-08-13,0.038356164383561646,107.025,0.0291,0.0079,36.953982714319075,107.59167676461642,0.5666767646164175,873.1997543706138,-0.09697183762634497,Aug 2026
01,20260813,795.0,call,85.7,124.95,,103.31,854609079,872.49,2026-07-30,0.0291,0.0079,2026-08-13,0.038356164383561646,105.325,0.0291,0.0079,37.265606456206974,105.8681863839218,0.5431863839217925,873.1997543706138,-0.09382222872344884,Aug 2026
01,20260813,797.5,call,84.25,123.05,,101.57,883683780,872.49,2026-07-30,0.0291,0.0079,2026-08-13,0.038356164383561646,103.65,0.0291,0.0079,37.43367100820067,104.16018937808371,0.5101893780837088,873.1997543706138,-0.09068250871878107,Aug 2026
01,20260813,800.0,call,82.65,121.05,103.55,99.86,854609085,872.49,2026-07-30,0.0291,0.0079,2026-08-13,0.038356164383561646,101.85,0.0291,0.0079,37.70250368188512,102.4677941514353,0.6177941514353051,873.1997543706138,-0.0875526157098534,Aug 2026
01,20260813,802.5,call,80.9,119.25,,98.15,883683790,872.49,2026-07-30,0.0291,0.0079,2026-08-13,0.038356164383561646,100.075,0.0291,0.0079,38.32125905570821,100.79110474919538,0.7161047491953809,873.1997543706138,-0.08443248837360974,Aug 2026
01,20260813,805.0,call,79.35,117.45,,96.46,854609093,872.49,2026-07-30,0.0291,0.0079,2026-08-13,0.038356164383561646,98.4,0.0291,0.0079,38.71951219512196,99.13022078137057,0.7302207813705621,873.1997543706138,-0.08132206595921727,Aug 2026
01,20260813,807.5,call,77.8,115.45,,94.79,883683797,872.49,2026-07-30,0.0291,0.0079,2026-08-13,0.038356164383561646,96.625,0.0291,0.0079,38.96507115135835,97.48523735103645,0.8602373510364458,873.1997543706138,-0.07822128828096914,Aug 2026
01,20260813,810.0,call,76.3,113.65,,93.13,854609103,872.49,2026-07-30,0.0291,0.0079,2026-08-13,0.038356164383561646,94.975,0.0291,0.0079,39.326138457488824,95.85624498708908,0.8812449870890902,873.1997543706138,-0.07513009571129627,Aug 2026
01,20260813,812.5,call,74.6,111.8,95.4,91.49,883683807,872.49,2026-07-30,0.0291,0.0079,2026-08-13,0.038356164383561646,93.19999999999999,0.0291,0.0079,39.91416309012877,94.24332958153556,1.0433295815355734,873.1997543706138,-0.07204842917388814,Aug 2026
01,20260813,815.0,call,73.15,109.95,,89.87,854609108,872.49,2026-07-30,0.0291,0.0079,2026-08-13,0.038356164383561646,91.55000000000001,0.0291,0.0079,40.19661387220097,92.64657233139229,1.0965723313922808,873.1997543706138,-0.06897623013691796,Aug 2026
01,20260813,817.5,call,71.7,108.25,,88.26,883683814,872.49,2026-07-30,0.0291,0.0079,2026-08-13,0.038356164383561646,89.975,0.0291,0.0079,40.62239510975271,91.06604968525374,1.0910496852537506,873.1997543706138,-0.06591344060637219,Aug 2026
01,20260813,820.0,call,70.2,106.65,,86.67,854609118,872.49,2026-07-30,0.0291,0.0079,2026-08-13,0.038356164383561646,88.42500000000001,0.0291,0.0079,41.221374045801525,89.50183329457217,1.076833294572154,873.1997543706138,-0.06286000311948195,Aug 2026
01,20260813,822.5,call,68.75,104.85,,85.09,883683820,872.49,2026-07-30,0.0291,0.0079,2026-08-13,0.038356164383561646,86.8,0.0291,0.0079,41.58986175115207,87.95398996970009,1.153989969700092,873.1997543706138,-0.05981586073825376,Aug 2026
